"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Team phát hiện bug trên production (main). Hotfix cần deploy gấp nhưng develop branch có features chưa ready. Git Flow xử lý thế nào?","","Git","Tạo hotfix branch từ main → fix bug → merge vào CẢ main (deploy) VÀ develop (sync). Không cần chờ develop ready. Hotfix branch isolate fix khỏi in-progress features.","Tạo hotfix từ main → fix → merge vào cả main VÀ develop — isolate fix khỏi in-progress features","Cherry-pick fix từ develop vào main — develop luôn có fix trước main","Revert toàn bộ main về version trước bug — deploy old version tạm","Merge develop vào main để lấy tất cả changes kể cả features chưa ready","1"
"2","Developer force push (git push --force) lên shared branch. Team mất commits. Cách recover và phòng ngừa?","","Git","Recovery: git reflog tìm commit trước force push → git reset/checkout. Phòng ngừa: protect branches (no force push), dùng --force-with-lease (chỉ force nếu remote không thay đổi).","Không thể recover sau force push — data bị mất vĩnh viễn từ remote","git reflog recover commits; phòng ngừa: branch protection + force-with-lease thay force push","git blame tìm ai force push; phòng ngừa: remove push permission cho tất cả developers","git log --all tìm lost commits; phòng ngừa: disable push hoàn toàn trên shared branches","2"
"3","Monorepo (1 repo nhiều projects) vs Polyrepo (mỗi project 1 repo). Trade-offs?","","Git","Monorepo: shared tooling, atomic changes across projects, code reuse dễ. Nhưng: repo lớn chậm, CI/CD phức tạp. Polyrepo: independent deployment, clear ownership. Nhưng: cross-repo changes khó.","Monorepo và Polyrepo cho kết quả giống nhau — chỉ khác cách tổ chức folder","Monorepo chỉ cho small teams; Polyrepo chỉ cho large organizations — phân theo team size","Monorepo: shared tooling/atomic changes/code reuse; Polyrepo: independent deploy/clear ownership","Monorepo deprecated; Polyrepo là best practice hiện đại cho mọi organization","3"
"4","git rebase -i (interactive rebase) cho phép thao tác nào trên commit history?","","Git","Reorder commits, squash (gộp), fixup (gộp bỏ message), edit (sửa), drop (xoá), reword (đổi message). Chỉ dùng trên LOCAL commits chưa push. Viết lại history.","Reorder, squash, fixup, edit, drop, reword commits — chỉ cho local commits chưa push","Chỉ squash commits — không thể reorder, edit hay drop","Chỉ reword commit messages — không thể thay đổi content hay order","Áp dụng cho tất cả commits kể cả đã push — safe cho shared branches","1"
"5","Submodules trong Git dùng khi nào và có nhược điểm gì?","","Git","Submodule: nhúng repo khác vào repo chính tại commit cụ thể. Dùng cho shared libraries. Nhược: workflow phức tạp (clone --recursive, update manual), dễ quên update, merge conflicts.","Copy toàn bộ source code thư viện vào repo — đơn giản hơn submodule","Nhúng repo khác vào repo chính tại commit cụ thể — phức tạp: clone recursive, update manual, merge issues","Symlink đến folder trong filesystem — không liên quan đến Git","Package manager dependency — giống npm/yarn nhưng cho Git repos","2"
"6","git bisect giúp tìm commit gây bug bằng cách nào?","","Git","Binary search trên commit history: đánh dấu commit good và bad → Git checkout commit giữa → test → đánh dấu → lặp lại. O(log n) commits cần test thay vì O(n).","Compare diff giữa 2 commits — tự động phát hiện bug trong code changes","Rollback từng commit và run test suite tự động — CI/CD integration","Linear scan từ commit mới nhất ngược lại — test từng commit cho đến khi tìm thấy bug","Binary search commit history: đánh dấu good/bad → checkout giữa → test → O(log n) tìm commit gây bug","4"
"7","Pre-commit hooks trong Git dùng để enforce standards nào?","","Git","Hooks chạy scripts TỰ ĐỘNG trước commit: lint code, format, run tests, check commit message format. Reject commit nếu fail. Tools: Husky, pre-commit framework. Enforce team standards.","Tự động commit code mỗi 30 phút — schedule-based auto-commit","Chạy scripts trước commit: lint, format, test, check message — reject nếu fail (Husky/pre-commit)","Encrypt source code trước khi commit — security measure cho sensitive repos","Compress files trước commit — giảm repo size","2"
"8","Git LFS (Large File Storage) giải quyết vấn đề gì?","","Git","Git LFS lưu large files (images, videos, binaries) trên server riêng, repo chỉ chứa pointer. Giải quyết: repo bloat (Git lưu full history mỗi binary version), clone chậm, storage tốn.","Xoá file history cũ tự động — chỉ giữ 10 versions gần nhất","Encrypt large files trước khi commit — security cho binary assets","Nén tất cả files trong repo thành 1 archive — giảm storage","Lưu large files trên server riêng, repo chỉ chứa pointer — giải quyết repo bloat và clone chậm","4"
"9","Team có 2 long-lived branches (main, develop) và nhiều feature branches. Merge strategy nào giữ history clean?","","Git","Squash merge feature→develop (clean history, 1 commit per feature). Regular merge develop→main (preserve release milestones). Rebase feature branches trước khi merge để avoid merge commits.","Force push main sau mỗi release — clean start cho release cycle mới","Always merge (no squash, no rebase) — preserve tất cả commits cho traceability","Squash merge features→develop (1 commit/feature); Regular merge develop→main (preserve milestones)","Always rebase mọi thứ — linear history đẹp nhất cho mọi trường hợp","3"
"10","git worktree cho phép làm gì mà git stash không?","","Git","git worktree tạo NHIỀU working directories từ cùng repo, mỗi directory checkout branch khác. Có thể work trên nhiều branches ĐỒNG THỜI. stash chỉ lưu tạm 1 branch tại 1 thời điểm.","Tạo nhiều working directories từ cùng repo — work trên nhiều branches đồng thời mà không cần switch","Tạo backup automatic của working directory mỗi 5 phút","Merge nhiều branches cùng lúc trong 1 operation — parallel merge","Clone repo vào nhiều locations khác nhau — distributed backup","1"
