"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Một developer vô tình commit mật khẩu database vào Git repository. Mật khẩu đã được push lên remote. Cách xử lý đúng là gì?","","Git","Thay đổi mật khẩu ngay lập tức (credential rotation). Dùng git filter-branch hoặc BFG Repo-Cleaner để xoá khỏi history. Force push. Thêm vào .gitignore. Dùng environment variables thay hardcode.","Chỉ cần xoá file và commit lại","Để yên vì đã push rồi","Thay đổi mật khẩu ngay + xoá khỏi history (BFG/filter-branch) + force push + dùng env variables","Xoá repo và tạo lại","3"
"2","Team 5 developers cùng làm việc trên 1 repo. Nhánh develop thường xuyên bị conflict khi merge. Workflow nào giảm conflict hiệu quả?","","Git","Feature branch workflow + daily rebase từ develop + small/focused PRs + code review trước merge. Mỗi feature 1 nhánh riêng, rebase thường xuyên để cập nhật thay đổi mới nhất.","Feature branches + daily rebase từ develop + small PRs + code review trước merge","Tất cả commit trực tiếp lên develop","Mỗi developer 1 repo riêng","Chỉ 1 người được commit","1"
"3","Một developer cần undo 3 commits gần nhất trên nhánh đã push lên remote. Nên dùng git reset hay git revert?","","Git","Nên dùng git revert: tạo 3 commits đảo ngược, giữ nguyên history, an toàn cho shared branch. git reset --hard + force push sẽ gây conflict cho teammates đã pull code cũ.","git reset --hard vì nhanh hơn","git revert: tạo commits đảo ngược, giữ history, an toàn cho shared branch — reset gây conflict cho teammates","Xoá nhánh và tạo lại","Không thể undo commits đã push","2"
"4","Hotfix workflow: production bug cần fix ngay. Team đang develop feature mới. Quy trình Git nào đúng?","","Git","Tạo hotfix branch từ main → fix bug → test → merge vào main (deploy) VÀ merge vào develop (giữ sync). Tag version mới trên main. Không merge feature branch chưa xong vào main.","Fix trực tiếp trên main","Hotfix branch từ main → fix + test → merge vào main VÀ develop → tag version mới","Fix trên develop rồi merge vào main","Rollback toàn bộ về version cũ","2"
"5","Khi rebase một feature branch, conflict xảy ra ở nhiều commits. Cách xử lý nào hiệu quả?","","Git","Squash commits trước khi rebase (giảm số lần resolve conflict). Hoặc interactive rebase (git rebase -i) để gộp commits liên quan. Nếu quá phức tạp → abort rebase, dùng merge thay thế.","Xoá nhánh và làm lại từ đầu","Force push mà không resolve","Bỏ qua conflict","Squash commits trước khi rebase hoặc interactive rebase gộp commits; nếu quá phức tạp → dùng merge","4"
"6","CI/CD pipeline cần chạy test tự động khi có Pull Request. Cấu hình Git hooks nào phù hợp?","","Git","pre-commit hook: lint/format code trước commit. pre-push hook: chạy unit test trước push. Server-side: GitHub Actions/GitLab CI trigger on PR → chạy full test suite, code coverage, build.","pre-commit (lint), pre-push (unit test), GitHub Actions/CI trigger on PR (full test suite)","Không cần hooks","Chỉ cần post-commit","Hooks chỉ dùng cho deploy","1"
"7","Git bisect dùng trong tình huống nào?","","Git","git bisect tìm commit gây ra bug bằng binary search: chỉ định commit tốt (good) và xấu (bad) → Git checkout commit giữa → developer kiểm tra → lặp lại → tìm chính xác commit gây bug.","Merge hai nhánh","Tìm commit gây bug bằng binary search: chỉ định good/bad commits → Git tìm chính xác commit gây lỗi","Xoá commits cũ","Backup repository","2"
"8","Một monorepo chứa 3 microservices. CI/CD nên build tất cả hay chỉ service thay đổi? Cách implement?","","Git","Chỉ build service thay đổi (affected services). Dùng git diff để detect changed files → determine affected services → trigger chỉ pipeline cần thiết. Tools: Nx, Turborepo, Bazel.","Build tất cả mỗi lần push","Build random 1 service","Dùng git diff detect changed files → trigger chỉ pipeline services bị ảnh hưởng (Nx/Turborepo)","Không dùng monorepo","3"
"9","Một team sử dụng Trunk-Based Development. Tại sao họ chọn cách này thay vì Git Flow?","","Git","Trunk-Based: commit trực tiếp lên main (hoặc short-lived branches <1 ngày), release thường xuyên, CI/CD mạnh. Phù hợp team mature, cần deploy liên tục. Git Flow phức tạp, release cycle dài hơn.","Trunk-Based: short-lived branches, release thường xuyên, CI/CD mạnh — phù hợp deploy liên tục; Git Flow cho release cycle dài","Trunk-Based dễ hơn cho beginner","Git Flow mới hơn Trunk-Based","Trunk-Based không cần testing","1"
"10","Submodule và Subtree trong Git khác nhau thế nào?","","Git","Submodule: tham chiếu đến repo khác (con trỏ đến commit cụ thể), repo riêng biệt. Subtree: merge code repo khác vào repo hiện tại, 1 repo duy nhất. Subtree đơn giản hơn nhưng history phức tạp.","Cả hai đều giống nhau","Subtree xoá repo gốc","Submodule là monorepo","Submodule: con trỏ đến repo riêng; Subtree: merge code vào 1 repo — Subtree đơn giản hơn nhưng history phức tạp","4"
