"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Array lưu trữ dữ liệu trong bộ nhớ theo đặc điểm nào?","","Data-Structures","Array lưu phần tử cùng kiểu trong ô nhớ LIÊN TIẾP, truy cập O(1) qua index (base_address + offset). Kích thước cố định sau khởi tạo.","Phần tử cùng kiểu, bộ nhớ liên tiếp, truy cập O(1) qua index — kích thước cố định","Phần tử khác kiểu, bộ nhớ phân tán, truy cập O(n) qua pointer — kích thước động","Phần tử cùng kiểu, bộ nhớ phân tán, truy cập O(log n) qua binary search — kích thước cố định","Phần tử khác kiểu, bộ nhớ liên tiếp, truy cập O(1) qua hash function — kích thước động","1"
"2","Stack hoạt động theo nguyên tắc truy cập nào?","","Data-Structures","LIFO (Last In First Out): phần tử thêm vào cuối cùng được lấy ra đầu tiên. Operations: push (thêm), pop (lấy ra), peek (xem top). Ứng dụng: undo, call stack, balanced brackets.","FIFO — First In First Out, phần tử thêm đầu tiên được lấy ra đầu tiên","LIFO — Last In First Out, phần tử thêm cuối cùng được lấy ra đầu tiên","Random Access — truy cập phần tử bất kỳ qua index trong O(1)","Priority — phần tử có giá trị cao nhất được lấy ra đầu tiên bất kể thứ tự thêm","2"
"3","Queue hoạt động khác Stack ở nguyên tắc truy cập nào?","","Data-Structures","FIFO (First In First Out): phần tử thêm đầu tiên được lấy ra đầu tiên (xếp hàng). Operations: enqueue (thêm cuối), dequeue (lấy đầu). Ứng dụng: BFS, task scheduling, message queue.","LIFO — Last In First Out, giống Stack nhưng dùng thuật ngữ enqueue/dequeue thay push/pop","LIFO — Last In Last Out, phần tử thêm cuối được lấy ra cuối cùng","FIFO — First In First Out, phần tử thêm đầu tiên được lấy ra đầu tiên","Random — phần tử được lấy ngẫu nhiên bất kể thứ tự thêm vào","3"
"4","Linked List khác Array ở cách lưu trữ trong bộ nhớ nào?","","Data-Structures","Linked List: mỗi node chứa data + pointer đến node tiếp theo. Bộ nhớ KHÔNG cần liên tiếp. Chèn/xoá O(1) ở đầu, truy cập O(n). Array: bộ nhớ liên tiếp, truy cập O(1).","Bộ nhớ liên tiếp, truy cập O(1) qua index, chèn/xoá O(n) — giống Array nhưng kích thước động","Bộ nhớ phân tán, mỗi node chứa data + pointer; chèn/xoá O(1) ở đầu nhưng truy cập O(n)","Bộ nhớ liên tiếp, mỗi node chứa data + index; truy cập O(1) và chèn/xoá O(1)","Bộ nhớ phân tán, mỗi node chứa data + hash; truy cập O(1) qua hash lookup","2"
"5","HashMap đạt truy xuất O(1) bằng cơ chế nào?","","Data-Structures","Hash function biến key thành index (hash code → bucket index). Lưu key-value pair tại bucket đó. Collision xử lý bằng chaining hoặc open addressing.","Sắp xếp key theo thứ tự và dùng Binary Search tìm O(log n) — marketing claim O(1)","Hash function chuyển key thành bucket index, truy xuất trực tiếp O(1) average — collision qua chaining","Lưu tất cả key-value theo thứ tự insert và dùng linear scan tìm O(n) — cache tạo illusion O(1)","Dùng balanced BST nội bộ với key làm comparator — O(log n) nhưng constant factor nhỏ","2"
"6","Binary Tree có ràng buộc gì về số lượng node con mỗi nút?","","Data-Structures","Mỗi nút có TỐI ĐA 2 nút con (left child, right child). Có thể có 0, 1, hoặc 2 con. Root là nút gốc không có parent.","Mỗi nút có TỐI ĐA 2 nút con (left và right) — có thể có 0, 1, hoặc 2 con","Mỗi nút có ĐÚNG 2 nút con — nút nào cũng phải có cả left và right child","Mỗi nút có ÍT NHẤT 2 nút con — leaf nodes không tồn tại trong binary tree","Mỗi nút có TỐI ĐA 3 nút con (left, middle, right) — binary ám chỉ 2 operations trên node","1"
"7","Graph gồm những thành phần cơ bản nào?","","Data-Structures","Vertices (đỉnh/nodes) và Edges (cạnh) nối các vertices. Có thể directed (có hướng) hoặc undirected. Có thể weighted (có trọng số) hoặc unweighted.","Tập hợp vertices (đỉnh) và edges (cạnh) — có thể directed/undirected và weighted/unweighted","Tập hợp rows (hàng) và columns (cột) — biểu diễn dữ liệu dạng bảng 2 chiều","Tập hợp keys (khóa) và values (giá trị) — biểu diễn dữ liệu dạng cặp mapping","Tập hợp parents (cha) và children (con) — biểu diễn dữ liệu dạng phân cấp một chiều","1"
"8","Heap có tính chất gì phân biệt với Binary Search Tree?","","Data-Structures","Heap là complete binary tree thỏa mãn: Max-Heap (parent ≥ children) hoặc Min-Heap (parent ≤ children). BST thỏa mãn: left < parent < right. Heap cho min/max O(1), BST cho search O(log n).","Complete binary tree với parent ≥ children (Max) hoặc parent ≤ children (Min) — min/max O(1)","Balanced binary tree với left < parent < right — search/insert/delete O(log n)","Complete binary tree với tất cả leaf nodes cùng level — chỉ dùng cho sorting","Skewed binary tree với tất cả nodes chỉ có right child — dùng cho priority operations","1"
"9","Priority Queue xử lý phần tử theo thứ tự nào?","","Data-Structures","Phần tử có priority CAO NHẤT được dequeue trước, bất kể thứ tự enqueue. Thường implement bằng Heap. Ứng dụng: Dijkstra, task scheduling, event-driven simulation.","Phần tử thêm đầu tiên được lấy ra đầu tiên (FIFO) giống Queue thường nhưng có label priority","Phần tử thêm cuối cùng được lấy ra đầu tiên (LIFO) giống Stack nhưng có sorting","Phần tử có priority cao nhất được dequeue trước bất kể thứ tự — thường implement bằng Heap","Phần tử được dequeue ngẫu nhiên theo probability distribution dựa trên priority weight","3"
"10","Cấu trúc dữ liệu tuyến tính và phi tuyến tính khác nhau ở cách tổ chức nào?","","Data-Structures","Tuyến tính (Array, Stack, Queue, Linked List): phần tử xếp tuần tự, mỗi phần tử có tối đa 1 predecessor và 1 successor. Phi tuyến tính (Tree, Graph): phần tử tổ chức phân cấp hoặc mạng.","Tuyến tính lưu dữ liệu trên RAM; Phi tuyến tính lưu dữ liệu trên disk — khác ở storage medium","Tuyến tính chỉ cho primitive types; Phi tuyến tính cho object types — khác ở kiểu dữ liệu hỗ trợ","Tuyến tính nhanh hơn phi tuyến tính trong mọi trường hợp — khác ở hiệu suất absolute","Tuyến tính: phần tử xếp tuần tự (1 predecessor, 1 successor); Phi tuyến tính: phân cấp hoặc mạng lưới","4"
