"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Toán tử == và === trong JavaScript xử lý việc so sánh khác nhau như thế nào?","","JavaScript","== so sánh giá trị có ép kiểu (type coercion), ví dụ '5' == 5 là true. === so sánh cả giá trị và kiểu dữ liệu (strict equality), '5' === 5 là false.","== so sánh cả giá trị và kiểu dữ liệu; === chỉ so sánh giá trị có ép kiểu","== so sánh giá trị có ép kiểu (type coercion); === so sánh cả giá trị và kiểu dữ liệu","== dùng cho primitive types; === dùng cho reference types như object và array","== so sánh theo reference; === so sánh theo value cho tất cả kiểu dữ liệu","2"
"2","Hoisting trong JavaScript ảnh hưởng đến var, let và const khác nhau ra sao?","","JavaScript","var được hoisted và khởi tạo undefined. let/const được hoisted nhưng không khởi tạo, nằm trong Temporal Dead Zone (TDZ) cho đến dòng khai báo — truy cập trước khai báo gây ReferenceError.","var, let và const đều được hoisted giống nhau — khởi tạo undefined và truy cập được trước khai báo","var được hoisted với giá trị undefined; let/const hoisted nhưng nằm trong Temporal Dead Zone gây ReferenceError","var không được hoisted; let/const được hoisted với giá trị undefined và truy cập được ngay","var, let, const đều không được hoisted — JavaScript thực thi tuần tự từ trên xuống dưới","2"
"3","var, let và const khác nhau ở phạm vi (scope) và khả năng gán lại như thế nào?","","JavaScript","var: function-scoped, hoisted, gán lại được. let: block-scoped, TDZ, gán lại được. const: block-scoped, TDZ, không gán lại được (nhưng object/array bên trong vẫn mutate được).","var là block-scoped và gán lại được; let là function-scoped và không gán lại; const là block-scoped và không gán lại","var là function-scoped và gán lại được; let là block-scoped và gán lại được; const là block-scoped và không gán lại","var là function-scoped và không gán lại; let là block-scoped và gán lại được; const là function-scoped và không gán lại","var, let đều là block-scoped và gán lại được; const là function-scoped và không gán lại reference lẫn thuộc tính","2"
"4","DOM (Document Object Model) cho phép JavaScript thao tác với trang web bằng cách nào?","","JavaScript","DOM biểu diễn trang HTML dưới dạng cây các node/object. JavaScript truy cập và thao tác nội dung, cấu trúc, style qua các API như getElementById, querySelector, innerHTML.","Biểu diễn trang HTML dưới dạng cây node, cho phép JS đọc và thay đổi nội dung, cấu trúc, style","Biểu diễn CSS stylesheet dưới dạng cây selector, cho phép JS đọc và thay đổi specificity","Biểu diễn JavaScript source code dưới dạng cây cú pháp, cho phép runtime tối ưu hóa thực thi","Biểu diễn network requests dưới dạng cây phụ thuộc, cho phép JS quản lý thứ tự tải tài nguyên","1"
"5","Arrow function trong ES6 khác regular function ở đặc điểm kỹ thuật nào?","","JavaScript","Arrow function không có this riêng (kế thừa từ lexical scope), không có arguments object, không thể dùng làm constructor (không thể new).","Không có this riêng mà kế thừa từ lexical scope, không có arguments, không dùng làm constructor","Có this riêng xác định bởi cách gọi, có arguments object, và có thể dùng làm constructor","Không có return statement, tự động return giá trị cuối cùng, và binding this khi được gọi","Có this riêng nhưng không thể thay đổi bằng bind/call/apply, có arguments dạng array","1"
"6","Callback function trong JavaScript hoạt động theo cơ chế nào?","","JavaScript","Callback là hàm được truyền làm tham số cho hàm khác và được gọi lại khi tác vụ hoàn thành. Phổ biến trong xử lý bất đồng bộ như event handling, setTimeout, API calls.","Hàm tự gọi lại chính nó theo chu kỳ cho đến khi đạt điều kiện dừng (recursive callback)","Hàm được lưu vào call stack và tự động thực thi khi stack rỗng (stack callback)","Hàm được truyền làm tham số và gọi lại khi tác vụ hoàn thành, phổ biến trong xử lý async","Hàm được đăng ký với event loop và chạy song song với main thread (parallel callback)","3"
"7","Promise trong JavaScript có mấy trạng thái và chúng chuyển đổi như thế nào?","","JavaScript","Promise có 3 trạng thái: pending (đang chờ), fulfilled (thành công), rejected (thất bại). Khi chuyển từ pending sang fulfilled hoặc rejected thì không thể đổi lại (settled/immutable).","2 trạng thái: running (đang chạy) và completed (hoàn thành), có thể chuyển qua lại giữa hai trạng thái","3 trạng thái: pending → fulfilled hoặc rejected, một khi settled thì không thể thay đổi lại","4 trạng thái: created → pending → resolved → completed, chuyển tuần tự từng bước một","3 trạng thái: pending → fulfilled → rejected, luôn phải đi qua fulfilled trước khi rejected","2"
"8","Thuộc tính NaN trong JavaScript có đặc điểm kỹ thuật gì đáng chú ý?","","JavaScript","NaN (Not a Number) biểu thị kết quả không phải số hợp lệ. Đặc biệt: NaN !== NaN (true), typeof NaN là 'number'. Kiểm tra bằng Number.isNaN() (strict) hoặc isNaN() (ép kiểu).","NaN === NaN trả về true, typeof NaN là 'undefined', kiểm tra bằng toán tử === thông thường","NaN == null trả về true, typeof NaN là 'NaN', kiểm tra bằng typeof value === 'NaN'","NaN === undefined trả về true, typeof NaN là 'object', kiểm tra bằng instanceof NaN","NaN !== NaN trả về true, typeof NaN là 'number', kiểm tra bằng Number.isNaN()","4"
"9","Rest parameter (...args) trong JavaScript khác gì spread operator (...) về ngữ cảnh sử dụng?","","JavaScript","Rest parameter gom các đối số còn lại thành mảng (trong khai báo hàm). Spread operator trải phần tử ra (trong gọi hàm, tạo array/object). Cùng cú pháp ... nhưng ngược nhau.","Rest trải phần tử ra trong gọi hàm; Spread gom đối số thành mảng trong khai báo hàm","Rest dùng trong expression; Spread dùng trong statement — cú pháp khác nhau hoàn toàn","Rest gom đối số thành mảng trong khai báo hàm; Spread trải phần tử ra trong gọi hàm và tạo array/object","Rest chỉ dùng được với array; Spread chỉ dùng được với object — không thể dùng ngược lại","3"
"10","Scope trong JavaScript gồm những loại nào và chúng ảnh hưởng đến việc truy cập biến ra sao?","","JavaScript","Global scope: truy cập mọi nơi. Function scope: trong hàm (var). Block scope: trong {} (let/const). Scope chain: JS tìm biến từ scope hiện tại ra ngoài cho đến global.","Global scope (mọi nơi), Function scope (var trong hàm), Block scope (let/const trong {}), tìm biến từ trong ra ngoài","Global scope (mọi nơi), Module scope (trong file), Block scope (let/const trong {}), tìm biến từ ngoài vào trong","Function scope (var trong hàm), Block scope (let/const trong {}), Lexical scope (closure) — không có global scope","Global scope (mọi nơi), Function scope (tất cả biến trong hàm), Block scope (var trong {}) — const là function-scoped","1"
