"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Khi thực hiện kiểm thử API (API Testing), mã trạng thái phản hồi HTTP (HTTP Status Code) nào biểu thị yêu cầu đã được xử lý thành công?","","Tester Technical","Đầu mã 2xx đại diện cho thành công, trong đó 200 OK là mã phản hồi chuẩn nhất cho các API truy vấn thành công.","200 OK — yêu cầu được xử lý thành công và trả về dữ liệu tương ứng","400 Bad Request — yêu cầu gửi đi bị sai cú pháp hoặc thiếu tham số bắt buộc","401 Unauthorized — yêu cầu chưa được xác thực tài khoản đăng nhập","500 Internal Server Error — lỗi hệ thống phát sinh ở máy chủ ứng dụng","1"
"2","Trong kiểm thử API, phương thức HTTP Method nào thường được dùng để tạo mới một đối tượng dữ liệu?","","Tester Technical","POST là phương thức chuẩn theo kiến trúc RESTful dùng để tạo mới các thực thể/dữ liệu trên hệ thống máy chủ.","POST — gửi dữ liệu lên server để tạo mới bản ghi","GET — gửi yêu cầu truy vấn lấy dữ liệu từ server về","PUT — cập nhật lại thông tin của toàn bộ bản ghi hiện có","DELETE — xóa bỏ bản ghi dữ liệu khỏi hệ thống","1"
"3","Mã phản hồi HTTP Status Code 403 Forbidden biểu thị điều gì khi gọi một API?","","Tester Technical","403 Forbidden nghĩa là server hiểu yêu cầu nhưng từ chối thực hiện vì tài khoản hiện tại không được cấp quyền truy cập.","Yêu cầu được gửi đi đúng cú pháp nhưng người dùng không có quyền truy cập vào tài nguyên này — lỗi phân quyền (Authorization)","Người dùng chưa thực hiện đăng nhập tài khoản vào hệ thống — lỗi xác thực (Authentication)","Đường dẫn API (Endpoint URL) không tồn tại trên hệ thống máy chủ — lỗi không tìm thấy","Dữ liệu gửi lên vượt quá giới hạn dung lượng cho phép của server","1"
"4","Trong kiểm thử tự động (Automation Testing), từ khóa ""Locator"" dùng để làm gì?","","Tester Technical","Locator (bộ định vị) giúp script tự động biết cần click vào nút nào, nhập chữ vào ô nào bằng cách quét cấu trúc DOM của trang web.","Định vị các phần tử giao diện (UI Elements) trên trang web để script tương tác click/type — ví dụ: ID, Name, XPath, CSS Selector","Xác định vị trí địa lý GPS của máy chủ lưu trữ mã nguồn kiểm thử","Tính toán thời gian phản hồi trung bình của các API kết nối cơ sở dữ liệu","Tự động sinh ra các đoạn mã lập trình giao diện Frontend cho dự án","1"
"5","Khi chạy test API bằng công cụ Postman, tab ""Tests"" dùng để thực hiện công việc gì?","","Tester Technical","Tab Tests trong Postman cho phép QA viết script Assertions bằng JS để tự động hóa việc kiểm tra tính đúng đắn của dữ liệu API trả về.","Viết mã JavaScript để tự động hóa việc xác thực kết quả trả về (Assertions) như kiểm tra Status Code, thời gian phản hồi, hoặc cấu trúc JSON","Nhập các tham số đầu vào (Headers, Body) để gửi lên máy chủ API","Xem lịch sử các request API đã được gửi đi trong quá khứ của tài khoản","Cấu hình môi trường mạng proxy kết nối internet cho ứng dụng Postman","1"
"6","Trong kiểm thử tự động trang web (Web Automation), bộ định vị (Locator) nào sau đây có tốc độ tìm kiếm nhanh nhất và độ tin cậy cao nhất?","","Tester Technical","Tìm kiếm phần tử bằng ID luôn nhanh nhất và ổn định nhất vì ID được thiết kế là duy nhất trên trang, giúp script không bị nhận nhầm phần tử.","ID Selector — do tính chất duy nhất của thuộc tính id trên trang web giúp trình duyệt tìm kiếm trực tiếp","XPath Selector — do khả năng duyệt cây DOM phức tạp theo cả chiều dọc lẫn chiều ngang","Class Name Selector — do class đại diện cho nhiều phần tử giao diện tương đồng","Link Text Selector — do so khớp chuỗi chữ hiển thị trực tiếp của các thẻ liên kết","1"
"7","Trong kiểm thử tự động, công cụ Selenium WebDriver đóng vai trò gì?","","Tester Technical","Selenium WebDriver đóng vai trò trung gian nhận lệnh từ script test và dịch thành các hành động điều khiển native trên trình duyệt web.","Cung cấp API điều khiển và tương tác trực tiếp với các trình duyệt web (Chrome, Firefox, Safari) như một người dùng thực tế","Quản lý và chỉnh sửa mã nguồn của lập trình viên Frontend trên server","Thiết kế các kịch bản kiểm thử hiệu năng chịu tải tối đa của hệ thống API","Tự động phát hiện các lỗi bảo mật SQL Injection trong cơ sở dữ liệu","1"
"8","Khi gọi API để cập nhật một phần dữ liệu của bản ghi (ví dụ: Chỉ cập nhật số điện thoại của tài khoản), phương thức HTTP nào phù hợp nhất?","","Tester Technical","Theo chuẩn RESTful, PATCH dùng cho cập nhật cục bộ một số trường, trong khi PUT dùng để thay thế toàn bộ tài nguyên cũ bằng tài nguyên mới.","PATCH — cập nhật một phần thực thể dữ liệu (partial update)","PUT — cập nhật toàn bộ thực thể dữ liệu (replace update)","GET — lấy thông tin thực thể dữ liệu về máy khách","POST — tạo mới hoàn toàn thực thể dữ liệu trên máy chủ","1"
"9","Trong kiểm thử API, định dạng dữ liệu (Data Format) phổ biến nhất được dùng để trao đổi dữ liệu hiện nay là gì?","","Tester Technical","JSON là định dạng chuẩn hóa, gọn nhẹ, được hầu hết các API RESTful hiện đại sử dụng để truyền tải dữ liệu giữa Client và Server.","JSON (JavaScript Object Notation) — định dạng văn bản nhẹ, dễ đọc hiểu đối với cả người và máy","XML (eXtensible Markup Language) — định dạng văn bản sử dụng các thẻ tag tùy biến phức tạp","CSV (Comma-Separated Values) — định dạng bảng phân tách bằng dấu phẩy","HTML (HyperText Markup Language) — ngôn ngữ đánh dấu cấu trúc trang hiển thị","1"
"10","Ý nghĩa của mã phản hồi HTTP Status Code 404 Not Found là gì?","","Tester Technical","404 là lỗi phía client (4xx) thông báo đường dẫn URL hoặc tài nguyên được yêu cầu không tìm thấy trên server.","Đường dẫn API (Endpoint URL) không tồn tại trên hệ thống máy chủ — máy chủ không tìm thấy tài nguyên yêu cầu","Yêu cầu gửi lên bị thiếu mã xác thực tài khoản người dùng","Máy chủ API đang bị quá tải hoặc đang trong quá trình bảo trì hệ thống","Cơ sở dữ liệu của máy chủ bị lỗi không thể truy cập để ghi thông tin","1"
