"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Phân biệt ArrayList và LinkedList trong Java Collections?","","Java","ArrayList: truy cập nhanh O(1) qua index, chèn/xoá chậm O(n). LinkedList: chèn/xoá nhanh O(1) ở đầu/cuối, truy cập chậm O(n). ArrayList phù hợp đọc nhiều, LinkedList phù hợp ghi nhiều.","Cả hai đều giống nhau","ArrayList: truy cập O(1), chèn/xoá O(n); LinkedList: chèn/xoá O(1), truy cập O(n)","LinkedList nhanh hơn trong mọi trường hợp","ArrayList là thread-safe còn LinkedList thì không","2"
"2","Phân biệt HashMap và TreeMap trong Java?","","Java","HashMap: không sắp xếp, truy cập O(1), cho phép 1 key null. TreeMap: sắp xếp theo key (natural order hoặc Comparator), truy cập O(log n), không cho phép key null.","HashMap: không sắp xếp O(1); TreeMap: sắp xếp theo key O(log n)","Cả hai đều sắp xếp","HashMap chậm hơn TreeMap","TreeMap cho phép key null","1"
"3","Tính đa hình (Polymorphism) trong Java thể hiện qua những cách nào?","","Java","Compile-time (static): method overloading (cùng tên, khác tham số). Runtime (dynamic): method overriding (lớp con ghi đè phương thức lớp cha, xác định lúc runtime).","Compile-time qua method overloading; Runtime qua method overriding","Chỉ có overloading","Chỉ có overriding","Thông qua biến toàn cục","1"
"4","Dependency Injection (DI) là gì và liên quan gì đến SOLID?","","Java","DI là pattern cung cấp dependency từ bên ngoài thay vì tự tạo bên trong. Liên quan đến nguyên tắc D (Dependency Inversion) trong SOLID: phụ thuộc vào abstraction thay vì implementation.","Một kiểu database","Một framework testing","Pattern cung cấp dependency từ bên ngoài — thực hiện nguyên tắc Dependency Inversion trong SOLID","Một kiểu biến","3"
"5","Spring Bean và IoC Container là gì?","","Java","Spring Bean là đối tượng được Spring IoC Container quản lý (tạo, cấu hình, lifecycle). IoC Container (Inversion of Control) đảo ngược quyền kiểm soát: container tạo và inject dependency thay vì developer.","Bean là một kiểu dữ liệu","Bean là đối tượng do Spring IoC Container quản lý; IoC Container tạo và inject dependency tự động","IoC là một ngôn ngữ lập trình","Bean chỉ dùng trong JSP","2"
"6","Sự khác biệt giữa @Controller và @RestController trong Spring?","","Java","@Controller: trả về View name (HTML template). @RestController = @Controller + @ResponseBody: trả về dữ liệu trực tiếp (JSON/XML). @RestController phù hợp cho REST API.","@Controller trả về View (HTML); @RestController trả về dữ liệu JSON/XML trực tiếp","Cả hai đều giống nhau","@RestController chỉ dùng cho GET","@Controller mới hơn @RestController","1"
"7","Phân biệt HashSet và TreeSet trong Java?","","Java","HashSet: không sắp xếp, truy cập O(1), cho phép 1 null. TreeSet: sắp xếp (natural order), truy cập O(log n), không cho phép null. Cả hai không cho phép phần tử trùng lặp.","HashSet sắp xếp; TreeSet không sắp xếp","Cả hai đều cho phép phần tử trùng","HashSet: không sắp xếp O(1); TreeSet: sắp xếp O(log n) — cả hai không cho phần tử trùng","TreeSet nhanh hơn HashSet","3"
"8","@Transactional trong Spring Boot dùng ở mức class và method khác nhau thế nào?","","Java","@Transactional ở class: áp dụng cho TẤT CẢ public method trong class. @Transactional ở method: chỉ áp dụng cho method đó. Method-level ghi đè class-level nếu cả hai cùng tồn tại.","Không có sự khác biệt","Method-level không hoạt động","Class-level chỉ cho constructor","Class-level áp dụng cho tất cả method; Method-level chỉ cho method đó và ghi đè class-level","4"
"9","Exception handling tập trung trong Spring Boot dùng annotation nào?","","Java","@ControllerAdvice: class xử lý exception cho toàn bộ controller. @ExceptionHandler: method xử lý exception cụ thể. Kết hợp cả hai để xử lý exception tập trung, tránh try-catch rải rác.","@Autowired và @Component","@ControllerAdvice + @ExceptionHandler để xử lý exception tập trung cho toàn bộ controller","@Override và @Deprecated","@Bean và @Configuration","2"
"10","Làm thế nào để bảo mật API trước SQL Injection trong hệ thống Java?","","Java","Dùng Prepared Statement / Parameterized Query (JPA, Hibernate tự xử lý). Input validation. Không bao giờ nối chuỗi SQL trực tiếp. Sử dụng ORM framework. Principle of least privilege cho DB user.","Chỉ cần validate input là đủ","Dùng HTTP thay HTTPS","Mã hóa toàn bộ database","Dùng Prepared Statement/Parameterized Query, input validation, ORM framework, không nối chuỗi SQL trực tiếp","4"
