"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","FlatList 5000 items có ảnh bị frame drop khi scroll nhanh. Tổ hợp giải pháp tối ưu nào phù hợp?","","React Native","getItemLayout (skip layout measurement), React.memo cho item component, windowSize/maxToRenderPerBatch (giảm items render), FastImage (cache ảnh), keyExtractor ổn định (tránh re-mount).","Chuyển sang ScrollView vì nó render tất cả items trước — scroll sẽ mượt hơn khi đã mount xong","getItemLayout, React.memo, windowSize/maxToRenderPerBatch, FastImage cache, keyExtractor ổn định","Giảm danh sách xuống dưới 100 items và implement pagination server-side thay virtualization","Tắt tất cả animation và shadow style trong FlatList renderItem vì chúng gây frame drop","2"
"2","App offline-first cần tạo/sửa data offline và sync khi có mạng. Kiến trúc nào phù hợp?","","React Native","WatermelonDB/Realm cho local DB (sync-capable). NetInfo detect kết nối. Queue offline mutations. Pull-push sync với conflict resolution (timestamp/server-wins). Optimistic UI.","Dùng AsyncStorage lưu tất cả data dạng JSON string kết hợp setInterval check kết nối mỗi 5 giây","WatermelonDB/Realm + NetInfo + queue offline mutations + pull-push sync với conflict resolution + optimistic UI","Cache API responses trong Redux store và retry failed requests khi NetInfo detect online trở lại","Dùng SQLite raw queries kết hợp background fetch iOS và WorkManager Android để sync tự động","2"
"3","Animation gesture-driven bị giật trên JS thread. Giải pháp kiến trúc nào chạy animation trên UI thread?","","React Native","Reanimated 2/3 dùng worklets chạy trên UI thread (không qua JS bridge). Kết hợp Gesture Handler cho gesture-driven animation. Shared values thay Animated.Value cho cross-thread communication.","Animated API với useNativeDriver: true đủ cho mọi loại animation kể cả gesture-driven phức tạp","Lottie animation library cho mọi animation phức tạp — export từ After Effects và chạy native","Reanimated 2/3 (worklets trên UI thread) + Gesture Handler; shared values cho cross-thread communication","LayoutAnimation API cho tất cả animation vì nó tự động chạy trên native thread không cần config","3"
"4","Cùng một UI render khác nhau giữa iOS và Android. Cách xử lý systematic?","","React Native","Platform-specific files (.ios.tsx/.android.tsx) cho khác biệt lớn. Platform.select() cho style nhỏ. Design tokens normalize cross-platform. CI/CD test trên cả 2 platform.","Dùng WebView render HTML/CSS cho UI đồng nhất tuyệt đối giữa hai platform","Chỉ hỗ trợ iOS vì đa số user dùng iPhone — bỏ qua Android differences","Platform-specific files (.ios/.android), Platform.select(), design tokens, CI/CD test cả 2 platform","Dùng third-party UI library (NativeBase/RNE) giải quyết mọi platform differences tự động","3"
"5","Push Notification cho cả iOS và Android: kiến trúc end-to-end flow nào đúng?","","React Native","Request permission → get FCM token → gửi token cho backend → backend push qua FCM/APNs → app handle foreground/background/quit state notifications → navigate đến screen tương ứng.","App gửi notification trực tiếp đến device khác qua peer-to-peer connection không cần backend","Backend gửi SMS qua Twilio API thay push notification vì SMS có delivery rate cao hơn","Request permission → FCM token → backend → FCM/APNs push → handle foreground/background/quit state → navigate","App schedule local notification bằng setTimeout trong JavaScript không cần backend hay FCM","3"
"6","App có memory leak: RAM tăng liên tục khi navigate giữa screens. Cách phát hiện và nguyên nhân phổ biến?","","React Native","Phát hiện: Flipper Memory plugin, Xcode Instruments, Android Profiler. Nguyên nhân: subscription/listener không cleanup trong useEffect, closure giữ reference, image cache unbounded.","Flipper/Instruments/Profiler để detect; nguyên nhân: subscription không cleanup, closure reference, unbounded cache","Do React Navigation giữ tất cả screens trong memory stack — chỉ cần dùng replace thay navigate","Do Hermes engine không hỗ trợ garbage collection cho closure variables","Do React Native không có memory management — phải restart app định kỳ để giải phóng RAM","1"
"7","App e-commerce cold start mất 4-5 giây trên Android. Kỹ thuật tối ưu nào giảm thời gian khởi động?","","React Native","Hermes engine (bytecode precompilation), inline requires (lazy load modules), reduce bundle size, native splash screen, defer non-critical init, ProGuard/R8 minification cho Android.","Chỉ cần enable Hermes engine là đủ — các tối ưu khác không ảnh hưởng đáng kể đến cold start","Hermes, inline requires, reduce bundle, native splash screen, defer non-critical init, ProGuard/R8","Chuyển sang Expo managed workflow vì Expo tự động tối ưu cold start cho tất cả apps","Tăng minSdkVersion lên API 30+ vì Android mới có boot time nhanh hơn tự nhiên","2"
"8","Authentication flow (login, token refresh, auto-login) cần thiết kế state management và navigation thế nào?","","React Native","Auth state trong Context/Zustand (isAuthenticated, token, user). Conditional navigation: Auth Stack vs Main Stack dựa trên auth state. Encrypted storage: react-native-keychain. Interceptor cho token refresh.","Lưu token trong AsyncStorage (plaintext) và check token mỗi lần mở app bằng useEffect","Auth state (Context/Zustand) → conditional navigation (Auth/Main Stack) → encrypted storage (Keychain) → interceptor refresh","Lưu username/password trong Redux store và gửi lại credentials mỗi API request","Dùng WebView load trang login web và bridge cookies sang React Native app","2"
"9","OTA updates (cập nhật không qua Store) có giới hạn kỹ thuật gì?","","React Native","CodePush/EAS Update push JS bundle và assets. Giới hạn: chỉ update JS/assets, KHÔNG update native code (new native module, SDK upgrade). Cần versioning strategy, rollback plan, staged rollouts.","Có thể update mọi thứ bao gồm native code, SDK version và app permissions qua OTA","Chỉ update JS bundle và assets, KHÔNG native code; cần versioning strategy, rollback plan, staged rollouts","OTA chỉ hoạt động trên Android vì Apple cấm update code ngoài App Store review","OTA thay thế hoàn toàn Store submission — không cần publish lên App Store/Play Store nữa","2"
"10","CI/CD pipeline cho React Native app cần những bước và công cụ gì?","","React Native","CI: lint + type check → Jest unit tests → Detox E2E → Fastlane/EAS Build. CD: beta (TestFlight + Firebase App Distribution) → staged rollout → production. Code signing automation.","Chỉ cần git push trigger auto-deploy lên Store — không cần test hay build riêng","CI: lint/type check → Jest → Detox E2E → Fastlane/EAS Build; CD: TestFlight/Firebase beta → staged rollout → production","CI/CD chỉ cần cho web app — mobile app build locally và upload APK/IPA thủ công","Chỉ cần Jest unit tests và manual QA — E2E testing không khả thi trên mobile","3"
