"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Trong kiểm định giả thuyết, Sai lầm loại I (Type I Error) xảy ra khi nào?","","DA Statistics","Sai lầm loại I (mức ý nghĩa alpha) là việc kết luận có sự khác biệt/tác động (bác bỏ Null) trong khi thực tế đó chỉ là sự trùng hợp ngẫu nhiên.","Bác bỏ giả thuyết không (Null Hypothesis) khi nó thực sự đúng — lỗi dương tính giả (false positive)","Chấp nhận giả thuyết không khi nó thực sự sai — lỗi âm tính giả (false negative)","Không thể thực hiện kiểm định do kích thước mẫu khảo sát quá nhỏ dưới giới hạn","Tính toán sai giá trị trung bình của mẫu dữ liệu khảo sát ban đầu","1"
"2","Kỹ thuật phân tích ""Cohort Analysis"" thường được DA sử dụng nhằm mục đích chính là gì?","","DA Statistics","Cohort Analysis chia người dùng thành các nhóm (ví dụ: nhóm đăng ký vào tháng 1, tháng 2) và theo dõi tỷ lệ quay lại của từng nhóm qua các tuần/tháng tiếp theo.","Theo dõi hành vi và mức độ giữ chân (retention) của các nhóm người dùng có chung đặc điểm khởi đầu theo thời gian — phân tích sự trung thành","Dự báo doanh thu bán hàng của doanh nghiệp trong vòng 5 năm tới dựa trên mô hình hồi quy","Tính toán độ lệch chuẩn của giá các loại cổ phiếu trên sàn giao dịch","Phân nhóm các bảng cơ sở dữ liệu quan hệ để tối ưu hóa tốc độ đọc ghi","1"
"3","Ý nghĩa của hệ số tương quan Pearson (r) nằm trong khoảng [-1, 1] thể hiện điều gì?","","DA Statistics","Pearson r đo lường mối liên hệ tuyến tính. Giá trị r &gt; 0 biểu thị tương quan thuận, r &lt; 0 biểu thị tương quan nghịch, trị tuyệt đối thể hiện mức độ chặt chẽ.","Độ mạnh và chiều của mối quan hệ tuyến tính giữa hai biến; r gần 1 hoặc -1 tương quan mạnh, r gần 0 không có tương quan tuyến tính","Tốc độ tăng trưởng doanh thu trung bình của một sản phẩm qua các năm tài chính","Xác suất mô hình dự đoán chính xác kết quả trong điều kiện thực tế","Số lượng biến độc lập tối đa có thể đưa vào mô hình hồi quy đa biến","1"
"4","Trong kiểm thử A/B (A/B Testing), tại sao việc xác định kích thước mẫu (Sample Size) trước khi chạy thử nghiệm lại cực kỳ quan trọng?","","DA Statistics","Mẫu quá nhỏ sẽ không đủ nhạy để kết luận sự khác biệt về Conversion Rate là có ý nghĩa hay chỉ là ngẫu nhiên. DA dùng công cụ tính toán Sample Size dựa trên alpha, power và MDE (Minimum Detectable Effect).","Để đảm bảo thử nghiệm có đủ lực thống kê (Statistical Power) để phát hiện ra sự khác biệt thực tế giữa hai phiên bản, tránh dừng thử nghiệm quá sớm dẫn đến kết luận sai","Để giảm thiểu chi phí thuê máy chủ chạy thử nghiệm giao diện trang web","Để đảm bảo số lượng lập trình viên viết code cho hai phiên bản là tương đương nhau","Để tự động tăng điểm Conversion Rate của phiên bản thử nghiệm lên tối đa","1"
"5","Quy tắc ngón tay cái IQR (Interquartile Range) định nghĩa một Outlier là điểm dữ liệu nằm ngoài khoảng nào?","","DA Statistics","IQR = Q3 - Q1. Bất kỳ giá trị nào nằm ngoài khoảng [Q1 - 1.5*IQR, Q3 + 1.5*IQR] được coi là outlier trong phân tích Box Plot.","Dưới Q1 - 1.5 * IQR hoặc trên Q3 + 1.5 * IQR — phương pháp xác định outlier bằng biểu đồ hộp (Box Plot)","Dưới giá trị trung bình trừ đi 1.5 lần độ lệch chuẩn hoặc trên giá trị trung bình cộng thêm 1.5 lần độ lệch chuẩn","Nằm ngoài khoảng từ giá trị nhỏ nhất (Min) đến giá trị lớn nhất (Max)","Dưới phân vị thứ 10 hoặc trên phân vị thứ 90 của toàn bộ tập dữ liệu","1"
"6","Sự khác biệt chính giữa phân phối chuẩn (Normal Distribution) và phân phối lệch (Skewed Distribution) ảnh hưởng thế nào đến việc áp dụng các kiểm định thống kê?","","DA Statistics","Các kiểm định tham số giả định dữ liệu có phân phối chuẩn. Nếu dữ liệu bị lệch nặng và không thể biến đổi (transform), việc ép dùng parametric tests sẽ cho kết quả sai lệch, bắt buộc phải chuyển sang phi tham số.","Phân phối chuẩn cho phép áp dụng các kiểm định tham số (Parametric tests như t-test, ANOVA); Phân phối lệch nặng yêu cầu dùng kiểm định phi tham số (Non-parametric tests như Mann-Whitney U)","Phân phối chuẩn chỉ áp dụng cho mẫu lớn trên 1000 phần tử; Phân phối lệch chỉ áp dụng cho mẫu nhỏ dưới 30 phần tử","Phân phối chuẩn bắt buộc phải có giá trị trung bình bằng 0; Phân phối lệch có giá trị trung bình luôn dương","Không có ảnh hưởng nào vì mọi kiểm định thống kê đều tự động điều chỉnh phân phối dữ liệu về dạng chuẩn ở runtime","1"
"7","Một chiến dịch quảng cáo hiển thị 10,000 lần (Impressions), nhận được 200 lượt nhấp chuột (Clicks) và tạo ra 10 đơn hàng (Conversions). Hãy tính CTR và CR của chiến dịch.","","DA Statistics","CTR (Click-Through Rate) = Clicks/Impressions = 200/10,000 = 2%. CR (Conversion Rate) = Conversions/Clicks = 10/200 = 5%.","CTR = 2%, CR = 5% — tính CTR dựa trên Clicks/Impressions, CR dựa trên Conversions/Clicks","CTR = 5%, CR = 2% — tính ngược công thức tỷ lệ chuyển đổi và nhấp chuột","CTR = 0.1%, CR = 2% — tính sai hệ số chia cho tổng số hiển thị","CTR = 2%, CR = 0.1% — tính CR dựa trên Conversions/Impressions","1"
"8","Khi thiết kế một Dashboard hiển thị cho ban giám đốc (Executive Dashboard), nguyên tắc lựa chọn chỉ số trực quan nào là tối ưu nhất?","","DA Statistics","Executive Dashboard cần sự trực quan nhanh, tập trung vào chỉ số chiến lược (High-level KPIs) và xu hướng chung. Chi tiết giao dịch thô sẽ làm loãng thông tin và gây nhiễu quyết định.","Chỉ hiển thị các chỉ số hiệu suất cốt lõi (KPIs) cấp cao kết hợp biểu đồ xu hướng đơn giản; hỗ trợ khả năng đi sâu (Drill-down) khi cần thiết — tránh quá tải thông tin","Đưa toàn bộ các bảng dữ liệu chi tiết thô lên màn hình chính để giám đốc kiểm tra từng giao dịch phát sinh","Sử dụng tối đa các biểu đồ 3D chuyển động và hiệu ứng màu sắc tương phản mạnh để gây ấn tượng thị giác","Chỉ cập nhật dữ liệu một cách thủ công mỗi năm một lần để đảm bảo tính ổn định của Dashboard","1"
"9","Trong thống kê, hiện tượng ""Overfitting"" của một mô hình dự báo nghĩa là gì?","","DA Statistics","Overfitting (Quá khớp) xảy ra khi mô hình quá phức tạp, ghi nhớ cả các biến động ngẫu nhiên (noise) của tập training, dẫn đến mất đi tính tổng quát hóa (generalization) khi gặp dữ liệu thực tế mới.","Mô hình hoạt động cực tốt trên tập dữ liệu huấn luyện (Training data) nhưng dự báo rất kém trên tập dữ liệu mới (Testing data) do học cả nhiễu của dữ liệu","Mô hình dự báo quá nhanh dẫn đến tràn bộ nhớ RAM của hệ thống máy chủ","Mô hình sử dụng quá nhiều biến độc lập dẫn đến kết quả luôn bằng 0","Mô hình chỉ dự báo được các giá trị âm trong khi thực tế dữ liệu luôn dương","1"
"10","Chỉ số ""Churn Rate"" (Tỷ lệ khách hàng rời bỏ) của một dịch vụ phần mềm trả phí định kỳ (SaaS) được tính thế nào trong một tháng?","","DA Statistics","Churn Rate đo lường tỷ lệ khách hàng ngưng sử dụng dịch vụ trên tổng số khách hàng hiện có tại thời điểm bắt đầu chu kỳ đánh giá.","(Số khách hàng hủy dịch vụ trong tháng / Tổng số khách hàng hoạt động ở đầu tháng) * 100% — đo lường sự mất mát khách hàng","(Số khách hàng mới đăng ký trong tháng / Tổng số khách hàng cũ) * 100% — tính tỷ lệ tăng trưởng khách hàng","(Doanh thu bị mất đi trong tháng / Tổng doanh thu thu được trong tháng) * 100% — tính tỷ lệ giảm sút doanh thu","(Số lượng nhân viên chăm sóc khách hàng xin nghỉ việc / Tổng số nhân sự công ty) * 100% — tính churn rate nhân sự","1"
