"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Trong kiểm thử A/B, bạn nhận thấy phiên bản B có Conversion Rate tăng 10% so với phiên bản A với giá trị P-value = 0.08. Với mức ý nghĩa alpha = 0.05 tiêu chuẩn, DA kết luận thế nào?","","DA Statistics","Vì p-value (0.08) &gt; alpha (0.05), kết quả không đạt ý nghĩa thống kê (not statistically significant). Chúng ta thất bại trong việc bác bỏ giả thuyết Null, nghĩa là sự khác biệt chưa đủ tin cậy để khẳng định là do thay đổi thiết kế.","Chưa đủ bằng chứng thống kê để bác bỏ giả thuyết không; sự gia tăng 10% này có thể do ngẫu nhiên và không nên áp dụng phiên bản B — giữ nguyên phiên bản cũ để an toàn","Bác bỏ ngay phiên bản A và triển khai phiên bản B trên toàn hệ thống vì 10% là con số tăng trưởng rất ấn tượng thực tế","Kéo dài thời gian thử nghiệm thêm 1 ngày rồi tự động kết luận phiên bản B chiến thắng mà không cần tính lại p-value","Kết luận phiên bản B chiến thắng với độ tin cậy 95% vì p-value nhỏ hơn 0.10","1"
"2","Hiện tượng nghịch lý Simpson (Simpson's Paradox) trong phân tích dữ liệu xảy ra khi nào?","","DA Statistics","Simpson's Paradox xảy ra khi gộp dữ liệu bỏ qua trọng số hoặc tỷ lệ phân bổ của các nhóm thành phần, dẫn đến việc rút ra kết luận sai lệch nghiêm trọng nếu không phân tích phân tầng (stratified analysis).","Một xu hướng xuất hiện trong các nhóm dữ liệu nhỏ biến mất hoặc đảo ngược hoàn toàn khi các nhóm được gộp chung lại với nhau — do ảnh hưởng của biến ẩn (lurking variable)","Hệ số tương quan giữa hai biến số thay đổi từ dương sang âm khi kích thước mẫu tăng lên gấp đôi","Mô hình hồi quy tuyến tính dự báo kết quả hoàn toàn trái ngược với thực tế do dữ liệu bị khuyết thiếu quá nhiều","Hai biểu đồ trực quan hóa hiển thị hai kết quả khác nhau do sử dụng hai loại thang đo khác nhau","1"
"3","Để kiểm tra xem sự khác biệt về doanh thu trung bình giữa 4 nhóm khách hàng khác nhau có ý nghĩa thống kê hay không, DA nên sử dụng phương pháp kiểm định nào?","","DA Statistics","ANOVA (Analysis of Variance) so sánh phương sai giữa các nhóm và nội bộ nhóm để đánh giá xem sự khác biệt trung bình giữa 3 nhóm trở lên có ý nghĩa hay không.","Phân tích phương sai một chiều (One-Way ANOVA) — so sánh giá trị trung bình của nhiều hơn 2 nhóm dữ liệu phân phối chuẩn","Kiểm định T-test độc lập (Independent T-test) — chỉ giới hạn so sánh tối đa giữa 2 nhóm dữ liệu","Kiểm định Chi-square độc lập (Chi-square test of independence) — dùng so sánh mối quan hệ giữa các biến định tính (categorical)","Hồi quy tuyến tính đơn biến (Simple Linear Regression) — dùng để mô hình hóa mối quan hệ nhân quả","1"
"4","Trong thiết kế Dashboard, lỗi ""Data Ink Ratio"" thấp (theo lý thuyết của Edward Tufte) nghĩa là gì và cách khắc phục?","","DA Statistics","Data-Ink Ratio = (Lượng mực dùng cho dữ liệu / Tổng lượng mực dùng cho biểu đồ). Tỷ lệ này càng cao càng tốt, nghĩa là Dashboard tối giản, tập trung truyền tải thông tin hiệu quả nhất.","Dashboard chứa quá nhiều chi tiết trang trí thừa, lưới dòng chằng chịt, hoặc màu nền đậm mà không chứa dữ liệu thực tế. Khắc phục: Loại bỏ tối đa các yếu tố không chứa thông tin (chartjunk) để làm nổi bật dữ liệu"," Dashboard sử dụng quá ít màu mực/màu sắc dẫn đến giao diện bị đơn điệu khó nhìn. Khắc phục: Thêm nhiều hiệu ứng đổ bóng và hình nền 3D","Kích thước font chữ của các con số chỉ số quá nhỏ so với kích thước khung hình biểu đồ. Khắc phục: Tăng cỡ chữ lên gấp đôi","Dữ liệu hiển thị bị lỗi font tiếng Việt khi xuất báo cáo sang định dạng PDF. Khắc phục: Cài đặt thêm font chữ Unicode","1"
"5","Trong phân tích hồi quy tuyến tính, hiện tượng Đa cộng tuyến (Multicollinearity) xảy ra khi nào và gây ảnh hưởng gì?","","DA Statistics","Đa cộng tuyến nghĩa là các biến giải thích chứa thông tin trùng lặp nhau. Nó làm cho việc ước lượng tác động riêng rẽ của từng biến lên biến phụ thuộc trở nên không chính xác (Standard errors của hệ số hồi quy bị thổi phồng).","Khi các biến độc lập trong mô hình có mối quan hệ tương quan mạnh với nhau; làm sai lệch hệ số hồi quy và giảm độ tin cậy của việc đánh giá tác động từng biến số","Khi biến phụ thuộc có mối quan hệ phi tuyến tính với các biến độc lập; làm giảm độ chính xác dự báo của mô hình","Khi dữ liệu đầu vào chứa quá nhiều outliers ở các biến định lượng; làm mô hình bị overfitting","Khi mô hình chạy quá lâu trên máy chủ do lượng dữ liệu đầu vào vượt quá dung lượng bộ nhớ RAM","1"
"6","Khi xử lý dữ liệu bị khuyết thiếu (Missing Data) chiếm khoảng 15% tổng số dòng trong tập dữ liệu phân tích, phương pháp ""Mean Imputation"" (điền bằng giá trị trung bình) có rủi ro gì lớn nhất?","","DA Statistics","Mean Imputation chèn cùng một giá trị trung bình vào nhiều dòng, làm cho phân phối dữ liệu bị bó hẹp xung quanh trung bình, giảm phương sai thực tế và bóp méo mối quan hệ tương quan với các biến khác.","Làm giảm phương sai (variance) của tập dữ liệu một cách nhân tạo và làm thu hẹp khoảng tin cậy, gây sai lệch các kiểm định thống kê tiếp theo","Làm tăng kích thước file dữ liệu lên gấp đôi gây quá tải bộ nhớ lưu trữ","Làm thay đổi kiểu dữ liệu của cột từ kiểu số thực sang kiểu số nguyên","Làm xuất hiện thêm nhiều giá trị trùng lặp hoàn toàn (duplications) trong cơ sở dữ liệu","1"
"7","Tại sao trong kiểm thử A/B, việc lén lút kiểm tra kết quả liên tục trong quá trình chạy (hiện tượng ""Peeking"") và dừng thử nghiệm ngay khi p-value đạt &lt; 0.05 lại là một sai lầm nghiêm trọng?","","DA Statistics","Nếu peek liên tục và dừng khi thấy p &lt; 0.05, ta đang chọn lọc thời điểm biến động ngẫu nhiên để kết luận. Tỷ lệ dương tính giả thực tế sẽ tăng vọt từ 5% lên 20-30%. Đúng: chạy đủ Sample Size định trước rồi mới tính p-value.","Vì Peeking làm tăng đáng kể tỷ lệ Sai lầm loại I (Dương tính giả) do kiểm định lặp lại nhiều lần trên dữ liệu chưa đủ mẫu (Multiple Comparisons problem)","Vì Peeking làm chậm tốc độ tải trang của hệ thống đang chạy thử nghiệm trực tiếp trên môi trường Production","Vì Peeking vi phạm bản quyền thuật toán của các công cụ kiểm thử A/B thương mại chuyên nghiệp","Vì Peeking bắt buộc phải sử dụng tài khoản quản trị tối cao của cơ sở dữ liệu mới thực hiện được","1"
"8","Trong thống kê, định lý giới hạn trung tâm (Central Limit Theorem) phát biểu điều gì và có ứng dụng thực tế quan trọng nào cho DA?","","DA Statistics","Định lý giới hạn trung tâm là nền tảng của thống kê suy diễn. Nó cho phép DA tự tin áp dụng các công thức tính khoảng tin cậy và kiểm định trung bình (như z-test, t-test) trên mẫu lớn mà không cần quan tâm quần thể gốc có phân phối chuẩn hay không.","Khi kích thước mẫu đủ lớn (n &gt;= 30), phân phối của các giá trị trung bình mẫu sẽ xấp xỉ phân phối chuẩn, bất kể phân phối của quần thể ban đầu là gì; cho phép áp dụng các kiểm định tham số (t-test)","Tất cả các tập dữ liệu thực tế đều tự động chuyển về phân phối chuẩn khi kích thước mẫu đạt 1000 phần tử","Giá trị trung bình của quần thể luôn bằng giá trị trung vị của mẫu khảo sát ngẫu nhiên","Độ lệch chuẩn của mẫu sẽ bằng độ lệch chuẩn của quần thể nhân với căn bậc hai của kích thước mẫu","1"
"9","Sự khác biệt chính giữa mô hình hồi quy Lasso (L1) và hồi quy Ridge (L2) trong việc kiểm soát hiện tượng đa cộng tuyến và overfitting là gì?","","DA Statistics","Lasso dùng hình phạt trị tuyệt đối (L1 penalty) có xu hướng tạo ra nghiệm thưa (sparse solutions), triệt tiêu các biến tương quan/yếu về 0. Ridge dùng hình phạt bình phương (L2 penalty) giữ lại tất cả các biến nhưng thu nhỏ hệ số để giảm variance.","Lasso có thể triệt tiêu hoàn toàn hệ số hồi quy của các biến không quan trọng về bằng 0 (thực hiện chọn lọc biến); Ridge chỉ thu nhỏ hệ số về gần 0 chứ không triệt tiêu","Lasso chỉ áp dụng cho hồi quy logistics; Ridge chỉ áp dụng cho hồi quy tuyến tính đơn biến","Lasso làm tăng số lượng biến độc lập trong mô hình; Ridge làm giảm số lượng biến độc lập","Lasso có hiệu năng tính toán chậm hơn Ridge gấp nhiều lần khi số lượng quan sát tăng","1"
"10","Khi đo lường hiệu quả giữ chân người dùng (Retention Rate) bằng Cohort Analysis, đường cong retention (Retention Curve) dốc xuống rất nhanh ở các ngày đầu rồi đi ngang ổn định (flatten) biểu thị điều gì?","","DA Statistics","Đường cong phẳng ở cuối chứng tỏ sản phẩm giữ chân được một lượng người dùng trung thành ổn định lâu dài (lớp nền). Độ dốc ban đầu phản ánh trải nghiệm ngày đầu (Day 1/Day 7) cần được tối ưu hóa.","Sản phẩm đạt mức Product-Market Fit (phù hợp thị trường) cho nhóm người dùng còn lại; giai đoạn đầu rụng nhiều do onboarding kém hoặc định vị sai đối tượng","Hệ thống đang gặp sự cố nghiêm trọng về đường truyền mạng trong các ngày đầu tiên người dùng đăng nhập","Mô hình kinh doanh của sản phẩm đang bị lỗ vốn và cần tăng giá dịch vụ ngay lập tức","Toàn bộ người dùng đã rời bỏ ứng dụng và Dashboard đang hiển thị sai số liệu thống kê","1"
