"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Chat app 10K concurrent users: message broadcast architecture nào scale?","","WebSocket","Redis Pub/Sub hoặc message broker (Kafka/RabbitMQ) broadcast across multiple WS servers. Mỗi server subscribe channel → forward to connected clients. Horizontal scale: thêm server + LB.","Redis Pub/Sub broadcast cross-server; mỗi server subscribe → forward to clients; horizontal scale thêm server","1 server handle 10K connections — modern hardware đủ mạnh không cần scale","Polling REST API mỗi 100ms — đơn giản hơn WebSocket cho chat","Client-to-client P2P direct — không cần server middleware","1"
"2","WebSocket connection drop detection: client-side heartbeat interval optimal nào?","","WebSocket","Heartbeat interval phụ thuộc use case: chat 30-60s, gaming 1-5s, IoT 60-120s. Too frequent: overhead bandwidth/CPU. Too infrequent: slow detection. Missed 2-3 consecutive pings → reconnect.","1ms interval cho tất cả use cases — faster detection luôn tốt hơn","Phụ thuộc use case: chat 30-60s, gaming 1-5s; missed 2-3 pings → reconnect","10 phút interval — reduce overhead tối đa","Không cần heartbeat — TCP keepalive đủ detect broken connections","2"
"3","Real-time collaborative editing (Google Docs): conflict resolution khi 2 users edit cùng vị trí?","","WebSocket","Operational Transformation (OT) hoặc CRDT (Conflict-free Replicated Data Types): transform concurrent operations để converge. WebSocket broadcast changes real-time. Cursor position tracking per user.","Last-write-wins — user cuối cùng edit giữ changes, user trước bị overwrite","Merge conflicts manual — hiện dialog cho users resolve giống Git merge","Lock document khi user đang edit — chỉ 1 user edit tại 1 thời điểm","OT hoặc CRDT transform concurrent operations converge; WebSocket broadcast changes; cursor tracking per user","4"
"4","WebSocket rate limiting per connection: throttle message frequency thế nào?","","WebSocket","Server-side: count messages per connection per time window → exceed threshold → warning → disconnect. Token bucket per connection. Client-side: debounce/throttle sends. Prevent spam/abuse.","Count messages per connection/window → exceed → warn → disconnect; Token bucket; client debounce/throttle","Không cần rate limiting — WebSocket connection trusted vì đã authenticated","Rate limit tại network/firewall level — application không cần handle","Client-side only throttle — server trust client implementation","1"
"5","WebSocket message ordering: guaranteed hay best-effort?","","WebSocket","TCP guarantees IN-ORDER delivery cho single connection. WebSocket qua TCP → messages arrive in order. Nhưng: multi-server broadcast → ordering across servers không guaranteed → cần sequence numbers.","WebSocket không guarantee ordering — messages có thể arrive out of order","UDP-based WebSocket variant guarantee ordering — better than TCP","TCP guarantees in-order single connection; multi-server cần sequence numbers cho cross-server ordering","WebSocket reorder messages automatically — không cần application-level handling","3"
"6","Live trading dashboard: thousands of price updates per second. WebSocket optimization nào?","","WebSocket","Batch updates (aggregate changes, send every 100ms instead of per-tick). Binary protocol (Protocol Buffers/MessagePack — smaller than JSON). Delta updates (chỉ gửi changed fields). Debounce UI renders.","Cache tất cả prices client-side — chỉ fetch khi user request","Batch updates + binary protocol (protobuf) + delta updates + debounce UI renders","Polling REST API mỗi 1 giây — đủ cho trading dashboard","Gửi mỗi price update individually as JSON text — real-time accuracy quan trọng hơn","2"
"7","WebSocket behind corporate proxy/firewall thường bị block. Workaround nào?","","WebSocket","wss:// (port 443) thường pass qua vì giống HTTPS traffic. Fallback to long polling (Socket.IO auto-fallback). Proxy configuration: HTTP CONNECT method. WebSocket over HTTP tunneling.","Không có workaround — corporate firewall block WebSocket hoàn toàn","wss:// port 443 pass firewall; fallback long polling; HTTP CONNECT tunneling","VPN tunnel — route tất cả traffic bypass firewall","Dùng custom TCP port — firewall chỉ block standard ports","2"
"8","Microservices event-driven: WebSocket + message broker (Kafka). Architecture nào?","","WebSocket","Backend services publish events → Kafka → WS Gateway subscribe relevant topics → push to connected clients. Decouple: services không biết về WS clients. Scale: multiple WS Gateways.","WS Gateway poll Kafka mỗi 5 giây — batch deliver to clients","Services push trực tiếp tới WS clients — không cần message broker middleware","Kafka replace WebSocket hoàn toàn — clients consume Kafka directly","Services → Kafka events → WS Gateway subscribe → push to clients; decouple services từ WS clients","4"
"9","WebSocket memory leak: connection not properly closed. Debug và prevent thế nào?","","WebSocket","Server-side: track active connections (Map), implement onClose cleanup, heartbeat timeout → force close stale connections. Client-side: addEventListener close/error → cleanup. Monitor connection count metrics.","Track connections, onClose cleanup, heartbeat timeout force close stale, monitor connection count metrics","Memory leaks không xảy ra với WebSocket — TCP handles cleanup automatically","Restart server mỗi 24 giờ — clear all leaked connections","Increase server memory — accommodate leaked connections","1"
"10","WebSocket testing: load test thousands of concurrent connections. Tools và methodology nào?","","WebSocket","Tools: Artillery, k6, Gatling (WS support). Methodology: ramp up connections gradually, simulate realistic message patterns (send/receive frequency), measure: connection time, message latency, error rate, memory.","Manual testing với browser tabs — open 1000 tabs simultaneously","Unit test WebSocket handler functions — integration testing không cần","Artillery/k6/Gatling; ramp up gradually, realistic patterns, measure latency/errors/memory","Postman collection runner — send WebSocket requests sequentially","3"
