"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Lớp (Class) trong OOP đóng vai trò gì và khác đối tượng (Object) ở điểm nào?","","OOP","Lớp là bản thiết kế (blueprint) định nghĩa thuộc tính và phương thức. Object là thực thể cụ thể được tạo từ lớp (instance). Một lớp có thể tạo nhiều object với trạng thái khác nhau.","Lớp là instance cụ thể trong bộ nhớ; Object là bản thiết kế định nghĩa thuộc tính và phương thức","Lớp là bản thiết kế định nghĩa thuộc tính/phương thức; Object là thực thể cụ thể được tạo từ lớp","Lớp là tập hợp các hàm tĩnh; Object là biến lưu trữ giá trị primitive trong bộ nhớ","Lớp chỉ chứa phương thức không có thuộc tính; Object chỉ chứa thuộc tính không có phương thức","2"
"2","Tính đóng gói (Encapsulation) bảo vệ dữ liệu bằng cơ chế nào?","","OOP","Encapsulation che giấu dữ liệu bên trong object (private fields) và kiểm soát truy cập thông qua phương thức công khai (getter/setter có logic validate). Ngăn truy cập trực tiếp và thay đổi không kiểm soát.","Mã hóa dữ liệu bằng thuật toán encryption trước khi lưu vào thuộc tính của object","Chia chương trình thành các module file riêng biệt để isolate namespace và tránh xung đột","Che giấu dữ liệu (private) và kiểm soát truy cập qua phương thức công khai có logic validate","Biên dịch source code thành bytecode để người dùng không thể đọc chi tiết triển khai","3"
"3","Tính kế thừa (Inheritance) mang lại lợi ích gì cho thiết kế phần mềm?","","OOP","Kế thừa cho phép lớp con thừa hưởng thuộc tính/phương thức từ lớp cha, tái sử dụng code, và mở rộng chức năng. Tạo mối quan hệ is-a giữa lớp con và lớp cha.","Cho phép một đối tượng thay đổi kiểu dữ liệu tại runtime bằng cách cast sang class khác","Cho phép lớp con thừa hưởng thuộc tính/phương thức từ lớp cha, tái sử dụng code và mở rộng chức năng","Cho phép một hàm gọi lại chính nó với đầu vào nhỏ hơn cho đến khi đạt điều kiện dừng","Cho phép nhiều thread truy cập cùng một object đồng thời mà không gây race condition","2"
"4","Tính đa hình (Polymorphism) thể hiện qua hai cơ chế nào?","","OOP","Đa hình qua Overloading (compile-time): cùng tên phương thức, khác tham số trong cùng lớp. Overriding (runtime): lớp con định nghĩa lại phương thức lớp cha. Cùng interface, khác hành vi.","Qua Encapsulation (ẩn dữ liệu) và Abstraction (ẩn chi tiết triển khai) — hai mặt của cùng khái niệm","Qua Composition (chứa object khác) và Aggregation (tham chiếu object khác) — hai loại quan hệ has-a","Qua Overloading (cùng tên khác tham số, compile-time) và Overriding (lớp con ghi đè, runtime)","Qua Inheritance (kế thừa lớp cha) và Implementation (triển khai interface) — hai cách tái sử dụng","3"
"5","Constructor trong OOP được gọi ở thời điểm nào và có đặc điểm gì?","","OOP","Constructor là phương thức đặc biệt tự động gọi khi tạo object (new ClassName()). Dùng để khởi tạo giá trị ban đầu. Tên trùng với tên lớp, không có kiểu trả về.","Được gọi thủ công bằng object.constructor() sau khi object đã tạo xong để reset giá trị","Tự động gọi khi tạo object mới (new), khởi tạo giá trị ban đầu, tên trùng tên lớp, không có kiểu trả về","Tự động gọi khi object bị garbage collected để giải phóng tài nguyên trước khi xóa","Được gọi mỗi khi gọi bất kỳ phương thức nào trên object để validate trạng thái hiện tại","2"
"6","Tính trừu tượng (Abstraction) khác tính đóng gói (Encapsulation) ở góc nhìn nào?","","OOP","Abstraction ẩn chi tiết triển khai phức tạp, chỉ hiển thị chức năng cần thiết (what, không phải how). Encapsulation ẩn dữ liệu nội bộ và kiểm soát truy cập. Abstraction ở level thiết kế, Encapsulation ở level implementation.","Abstraction ẩn chi tiết triển khai (what not how); Encapsulation ẩn dữ liệu và kiểm soát truy cập","Encapsulation ẩn chi tiết triển khai (what not how); Abstraction ẩn dữ liệu và kiểm soát truy cập","Abstraction và Encapsulation là hai tên gọi khác nhau của cùng một khái niệm trong OOP","Abstraction chỉ dùng trong Abstract Class; Encapsulation chỉ dùng với access modifiers","1"
"7","Mối quan hệ giữa Lớp và Đối tượng thể hiện qua đặc điểm nào?","","OOP","Lớp là template/blueprint, không tồn tại trong bộ nhớ runtime. Object là instance cụ thể trong bộ nhớ. Từ một lớp tạo nhiều objects với trạng thái riêng nhưng cùng cấu trúc.","Mỗi lớp chỉ tạo được đúng một đối tượng duy nhất trong suốt vòng đời chương trình","Đối tượng là template để tạo lớp — trước tạo object rồi mới extract thành class definition","Object là instance cụ thể trong bộ nhớ; Lớp là instance trừu tượng chỉ tồn tại lúc compile time","Từ một lớp tạo nhiều objects với trạng thái riêng — lớp là blueprint, object là instance cụ thể","4"
"8","Bốn tính chất cơ bản (pillars) của OOP là gì?","","OOP","Đóng gói (Encapsulation), Kế thừa (Inheritance), Đa hình (Polymorphism), Trừu tượng (Abstraction). Đây là 4 trụ cột nền tảng của lập trình hướng đối tượng.","Đóng gói — Kế thừa — Đa hình — Trừu tượng (Encapsulation — Inheritance — Polymorphism — Abstraction)","Tuần tự — Song song — Phân tán — Đệ quy (Sequential — Parallel — Distributed — Recursive)","Nhập — Xử lý — Xuất — Lưu trữ (Input — Processing — Output — Storage)","Biên dịch — Thông dịch — Liên kết — Thực thi (Compile — Interpret — Link — Execute)","1"
"9","Garbage Collection giải quyết vấn đề gì trong quản lý bộ nhớ OOP?","","OOP","GC tự động thu hồi bộ nhớ của objects không còn được tham chiếu (unreachable). Ngăn memory leak. Chạy ở background, không xác định chính xác thời điểm thu hồi (non-deterministic).","Tự động thu hồi bộ nhớ objects không còn tham chiếu, ngăn memory leak — chạy non-deterministic","Xóa source code không sử dụng (dead code) khỏi codebase tại thời điểm compile","Nén file chương trình để giảm dung lượng ổ đĩa khi deploy lên production server","Sao lưu dữ liệu chương trình tự động vào backup storage theo lịch định kỳ","1"
"10","Phương thức tĩnh (static method) khác phương thức thường (instance method) ở điểm nào?","","OOP","Static method thuộc về lớp, gọi mà không cần tạo object (ClassName.method()). Không truy cập được instance variables/methods. Instance method thuộc về object, truy cập được this/self.","Static method thuộc lớp, gọi không cần object, không truy cập instance data; Instance method thuộc object, truy cập this","Static method chạy nhanh hơn instance method vì không cần allocate memory cho object","Instance method thuộc lớp, gọi không cần object; Static method thuộc object, truy cập this/self","Static method và instance method khác nhau ở kiểu trả về — static trả void, instance trả object","1"
