"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Trong HTML, thẻ (tag) được bao quanh bởi ký tự nào và có chức năng gì?","","HTML","Thẻ HTML là các từ khoá trong dấu ngoặc nhọn &lt; &gt; dùng để định nghĩa cấu trúc và nội dung trang web. Ví dụ: &lt;p&gt;, &lt;div&gt;, &lt;h1&gt;.","Từ khoá trong dấu ngoặc vuông [] dùng để định nghĩa kiểu dữ liệu JavaScript","Từ khoá trong dấu ngoặc nhọn &lt; &gt; dùng để định nghĩa cấu trúc trang web","Từ khoá trong dấu ngoặc tròn () dùng để khai báo biến CSS","Từ khoá trong dấu ngoặc nhọn {} dùng để tạo khối lệnh JavaScript","2"
"2","Thuộc tính id và class trong HTML khác nhau về quy tắc sử dụng như thế nào?","","HTML","id phải duy nhất trong trang (chỉ một phần tử có id đó). class có thể dùng cho nhiều phần tử và một phần tử có thể có nhiều class.","id có thể dùng lặp lại cho nhiều phần tử; class phải duy nhất trong trang","id phải duy nhất trong trang; class có thể dùng lặp lại cho nhiều phần tử","id chỉ dùng trong thẻ &lt;div&gt;; class chỉ dùng trong thẻ &lt;span&gt;","id dùng để liên kết CSS; class dùng để liên kết JavaScript, không thể dùng ngược lại","2"
"3","Các thẻ semantic trong HTML5 như &lt;header&gt;, &lt;nav&gt;, &lt;article&gt;, &lt;footer&gt; mang lại lợi ích gì so với dùng &lt;div&gt; cho mọi thứ?","","HTML","Semantic elements giúp trình duyệt, screen reader và search engine hiểu ý nghĩa cấu trúc trang. &lt;div&gt; không mang ý nghĩa ngữ nghĩa nào.","Giúp trình duyệt render nhanh hơn vì semantic tags nhẹ hơn &lt;div&gt; về mặt DOM","Giúp trình duyệt, screen reader và search engine hiểu cấu trúc ngữ nghĩa của trang","Cho phép áp dụng CSS mà không cần class hoặc id selector","Giúp JavaScript truy xuất phần tử nhanh hơn so với querySelector trên &lt;div&gt;","2"
"4","Phần tử block-level và inline-level trong HTML khác nhau ở đặc điểm layout nào?","","HTML","Block: chiếm toàn bộ chiều rộng, xuống dòng mới, nhận width/height (div, p, h1). Inline: chỉ chiếm phần cần thiết, không xuống dòng, không nhận width/height (span, a, strong).","Block chiếm toàn bộ chiều rộng và xuống dòng mới; Inline chỉ chiếm phần cần thiết và nằm cùng dòng","Inline chiếm toàn bộ chiều rộng và xuống dòng mới; Block chỉ chiếm phần cần thiết và nằm cùng dòng","Block và Inline đều chiếm toàn bộ chiều rộng nhưng Block nhận width/height còn Inline thì không","Block nằm cùng dòng và nhận width/height; Inline xuống dòng mới nhưng không nhận width/height","1"
"5","Thẻ &lt;head&gt; và thẻ &lt;body&gt; trong cấu trúc HTML có vai trò gì?","","HTML","&lt;head&gt; chứa metadata (title, meta, link CSS, script) không hiển thị trực tiếp trên trang. &lt;body&gt; chứa toàn bộ nội dung hiển thị cho người dùng.","&lt;head&gt; chứa nội dung hiển thị chính; &lt;body&gt; chứa metadata và liên kết tài nguyên","&lt;head&gt; chứa metadata và liên kết tài nguyên không hiển thị; &lt;body&gt; chứa nội dung hiển thị","&lt;head&gt; và &lt;body&gt; đều chứa nội dung hiển thị nhưng &lt;head&gt; render trước &lt;body&gt;","&lt;head&gt; chỉ chứa thẻ &lt;title&gt;; &lt;body&gt; chứa cả CSS, JavaScript và nội dung hiển thị","2"
"6","Có mấy cách chính để thêm CSS vào trang HTML và chúng khác nhau thế nào?","","HTML","3 cách: Inline CSS (thuộc tính style trên phần tử), Internal CSS (thẻ &lt;style&gt; trong &lt;head&gt;), External CSS (file .css liên kết bằng thẻ &lt;link&gt;).","2 cách: Inline CSS qua thuộc tính style và External CSS qua thẻ &lt;link&gt;","4 cách: Inline CSS, Internal CSS, External CSS và Embedded CSS qua thẻ &lt;script&gt;","3 cách: Inline CSS qua thuộc tính style, Internal CSS qua thẻ &lt;style&gt;, External CSS qua thẻ &lt;link&gt;","3 cách: Import CSS qua @import, Module CSS qua &lt;script&gt;, Dynamic CSS qua JavaScript","3"
"7","Thẻ &lt;form&gt; trong HTML có chức năng gì và hoạt động dựa trên thuộc tính nào?","","HTML","&lt;form&gt; tạo giao diện thu thập dữ liệu từ người dùng và gửi đến server. Hoạt động dựa trên thuộc tính action (URL đích) và method (GET/POST).","Thu thập dữ liệu người dùng qua các input và gửi đến server qua action/method","Hiển thị dữ liệu từ server dưới dạng bảng thông qua thuộc tính src và type","Tạo layout responsive cho trang web thông qua thuộc tính display và flex","Liên kết tài nguyên bên ngoài như CSS và JavaScript qua thuộc tính href và src","1"
"8","Developer nên đặt thẻ &lt;script&gt; ở đâu trong HTML và tại sao?","","HTML","Nên đặt cuối &lt;body&gt; hoặc dùng thuộc tính defer/async. JavaScript chặn parsing HTML (render-blocking), đặt cuối body cho phép HTML tải xong trước khi script chạy.","Đặt trong &lt;head&gt; không cần defer vì trình duyệt tự tối ưu thứ tự tải","Đặt cuối &lt;body&gt; hoặc dùng defer/async để không chặn parsing HTML","Đặt bên trong thẻ &lt;style&gt; để đảm bảo CSS load trước JavaScript","Đặt ngay sau thẻ &lt;!DOCTYPE&gt; để JavaScript chạy sớm nhất có thể","2"
"9","Thẻ &lt;strong&gt; và thẻ &lt;b&gt; trong HTML đều hiển thị chữ in đậm. Chúng khác nhau ở điểm nào?","","HTML","&lt;strong&gt; mang ý nghĩa ngữ nghĩa — nhấn mạnh nội dung quan trọng, screen reader sẽ đọc với ngữ điệu mạnh hơn. &lt;b&gt; chỉ in đậm hình thức, không có ý nghĩa ngữ nghĩa.","&lt;strong&gt; mang ý nghĩa ngữ nghĩa nhấn mạnh quan trọng; &lt;b&gt; chỉ in đậm hình thức không có ngữ nghĩa","&lt;b&gt; mang ý nghĩa ngữ nghĩa nhấn mạnh quan trọng; &lt;strong&gt; chỉ in đậm hình thức không có ngữ nghĩa","&lt;strong&gt; dùng cho heading và paragraph; &lt;b&gt; chỉ dùng được trong thẻ &lt;span&gt;","&lt;strong&gt; tự động tăng font-size lên 120%; &lt;b&gt; giữ nguyên font-size chỉ thay đổi font-weight","1"
"10","Thuộc tính display: none và visibility: hidden đều ẩn phần tử. Khác biệt cốt lõi về layout là gì?","","HTML","display: none loại bỏ hoàn toàn phần tử khỏi luồng layout (không chiếm không gian). visibility: hidden ẩn phần tử nhưng vẫn giữ nguyên không gian trong layout.","display: none ẩn phần tử nhưng vẫn chiếm không gian; visibility: hidden loại bỏ khỏi layout","display: none loại bỏ phần tử khỏi DOM; visibility: hidden chỉ đổi opacity thành 0","display: none loại bỏ khỏi layout và không chiếm không gian; visibility: hidden ẩn nhưng vẫn chiếm không gian","display: none và visibility: hidden đều loại bỏ phần tử khỏi layout nhưng khác ở animation","3"
