"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Sự khác biệt giữa toán tử == và === trong JavaScript là gì?","","JavaScript","== so sánh giá trị có ép kiểu (type coercion). === so sánh cả giá trị và kiểu dữ liệu (strict equality), không ép kiểu.","== so sánh kiểu; === so sánh giá trị","Cả hai đều giống nhau","== so sánh giá trị có ép kiểu; === so sánh cả giá trị và kiểu dữ liệu","=== chỉ dùng cho số","3"
"2","Hoisting trong JavaScript là gì?","","JavaScript","Hoisting là cơ chế JavaScript di chuyển khai báo biến (var) và hàm lên đầu scope trước khi thực thi. var được hoisting nhưng giá trị undefined, let/const ở Temporal Dead Zone.","Cơ chế tự động sửa lỗi cú pháp","Cơ chế nén mã nguồn","Cơ chế di chuyển khai báo biến và hàm lên đầu scope trước khi thực thi","Cơ chế tải module bất đồng bộ","3"
"3","Sự khác biệt giữa var, let và const là gì?","","JavaScript","var: function-scoped, hoisted. let: block-scoped, không hoisted (TDZ), có thể gán lại. const: block-scoped, không hoisted (TDZ), không thể gán lại (nhưng object/array bên trong vẫn thay đổi được).","Cả ba đều giống nhau","var: function-scoped hoisted; let: block-scoped gán lại được; const: block-scoped không gán lại được","const không dùng được cho object","let và const là một","2"
"4","DOM (Document Object Model) là gì?","","JavaScript","DOM là giao diện lập trình (API) biểu diễn trang HTML dưới dạng cây các node/object, cho phép JavaScript truy cập và thao tác nội dung, cấu trúc, style của trang.","Một ngôn ngữ lập trình","Giao diện lập trình biểu diễn trang HTML dưới dạng cây node, cho phép JS thao tác trang","Một cơ sở dữ liệu trên trình duyệt","Một thư viện CSS","2"
"5","Arrow function trong JavaScript là gì?","","JavaScript","Arrow function (=>) là cú pháp viết hàm ngắn gọn trong ES6. Không có this riêng (kế thừa từ lexical scope), không có arguments object, không thể dùng làm constructor.","Một kiểu dữ liệu đặc biệt","Một hàm bất đồng bộ","Một hàm chỉ dùng cho mảng","Cú pháp hàm ngắn gọn ES6, không có this riêng, kế thừa this từ scope bên ngoài","4"
"6","Callback trong JavaScript là gì?","","JavaScript","Callback là một hàm được truyền vào hàm khác như tham số và được gọi lại (called back) sau khi một tác vụ hoàn thành, thường dùng trong xử lý bất đồng bộ.","Một hàm được truyền như tham số và được gọi lại sau khi tác vụ hoàn thành","Một hàm tự gọi chính nó","Một biến lưu trữ kết quả hàm","Một lỗi JavaScript","1"
"7","Promise trong JavaScript là gì?","","JavaScript","Promise đại diện cho một giá trị chưa biết tại thời điểm tạo nhưng sẽ có trong tương lai. Có 3 trạng thái: pending (chờ), fulfilled (thành công), rejected (thất bại).","Một biến toàn cục","Một cú pháp khai báo biến","Một kiểu vòng lặp","Đối tượng đại diện cho giá trị bất đồng bộ với 3 trạng thái: pending, fulfilled, rejected","4"
"8","Thuộc tính NaN trong JavaScript là gì?","","JavaScript","NaN (Not a Number) là giá trị đặc biệt biểu thị kết quả không phải số. Đặc biệt: NaN !== NaN (true), kiểm tra bằng isNaN() hoặc Number.isNaN().","Giá trị đặc biệt biểu thị kết quả không phải số, NaN !== NaN là true","Một kiểu dữ liệu mới","Một lỗi cú pháp","Viết tắt của 'No available number'","1"
"9","Tham số còn lại (Rest parameter) trong JavaScript dùng để làm gì?","","JavaScript","Rest parameter (...args) gom tất cả đối số còn lại thành một mảng. Phải là tham số cuối cùng trong danh sách tham số. Khác spread operator về ngữ cảnh sử dụng.","Dừng thực thi hàm","Gom tất cả đối số còn lại thành một mảng trong khai báo hàm","Xóa phần tử cuối mảng","Tạo bản sao đối tượng","2"
"10","Scope trong JavaScript là gì?","","JavaScript","Scope xác định phạm vi truy cập biến. Global scope: truy cập mọi nơi. Function scope: trong hàm. Block scope: trong {} (let/const). Scope chain: tìm biến từ trong ra ngoài.","Phạm vi truy cập biến: Global scope, Function scope, Block scope","Một kiểu dữ liệu","Một phương thức của mảng","Một thuộc tính của DOM","1"
