"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","ArrayList và LinkedList trong Java khác nhau ở hiệu suất truy cập và chèn/xoá ra sao?","","Java","ArrayList: truy cập O(1) qua index (random access), chèn/xoá O(n) vì phải shift elements. LinkedList: chèn/xoá O(1) ở đầu/cuối, truy cập O(n) phải duyệt tuần tự.","ArrayList: chèn/xoá O(1), truy cập O(n); LinkedList: truy cập O(1), chèn/xoá O(n)","ArrayList: truy cập O(1), chèn/xoá O(n) do shift; LinkedList: chèn/xoá O(1) đầu/cuối, truy cập O(n)","ArrayList và LinkedList đều có truy cập O(1) và chèn/xoá O(1) — chỉ khác ở memory layout","ArrayList: truy cập O(log n) qua binary search; LinkedList: truy cập O(1) qua pointer chaining","2"
"2","HashMap và TreeMap trong Java khác nhau ở thứ tự lưu trữ và hiệu suất nào?","","Java","HashMap: không sắp xếp, put/get O(1) average, cho phép 1 key null. TreeMap: sắp xếp theo key (natural order hoặc Comparator), put/get O(log n), không cho phép key null.","HashMap sắp xếp theo thứ tự insert; TreeMap không sắp xếp — HashMap O(log n), TreeMap O(1)","HashMap không sắp xếp O(1); TreeMap sắp xếp theo key O(log n) — TreeMap không cho key null","HashMap và TreeMap đều sắp xếp theo key — chỉ khác ở thuật toán sắp xếp internal","HashMap O(n) vì dùng linear search; TreeMap O(log n) vì dùng binary search tree","2"
"3","Polymorphism trong Java thể hiện qua hai cơ chế nào?","","Java","Compile-time (static): method overloading — cùng tên, khác parameter list. Runtime (dynamic): method overriding — lớp con ghi đè method lớp cha, JVM dispatch dựa trên actual object type.","Compile-time qua method overloading (cùng tên khác params); Runtime qua method overriding (lớp con ghi đè)","Compile-time qua method overriding; Runtime qua method overloading — ngược với đa số hiểu lầm","Compile-time qua access modifiers; Runtime qua exception handling — hai layer bảo vệ code","Compile-time qua generics type erasure; Runtime qua reflection API — hai cơ chế type system","1"
"4","Dependency Injection (DI) thực hiện nguyên tắc nào trong SOLID?","","Java","DI thực hiện nguyên tắc D (Dependency Inversion): high-level modules phụ thuộc vào abstraction (interface) thay vì implementation cụ thể. Container inject dependency từ bên ngoài.","Nguyên tắc S (Single Responsibility) — mỗi class chỉ có một lý do để thay đổi","Nguyên tắc O (Open/Closed) — mở cho extension, đóng cho modification","Nguyên tắc D (Dependency Inversion) — phụ thuộc abstraction thay vì implementation cụ thể","Nguyên tắc L (Liskov Substitution) — subclass thay thế được base class","3"
"5","Spring IoC Container quản lý Spring Bean theo cách nào?","","Java","IoC Container tạo, cấu hình, quản lý lifecycle của beans. Inversion of Control: container kiểm soát việc tạo object và inject dependency thay vì developer tạo thủ công bằng new.","Developer tạo bean thủ công bằng new và đăng ký vào container qua register() method","Container tạo, cấu hình, quản lý lifecycle beans — inject dependency tự động thay vì developer tạo bằng new","Container chỉ lưu trữ bean definition; developer vẫn phải tạo instance bằng new keyword","Container compile bean thành native code để tối ưu startup time — không liên quan đến dependency","2"
"6","@Controller và @RestController trong Spring khác nhau ở kiểu response nào?","","Java","@Controller trả về View name (resolve bởi ViewResolver thành HTML template). @RestController = @Controller + @ResponseBody: trả về data trực tiếp (serialize thành JSON/XML).","@Controller trả về View name (HTML template); @RestController trả về data JSON/XML trực tiếp","@RestController trả về View name (HTML); @Controller trả về data JSON/XML — tên gọi gây nhầm lẫn","@Controller cho GET requests; @RestController cho POST/PUT/DELETE requests — phân chia theo HTTP method","@Controller là phiên bản cũ deprecated; @RestController là replacement cho mọi use case","1"
"7","HashSet và TreeSet đều implement Set interface. Chúng khác nhau thế nào?","","Java","HashSet: không sắp xếp, add/contains O(1), dùng HashMap internal. TreeSet: sắp xếp (natural order), add/contains O(log n), dùng TreeMap internal. Cả hai không cho phần tử trùng.","HashSet sắp xếp theo hashCode; TreeSet không sắp xếp — cả hai cho phép duplicate elements","HashSet không sắp xếp O(1); TreeSet sắp xếp O(log n) — cả hai không cho phần tử trùng lặp","HashSet O(n) vì linear probing; TreeSet O(1) vì balanced tree — HashSet chậm hơn","HashSet thread-safe; TreeSet không thread-safe — chỉ khác ở concurrency support","2"
"8","@Transactional ở class-level và method-level trong Spring Boot hoạt động khác nhau ra sao?","","Java","Class-level: áp dụng cho TẤT CẢ public methods. Method-level: chỉ áp dụng cho method đó. Method-level override class-level khi cả hai cùng có.","Class-level cho tất cả public methods; Method-level chỉ cho method đó — method-level override class-level","Class-level chỉ áp dụng cho constructor; Method-level cho tất cả methods kể cả private","Class-level và method-level hoạt động giống nhau — chỉ khác ở vị trí đặt annotation","Class-level chỉ cho read operations; Method-level chỉ cho write operations","1"
"9","Spring Boot xử lý exception tập trung dùng annotation nào kết hợp ra sao?","","Java","@ControllerAdvice: class xử lý exception cho toàn bộ controllers globally. @ExceptionHandler: method handler cho exception type cụ thể. Kết hợp tạo centralized error handling.","@Autowired + @Qualifier để inject exception handler service vào mỗi controller riêng lẻ","@Configuration + @Bean để đăng ký exception handler beans trong application context","@ControllerAdvice + @ExceptionHandler — global exception handling cho toàn bộ controllers","@Component + @PostConstruct để khởi tạo exception handler khi application startup","3"
"10","Ứng dụng Java cần phòng chống SQL Injection. Tổ hợp biện pháp nào hiệu quả nhất?","","Java","Prepared Statement/Parameterized Query (tham số hóa query, không nối chuỗi). Input validation. ORM framework (JPA/Hibernate tự handle). Principle of least privilege cho DB user.","Prepared Statement, input validation, ORM framework, không nối chuỗi SQL trực tiếp, least privilege DB user","Chỉ cần encode HTML entities trong input là đủ để ngăn SQL Injection","Dùng HTTPS mã hóa kết nối đủ để ngăn chặn attacker inject SQL queries","Chỉ cần validate input length không quá 255 ký tự là đủ ngăn SQL Injection","2"
