"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Database và DBMS khác nhau ở chức năng nào?","","Database","Database là tập hợp dữ liệu có tổ chức. DBMS (MySQL, PostgreSQL...) là phần mềm quản lý database: xử lý truy vấn, kiểm soát đồng thời, backup/recovery, access control.","Database là phần mềm quản lý dữ liệu; DBMS là tập dữ liệu được lưu trữ trên disk","Database là tập dữ liệu có tổ chức; DBMS là phần mềm quản lý database (truy vấn, đồng thời, backup)","Database chỉ lưu text files; DBMS chỉ lưu binary files — khác ở format lưu trữ","Database chạy trên client; DBMS chạy trên server — khác ở vị trí deployment","2"
"2","SQL gồm những nhóm lệnh chính nào?","","Database","DDL (CREATE/ALTER/DROP — cấu trúc), DML (SELECT/INSERT/UPDATE/DELETE — dữ liệu), DCL (GRANT/REVOKE — quyền truy cập), TCL (COMMIT/ROLLBACK — transaction).","DDL (cấu trúc), DML (dữ liệu), DCL (quyền truy cập), TCL (transaction)","Chỉ có SELECT và INSERT — SQL chỉ hỗ trợ đọc và ghi dữ liệu","DQL (queries), DLL (libraries), DPL (procedures), DTL (triggers)","SQL không chia nhóm — tất cả lệnh đều thuộc cùng category","1"
"3","Primary Key có những ràng buộc gì?","","Database","Primary Key xác định duy nhất mỗi record: NOT NULL (không được null), UNIQUE (không trùng lặp). Mỗi bảng chỉ có MỘT primary key (có thể composite — nhiều cột).","NOT NULL và UNIQUE — mỗi bảng chỉ có một Primary Key, có thể composite nhiều cột","Chỉ cần UNIQUE — cho phép NULL values trong Primary Key column","Chỉ cần NOT NULL — cho phép duplicate values trong Primary Key column","Không có ràng buộc — Primary Key chỉ là convention đặt tên cho cột đầu tiên","1"
"4","Foreign Key tạo mối quan hệ giữa các bảng bằng cơ chế nào?","","Database","Foreign Key là cột tham chiếu đến Primary Key bảng khác. Đảm bảo referential integrity: giá trị FK phải tồn tại trong bảng tham chiếu hoặc NULL. Cascade options: DELETE/UPDATE.","Tham chiếu đến Primary Key bảng khác, đảm bảo referential integrity — FK value phải tồn tại trong bảng tham chiếu","Tạo bản sao dữ liệu từ bảng khác vào cột FK tự động sync khi source thay đổi","Tham chiếu đến Index bảng khác để tăng tốc JOIN queries — không liên quan integrity","Tạo link vật lý giữa hai bảng trên disk để đọc đồng thời — tối ưu I/O performance","1"
"5","Các loại JOIN trong SQL khác nhau ở tập kết quả nào?","","Database","INNER: chỉ rows khớp cả 2 bảng. LEFT: tất cả rows bảng trái + rows khớp bảng phải. RIGHT: ngược lại. FULL OUTER: tất cả rows cả 2. CROSS: tích Descartes.","INNER chỉ rows khớp cả 2; LEFT tất cả trái + khớp phải; RIGHT ngược lại; FULL tất cả; CROSS tích Descartes","INNER trả tất cả rows; LEFT chỉ rows bảng trái; RIGHT chỉ rows bảng phải; FULL chỉ rows không khớp","Tất cả JOIN types trả cùng kết quả — chỉ khác ở performance và execution plan","INNER join 2 bảng; LEFT join 3+ bảng; RIGHT merge bảng; FULL delete duplicate rows","1"
"6","Index cải thiện hiệu suất query nào nhưng gây overhead ở operation nào?","","Database","Index (B-tree/Hash) tăng tốc SELECT/WHERE/JOIN (lookup O(log n) thay O(n)). Nhưng tốn disk space và chậm INSERT/UPDATE/DELETE vì phải cập nhật index.","Tăng tốc SELECT/WHERE/JOIN nhưng chậm INSERT/UPDATE/DELETE vì phải cập nhật index structure","Tăng tốc INSERT/UPDATE/DELETE nhưng chậm SELECT vì phải scan thêm index structure","Tăng tốc mọi operation (SELECT/INSERT/UPDATE/DELETE) mà không có trade-off nào","Chỉ tăng tốc SELECT trên Primary Key — không ảnh hưởng đến các cột khác hay operations khác","1"
"7","ACID trong database transaction đảm bảo 4 tính chất nào?","","Database","Atomicity (tất cả hoặc không), Consistency (dữ liệu luôn hợp lệ trước và sau transaction), Isolation (transactions độc lập không ảnh hưởng nhau), Durability (commit thì persist vĩnh viễn).","Atomicity, Consistency, Isolation, Durability — 4 tính chất đảm bảo transaction reliability","Authentication, Confidentiality, Integrity, Delivery — 4 tính chất bảo mật dữ liệu","Availability, Consistency, Isolation, Distribution — 4 tính chất distributed systems","Atomicity, Caching, Indexing, Denormalization — 4 kỹ thuật tối ưu performance","1"
"8","DELETE và TRUNCATE khác nhau ở mức độ kiểm soát và khả năng rollback nào?","","Database","DELETE: DML, xoá từng row, WHERE filter, rollback được, trigger fires, log từng row. TRUNCATE: DDL, xoá toàn bộ, không WHERE, không rollback thường, không trigger, reset identity.","DELETE xoá toàn bộ nhanh; TRUNCATE xoá từng row có WHERE filter — DELETE nhanh hơn","DELETE: DML từng row/WHERE/rollback/trigger; TRUNCATE: DDL toàn bộ/không WHERE/không rollback/nhanh hơn","DELETE và TRUNCATE hoạt động giống nhau — chỉ khác tên lệnh và syntax","DELETE reset identity counter; TRUNCATE giữ nguyên identity — khác ở auto-increment behavior","2"
"9","Normalization giảm data redundancy qua những dạng chuẩn nào?","","Database","1NF: atomic values, no repeating groups. 2NF: 1NF + no partial dependency. 3NF: 2NF + no transitive dependency. BCNF: 3NF + mọi determinant là candidate key.","1NF (atomic values), 2NF (no partial dependency), 3NF (no transitive dependency), BCNF (stricter 3NF)","1NF (sorted data), 2NF (indexed data), 3NF (encrypted data), BCNF (compressed data)","Normalization chỉ có 1 dạng chuẩn duy nhất — các số chỉ version không phải level","1NF (primary key), 2NF (foreign key), 3NF (composite key), BCNF (surrogate key)","1"
"10","View (bảng ảo) trong SQL có đặc điểm gì?","","Database","View là virtual table từ SELECT query, không lưu data thực (trừ Materialized View). Dùng để: đơn giản hóa complex queries, restrict access (security), provide abstraction layer.","Virtual table từ SELECT query, không lưu data thực — đơn giản hóa queries và bảo mật","Physical table copy từ source tables — sync tự động khi source thay đổi","Stored procedure trả kết quả dạng table — execute mỗi lần truy cập","Temporary table tồn tại trong session — tự xoá khi session kết thúc","1"
