"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Big O notation đo lường khía cạnh nào của thuật toán?","","Algorithms","Big O mô tả giới hạn trên (upper bound) của độ phức tạp thời gian/không gian khi kích thước đầu vào n tăng, cho phép so sánh hiệu suất thuật toán độc lập với hardware.","Tốc độ thực thi chính xác tính bằng milliseconds trên từng loại CPU cụ thể","Số dòng code cần thiết để implement thuật toán trong ngôn ngữ lập trình cụ thể","Giới hạn trên của độ phức tạp thời gian/không gian khi kích thước đầu vào tăng","Dung lượng RAM tối thiểu cần thiết để chạy thuật toán trên hệ điều hành cụ thể","3"
"2","Linear Search duyệt mảng theo cách nào và có độ phức tạp bao nhiêu?","","Algorithms","Linear Search duyệt tuần tự từng phần tử từ đầu đến cuối cho đến khi tìm thấy hoặc hết mảng. Worst-case O(n). Không yêu cầu mảng đã sắp xếp.","Duyệt tuần tự từng phần tử O(n); không yêu cầu mảng sắp xếp trước","Chia đôi mảng liên tục O(log n); yêu cầu mảng phải sắp xếp trước","Dùng hash function tìm vị trí O(1); yêu cầu xây dựng hash table trước","Duyệt từ hai đầu vào giữa O(n/2); yêu cầu mảng có kích thước chẵn","1"
"3","Binary Search yêu cầu điều kiện gì và đạt độ phức tạp bao nhiêu?","","Algorithms","Yêu cầu mảng ĐÃ SẮP XẾP. Chia đôi mảng, so sánh với phần tử giữa, loại bỏ nửa không thỏa mãn → O(log n). Mỗi bước loại bỏ một nửa không gian tìm kiếm.","Mảng phải sắp xếp trước; chia đôi liên tục so sánh với phần tử giữa → O(log n)","Mảng không cần sắp xếp; dùng hash function tìm trực tiếp → O(1) amortized","Mảng phải sắp xếp trước; duyệt tuần tự từ vị trí giữa ra hai đầu → O(n/2)","Mảng phải chứa số nguyên dương; chia ba phần và tìm song song → O(log₃ n)","1"
"4","Đệ quy (Recursion) cần đảm bảo điều kiện gì để không chạy vô hạn?","","Algorithms","Hai điều kiện: (1) Base case — điều kiện dừng khi bài toán đủ nhỏ. (2) Recursive case — bài toán con phải thu nhỏ dần tiến về base case. Thiếu base case → stack overflow.","Phải có base case (điều kiện dừng) và recursive case phải thu nhỏ bài toán tiến về base case","Phải sử dụng biến toàn cục để theo dõi số lần gọi và dừng khi đạt giới hạn","Phải có try-catch bao quanh recursive call để bắt StackOverflowError tự động","Phải dùng tail recursion vì đệ quy thông thường luôn gây stack overflow","2"
"5","Bubble Sort so sánh và hoán đổi phần tử theo cách nào?","","Algorithms","So sánh hai phần tử LIỀN KỀ, đổi chỗ nếu sai thứ tự. Lặp lại cho đến khi mảng sắp xếp xong. Mỗi lượt đẩy phần tử lớn nhất về cuối (nổi bọt). O(n²) average/worst.","So sánh phần tử liền kề, đổi chỗ nếu sai thứ tự, lặp lại cho đến khi sắp xếp xong — O(n²)","Chọn phần tử nhỏ nhất trong phần chưa sắp xếp rồi đặt vào đầu — O(n log n)","Chia mảng thành hai nửa, sắp xếp từng nửa rồi merge lại — O(n log n)","Chọn pivot ngẫu nhiên rồi phân chia mảng thành hai phần nhỏ hơn và lớn hơn — O(n log n)","1"
"6","Mô hình Divide and Conquer gồm những bước nào?","","Algorithms","3 bước: (1) Divide — chia bài toán thành các bài toán con nhỏ hơn. (2) Conquer — giải quyết từng bài toán con (thường bằng đệ quy). (3) Combine — kết hợp kết quả các bài toán con.","Chia bài toán thành bài toán con → giải quyết từng bài toán con → kết hợp kết quả","Chọn lựa tối ưu cục bộ tại mỗi bước → không quay lại xem xét lại → hy vọng tối ưu toàn cục","Lưu kết quả bài toán con đã giải → tra cứu khi gặp lại → tránh tính toán lặp lại","Duyệt tất cả trường hợp có thể → đánh giá từng trường hợp → chọn tốt nhất","1"
"7","Greedy Algorithm chọn giải pháp theo tiêu chí nào tại mỗi bước?","","Algorithms","Greedy chọn lựa tối ưu CỤC BỘ (locally optimal) tại mỗi bước với hy vọng đạt tối ưu toàn cục. Không quay lại xem xét. Không phải lúc nào cũng cho lời giải tối ưu nhất.","Chọn tối ưu cục bộ mỗi bước, không quay lại — không đảm bảo tối ưu toàn cục trong mọi trường hợp","Duyệt tất cả tổ hợp có thể rồi chọn tốt nhất — luôn đảm bảo tối ưu toàn cục","Chia bài toán thành bài toán con rồi kết hợp kết quả — hiệu quả hơn brute force","Lưu kết quả đã tính để tránh tính lại — giảm độ phức tạp từ exponential xuống polynomial","1"
"8","Dynamic Programming (DP) khác đệ quy thông thường ở kỹ thuật nào?","","Algorithms","DP lưu trữ kết quả bài toán con đã giải (memoization/tabulation) để tránh tính toán lặp lại. Đệ quy thường tính lại bài toán con trùng lặp → exponential time.","DP lưu kết quả bài toán con đã giải tránh tính lại — giảm exponential thành polynomial","DP chuyển đệ quy thành vòng lặp đơn thuần mà không cần lưu trữ kết quả trung gian","DP sử dụng randomization để chọn nhánh đệ quy tối ưu thay vì duyệt tất cả","DP compile đệ quy thành native code để tăng tốc thực thi trên hardware cụ thể","1"
"9","Merge Sort có độ phức tạp thời gian bao nhiêu trong mọi trường hợp?","","Algorithms","Merge Sort LUÔN O(n log n): chia mảng thành 2 nửa (log n lần chia) × merge mỗi level mất O(n). Không có worst-case O(n²). Nhưng cần O(n) bộ nhớ phụ.","O(n²) trong mọi trường hợp vì phải so sánh mọi cặp phần tử khi merge","O(n log n) trong mọi trường hợp — log n lần chia × O(n) merge mỗi level","O(n) trong best case khi mảng gần sắp xếp và O(n log n) trong worst case","O(log n) trong mọi trường hợp vì chia đôi mảng liên tục mà không cần merge","2"
"10","Quick Sort chọn pivot để phân chia mảng. Worst-case xảy ra khi nào?","","Algorithms","Worst-case O(n²) khi pivot luôn là min hoặc max → phân chia không cân bằng (1 phần rỗng, 1 phần n-1). Xảy ra với mảng đã sắp xếp nếu chọn pivot đầu/cuối. Average O(n log n).","Worst-case O(n²) khi pivot luôn là min/max gây phân chia không cân bằng — average O(n log n)","Worst-case O(n log n) khi mảng đã sắp xếp — best case O(n) khi random","Worst-case O(2^n) khi có nhiều phần tử trùng lặp trong mảng — average O(n²)","Worst-case O(n³) khi mảng sắp xếp ngược — best case O(log n) khi random pivot","1"
