"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Team velocity giảm 3 sprints liên tiếp. Scrum Master investigate root causes nào?","","Agile-Scrum","Technical debt accumulated, team burnout, unclear requirements (too much rework), external dependencies blocking, scope creep, team composition changes. SM facilitate retro focused on root cause analysis.","Tech debt, burnout, unclear requirements/rework, external blocks, scope creep, team changes — retro root cause analysis","Team lười — cần stricter management oversight và deadline enforcement","SM performance issue — thay Scrum Master mới sẽ improve velocity","Tools không phù hợp — upgrade Jira/Confluence license lên Enterprise","1"
"2","Hệ thống legacy complex cần migration. PO muốn estimate toàn bộ upfront. Approach nào phù hợp?","","Agile-Scrum","Cone of Uncertainty: estimate accuracy tăng theo thời gian. Approach: rough estimate (T-shirt sizing), spike để reduce uncertainty, re-estimate mỗi sprint. Progressive elaboration thay big-upfront estimation.","Không estimate — bắt đầu code ngay và estimate khi gần xong","Estimate chính xác tất cả tasks với Planning Poker — spend 2 tuần estimation session","Rough estimate + spikes reduce uncertainty + re-estimate mỗi sprint — progressive elaboration thay big-upfront","Outsource estimation cho consulting firm — external expertise accurate hơn","3"
"3","Cross-functional team nhưng skill silos: chỉ 1 person biết testing, 1 biết DevOps. Risk gì và mitigation?","","Agile-Scrum","Bus factor = 1 (person nghỉ → blocked). Mitigation: pair programming, knowledge sharing sessions, cross-training rotations, comprehensive documentation, gradually expand skills across team.","Accept risk — team nhỏ luôn có single points of failure","Bus factor 1 → pair programming, knowledge sharing, cross-training, documentation, skill expansion","Hire backup person cho mỗi skill — redundancy qua headcount","Outsource testing và DevOps — specialized vendors handle","2"
"4","Stakeholders micromanage team: attend Daily Standup, question estimates, assign tasks. SM handle thế nào?","","Agile-Scrum","SM protect team: educate stakeholders về Scrum roles (self-organizing team), redirect to PO cho priority changes, invite stakeholders to Sprint Review (proper ceremony), set boundaries diplomatically.","Ignore stakeholders — team tự quyết định mọi thứ không cần input","Let stakeholders attend tất cả ceremonies — transparency là Agile value","Protect team: educate stakeholders Scrum roles, redirect to PO, invite to Review, set boundaries","Escalate lên HR — stakeholders vi phạm team boundaries","3"
"5","Distributed team (remote): Scrum ceremonies nào bị ảnh hưởng nhất và adapt thế nào?","","Agile-Scrum","Daily Standup và Retrospective bị ảnh hưởng nhất (need high interaction). Adapt: async standup (Slack bot), video-first retros, shared digital boards (Miro), overlap hours, cultural awareness.","Chỉ Sprint Planning bị ảnh hưởng — estimation khó khi remote","Daily và Retro cần nhiều interaction nhất — async standup, video retro, digital boards, overlap hours","Cancel tất cả ceremonies — async communication thay thế hoàn toàn","Không ceremony nào bị ảnh hưởng — remote tools giải quyết mọi vấn đề","2"
"6","Team consistently over-commit (100 points planned, 70 delivered mỗi sprint). Root cause và fix?","","Agile-Scrum","Optimism bias, không account cho meetings/bugs/interruptions, PO pressure, unclear stories. Fix: use ACTUAL velocity (average last 3 sprints), buffer 20% cho unplanned work, PO respect team capacity.","Optimism bias/pressure/unclear stories → dùng actual velocity (avg 3 sprints), buffer 20% unplanned, respect capacity","Team cần work harder — 70 points mean 30% underperformance","Tăng sprint length — 4 tuần thay 2 tuần cho thêm time","Reduce story point value — 100 points thành 70 points bằng adjust scale","1"
"7","Product Owner không available, backlog unclear. Sprint bị block. SM escalate thế nào?","","Agile-Scrum","SM: communicate impact (blocked team = wasted cost), negotiate PO availability (min hours/sprint), propose proxy PO, escalate to management nếu cần. Team: refine what they can, address tech debt.","SM become PO temporarily — combine roles cho efficiency","Communicate impact, negotiate PO availability, propose proxy PO, escalate to management; team do tech debt","Team tự đoán requirements — không cần PO input developer biết user cần gì","Pause sprint và chờ PO available — team idle cho đến khi PO return","2"
"8","Agile metrics: Lead Time vs Cycle Time vs Throughput đo lường gì?","","Agile-Scrum","Lead Time: request → delivery (customer perspective). Cycle Time: work started → completed (team perspective). Throughput: items completed per time unit. Lead Time = queue time + Cycle Time.","Lead Time: request→delivery; Cycle Time: started→completed; Throughput: items/time — Lead Time = queue + Cycle","Lead Time và Cycle Time là cùng metric — chỉ khác tên gọi theo framework","Lead Time cho sprints; Cycle Time cho releases — phân chia theo timeframe","Throughput = Lead Time × Cycle Time — mathematical relationship","1"
"9","Feature Flags (Feature Toggles) hỗ trợ Agile release strategy thế nào?","","Agile-Scrum","Deploy code to production nhưng feature HIDDEN behind toggle. Benefits: trunk-based development (no long-lived branches), gradual rollout (% users), quick rollback (toggle off), A/B testing.","Feature Flags chỉ cho frontend — backend features không toggle được","Feature Flags thay thế Git branching hoàn toàn — không cần branches khi có flags","Feature Flags chỉ cho hot-fixing production bugs — không liên quan đến feature release","Deploy with feature hidden behind toggle — trunk-based dev, gradual rollout, quick rollback, A/B testing","4"
"10","Agile transformation: organization chuyển từ Waterfall sang Agile. Top 3 challenges?","","Agile-Scrum","1) Culture shift (from command-control to self-organizing, trust). 2) Middle management resistance (role change/fear of irrelevance). 3) Organizational structure (functional silos → cross-functional teams).","Training 2 ngày đủ cho toàn organization — Agile đơn giản chỉ cần hiểu framework","Chỉ cần install Jira và rename meetings — transformation chỉ về tools","Hire Agile coaches sẽ giải quyết mọi challenges — outsource transformation","Culture shift (trust/self-organize), management resistance (role change), org structure (silos → cross-functional)","4"
