"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Các loại JOIN trả về tập kết quả khác nhau như thế nào?","","Database","INNER: chỉ rows khớp cả 2 bảng. LEFT: tất cả rows trái + rows khớp phải (NULL nếu không khớp). RIGHT: ngược lại. FULL OUTER: tất cả rows cả 2 (NULL nếu không khớp).","INNER chỉ rows khớp cả 2; LEFT tất cả trái + khớp phải; RIGHT ngược lại; FULL tất cả cả 2 bảng","INNER trả tất cả rows không filter; LEFT lọc rows trái; RIGHT lọc rows phải; FULL không trả gì","Tất cả JOIN types trả cùng kết quả — chỉ khác ở syntax cho readability","INNER merge 2 bảng thành 1; LEFT giữ bảng trái xoá phải; RIGHT giữ phải xoá trái","1"
"2","WHERE và HAVING trong SQL lọc dữ liệu ở thời điểm nào khác nhau?","","Database","WHERE lọc TRƯỚC GROUP BY (filter individual rows). HAVING lọc SAU GROUP BY (filter aggregated groups). WHERE không dùng được với aggregate functions (SUM/COUNT/AVG).","WHERE lọc trước GROUP BY cho từng row; HAVING lọc sau GROUP BY cho kết quả aggregate","HAVING lọc trước GROUP BY; WHERE lọc sau GROUP BY — tên gọi ngược với thực tế","WHERE và HAVING dùng thay thế lẫn nhau — chỉ khác syntax preference","WHERE dùng với aggregate functions; HAVING chỉ dùng với non-aggregate columns","1"
"3","Redis PING command có argument trả về kết quả gì?","","Database","PING không argument → 'PONG'. PING 'sample' → trả về chính argument 'sample'. Đây là command kiểm tra connectivity.","'PONG' — PING luôn trả về PONG bất kể có argument hay không","'sample' — PING có argument trả về chính argument đó thay vì PONG","'connection refused' — PING với argument bị từ chối vì sai syntax","'PING sample' — echo lại toàn bộ command string bao gồm tên command","2"
"4","Redis BRPOPLPUSH test1 test2 120 thực hiện thao tác nào?","","Database","BRPOPLPUSH: Blocking Right POP Left PUSH. Pop phần tử cuối từ test1, push vào đầu test2. Blocking 120 giây chờ nếu test1 rỗng. Atomic operation.","Pop phần tử cuối test1, push vào đầu test2, blocking 120s nếu test1 rỗng — atomic operation","Pop phần tử đầu test1, push vào cuối test2, timeout ngay nếu test1 rỗng","Copy tất cả phần tử từ test1 sang test2 trong vòng 120 giây","Move test1 rename thành test2 sau khi chờ 120 giây","1"
"5","Rand, CHARINDEX, PI, NOW trong SQL tương ứng chức năng nào?","","Database","Rand: số ngẫu nhiên (0-1). CHARINDEX: vị trí chuỗi con trong chuỗi. PI: giá trị số pi (3.14...). NOW: ngày giờ hiện tại.","Rand→tìm vị trí chuỗi, CHARINDEX→số ngẫu nhiên, PI→ngày giờ, NOW→giá trị pi","Rand→số ngẫu nhiên, CHARINDEX→vị trí chuỗi con, PI→giá trị pi, NOW→ngày giờ hiện tại","Rand→giá trị pi, CHARINDEX→ngày giờ, PI→số ngẫu nhiên, NOW→vị trí chuỗi","Rand→ngày giờ, CHARINDEX→giá trị pi, PI→vị trí chuỗi, NOW→số ngẫu nhiên","2"
"6","Khi nào KHÔNG nên tạo Index trên cột?","","Database","Không nên khi: bảng nhỏ (full scan nhanh hơn), cột low cardinality (ít giá trị phân biệt như gender), cột thường xuyên UPDATE, cột hiếm dùng trong WHERE/JOIN.","Bảng nhỏ, cột low cardinality, cột thường UPDATE, cột hiếm dùng trong WHERE/JOIN","Chỉ không nên index cột Primary Key vì PK đã tự tối ưu","Không nên index cột kiểu VARCHAR vì text search không dùng index","Luôn nên index tất cả cột trong mọi bảng để tối đa performance","1"
"7","Stored Procedure so với Inline SQL có ưu/nhược điểm nào?","","Database","SP: pre-compiled (nhanh hơn repeat execution), tái sử dụng, bảo mật (parameterized), giảm network traffic. Inline: linh hoạt, dễ debug, nhưng dễ SQL injection nếu nối chuỗi.","SP: pre-compiled/bảo mật/tái sử dụng; Inline: linh hoạt/dễ debug nhưng dễ SQL injection nối chuỗi","SP chậm hơn Inline vì overhead compile; Inline luôn nhanh hơn vì JIT optimization","SP và Inline hoạt động giống nhau — SP chỉ là convention tổ chức code","SP chỉ hỗ trợ SELECT; Inline hỗ trợ mọi DML — SP bị giới hạn functionality","1"
"8","Clustered Index và Non-Clustered Index khác nhau ở cách lưu trữ vật lý nào?","","Database","Clustered: sắp xếp data VẬT LÝ trên disk theo key (1/table, thường PK). Non-Clustered: cấu trúc B-tree RIÊNG chứa pointers đến actual data rows (nhiều/table).","Clustered và Non-Clustered đều tạo cấu trúc riêng biệt — chỉ khác ở algorithm","Non-Clustered sắp xếp data vật lý; Clustered tạo pointer structure — tên gọi ngược thực tế","Clustered sắp xếp data vật lý (1/table); Non-Clustered tạo B-tree riêng với pointers (nhiều/table)","Clustered chỉ cho Primary Key; Non-Clustered chỉ cho Foreign Key — phân chia theo key type","3"
"9","DROP và TRUNCATE khác nhau ở phạm vi xoá nào?","","Database","DROP xoá hoàn toàn bảng (structure + data + indexes + constraints + triggers). TRUNCATE chỉ xoá data, giữ nguyên table structure, indexes, constraints.","TRUNCATE xoá structure + data; DROP chỉ xoá data — tên gọi ngược thực tế","DROP chỉ xoá data giống DELETE; TRUNCATE xoá structure giống ALTER DROP","Cả hai đều chỉ xoá data và giữ structure — chỉ khác ở rollback behavior","DROP xoá hoàn toàn (structure + data); TRUNCATE chỉ xoá data giữ nguyên structure","3"
"10","Denormalization ngược lại Normalization ở mục đích nào?","","Database","Denormalization CỐ Ý thêm data redundancy để tăng tốc đọc (giảm JOIN). Trade-off: tăng storage, phức tạp khi write (phải sync duplicate data). Phù hợp: read-heavy, reporting, analytics.","Cố ý thêm data redundancy tăng tốc đọc — trade-off: phức tạp khi write, dùng cho read-heavy systems","Loại bỏ tất cả indexes để tăng tốc write operations","Encrypt data để tăng security — denormalize nghĩa là decode normalized encryption","Xoá bảng trung gian trong M:N relationships để đơn giản schema","1"
