"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","React Native render UI bằng cơ chế nào khác với React web?","","React Native","React Native dùng JavaScript/React nhưng render native components (View, Text, Image) thông qua bridge/JSI đến platform thay vì DOM elements trên browser như React web.","Render HTML DOM elements trên WebView nhúng trong app native giống Progressive Web App","Render SVG vector graphics trên canvas layer riêng biệt không phụ thuộc platform","Biên dịch JavaScript thành native code (Swift/Kotlin) tại build time giống ahead-of-time compilation","Render native components (View, Text, Image) thông qua bridge/JSI đến platform thay vì DOM","4"
"2","Component View trong React Native đóng vai trò gì tương đương với web?","","React Native","View là container layout cơ bản, tương đương <div> trong HTML. Hỗ trợ Flexbox layout, style, touch handling và accessibility. Mọi UI React Native được xây từ View.","Tương đương thẻ <canvas> — container vẽ đồ họa pixel-based bằng JavaScript API","Tương đương thẻ <section> — container semantic cho nhóm nội dung liên quan","Tương đương thẻ <div> — container layout cơ bản hỗ trợ Flexbox, style và touch handling","Tương đương thẻ <iframe> — container nhúng nội dung từ nguồn bên ngoài","3"
"3","StyleSheet.create() mang lại lợi ích gì so với inline style object thông thường?","","React Native","StyleSheet.create() validate styles tại thời điểm tạo, cho phép tham chiếu bằng ID thay vì tạo object mới mỗi render, giúp cải thiện hiệu suất và phát hiện lỗi sớm.","Cho phép sử dụng CSS class names và selectors giống web development","Tự động apply responsive styles dựa trên kích thước màn hình thiết bị","Validate styles và tham chiếu bằng ID thay vì tạo object mới mỗi render — cải thiện hiệu suất","Cho phép import stylesheet từ file CSS bên ngoài vào React Native component","3"
"4","FlatList khác ScrollView ở cơ chế render nào giúp tối ưu danh sách dài?","","React Native","FlatList chỉ render items trong viewport (virtualized list), unmount items ngoài viewport. ScrollView render TẤT CẢ children cùng lúc vào bộ nhớ → tốn RAM với danh sách dài.","ScrollView render virtualized chỉ items trong viewport; FlatList render tất cả items cùng lúc","FlatList render tất cả items nhưng dùng lazy loading cho hình ảnh; ScrollView không hỗ trợ lazy loading","FlatList chỉ render items trong viewport (virtualized); ScrollView render tất cả children cùng lúc","FlatList và ScrollView đều render virtualized nhưng FlatList hỗ trợ thêm pull-to-refresh","3"
"5","Flexbox trong React Native có điểm khác biệt mặc định nào so với Flexbox web?","","React Native","flexDirection mặc định là 'column' (web là 'row'). Đơn vị không có px (unitless, density-independent). alignItems mặc định 'stretch'. Các thuộc tính CSS như gap đã được hỗ trợ từ v0.71+.","flexDirection mặc định là 'row' giống web; alignItems mặc định 'center'; đơn vị là px","flexDirection mặc định là 'column' (web là 'row'); đơn vị unitless; alignItems mặc định 'stretch'","Flexbox không có trong React Native — dùng absolute positioning cho tất cả layout","flexDirection mặc định là 'row-reverse'; alignItems mặc định 'flex-start'; đơn vị là rem","2"
"6","React Native cung cấp những component nào để xử lý sự kiện chạm (touch)?","","React Native","TouchableOpacity (giảm opacity khi chạm), TouchableHighlight (highlight underlay), TouchableWithoutFeedback (không feedback visual). Từ v0.63+ có Pressable thay thế tất cả với API linh hoạt hơn.","Dùng onClick event handler trên mọi component giống React web development","TouchableOpacity, TouchableHighlight, TouchableWithoutFeedback, và Pressable (v0.63+) thay thế tất cả","Chỉ có onPress trên component Text và Button, các component khác không hỗ trợ touch event","Dùng document.addEventListener('touchstart') vì React Native truy cập DOM như web","2"
"7","Expo đơn giản hóa phát triển React Native bằng cách nào và có hạn chế gì?","","React Native","Expo cung cấp managed workflow không cần Xcode/Android Studio ban đầu, build service trên cloud, OTA updates. Hạn chế: một số native modules không hỗ trợ, cần eject (hoặc dùng dev client) cho custom native code.","Là IDE chuyên dụng thay thế VS Code cho phát triển React Native với debugger tích hợp","Managed workflow không cần Xcode/Android Studio, cloud build, OTA updates — hạn chế ở custom native modules","Là runtime engine thay thế Hermes giúp JavaScript chạy nhanh hơn trên mobile devices","Là framework riêng biệt không liên quan đến React Native, dùng Dart thay JavaScript","2"
"8","useState và useEffect trong React Native có hoạt động khác với React web không?","","React Native","Hoạt động GIỐNG HỆT vì React Native dùng cùng React core engine. Khác biệt chỉ ở side effects cụ thể: tương tác native APIs (camera, GPS, storage) thay vì DOM manipulation.","Hoạt động giống vì dùng cùng React core — khác biệt chỉ ở side effects (native APIs thay vì DOM)","useEffect không tồn tại trong React Native — thay bằng useNativeEffect cho mobile lifecycle","useState hoạt động giống nhưng useEffect chạy trên native thread thay vì JS thread","Cả hai hoạt động khác hoàn toàn — React Native có lifecycle riêng không dùng hooks","1"
"9","Công cụ nào dùng để debug ứng dụng React Native và mỗi tool phục vụ mục đích gì?","","React Native","React Native Debugger (standalone app), Flipper (Meta's extensible debug tool), Chrome DevTools (JS debugging), React DevTools (component tree), LogBox (on-device warnings/errors).","Chỉ có console.log vì React Native không hỗ trợ công cụ debug chuyên dụng nào","React Native Debugger, Flipper, Chrome DevTools, React DevTools — mỗi tool cho mục đích debug khác nhau","Chỉ có Xcode Instruments cho iOS và Android Studio Profiler cho Android — không có cross-platform tool","Chỉ debug được trên emulator, không thể debug trên thiết bị physical qua bất kỳ công cụ nào","2"
"10","Platform.OS và Platform.select() giúp xử lý vấn đề gì trong React Native cross-platform?","","React Native","Platform.OS trả về 'ios' hoặc 'android' để viết conditional logic. Platform.select({ios: value, android: value}) chọn giá trị theo platform. Dùng khi cần style hoặc behavior khác nhau.","Kiểm tra kết nối mạng của thiết bị và tự động switch giữa online/offline mode","Phát hiện phiên bản React Native đang chạy và tự động cập nhật dependencies","Platform.OS trả về 'ios'/'android' cho conditional logic; Platform.select() chọn giá trị theo platform","Kiểm tra thiết bị là physical hay emulator để disable debug features trên production","3"
