"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Dự án thương mại điện tử gặp xung đột: Bộ phận Marketing yêu cầu giao diện thanh toán phải có nhiều popup quảng cáo; bộ phận Vận hành yêu cầu giao diện phải tối giản dưới 3 bước để giảm tỷ lệ bỏ giỏ hàng. BA giải quyết thế nào?","","BA Requirement","BA đóng vai trò cầu nối giải quyết xung đột bằng cách điều phối họp dựa trên dữ liệu thực tế, cân đối giữa trải nghiệm người dùng (UX) và mục tiêu kinh doanh cốt lõi.","Lắng nghe bộ phận nào có quyền lực cao hơn trong công ty và làm theo yêu cầu của họ — tuân thủ phân cấp tổ chức","Tổ chức họp cộng tác phân tích tác động (Impact Analysis), đưa ra dữ liệu thực tế (Analytics/A-B testing) và hướng tới mục tiêu kinh doanh tối thượng của sản phẩm — tìm giải pháp cân bằng dựa trên dữ liệu","Thực hiện cả hai yêu cầu cùng lúc bằng cách thiết kế popup quảng cáo ẩn hiện luân phiên ở từng bước thanh toán — thỏa hiệp cơ học","Yêu cầu hai bên tự thỏa thuận ngoài giờ, khi nào chốt xong giải pháp thì báo lại cho BA cập nhật tài liệu — giảm trách nhiệm trung gian","2"
"2","Đặc tả yêu cầu phi chức năng: ""Hệ thống phải phản hồi nhanh chóng dưới tải cao"". Đánh giá nào sau đây chỉ ra lỗi thiết kế yêu cầu của câu trên?","","BA Requirement","Yêu cầu phi chức năng bắt buộc phải đo lường được bằng các chỉ số định lượng cụ thể để kiểm thử viên (QA) có căn cứ thiết kế test case hiệu năng.","Câu trên hoàn toàn tốt và sẵn sàng chuyển giao cho đội phát triển vì rất ngắn gọn và dễ hiểu","Yêu cầu vi phạm tính đo lường được (Measurable) — cần định nghĩa rõ thời gian phản hồi (ví dụ: latency &lt; 2s) và tải cao là bao nhiêu (ví dụ: 10,000 active users)","Yêu cầu vi phạm tính khả thi (Feasible) — vì hệ thống không thể phản hồi nhanh dưới tải cao","Yêu cầu quá chi tiết về mặt kỹ thuật — BA không nên đề cập đến từ ""phản hồi"" hay ""tải cao""","2"
"3","Khách hàng yêu cầu một tính năng báo cáo động cực kỳ phức tạp. Sau khi BA phân tích, nỗ lực phát triển mất 3 tháng (Effort rất lớn) nhưng giá trị mang lại rất thấp (Value thấp). Theo ma trận ưu tiên, giải pháp của BA là gì?","","BA Requirement","Theo ma trận Value/Effort, các tính năng nỗ lực cao nhưng giá trị thấp được coi là ""Thankless Tasks"" hoặc ""Money Pits"", nên từ chối hoặc trì hoãn để ưu tiên Quick Wins.","Đưa vào phát triển ngay ở Sprint tiếp theo vì khách hàng là thượng đế — tối ưu hóa sự hài lòng tức thời","Thuyết phục PO đặt tính năng này vào nhóm ""Won't Have"" hoặc trì hoãn xuống cuối Product Backlog, giải thích rõ nỗ lực so với giá trị thu về để tìm giải pháp thay thế đơn giản hơn — quản lý phạm vi hiệu quả","Chuyển tính năng này cho đội phát triển tự nghiên cứu ngoài giờ để tiết kiệm thời gian chạy dự án chính thức — tận dụng tài nguyên","Cắt nhỏ tính năng ra thành 10 phần bằng nhau và đưa rải rác vào mỗi sprint để khách hàng không nhận ra sự chậm trễ — phân phối tải","2"
"4","Trong dự án chuyển đổi hệ thống cũ (Legacy Migration), thách thức lớn nhất của BA khi làm việc với yêu cầu nghiệp vụ là gì và giải pháp ra sao?","","BA Requirement","Hệ thống cũ thường bị mất mát tài liệu. BA phải chủ động dùng kỹ thuật Reverse Engineering thông qua phân tích dữ liệu hiện có và phỏng vấn nghiệp vụ để tái thiết lập yêu cầu.","Thiếu tài liệu đặc tả của hệ thống cũ — Giải pháp: BA cần thực hiện đảo ngược kỹ nghệ (Reverse Engineering) qua đọc cấu trúc database, quan sát thực tế và phỏng vấn người dùng lâu năm","Lập trình viên không muốn đọc tài liệu cũ — Giải pháp: BA tự code thay lập trình viên các phần khó để đẩy nhanh tiến độ","Khách hàng không muốn đổi sang hệ thống mới — Giải pháp: BA tự ý chốt toàn bộ tính năng mới mà không cần lấy ý kiến khách hàng","Cơ sở hạ tầng mạng của khách hàng quá yếu — Giải pháp: Đề xuất khách hàng nâng cấp toàn bộ hệ thống máy chủ vật lý","1"
"5","Khi viết Acceptance Criteria cho một User Story về tính năng thanh toán, kỹ thuật viết nào giúp ngăn chặn tốt nhất các lỗ hổng logic nghiệp vụ?","","BA Requirement","Given-When-Then giúp cụ thể hóa hành vi hệ thống dưới các điều kiện biên và luồng lỗi (ví dụ: tài khoản hết tiền, mất kết nối mạng), giúp lập trình viên viết code chuẩn và tester bao phủ đầy đủ test case.","Mô tả các màn hình UI/UX chi tiết từ màu sắc nút bấm đến font chữ hiển thị","Sử dụng định dạng Scenario-based với Given-When-Then bao phủ cả luồng chính (Happy Path) và các luồng ngoại lệ/lỗi thanh toán (Edge Cases/Alternative Paths)","Viết một danh sách các công nghệ API cần gọi và cấu trúc dữ liệu lưu trong bảng Database","Yêu cầu lập trình viên tự nghiên cứu các kịch bản lỗi vì đó là nhiệm vụ kỹ thuật","2"
"6","Tại sao việc xác định ""Traceability"" (khả năng truy vết) của yêu cầu lại cực kỳ quan trọng trong quản lý dự án phần mềm quy mô lớn?","","BA Requirement","Traceability liên kết yêu cầu đầu vào với các sản phẩm đầu ra (code, test). Điều này giúp kiểm soát scope creep và đánh giá tác động của thay đổi (Change Impact Analysis) một cách toàn diện.","Để đảm bảo không có yêu cầu nào bị bỏ sót trong quá trình code/test, đồng thời đánh giá chính xác tác động khi có một yêu cầu thay đổi đột xuất","Để tự động hóa việc sinh code từ các câu chữ yêu cầu của khách hàng mà không cần lập trình viên can thiệp","Để quản lý thời gian làm việc hàng ngày của từng lập trình viên trong đội phát triển","Để chứng minh lỗi phát sinh là do khách hàng yêu cầu sai chứ không phải do lỗi của đội phát triển","1"
"7","Trong bối cảnh Agile, nếu một User Story đã được đưa vào Sprint Backlog và Sprint đang diễn ra, khách hàng muốn thay đổi logic nghiệp vụ của Story này. BA nên xử lý thế nào?","","BA Requirement","Trong Sprint, scope của Sprint Backlog được bảo vệ để đảm bảo team tập trung hoàn thành Sprint Goal. Thay đổi yêu cầu giữa chừng phải được PO đánh giá tác động, nếu break Sprint Goal thì có thể từ chối và đưa vào backlog cho sprint sau.","Đồng ý và yêu cầu Dev sửa code ngay vì đang chạy Agile nên phải thích ứng với thay đổi bất kỳ lúc nào — hiểu sai về linh hoạt của Agile","Cùng PO thảo luận với đội phát triển để đánh giá độ phức tạp; nếu thay đổi quá lớn làm ảnh hưởng đến Sprint Goal, đề xuất đưa thay đổi này vào Product Backlog để lập kế hoạch cho Sprint sau","Từ chối thẳng thừng và không báo lại cho PO biết vì việc sửa đổi trong sprint là cấm kỵ tuyệt đối","Hủy bỏ toàn bộ Sprint hiện tại ngay lập tức để thiết lập lại cuộc họp kế hoạch Sprint mới","2"
"8","Đặc tả yêu cầu: ""Giao diện quản trị phải tải dữ liệu nhanh chóng khi mở trang"". QA báo lại rằng yêu cầu này không thể test được (Untestable). BA cần làm gì?","","BA Requirement","Để yêu cầu test được, BA phải lượng hóa bằng các chỉ số kỹ thuật cụ thể (ví dụ: dưới 1.5 giây ở mức tải 100 requests/s) làm căn cứ kỹ thuật rõ ràng.","Giải thích với QA rằng ""nhanh chóng"" nghĩa là người dùng cảm thấy không bị lag, không cần viết chỉ số cụ thể","Chuyển đổi yêu cầu thành: ""Trang quản trị phải hoàn thành việc render toàn bộ dữ liệu (Time to Interactive) dưới 1.5 giây trong điều kiện tải bình thường (dưới 100 requests/giây)""","Yêu cầu QA tự định nghĩa thế nào là ""nhanh chóng"" để phục vụ việc viết test case hiệu năng","Xóa bỏ hoàn toàn yêu cầu này ra khỏi tài liệu vì hiệu năng tải trang là việc của đội vận hành hạ tầng","2"
"9","Quy trình ""Requirements Validation"" nhằm mục đích chính nào sau đây và do ai thực hiện?","","BA Requirement","Validation đảm bảo chúng ta đang ""xây dựng đúng sản phẩm"" (building the right product), tức là yêu cầu mô tả đúng nhu cầu của khách hàng trước khi đưa vào code.","Xác nhận tài liệu yêu cầu phản ánh đúng và đủ nhu cầu thực tế của khách hàng — do BA phối hợp với khách hàng và các bên liên quan thực hiện","Kiểm tra xem mã nguồn viết ra có chạy đúng thuật toán hay không — do QA và Lập trình viên thực hiện","Đo lường tốc độ tải trang của máy chủ cơ sở dữ liệu — do System Admin thực hiện","Xác thực xem chi phí dự án có vượt ngân sách ban đầu hay không — do Project Manager thực hiện","1"
"10","Trong phân tích yêu cầu, hiện tượng ""Scope Creep"" (phình đại phạm vi) thường xuất phát từ nguyên nhân cốt lõi nào và cách BA phòng chống?","","BA Requirement","Scope Creep xảy ra khi phạm vi dự án tăng dần một cách không kiểm soát do chấp nhận các thay đổi nhỏ không chính thức. BA phòng chống bằng cách tuân thủ quy trình kiểm soát thay đổi nghiêm ngặt.","Do BA không nắm rõ nghiệp vụ dẫn đến việc chấp nhận các yêu cầu thay đổi không chính thức từ khách hàng mà không qua quy trình kiểm soát thay đổi (Change Control Board)","Do lập trình viên tự ý viết thêm nhiều tính năng phụ hoành tráng ngoài thiết kế ban đầu để biểu diễn kỹ năng cá nhân","Do tiến độ dự án bị kéo dài quá lâu khiến các yêu cầu cũ bị lỗi thời và tự động biến mất khỏi hệ thống","Do kiểm thử viên tìm ra quá nhiều lỗi hệ thống buộc lập trình viên phải sửa đổi cấu trúc dữ liệu liên tục","1"
