"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Cho đoạn mã C nhúng: `uint8_t *ptr = (uint8_t *)0x20000000; *ptr = 0x55;` Đoạn mã này thực hiện hành vi gì?","","Embedded C","Trong lập trình nhúng, việc ép kiểu số nguyên sang con trỏ cho phép truy cập trực tiếp vào các địa chỉ phần cứng cố định (như địa chỉ RAM hoặc địa chỉ thanh ghi ngoại vi).","Ghi trực tiếp giá trị 0x55 vào ô nhớ có địa chỉ tuyệt đối là 0x20000000 trong bản đồ bộ nhớ (Memory Map) của vi điều khiển","Cấp phát động một vùng nhớ mới có kích thước 0x20000000 bytes trong bộ nhớ Heap","Đọc giá trị từ cổng logic số và so sánh với giá trị hằng số 0x55 ở hệ thập lục phân","Khai báo một con trỏ NULL trỏ vào thanh ghi cấu hình ngắt toàn cục của vi điều khiển","1"
"2","Trong hệ điều hành thời gian thực (RTOS) cho vi điều khiển, sự khác biệt cơ bản giữa Mutex và Semaphore là gì?","","Embedded C","Mutex (Mutual Exclusion) hoạt động như một chiếc khóa chỉ người giữ khóa mới mở được. Nó hỗ trợ Priority Inheritance để tránh lỗi Priority Inversion. Semaphore được giải phóng bởi bất kỳ task nào.","Mutex có cơ chế sở hữu (ownership) và hỗ trợ giao thức tránh nghịch đảo độ ưu tiên; Semaphore không có quyền sở hữu, dùng để đồng bộ hóa hoặc đếm tài nguyên","Mutex chỉ chạy được trên hệ thống đa nhân; Semaphore chạy được trên hệ thống đơn nhân","Mutex có tốc độ xử lý chậm hơn Semaphore gấp nhiều lần do tốn bộ nhớ RAM","Mutex là tính năng phần cứng; Semaphore là tính năng phần mềm của vi điều khiển","1"
"3","Từ khóa `static` khi khai báo cho một biến cục bộ bên trong một hàm (local variable) có tác dụng gì?","","Embedded C","Biến cục bộ static duy trì trạng thái của nó qua các lần gọi hàm, rất hữu ích khi cần đếm số lần gọi hàm hoặc lưu trữ trạng thái của một máy trạng thái (state machine) nội bộ hàm.","Biến sẽ giữ lại giá trị của nó qua các lần gọi hàm khác nhau, chỉ được khởi tạo một lần duy nhất khi bắt đầu chương trình và lưu ở vùng RAM tĩnh thay vì Stack","Biến sẽ không cho phép các hàm ở file nguồn khác sửa đổi giá trị thông qua từ khóa `extern`","Biến sẽ tự động bị xóa khỏi bộ nhớ RAM ngay khi hàm kết thúc thực thi để giải phóng bộ nhớ","Biến được lưu trữ cố định ở bộ nhớ Flash giống như khai báo từ khóa `const`","1"
"4","Khi biên dịch mã nguồn C nhúng, hành vi ""Structure Padding"" (đệm cấu trúc) của trình biên dịch có thể gây ra ảnh hưởng gì lớn nhất đối với tài nguyên của vi điều khiển?","","Embedded C","Trình biên dịch tự động thêm bytes đệm để căn lề địa chỉ biến (ví dụ biến 32-bit bắt buộc nằm ở địa chỉ chia hết cho 4). Để tránh padding tốn RAM khi truyền nhận dữ liệu, ta dùng thuộc tính `__attribute__((packed))`.","Làm tăng kích thước thực tế của struct trong bộ nhớ RAM do tự động chèn thêm các bytes trống để căn lề bộ nhớ (alignment) theo bus dữ liệu (ví dụ 32-bit)","Làm chương trình bị lỗi cú pháp không thể biên dịch thành công","Làm chậm đáng kể tốc độ tính toán số thực của nhân xử lý CPU","Gây lỗi tràn bộ nhớ Flash khi nạp chương trình vào vi điều khiển","1"
"5","Tại sao việc lạm dụng cấp phát bộ nhớ động bằng hàm `malloc()` và `free()` thường bị hạn chế hoặc cấm kỵ trong các hệ thống nhúng thời gian thực (RTOS) quan trọng?","","Embedded C","Phân mảnh bộ nhớ có thể khiến hệ thống sập vì không tìm được khối nhớ liên tục đủ lớn. Hơn nữa, việc tìm kiếm khối nhớ trống của malloc mất thời gian thay đổi tùy theo trạng thái Heap, vi phạm tính thời gian thực (real-time).","Gây ra hiện tượng phân mảnh bộ nhớ (Memory Fragmentation) dẫn đến lỗi cấp phát thất bại sau một thời gian chạy, và thời gian thực thi hàm không xác định (non-deterministic)","Hàm `malloc()` không thể chạy được trên các dòng vi điều khiển 32-bit ARM Cortex-M","Cấp phát động làm tiêu tốn dung lượng bộ nhớ Flash của vi điều khiển gấp nhiều lần","Làm tăng đáng kể dòng tiêu thụ điện năng của vi điều khiển ở chế độ hoạt động bình thường","1"
"6","Cho đoạn mã: `#define SET_BIT(reg, bit) (reg |= (1 &lt;&lt; bit))`. Điểm cần lưu ý nhất khi sử dụng macro kiểu này trong lập trình C nhúng là gì?","","Embedded C","Macro là phép thay thế chuỗi thuần túy trước khi biên dịch (preprocessor). Nếu không đóng ngoặc các tham số, việc truyền biểu thức như `SET_BIT(my_reg, 1 + 2)` sẽ bị dịch sai thứ tự toán tử.","Nên bao bọc các tham số trong dấu ngoặc đơn ở định nghĩa macro để tránh lỗi độ ưu tiên toán tử khi truyền biểu thức (ví dụ: `(reg) |= (1 &lt;&lt; (bit))`)","Macro này chỉ chạy được trên các thanh ghi 8-bit và không chạy được trên thanh ghi 32-bit","Sử dụng macro sẽ làm tăng đáng kể dung lượng RAM tĩnh của chương trình khi chạy","Trình biên dịch bắt buộc phải có thư viện chuẩn math.h mới biên dịch được phép dịch bit","1"
"7","Trong lập trình C nhúng, tác dụng của việc khai báo thuộc tính `__attribute__((packed))` cho một struct là gì?","","Embedded C","Packed struct giúp kích thước struct bằng đúng tổng kích thước các trường thành phần, rất quan trọng khi định nghĩa các gói tin truyền thông (như frame UART/SPI) để gửi nhận dữ liệu thô trực tiếp.","Yêu cầu trình biên dịch loại bỏ toàn bộ các byte đệm (Structure Padding), sắp xếp các trường dữ liệu liền sát nhau để tối ưu dung lượng và phục vụ truyền nhận dữ liệu thô","Tự động mã hóa toàn bộ nội dung của struct khi lưu vào bộ nhớ Flash để bảo mật thông tin","Cho phép struct đó được lưu trữ trực tiếp trong các thanh ghi đa dụng của CPU","Tự động tạo ra các hàm getter/setter tương ứng cho các trường trong struct giống như OOP","1"
"8","Tại sao các biến được chia sẻ chung giữa một hàm phục vụ ngắt (ISR) và luồng chương trình chính (main loop) bắt buộc phải được khai báo với từ khóa `volatile`?","","Embedded C","Nếu không dùng `volatile`, trình biên dịch phân tích luồng code thấy `main` không sửa biến đó sẽ cất giá trị biến vào thanh ghi để chạy nhanh, không nhận biết được biến đã bị ngắt (luồng phần cứng bên ngoài) thay đổi giá trị trong RAM.","Để ngăn trình biên dịch tối ưu hóa cất biến vào thanh ghi, đảm bảo CPU luôn đọc giá trị mới nhất từ ô nhớ RAM do ngắt có thể cập nhật biến bất kỳ lúc nào","Để tự động khóa luồng chương trình chính khi ngắt đang ghi dữ liệu vào biến đó","Để lưu biến đó vào bộ nhớ Flash nhằm tránh mất dữ liệu khi vi điều khiển reset","Để cho phép biến đó được khai báo với kiểu dữ liệu số thực có độ chính xác kép (double)","1"
"9","Một vi điều khiển 32-bit có bus dữ liệu và bus địa chỉ 32-bit. Con trỏ (pointer) khai báo trên hệ thống này sẽ chiếm bao nhiêu byte bộ nhớ?","","Embedded C","Kích thước con trỏ chỉ phụ thuộc vào kiến trúc địa chỉ của hệ thống (bus địa chỉ). Trên hệ thống 32-bit là 4 bytes, hệ thống 64-bit là 8 bytes, hệ thống 8-bit (như PIC/AVR) là 1 hoặc 2 bytes.","4 bytes — vì con trỏ lưu trữ địa chỉ bộ nhớ, và địa chỉ trên kiến trúc 32-bit dài đúng 32 bit (4 bytes)","2 bytes — vì địa chỉ bộ nhớ vi điều khiển thường nhỏ hơn địa chỉ trên máy tính cá nhân","8 bytes — độ dài chuẩn cho mọi con trỏ trong ngôn ngữ lập trình C hiện đại","Tùy thuộc vào kiểu dữ liệu mà con trỏ trỏ tới (ví dụ: con trỏ char chiếm 1 byte, con trỏ int chiếm 4 bytes)","1"
"10","Hiện tượng ""Race Condition"" (tranh chấp tài nguyên) giữa luồng chương trình chính và ISR xảy ra khi nào?","","Embedded C","Nếu biến lớn hơn bus dữ liệu, CPU cần nhiều chu kỳ máy để đọc/ghi. Nếu ngắt xảy ra đúng lúc CPU đang đọc dở dang một phần của biến, giá trị thu được sau ngắt sẽ bị lỗi ghép nối dữ liệu (inconsistent).","Khi cả luồng chính và ISR cùng truy cập và sửa đổi một biến chung phi nguyên tử (non-atomic variable, lớn hơn kích thước bus dữ liệu, ví dụ biến 32-bit trên MCU 8-bit) tại cùng một thời điểm","Khi vi điều khiển bị quá nhiệt do chạy chương trình tính toán số thực quá lâu ngoài thiết kế","Khi ngắt xảy ra liên tục với tần suất quá cao làm sập nguồn cấp điện của vi điều khiển","Khi hai ngoại vi giao tiếp UART và SPI cùng truyền dữ liệu ra ngoài đồng thời","1"
