"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Loại phân tích nào giúp so sánh cách các thuật toán hoạt động khi kích thước đầu vào tăng lên?","","Algorithms","Phân tích tiệm cận (asymptotic analysis) dùng Big O/Theta/Omega để đánh giá hành vi thuật toán khi n→∞, cho phép so sánh hiệu suất độc lập với phần cứng.","Chạy thử nghiệm theo thời gian tuần tự","Phân tích độ phức tạp tiệm cận (Asymptotic complexity analysis)","So sánh cấu trúc phân lớp","Lấy mẫu thông lượng ngẫu nhiên","2"
"2","So sánh Quick Sort và Merge Sort, phát biểu nào sau đây là đúng?","","Algorithms","Merge Sort luôn O(n log n) nhưng cần O(n) bộ nhớ phụ. Quick Sort trung bình O(n log n) nhưng xấu nhất O(n²), sắp xếp tại chỗ (in-place) nên tiết kiệm bộ nhớ hơn.","Quick Sort luôn nhanh hơn Merge Sort","Merge Sort sắp xếp tại chỗ còn Quick Sort cần bộ nhớ phụ","Cả hai đều có độ phức tạp O(n²)","Merge Sort luôn O(n log n) nhưng cần bộ nhớ phụ; Quick Sort trung bình O(n log n) nhưng xấu nhất O(n²)","4"
"3","Phân biệt Selection Sort và Insertion Sort?","","Algorithms","Selection Sort tìm phần tử nhỏ nhất rồi đặt vào vị trí đúng. Insertion Sort lấy phần tử hiện tại và chèn vào vị trí đúng trong phần đã sắp xếp. Cả hai O(n²) nhưng Insertion Sort hiệu quả hơn với dữ liệu gần sắp xếp.","Selection Sort nhanh hơn Insertion Sort trong mọi trường hợp","Cả hai hoạt động giống hệt nhau","Selection Sort tìm min rồi đặt đúng vị trí; Insertion Sort chèn phần tử vào đúng vị trí trong phần đã sắp xếp","Insertion Sort có độ phức tạp O(n log n)","3"
"4","Thuật toán Dijkstra dùng để giải quyết bài toán gì?","","Algorithms","Dijkstra tìm đường đi ngắn nhất từ một đỉnh nguồn đến tất cả các đỉnh khác trong đồ thị có trọng số không âm, sử dụng kỹ thuật tham lam với priority queue.","Sắp xếp đồ thị theo thứ tự topo","Tìm đường đi ngắn nhất từ một đỉnh đến các đỉnh khác trong đồ thị có trọng số không âm","Tìm cây khung nhỏ nhất","Phát hiện chu trình trong đồ thị","2"
"5","Khi nào nên sử dụng Binary Search thay vì Linear Search?","","Algorithms","Binary Search hiệu quả hơn (O(log n) vs O(n)) khi dữ liệu đã được sắp xếp. Nếu dữ liệu chưa sắp xếp và chỉ tìm một lần, chi phí sắp xếp + binary search có thể lớn hơn linear search.","Khi dữ liệu đã được sắp xếp và cần tìm kiếm nhiều lần","Luôn luôn nên dùng Binary Search","Khi mảng có kích thước nhỏ","Khi dữ liệu là chuỗi ký tự","1"
"6","Độ phức tạp không gian của thuật toán Merge Sort là bao nhiêu?","","Algorithms","Merge Sort cần mảng phụ để gộp (merge) các phần, chiếm O(n) bộ nhớ bổ sung. Thêm O(log n) cho stack đệ quy, tổng cộng O(n).","O(n)","O(log n)","O(1)","O(n²)","1"
"7","Hai quy tắc quan trọng nhất mà mọi thuật toán đệ quy phải tuân theo là gì?","","Algorithms","Mọi đệ quy cần: (1) Base case - điều kiện dừng để tránh đệ quy vô hạn, (2) Recursive case - bài toán phải thu nhỏ dần về base case.","Phải dùng vòng lặp for và while","Phải có điều kiện dừng (base case) và bài toán con phải tiến về base case","Phải dùng biến toàn cục và biến cục bộ","Phải có return và break","2"
"8","Có thể sử dụng Binary Search với Linked List không? Tại sao?","","Algorithms","Về lý thuyết có thể nhưng không hiệu quả. Binary Search cần truy cập phần tử giữa O(1), nhưng Linked List truy cập tuần tự O(n), khiến tổng thể không còn O(log n).","Có thể nhưng không hiệu quả vì truy cập phần tử giữa trong Linked List mất O(n)","Không thể thực hiện được dưới bất kỳ hình thức nào","Có, hoạt động hiệu quả như với mảng","Có, nhưng chỉ với Doubly Linked List","1"
"9","Trong trường hợp xấu nhất, Quick Sort có độ phức tạp thời gian bao nhiêu và khi nào xảy ra?","","Algorithms","Trường hợp xấu nhất O(n²) xảy ra khi pivot luôn là phần tử lớn nhất hoặc nhỏ nhất (mảng đã sắp xếp và chọn pivot đầu/cuối), dẫn đến phân chia không cân bằng.","O(n log n) - luôn luôn","O(n) - khi mảng có ít phần tử","O(n²) - khi pivot luôn là phần tử lớn nhất hoặc nhỏ nhất","O(2^n) - khi mảng có phần tử trùng lặp","3"
"10","Sắp xếp tô pô (Topological Sort) trong đồ thị dùng để làm gì?","","Algorithms","Topological Sort sắp xếp các đỉnh của đồ thị có hướng không chu trình (DAG) sao cho với mọi cạnh u→v, u luôn đứng trước v. Ứng dụng: quản lý dependency, lịch trình task.","Sắp xếp đồ thị theo trọng số cạnh","Tìm đường đi ngắn nhất trong đồ thị","Tìm chu trình trong đồ thị vô hướng","Sắp xếp các đỉnh trong DAG sao cho mọi cạnh u→v thì u đứng trước v","4"
