"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Array và Linked List trade-off ở hiệu suất truy cập và chèn/xoá nào?","","Data-Structures","Array: bộ nhớ liên tiếp, truy cập O(1), chèn/xoá O(n) do shift. Linked List: bộ nhớ phân tán, truy cập O(n) tuần tự, chèn/xoá O(1) ở đầu khi biết vị trí.","Array: truy cập O(1), chèn/xoá O(n) do shift elements; Linked List: chèn/xoá O(1), truy cập O(n) tuần tự","Array: truy cập O(n), chèn/xoá O(1); Linked List: truy cập O(1), chèn/xoá O(n) — trade-off ngược lại","Array và Linked List hiệu suất giống nhau — chỉ khác cú pháp và API sử dụng","Array: truy cập O(log n), chèn/xoá O(log n); Linked List: truy cập O(1), chèn/xoá O(1)","1"
"2","Stack (LIFO) và Queue (FIFO) khác nhau ở thứ tự lấy phần tử nào?","","Data-Structures","Stack: Last In First Out — phần tử cuối thêm vào được lấy ra trước (push/pop ở top). Queue: First In First Out — phần tử đầu tiên thêm vào được lấy ra trước (enqueue/dequeue).","Stack: FIFO lấy phần tử đầu tiên trước; Queue: LIFO lấy phần tử cuối cùng trước","Stack: LIFO dùng Queue internal; Queue: FIFO dùng Stack internal — cả hai share implementation","Stack: LIFO lấy phần tử cuối trước (push/pop top); Queue: FIFO lấy phần tử đầu trước (enqueue/dequeue)","Stack: Random access lấy phần tử bất kỳ; Queue: Sequential access duyệt tuần tự","3"
"3","Doubly Linked List (DLL) có gì khác Singly Linked List (SLL)?","","Data-Structures","DLL: mỗi node có 2 pointers (prev + next), duyệt được 2 chiều, xoá node O(1) khi biết node reference. SLL: chỉ có pointer next, duyệt 1 chiều, xoá node cần biết node trước đó.","DLL mỗi node có prev + next pointer, duyệt 2 chiều, xoá node O(1) biết reference; SLL chỉ có next","DLL nhanh hơn SLL trong mọi operation vì có thêm pointer — trade-off không đáng kể","SLL mỗi node có prev + next; DLL chỉ có next — tên gọi Doubly/Singly ám chỉ data fields không phải pointers","DLL và SLL chỉ khác ở memory layout — hiệu suất operations giống nhau hoàn toàn","1"
"4","Tree và Graph khác nhau ở ràng buộc cấu trúc nào?","","Data-Structures","Tree: connected acyclic graph, có root, mỗi node có đúng 1 parent (trừ root). Graph: có thể có cycle, không cần root, mỗi vertex có thể connect với bất kỳ vertex nào.","Tree là acyclic graph có root, mỗi node 1 parent; Graph có thể cyclic, không cần root","Tree có thể có cycle; Graph luôn acyclic — tên gọi gây nhầm lẫn","Tree và Graph là hai tên gọi khác nhau cho cùng cấu trúc dữ liệu","Tree chỉ lưu numerical data; Graph lưu bất kỳ kiểu dữ liệu nào","1"
"5","Khi nào Linked List phù hợp hơn Array?","","Data-Structures","Linked List phù hợp khi: chèn/xoá thường xuyên ở đầu/giữa, kích thước không biết trước, không cần random access. Array phù hợp: random access, kích thước biết trước, cache-friendly.","Khi cần chèn/xoá thường xuyên và kích thước thay đổi — không cần random access","Khi cần truy cập ngẫu nhiên nhanh O(1) và kích thước cố định biết trước","Khi dữ liệu là số nguyên — Linked List optimize cho integer storage","Khi cần sort dữ liệu thường xuyên — Linked List sort nhanh hơn Array","1"
"6","BFS và DFS khác nhau ở chiến lược duyệt và cấu trúc dữ liệu hỗ trợ nào?","","Data-Structures","BFS: duyệt theo level (chiều rộng) dùng Queue. DFS: duyệt sâu nhất có thể trước khi backtrack dùng Stack/đệ quy. BFS tìm shortest path (unweighted), DFS phát hiện cycle.","BFS duyệt theo chiều rộng dùng Queue; DFS duyệt theo chiều sâu dùng Stack/đệ quy","BFS duyệt theo chiều sâu dùng Stack; DFS duyệt theo chiều rộng dùng Queue","BFS và DFS dùng cùng Queue nhưng BFS pop đầu còn DFS pop cuối","BFS chỉ cho Tree; DFS chỉ cho Graph — mỗi thuật toán cho một cấu trúc dữ liệu","1"
"7","Binary Search Tree (BST) có tính chất ordering nào?","","Data-Structures","Với mỗi node: TẤT CẢ values ở subtree trái &lt; node &lt; TẤT CẢ values ở subtree phải. Search/insert/delete O(h) với h = height. Balanced BST: h = O(log n).","Subtree trái &lt; node &lt; subtree phải; search/insert/delete O(h) — balanced: h = O(log n)","Subtree trái &gt; node &gt; subtree phải (giảm dần); search O(1) qua hash function","Parent luôn lớn hơn cả hai children (max-heap property); insert O(1) append cuối","Node values sắp xếp theo thứ tự insert không theo ordering — chỉ là Binary Tree thường","1"
"8","Collision trong HashMap xảy ra khi nào và xử lý bằng kỹ thuật nào?","","Data-Structures","Collision khi 2+ keys hash ra cùng bucket index. Xử lý: Chaining (LinkedList/Tree ở mỗi bucket) hoặc Open Addressing (probing tìm bucket trống — linear/quadratic/double hashing).","Khi 2+ keys hash ra cùng bucket; xử lý bằng Chaining hoặc Open Addressing","Khi HashMap đầy 100% capacity; xử lý bằng tăng capacity gấp đôi","Khi key là null; xử lý bằng throw NullPointerException","Khi value trùng nhau; xử lý bằng overwrite giá trị cũ bằng giá trị mới","1"
"9","DFS tốt hơn BFS trong trường hợp nào?","","Data-Structures","DFS tốt hơn khi: cần khám phá sâu (maze solving, cycle detection, topological sort), graph rất rộng, memory hạn chế (DFS O(h) stack vs BFS O(w) queue). BFS tốt hơn cho shortest path.","Khi cần khám phá sâu (cycle detection, topological sort), graph rộng, memory hạn chế","Khi cần tìm đường đi ngắn nhất trong graph unweighted","Khi graph có trọng số dương và cần minimum cost path","Khi cần duyệt graph theo level order (level by level)","1"
"10","HashMap get() và put() có độ phức tạp trung bình và worst-case nào?","","Data-Structures","Average O(1) nhờ hash function phân phối đều. Worst-case O(n) khi tất cả keys hash vào cùng bucket (chaining). Java 8+: worst-case O(log n) vì chuyển sang TreeNode khi bucket &gt; 8.","Average O(1), worst-case O(n) do collision chaining — Java 8+ worst-case O(log n) nhờ TreeNode","Average O(log n), worst-case O(n²) — HashMap dùng BST internal cho mọi operation","Average O(n), worst-case O(n²) — hash function chỉ giảm constant factor không giảm complexity class","Average O(1), worst-case O(1) — hash function đảm bảo constant time trong mọi trường hợp","1"
