"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","React được mô tả là thư viện (library) chứ không phải framework. Điểm khác biệt cốt lõi là gì?","","React","React là thư viện tập trung vào UI layer (view), sử dụng component-based architecture. Framework (Angular) cung cấp full solution (routing, HTTP, form...). React cần thêm thư viện bên ngoài cho các phần còn lại.","React cung cấp đầy đủ routing, state management, HTTP client tích hợp sẵn không cần thư viện ngoài","React chỉ tập trung vào UI component, cần thêm thư viện ngoài cho routing, state management và HTTP","React là framework full-stack hỗ trợ cả frontend và backend trong cùng một package","React là build tool giúp bundle JavaScript modules giống Webpack hoặc Vite","2"
"2","JSX trong React được biên dịch thành gì trước khi chạy trong trình duyệt?","","React","JSX được Babel biên dịch thành React.createElement() calls. Ví dụ: &lt;h1&gt;Hello&lt;/h1&gt; → React.createElement('h1', null, 'Hello'). Trình duyệt không hiểu JSX trực tiếp.","Được biên dịch thành document.createElement() calls bởi TypeScript compiler","Được biên dịch thành React.createElement() calls bởi Babel trước khi chạy","Được biên dịch thành innerHTML assignments bởi Webpack bundler","Được trình duyệt parse trực tiếp nhờ HTML5 Custom Elements API","2"
"3","Props trong React có đặc điểm gì về tính bất biến (immutability)?","","React","Props là dữ liệu truyền từ parent sang child, bất biến (read-only). Child component không được phép thay đổi props nhận được. Muốn thay đổi phải thông qua callback function.","Props là read-only từ parent, child có thể thay đổi bằng this.props.x = newValue","Props là mutable, child có thể thay đổi và parent tự động nhận giá trị mới","Props truyền từ parent sang child và là read-only — child không thể thay đổi props nhận được","Props truyền hai chiều giữa parent và child, cả hai đều có thể đọc và ghi","3"
"4","State trong React khác props ở điểm nào về quyền kiểm soát và re-render?","","React","State là dữ liệu nội bộ, component tự quản lý và thay đổi được → gây re-render. Props là dữ liệu từ parent, read-only. State thay đổi → component re-render → UI cập nhật.","State là dữ liệu từ parent và read-only; Props là dữ liệu nội bộ và thay đổi được","State là dữ liệu nội bộ component, thay đổi được và gây re-render; Props từ parent và read-only","State và Props đều là dữ liệu nội bộ component, khác nhau ở cú pháp khai báo","State chỉ dùng trong class component; Props chỉ dùng trong function component","2"
"5","Virtual DOM trong React cải thiện hiệu suất bằng cơ chế nào?","","React","React tạo bản sao nhẹ của DOM thật (Virtual DOM). Khi state thay đổi → tạo VDOM mới → diffing so sánh VDOM cũ vs mới → chỉ cập nhật phần thay đổi vào DOM thật (batch update).","Virtual DOM thay thế hoàn toàn DOM thật, trình duyệt không cần DOM thật nữa","Virtual DOM cache toàn bộ DOM thật vào bộ nhớ và chỉ render lại mỗi 16ms","Virtual DOM là bản sao nhẹ, diffing so sánh cũ-mới rồi chỉ cập nhật phần thay đổi vào DOM thật","Virtual DOM gửi DOM updates đến Web Worker để xử lý song song với main thread","3"
"6","useState() Hook trả về gì và cách sử dụng đúng?","","React","useState(initialValue) trả về array [currentValue, setterFunction]. Phải destructure: const [count, setCount] = useState(0). Setter function trigger re-render khi giá trị thay đổi.","Trả về object {value, setValue} và phải destructure bằng dot notation","Trả về array [currentValue, setterFunction] — setter trigger re-render khi giá trị thay đổi","Trả về giá trị đơn lẻ và phải dùng this.setState() để cập nhật giá trị","Trả về Promise resolve giá trị mới và phải await trước khi đọc state","2"
"7","Keys trong React list rendering phải đảm bảo tính chất gì để tối ưu reconciliation?","","React","Key phải duy nhất (unique) và ổn định (stable) trong danh sách siblings. Giúp React xác định phần tử nào thay đổi/thêm/xoá. Không nên dùng index làm key khi list có thể thay đổi thứ tự.","Key phải là số nguyên dương tăng dần bắt đầu từ 0 và không được trùng trong toàn bộ ứng dụng","Key phải duy nhất và ổn định trong siblings — giúp React xác định phần tử thay đổi/thêm/xoá","Key phải là UUID v4 được generate mỗi lần render để đảm bảo tính duy nhất tuyệt đối","Key phải là string bắt đầu bằng prefix 'key-' theo convention và không chứa ký tự đặc biệt","2"
"8","React Hooks giải quyết vấn đề gì mà class component gặp phải?","","React","Hooks cho phép function component dùng state và lifecycle mà không cần class. Giải quyết: logic reuse khó (HOC/render props phức tạp), logic liên quan bị tách rời trong lifecycle methods.","Cho phép function component dùng state/lifecycle, giải quyết logic reuse và logic bị phân tán trong lifecycle methods","Cho phép class component chạy nhanh hơn bằng cách tối ưu hóa JIT compilation","Cho phép React chạy trên server-side bằng cách loại bỏ dependency vào browser DOM API","Cho phép TypeScript type-check React components mà không cần khai báo interface","1"
"9","Class Component và Function Component khác nhau ở cú pháp và khả năng nào?","","React","Class: dùng ES6 class, có this, lifecycle methods (componentDidMount...). Function: dùng hàm, Hooks cho state/lifecycle. Function Component đơn giản hơn và được React team khuyến khích.","Class dùng ES6 class với this và lifecycle methods; Function dùng hàm với Hooks — Function được khuyến khích","Function Component không hỗ trợ state và lifecycle nên chỉ dùng cho presentational components","Class Component nhanh hơn Function Component vì không tạo closure mỗi lần render","Class dùng JSX còn Function dùng createElement() — khác nhau ở cách viết template","1"
"10","useEffect() Hook chạy vào thời điểm nào trong lifecycle của function component?","","React","useEffect chạy SAU mỗi render (sau khi DOM đã cập nhật). Tương đương componentDidMount + componentDidUpdate + componentWillUnmount trong class component.","Chạy TRƯỚC render, trước khi React cập nhật DOM — tương đương getDerivedStateFromProps","Chạy ĐỒNG THỜI với render, trong khi React đang cập nhật Virtual DOM","Chạy SAU render khi DOM đã cập nhật — tương đương componentDidMount + componentDidUpdate","Chạy CHỈ MỘT LẦN khi component mount bất kể dependency array configuration","3"
