"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","React Native là gì và nó khác React ở điểm nào?","","React Native","React Native là framework do Meta phát triển, dùng JavaScript/React để xây dựng mobile app native. Khác React (render DOM trên browser), React Native render native components (View, Text, Image) thông qua bridge đến platform.","Một thư viện CSS cho mobile","Framework dùng JavaScript/React để xây mobile app native — render native components thay vì DOM","Một trình duyệt mobile","Một plugin của React để nhúng web vào app","2"
"2","Component View trong React Native tương đương với gì trong web?","","React Native","View là container layout cơ bản nhất trong React Native, tương đương thẻ <div> trong HTML. View hỗ trợ Flexbox layout, style, touch handling và accessibility. Mọi UI đều được xây dựng từ View.","Tương đương thẻ <div> trong HTML — container layout cơ bản, hỗ trợ Flexbox và touch handling","Tương đương thẻ <span>","Tương đương thẻ <section>","Tương đương thẻ <canvas>","1"
"3","StyleSheet.create() trong React Native dùng để làm gì?","","React Native","StyleSheet.create() tạo stylesheet tối ưu cho React Native. Nó validate styles tại thời điểm tạo, cho phép tham chiếu bằng ID (thay vì tạo object mới mỗi render), giúp cải thiện hiệu suất.","Tạo file CSS bên ngoài","Tạo stylesheet tối ưu với validation và tham chiếu bằng ID — cải thiện hiệu suất so với inline style","Tạo animation cho component","Import font từ Google Fonts","2"
"4","FlatList trong React Native dùng để làm gì và khác ScrollView ở điểm nào?","","React Native","FlatList render danh sách dài hiệu quả bằng cách chỉ render items trong viewport (virtualized). ScrollView render TẤT CẢ children cùng lúc → tốn bộ nhớ với danh sách dài.","FlatList và ScrollView hoàn toàn giống nhau","FlatList chỉ render items trong viewport (virtualized); ScrollView render tất cả cùng lúc → tốn bộ nhớ","FlatList dùng cho ảnh, ScrollView dùng cho text","FlatList chỉ hỗ trợ danh sách dọc","2"
"5","Flexbox trong React Native khác Flexbox trên web ở điểm nào?","","React Native","React Native dùng Flexbox làm layout engine mặc định nhưng có khác biệt: flexDirection mặc định là 'column' (web là 'row'), không hỗ trợ một số thuộc tính như gap (trước v0.71), và đơn vị không có px.","Hoàn toàn giống Flexbox trên web","flexDirection mặc định là 'column' (web là 'row'), không có đơn vị px, một số thuộc tính khác biệt","React Native không hỗ trợ Flexbox","Flexbox trong React Native chỉ hỗ trợ 'row'","2"
"6","Cách xử lý sự kiện chạm (touch) cơ bản trong React Native?","","React Native","React Native cung cấp các Touchable components: TouchableOpacity (giảm opacity), TouchableHighlight (highlight khi chạm), TouchableWithoutFeedback (không feedback). Từ v0.63+ có Pressable thay thế tất cả.","Dùng onClick như trên web","TouchableOpacity/TouchableHighlight/Pressable — mỗi loại có feedback khác nhau khi chạm","Dùng addEventListener","Chỉ dùng được onPress trên Text","2"
"7","Expo là gì và khi nào nên dùng Expo thay vì React Native CLI?","","React Native","Expo là bộ công cụ và dịch vụ xây dựng trên React Native, đơn giản hóa quá trình phát triển (không cần Xcode/Android Studio ban đầu). Nên dùng khi: bắt đầu nhanh, prototype, không cần native module phức tạp.","Một IDE riêng cho React Native","Bộ công cụ đơn giản hóa phát triển React Native — dùng khi bắt đầu nhanh, prototype, không cần native module phức tạp","Một ngôn ngữ lập trình","Thay thế hoàn toàn React Native","2"
"8","useState và useEffect hoạt động trong React Native có khác gì so với React web?","","React Native","useState và useEffect hoạt động GIỐNG HỆT trong React web vì React Native dùng cùng React core. Khác biệt chỉ ở side effects cụ thể: thay vì DOM manipulation, ta tương tác với native APIs (camera, GPS, storage).","Hoạt động hoàn toàn khác","Hoạt động giống hệt React web vì dùng cùng React core — khác biệt chỉ ở side effects (native APIs thay vì DOM)","React Native không hỗ trợ hooks","useState có nhưng useEffect không có","2"
"9","Cách debug ứng dụng React Native?","","React Native","Công cụ debug: React Native Debugger (standalone), Flipper (Meta's debug tool), Chrome DevTools (JS debug), console.log. React DevTools để inspect component tree. LogBox hiển thị warnings/errors trên device.","Chỉ dùng console.log","React Native Debugger, Flipper, Chrome DevTools, React DevTools, LogBox — mỗi tool phục vụ mục đích khác nhau","Không thể debug React Native","Chỉ debug được trên iOS","2"
"10","Platform.OS và Platform.select() dùng để làm gì?","","React Native","Platform.OS trả về 'ios' hoặc 'android' để viết logic theo platform. Platform.select() nhận object với key ios/android và trả về giá trị tương ứng. Dùng khi cần style hoặc behavior khác nhau giữa 2 platform.","Phát hiện phiên bản React Native","Platform.OS trả về 'ios'/'android'; Platform.select() chọn giá trị theo platform — dùng khi cần logic/style khác nhau","Kiểm tra kết nối mạng","Phát hiện thiết bị physical hay emulator","2"
