"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Tài liệu SRS (Software Requirement Specification) trong dự án phần mềm phục vụ mục đích chính là gì?","","BA Process","SRS là tài liệu đặc tả yêu cầu phần mềm, làm hợp đồng kỹ thuật chi tiết giữa đội phát triển (dev, test) và khách hàng.","Mô tả chi tiết và chính xác các yêu cầu chức năng, phi chức năng của hệ thống làm căn cứ phát triển và kiểm thử","Ghi chép biên bản cuộc họp hằng tuần giữa khách hàng và ban quản lý dự án","Lập lịch phân chia công việc chi tiết hàng ngày cho từng lập trình viên","Hướng dẫn người dùng cuối cách cài đặt và cấu hình phần mềm trên máy tính cá nhân","1"
"2","Trong sơ đồ Use Case của UML, ký hiệu nào được dùng để biểu diễn tác nhân (Actor) bên ngoài tương tác với hệ thống?","","BA Process","Trong sơ đồ Use Case, Actor được biểu diễn bằng hình người que đại diện cho vai trò tương tác với hệ thống.","Hình người que (Stick figure) — đại diện cho người dùng hoặc hệ thống bên ngoài tương tác","Hình elip (Oval) — đại diện cho một chức năng (Use Case) cụ thể của hệ thống","Hình chữ nhật (Rectangle) — đại diện cho biên giới hạn hệ thống (System boundary)","Hình thoi (Diamond) — đại diện cho điểm rẽ nhánh quyết định logic","1"
"3","Tài liệu BRD (Business Requirement Document) khác tài liệu SRS ở điểm cốt lõi nào?","","BA Process","BRD mô tả bài toán kinh doanh và mục tiêu chiến lược (cấp cao, phi kỹ thuật). SRS chuyển hóa BRD thành các yêu cầu phần mềm chi tiết cho đội dev/test.","BRD tập trung vào nhu cầu và mục tiêu kinh doanh cấp cao của tổ chức; SRS tập trung vào đặc tả kỹ thuật và hành vi chi tiết của phần mềm","BRD do lập trình viên viết để hướng dẫn code; SRS do khách hàng viết để đặt hàng phần mềm","BRD chỉ chứa các bản vẽ thiết kế giao diện; SRS chỉ chứa mã nguồn phần mềm","BRD dùng cho giai đoạn kết thúc dự án; SRS dùng cho giai đoạn bắt đầu dự án","1"
"4","Trong sơ đồ Use Case, mối quan hệ `&lt;&lt;include&gt;&gt;` giữa hai Use Case A và B có ý nghĩa gì?","","BA Process","Mối quan hệ `&lt;&lt;include&gt;&gt;` biểu diễn hành vi bắt buộc. Khi Use Case A chạy, nó bắt buộc phải gọi Use Case B như một phần trong luồng xử lý của mình.","Use Case B là chức năng bắt buộc phải thực hiện trong luồng chạy của Use Case A — không thể hoàn thành A nếu thiếu B","Use Case B là chức năng tùy chọn, chỉ chạy trong một số điều kiện nhất định của Use Case A","Use Case B kế thừa toàn bộ hành vi và cấu trúc dữ liệu từ Use Case A","Use Case B được thực hiện hoàn toàn song song và độc lập không liên quan đến Use Case A","1"
"5","Trong sơ đồ Use Case, mối quan hệ `&lt;&lt;extend&gt;&gt;` giữa hai Use Case B và A (B extend A) có ý nghĩa gì?","","BA Process","Mối quan hệ `&lt;&lt;extend&gt;&gt;` mô tả hành vi tùy chọn, bổ sung vào Use Case gốc tại các điểm mở rộng khi điều kiện cụ thể được đáp ứng.","Use Case B là hành vi mở rộng tùy chọn của Use Case A, chỉ được gọi khi thỏa mãn điều kiện nhất định (Extension Point)","Use Case B là bước bắt buộc phải chạy trước khi Use Case A được phép kích hoạt","Use Case B là một dạng thiết kế giao diện người dùng thay thế cho Use Case A","Use Case B đại diện cho một tác nhân phần cứng bên ngoài hệ thống","1"
"6","Khi vẽ sơ đồ Use Case, ""System Boundary"" (Biên hệ thống) được biểu diễn bằng hình gì và có vai trò gì?","","BA Process","System Boundary (đường biên hệ thống) được vẽ bằng hình chữ nhật để phân định rõ ràng những gì thuộc về hệ thống bên trong và những gì nằm ngoài hệ thống.","Hình chữ nhật bao quanh các Use Case — dùng để xác định phạm vi của hệ thống đang phát triển, phân tách với các Actor bên ngoài","Hình elip bao quanh các Actor — dùng để phân nhóm người dùng theo phòng ban","Đường mũi tên nét đứt — dùng để kết nối Actor với Use Case","Hình thoi màu đen — biểu thị mối quan hệ composite trong hệ thống database","1"
"7","Hoạt động ""UAT"" (User Acceptance Testing) trong quy trình bàn giao phần mềm là gì?","","BA Process","UAT là giai đoạn kiểm thử cuối cùng trước khi go-live, nơi người dùng cuối hoặc khách hàng chạy thử để xác nhận phần mềm đáp ứng đúng yêu cầu của họ.","Kiểm thử chấp nhận người dùng — khách hàng trực tiếp chạy thử phần mềm dựa trên kịch bản nghiệp vụ để xác nhận nghiệm thu","Kiểm thử tích hợp hệ thống — dev kiểm tra các API kết nối giữa các module","Kiểm thử hiệu năng — đo lường giới hạn chịu tải tối đa của máy chủ vật lý","Quá trình cài đặt mã nguồn lên môi trường Production của doanh nghiệp","1"
"8","Tài liệu ""UAT Test Cases"" (hoặc UAT Scenarios) do BA soạn thảo thường dựa trên căn cứ trực tiếp nào?","","BA Process","UAT Scenarios phải dựa trên tài liệu đặc tả yêu cầu nghiệp vụ (SRS/User Stories/AC) để xác thực xem hệ thống có chạy đúng nghiệp vụ đã chốt hay không.","Tài liệu SRS và các tiêu chí nghiệm thu (Acceptance Criteria) của User Story — đảm bảo kiểm tra đúng cam kết nghiệp vụ","Cấu trúc bảng cơ sở dữ liệu chi tiết của hệ thống cũ — đảm bảo đồng bộ trường dữ liệu","Sơ đồ tổ chức nhân sự của khách hàng — đảm bảo phân quyền người dùng","Mã nguồn lập trình thực tế của lập trình viên — đảm bảo kiểm thử hết các hàm logic","1"
"9","Trong SRS, phần ""User Classes and Characteristics"" dùng để mô tả thông tin gì?","","BA Process","Phần này mô tả các nhóm đối tượng người dùng (User Personas/Roles) giúp đội thiết kế và dev hiểu rõ hành vi và quyền hạn của từng nhóm.","Các nhóm người dùng khác nhau của hệ thống và đặc điểm, quyền hạn, tần suất sử dụng của họ","Cấu trúc các lớp đối tượng (Class) trong mã nguồn Java/C# của lập trình viên","Các kiểu dữ liệu biến trong cơ sở dữ liệu quan hệ SQL","Các bước cấu hình bảo mật tài khoản cho nhân viên IT","1"
"10","Khi biên soạn tài liệu SRS, tính chất ""Ambiguity-free"" nghĩa là gì?","","BA Process","Yêu cầu không mập mờ (Ambiguity-free) giúp đảm bảo khách hàng, dev và QA đều hiểu thống nhất một ý, tránh tranh chấp và làm sai khi phát triển.","Không mập mờ — mỗi yêu cầu chỉ được có một cách hiểu duy nhất đối với tất cả người đọc","Không có lỗi chính tả — đảm bảo tài liệu được viết đúng ngữ pháp tiếng Việt","Không chứa code mẫu — đảm bảo tài liệu chỉ tập trung vào nghiệp vụ","Không có sơ đồ hình vẽ — đảm bảo tài liệu chỉ chứa văn bản thô","1"
