"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Trong lập trình C cho hệ thống nhúng, từ khóa volatile được khai báo cho một biến nhằm mục đích gì?","","Embedded C","Từ khóa volatile buộc trình biên dịch phải đọc giá trị trực tiếp từ ô nhớ RAM/thanh ghi phần cứng mỗi khi biến được gọi, thay vì dùng giá trị lưu tạm trong thanh ghi cache của CPU.","Báo cho trình biên dịch không được tối ưu hóa biến này; giá trị của nó có thể thay đổi bất kỳ lúc nào ngoài tầm kiểm soát của luồng chương trình chính (như do ngắt hoặc thanh ghi ngoại vi)","Yêu cầu trình biên dịch cấp phát biến này trực tiếp vào bộ nhớ Flash thay vì bộ nhớ RAM để tiết kiệm dung lượng","Tăng tốc độ truy xuất của biến bằng cách lưu trữ nó cố định trong thanh ghi đa dụng của CPU","Ngăn chặn các luồng chương trình khác chỉnh sửa giá trị của biến này — làm biến thành hằng số","1"
"2","Phép toán bitwise nào sau đây được dùng để bật (set) bit thứ 3 của một thanh ghi `reg` lên 1 mà không làm thay đổi các bit khác?","","Embedded C","Phép OR với bit 1 (`|=`) sẽ đặt bit đó thành 1. `1 &lt;&lt; 3` tạo ra mặt nạ (mask) có bit thứ 3 bằng 1 (0-indexed, tức bit có trọng số 2^3) và các bit khác bằng 0.","reg |= (1 &lt;&lt; 3) — thực hiện phép toán OR bitwise với mặt nạ dịch bit","reg &amp;= ~(1 &lt;&lt; 3) — thực hiện phép toán AND với phủ định của mặt nạ dịch bit","reg ^= (1 &lt;&lt; 3) — thực hiện phép toán XOR bitwise để đảo bit","reg = (1 &lt;&lt; 3) — gán trực tiếp giá trị mới cho toàn bộ thanh ghi","1"
"3","Phép toán bitwise nào sau đây được dùng để tắt (clear) bit thứ 4 của một thanh ghi `reg` về 0 mà không làm thay đổi các bit khác?","","Embedded C","Phép AND với bit 0 (`&amp;=`) sẽ đặt bit đó thành 0. Mặt nạ `~(1 &lt;&lt; 4)` có bit thứ 4 bằng 0 và tất cả các bit khác bằng 1, giữ nguyên giá trị các bit còn lại.","reg &amp;= ~(1 &lt;&lt; 4) — thực hiện phép toán AND bitwise với đảo mặt nạ dịch bit","reg |= (1 &lt;&lt; 4) — thực hiện phép toán OR bitwise với mặt nạ dịch bit","reg ^= (1 &lt;&lt; 4) — thực hiện phép toán XOR bitwise để đảo bit","reg = ~(1 &lt;&lt; 4) — gán trực tiếp đảo mặt nạ cho toàn bộ thanh ghi","1"
"4","Trong hệ thống nhúng, bộ nhớ SRAM khác bộ nhớ Flash ở đặc điểm cốt lõi nào?","","Embedded C","SRAM (Static RAM) có tốc độ truy xuất rất nhanh, dùng lưu RAM runtime (stack/heap/variables). Flash giữ được dữ liệu khi mất nguồn điện, dùng chứa Firmware chương trình.","SRAM là bộ nhớ bay hơi (mất dữ liệu khi mất điện) dùng lưu biến tạm; Flash là bộ nhớ không bay hơi dùng lưu mã nguồn chương trình và dữ liệu tĩnh","SRAM có dung lượng lớn hơn Flash gấp nhiều lần trên cùng một dòng vi điều khiển","SRAM chỉ cho phép đọc dữ liệu; Flash cho phép cả đọc và ghi dữ liệu ở tốc độ cao","SRAM được tích hợp trên các mạch ngoại vi bên ngoài; Flash luôn tích hợp sẵn trong nhân CPU","1"
"5","Đoạn code: `const int a = 10;` khai báo cho vi điều khiển. Biến `a` sẽ được trình biên dịch ưu tiên cấp phát vào vùng nhớ nào?","","Embedded C","Các biến hằng số (const) được lưu trữ trong Flash (Read-Only) để giải phóng không gian bộ nhớ SRAM vốn rất khan hiếm trên các dòng vi điều khiển.","Bộ nhớ Flash (hoặc ROM) — vì const khai báo hằng số không đổi, giúp tiết kiệm bộ nhớ RAM giới hạn của MCU","Bộ nhớ SRAM vùng Heap — cấp phát động cho biến khi chương trình chạy","Bộ nhớ SRAM vùng Stack — cấp phát cục bộ cho các biến tạm thời trong hàm","Vùng nhớ thanh ghi của CPU — để tăng tốc độ tính toán trực tiếp","1"
"6","Trong ngôn ngữ C, từ khóa static khi khai báo cho một biến toàn cục trong một file source code (`.c`) có tác dụng gì?","","Embedded C","Static ở mức file (file scope) giúp giới hạn phạm vi hiển thị (visibility) của biến trong file đó, tăng tính đóng gói (encapsulation) và tránh xung đột tên biến khi liên kết dự án.","Giới hạn phạm vi truy cập của biến đó chỉ trong file `.c` khai báo; các file khác không thể truy cập bằng từ khóa `extern`","Giữ nguyên giá trị của biến qua các lần gọi hàm và lưu biến vào bộ nhớ Stack","Báo cho trình biên dịch biết biến này là hằng số và không được phép chỉnh sửa giá trị","Tự động giải phóng biến khỏi bộ nhớ RAM ngay khi kết thúc hàm main","1"
"7","Lỗi ""Stack Overflow"" (tràn bộ nhớ Stack) trong lập trình nhúng thường xảy ra do nguyên nhân phổ biến nào?","","Embedded C","Stack lưu trữ địa chỉ trả về của hàm và các biến cục bộ. Gọi đệ quy vô hạn hoặc khai báo mảng lớn trong hàm sẽ nhanh chóng lấp đầy phân vùng Stack, gây sập hệ thống.","Gọi đệ quy quá sâu hoặc khai báo các mảng/biến cục bộ có kích thước quá lớn vượt quá dung lượng Stack được cấu hình","Sử dụng quá nhiều câu lệnh cấp phát bộ nhớ động bằng hàm `malloc()` mà quên giải phóng bằng `free()`","Kết nối nguồn điện cấp cho vi điều khiển bị sụt áp đột ngột khi chạy động cơ","Biên dịch chương trình ở chế độ Release thay vì chế độ Debug thông thường","1"
"8","Trong lập trình nhúng C, kiểu dữ liệu nào sau đây được khuyên dùng để khai báo biến số nguyên 8 bit không dấu để đảm bảo tính nhất quán trên các nền tảng phần cứng khác nhau?","","Embedded C","Các kiểu dữ liệu như `uint8_t`, `uint16_t`, `uint32_t` trong `&lt;stdint.h&gt;` quy định kích thước bit rõ ràng, giúp code nhúng dễ dàng tương thích chéo giữa các vi điều khiển 8-bit, 16-bit và 32-bit.","uint8_t — định nghĩa trong thư viện chuẩn &lt;stdint.h&gt; đảm bảo chính xác 8 bit không dấu","unsigned char — kiểu ký tự không dấu có độ dài phụ thuộc vào trình biên dịch","int8_t — kiểu số nguyên 8 bit có dấu","unsigned int — kiểu số nguyên không dấu có độ dài thường là 16 hoặc 32 bit","1"
"9","Hành vi nào sau đây được coi là cấm kỵ khi viết một hàm phục vụ ngắt (ISR - Interrupt Service Routine) trên vi điều khiển?","","Embedded C","ISR cần được thực thi cực kỳ nhanh để CPU sớm quay lại luồng chương trình chính. Việc dùng delay hoặc printf (vốn tốn thời gian truyền thông gửi chuỗi) trong ngắt sẽ làm treo hoặc mất các ngắt khác.","Thực hiện các phép toán tốn thời gian, gọi hàm trễ (delay), hoặc sử dụng các hàm I/O như `printf()` bên trong ISR — làm nghẽn hệ thống","Đọc giá trị của một chân đầu vào GPIO và lưu vào một biến volatile","Xóa cờ ngắt ở cuối hàm ISR trước khi thoát ngắt để chuẩn bị cho lần ngắt tiếp theo","Sử dụng các toán tử bitwise để bật/tắt nhanh một bit thanh ghi phần cứng","1"
"10","Trong cấu trúc bộ nhớ của chương trình nhúng, vùng nhớ ""BSS Segment"" được dùng để lưu trữ loại biến nào?","","Embedded C","BSS segment chứa các biến toàn cục/static chưa khởi tạo. Quy trình startup của vi điều khiển (thường trong file assembly startup) sẽ tự động clear toàn bộ vùng này về 0 trước khi gọi `main()`.","Các biến toàn cục và biến static chưa được khởi tạo giá trị ban đầu (hoặc khởi tạo bằng 0) — được tự động xóa về 0 khi khởi động hệ thống","Các biến hằng số const được lưu trữ cố định ở bộ nhớ Flash","Các dữ liệu cấp phát động bằng hàm `malloc()` ở vùng nhớ Heap","Địa chỉ trả về của các hàm khi thực hiện ngắt hoặc gọi hàm con","1"
