"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Để đánh giá và ưu tiên yêu cầu dựa trên cả Giá trị kinh doanh (Value) và Nỗ lực triển khai (Effort), BA nên sử dụng ma trận nào?","","BA Requirement","Ma trận Value vs Effort (2x2) giúp BA nhanh chóng phân loại yêu cầu để chọn ra những tính năng mang lại giá trị cao với nỗ lực thấp (Quick Wins).","Ma trận RICE (Reach - Impact - Confidence - Effort) — tính điểm ưu tiên dựa trên 4 chỉ số định lượng","Ma trận 2x2 Value vs Effort — phân loại tính năng vào các nhóm Quick Wins, Major Projects, Fill-ins, Thankless Tasks","Phân tích SWOT (Strengths - Weaknesses - Opportunities - Threats) — phân tích chiến lược doanh nghiệp","Ma trận RACI (Responsible - Accountable - Consulted - Informed) — phân chia trách nhiệm nhân sự","2"
"2","Tiêu chuẩn INVEST trong viết User Story quy định chữ ""E"" viết tắt của từ nào và có ý nghĩa gì?","","BA Requirement","INVEST stands for: Independent, Negotiable, Valuable, Estimable (ước lượng được), Small, Testable.","Estimable — Story phải có khả năng ước lượng được độ phức tạp bởi đội phát triển","Efficient — Tính năng phát triển phải đạt hiệu quả vận hành tối đa","Essential — Tính năng phải cực kỳ quan trọng và bắt buộc phải có trong sản phẩm","External — Story phải tập trung vào tương tác bên ngoài thay vì hệ thống nội bộ","1"
"3","Khi gặp một yêu cầu thay đổi (Change Request - CR) từ khách hàng trong quá trình phát triển, BA nên thực hiện hành động nào đầu tiên?","","BA Requirement","Khi có Change Request, BA phải thực hiện phân tích tác động (Impact Analysis) để hiểu rõ thay đổi này ảnh hưởng thế nào đến các ràng buộc dự án trước khi đưa ra quyết định.","Cập nhật ngay vào code và báo Dev làm theo yêu cầu mới của khách hàng — hỗ trợ khách hàng nhanh chóng","Từ chối ngay lập tức vì dự án đã chốt scope và đang chạy dở sprint — bảo vệ phạm vi dự án ban đầu","Phân tích tác động (Impact Analysis) của thay đổi đối với phạm vi, tiến độ, chi phí và rủi ro của dự án — đánh giá ảnh hưởng","Yêu cầu khách hàng tự viết đặc tả chi tiết cho thay đổi đó rồi mới xử lý — giảm thiểu tải công việc cho BA","3"
"4","Sự khác biệt chính giữa Yêu cầu kinh doanh (Business Requirement) và Yêu cầu người dùng (User Requirement) là gì?","","BA Requirement","Business Requirements mô tả ""Tại sao"" dự án tồn tại và tổ chức muốn đạt được gì. User Requirements mô tả ""Ai"" sẽ dùng hệ thống và họ cần làm gì.","Business Requirement phản ánh mục tiêu chiến lược của tổ chức; User Requirement mô tả nhu cầu thực tế của người dùng khi dùng hệ thống","Business Requirement do Dev viết; User Requirement do BA viết tài liệu và kiểm thử","Business Requirement mô tả chi tiết chức năng phần mềm; User Requirement mô tả giao diện màn hình","Business Requirement chỉ áp dụng cho dự án lớn; User Requirement áp dụng cho dự án nhỏ","1"
"5","Kỹ thuật khơi gợi yêu cầu ""Focus Group"" khác với ""Workshop"" nghiệp vụ ở điểm cốt lõi nào?","","BA Requirement","Focus Group thu thập phản hồi định tính của đối tượng mục tiêu về ý tưởng/sản phẩm. Workshop là cuộc họp cộng tác thiết kế để chốt yêu cầu cụ thể.","Focus Group nhằm thu thập cảm nhận, ý kiến chủ quan về sản phẩm; Workshop nhằm thảo luận sâu để đạt sự đồng thuận về yêu cầu kỹ thuật","Focus Group kéo dài nhiều ngày liên tục; Workshop chỉ diễn ra trong vòng 1-2 tiếng","Focus Group bắt buộc phải có sự tham gia của Dev; Workshop chỉ dành riêng cho khách hàng và BA","Focus Group dùng để vẽ sơ đồ quy trình; Workshop dùng để kiểm thử lỗi hệ thống","1"
"6","Để theo dõi mối quan hệ đa chiều và đảm bảo mọi yêu cầu kinh doanh đều được hiện thực hóa bằng chức năng và được kiểm thử đầy đủ, BA dùng công cụ nào?","","BA Requirement","Requirement Traceability Matrix (RTM) giúp đảm bảo tính thông suốt từ Business Requirement -&gt; User Story -&gt; Design -&gt; Code -&gt; Test Case, kiểm soát scope creep.","Bảng ma trận truy vết yêu cầu (Requirement Traceability Matrix - RTM) — công cụ ánh xạ yêu cầu từ đầu đến cuối","Biểu đồ phân rã chức năng (Functional Decomposition Diagram) — sơ đồ chia nhỏ hệ thống thành module","Sơ đồ Use Case tổng thể dự án — sơ đồ thể hiện mối quan hệ giữa Actor và chức năng","Bảng kế hoạch giải phóng sản phẩm (Release Plan) — lịch trình bàn giao tính năng","1"
"7","Trong mô hình RICE để ưu tiên yêu cầu, yếu tố ""Confidence"" được đo lường và thể hiện khía cạnh nào?","","BA Requirement","Confidence (Độ tin cậy) là tỷ lệ phần trăm (ví dụ: 100% cực kỳ tin cậy, 50% phỏng đoán) giúp điều chỉnh điểm ưu tiên dựa trên mức độ dữ liệu thực chứng.","Mức độ tự tin của BA về độ chính xác của các ước tính về Reach, Impact và Effort dựa trên dữ liệu hiện có","Số lượng người dùng mà tính năng sẽ tiếp cận được trong một khoảng thời gian nhất định","Mức độ tác động tích cực của tính năng đối với trải nghiệm người dùng hoặc chuyển đổi số","Số lượng developer tự tin có thể lập trình thành công tính năng mà không phát sinh bug","1"
"8","Khi viết User Story, việc phân rã một Story quá lớn (Epic) thành các Story nhỏ hơn nên dựa trên tiêu chí nào để đảm bảo giá trị?","","BA Requirement","Phân rã theo chiều dọc (Vertical Slicing) đảm bảo mỗi story con đều chứa đầy đủ các tầng để hoạt động được và mang lại giá trị nghiệm thu độc lập cho người dùng.","Phân chia theo cấu trúc kỹ thuật hệ thống (ví dụ: tạo 1 story cho Database, 1 story cho Frontend, 1 story cho Backend) — phân chia theo layer","Phân chia theo các lát cắt giá trị nghiệp vụ có thể chạy được từ đầu đến cuối (Vertical Slicing) — đảm bảo mỗi story nhỏ vẫn bàn giao được giá trị thực tế","Phân chia dựa trên năng lực và số lượng lập trình viên có sẵn trong đội phát triển — phân chia theo headcount","Phân chia theo thứ tự bảng chữ cái của các trường dữ liệu trên màn hình đăng ký thông tin — phân chia theo UI elements","2"
"9","Trong cuộc họp Sprint Planning, khi đội phát triển ước lượng một User Story có điểm Story Point quá cao (ví dụ: 21 points), BA nên xử lý thế nào?","","BA Requirement","Story quá lớn (Epic/21 points) chứa nhiều sự không chắc chắn và rủi ro. BA cần hỗ trợ PO làm rõ nghiệp vụ và phân rã thành các story nhỏ hơn để đưa vào sprint.","Yêu cầu Dev giải thích chi tiết code và ép họ giảm điểm ước lượng xuống mức thấp hơn — tối ưu hóa năng suất team","Giữ nguyên story đó và chia đều công việc cho nhiều lập trình viên cùng vào code chung một lúc — giải quyết tài nguyên","Đề xuất làm rõ và phân rã (split) Story đó thành các Story nhỏ hơn có độ phức tạp thấp hơn (dưới 8 points) — giúp dễ kiểm soát phạm vi và bàn giao","Chuyển Story đó sang Sprint tiếp theo và thay thế bằng các task sửa lỗi nhỏ hơn — trì hoãn xử lý","3"
"10","Yêu cầu: ""Hệ thống phải tự động hủy các giao dịch chưa thanh toán sau 15 phút kể từ khi tạo đơn hàng"". Đây thuộc loại yêu cầu nào?","","BA Requirement","Đây là quy tắc vận hành kinh doanh (Business Rule) được triển khai cụ thể dưới dạng một tính năng nghiệp vụ tự động (Functional Requirement).","Luật nghiệp vụ (Business Rule) kết hợp Yêu cầu chức năng (Functional Requirement) — quy định ràng buộc xử lý giao dịch","Yêu cầu phi chức năng về hiệu năng (Performance Requirement) — quy định tốc độ xử lý cơ sở dữ liệu","Yêu cầu về môi trường triển khai phần mềm (Deployment Requirement) — quy định hạ tầng máy chủ","Yêu cầu chuyển đổi dữ liệu lịch sử (Migration Requirement) — quy định cập nhật dữ liệu cũ","1"
