"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Microservices API: Service A cần data từ Service B và C. Gọi sequential chậm. Giải pháp?","","Web-API","Parallel calls (CompletableFuture/Promise.all): gọi B và C đồng thời → total latency = max(B,C) thay vì B+C. API Composition pattern aggregate results. Caching cho repeated calls.","Cache tất cả data từ B và C locally — không cần gọi API","Merge B và C thành 1 service — giảm network hop","Parallel calls B và C đồng thời → latency = max(B,C) thay vì B+C; API Composition aggregate results","Sequential calls là cách duy nhất — không thể gọi parallel giữa microservices","3"
"2","REST API: client cần subset fields từ resource (100 fields, chỉ cần 5). Giải pháp nào tránh over-fetching?","","Web-API","Field selection: ?fields=name,email,avatar (sparse fieldsets). GraphQL tự nhiên giải quyết vấn đề này. Hoặc tạo lightweight DTO/projection cho common use cases.","Tạo endpoint riêng cho mỗi combination fields — /users-name-email, /users-name-avatar","Compress response bằng gzip — giảm payload size thay vì giảm fields","Field selection query param (?fields=name,email); GraphQL; hoặc lightweight DTOs cho common use cases","Trả toàn bộ 100 fields và client tự filter — server không cần thay đổi","3"
"3","API versioning: URL path (/v1/) vs Header vs Query param. Khi nào dùng gì?","","Web-API","URL path: đơn giản, cacheable, visible — phổ biến nhất. Header (Accept): clean URLs, HTTP standard compliant. Query (?v=1): đơn giản nhưng dễ quên. URL path recommended cho public APIs.","Chỉ nên dùng Header versioning — URL path và Query param vi phạm REST principles","URL path đơn giản/cacheable cho public API; Header clean URLs/standard; Query đơn giản nhưng dễ quên","Không cần versioning — backward compatibility bắt buộc cho mọi API changes","URL path chỉ cho internal; Header chỉ cho external — phân chia theo audience","2"
"4","Idempotency key cho non-idempotent POST requests giải quyết vấn đề gì?","","Web-API","Network failure → client retry POST → server tạo duplicate resources. Idempotency Key (unique ID per request): server check key exists → return cached result thay vì tạo mới. Prevent duplicate.","Response caching: cache POST response cho subsequent identical requests — reduce latency","Rate limiting: giới hạn số POST requests per minute prevent abuse","Request validation: check POST body format trước khi process — prevent malformed data","Idempotency Key prevent duplicate: server check key → return cached result nếu đã xử lý thay vì tạo mới","4"
"5","gRPC khác REST ở transport protocol và data format nào?","","Web-API","gRPC: HTTP/2 (multiplexing, server push), Protocol Buffers (binary, compact, typed). REST: HTTP/1.1 (text), JSON (human-readable, schema-less). gRPC: faster, strongly typed, code generation.","gRPC: HTTP/2 + Protocol Buffers (binary/typed/fast); REST: HTTP/1.1 + JSON (text/readable)","gRPC: HTTP/1.1 + JSON (like REST but faster); REST: HTTP/2 + XML (legacy protocol)","gRPC và REST dùng cùng protocol — chỉ khác ở client library implementation","gRPC: WebSocket + YAML; REST: TCP + CSV — completely different stacks","1"
"6","API cần handle partial failures gracefully. Circuit Breaker + Fallback pattern hoạt động thế nào?","","Web-API","Circuit Breaker monitor failure rate → Open (stop calling, return fallback: cached data/default/error). Half-Open test calls → success → Closed. Prevent cascade failures trong microservices.","Retry mọi failed request vô hạn cho đến khi succeed — eventual success guaranteed","Queue failed requests và batch retry sau 1 giờ — deferred processing","Ignore failures và return empty response — client handle missing data","Circuit Breaker monitor failures → Open return fallback → Half-Open test → Closed; prevent cascade failures","4"
"7","API pagination: Offset-based gặp vấn đề gì khi data thay đổi liên tục?","","Web-API","Data insert/delete giữa requests → offset bị lệch: skip items hoặc duplicate items. Cursor-based (keyset pagination) giải quyết: dùng last item ID/timestamp làm cursor → consistent results.","Offset bị lệch khi data thay đổi (skip/duplicate); Cursor-based dùng last item ID/timestamp → consistent","Offset-based luôn consistent — cursor-based chỉ cần cho sorting use cases","Offset-based nhanh hơn cursor-based — trade-off consistency cho performance","Cả offset và cursor đều gặp vấn đề — chỉ có keyset pagination mới consistent","1"
"8","Distributed API: request tracing qua nhiều services. Correlation ID hoạt động thế nào?","","Web-API","API Gateway generate unique Correlation/Request ID → propagate qua tất cả downstream services via header (X-Correlation-ID) → mọi log entry include ID → trace full request journey.","Mỗi service generate ID riêng → aggregate sau bằng timestamp matching","Gateway generate Correlation ID → propagate qua headers → mọi logs include ID → trace full request","Centralized logging service assign ID khi nhận log → không cần propagate","Load balancer track requests tự động — không cần application-level changes","2"
"9","API backwards compatibility: thêm field vào response có breaking change không? Xoá field thì sao?","","Web-API","THÊM field: NON-breaking (clients ignore unknown fields nếu implement đúng). XOÁ/rename field: BREAKING (clients depend on existing fields). Deprecation strategy: mark deprecated → grace period → remove.","Thêm field non-breaking; Xoá/rename field breaking → cần deprecation strategy với grace period","Thêm field breaking; Xoá field non-breaking — clients adapt automatically khi field xoá","Cả thêm và xoá đều breaking — mọi schema change cần new API version","Cả thêm và xoá đều non-breaking — JSON flexible enough handle mọi changes","1"
"10","API Gateway: request transformation, protocol translation giữa client và backend services?","","Web-API","Gateway translate: REST↔gRPC, aggregate multiple service calls into single response, transform request/response format (JSON↔XML), add/remove headers, URL rewriting. Decouple client từ backend.","Gateway chỉ cho load balancing — protocol translation ở client level","Gateway translate protocol (REST↔gRPC), aggregate calls, transform format, rewrite URLs — decouple client backend","Gateway chỉ cho authentication — routing và transformation ở service level","Gateway chỉ routing — không transform hay translate","2"
