"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","E-commerce 5 microservices: Payment Service fail khi đặt hàng. Cách rollback order và restore inventory?","","Docker-System","Saga Pattern compensation: Payment fail → publish PaymentFailed event → Order Service cancel order → Inventory Service restore stock. Mỗi service có compensating action riêng.","Retry Payment vô hạn cho đến khi thành công — eventual consistency đảm bảo sẽ succeed","Distributed 2PC transaction lock tất cả services cho đến khi Payment succeed","Ignore Payment failure và hoàn thành order — gửi invoice payment sau","Saga compensation: Payment fail → event → cancel order → restore inventory — mỗi service có compensating action","4"
"2","Node.js container 2GB RAM, server 4GB, deploy 3 containers bị OOM killed. Giải pháp?","","Docker-System","Set container memory limits (--memory=1.2g), optimize app memory (reduce heap, fix memory leaks), horizontal scale trên nhiều hosts, Kubernetes resource limits/requests.","Tăng server RAM lên 128GB — vertical scaling đơn giản nhất","Set memory limits per container + optimize app + horizontal scale nhiều hosts + K8s resource limits","Disable OOM killer trong Linux kernel — cho container dùng tất cả memory","Chỉ chạy 1 container — accept giới hạn throughput","4"
"3","Migrate Monolith → Microservices. Chiến lược nào giảm rủi ro nhất?","","Docker-System","Strangler Fig Pattern: giữ monolith chạy, tách DẦN từng module bounded context thành microservice, route traffic qua API Gateway. Không big bang rewrite. Test từng phần.","Strangler Fig: giữ monolith, tách dần module, route qua Gateway — không big bang rewrite","Big bang rewrite toàn bộ hệ thống trong 6 tháng — deploy 1 lần thay thế hoàn toàn","Feature freeze monolith 3 tháng, team chuyển sang viết microservices song song","Copy codebase monolith vào mỗi microservice rồi xoá code không liên quan dần","1"
"4","Kubernetes Pod, Deployment, Service đảm nhiệm layer nào?","","Docker-System","Pod: đơn vị scheduling (1+ containers share network/storage). Deployment: desired state management (replicas, rolling update, rollback). Service: stable networking (DNS name, load balancing, expose).","Pod, Deployment, Service đều là container — chỉ khác naming convention","Pod là cluster; Deployment là namespace; Service là container — phân chia theo scope","Pod scheduling; Deployment state management (replicas/update); Service networking (DNS/LB/expose)","Pod cho stateless; Deployment cho stateful; Service cho database — phân chia theo workload","3"
"5","CI/CD pipeline cho Docker microservices gồm những stages nào?","","Docker-System","Code commit → Build Docker image → Run unit/integration tests → Push to container registry → Deploy staging → E2E tests → Deploy production (rolling/blue-green/canary).","Chỉ cần git push và auto-deploy — CI/CD tự xử lý mọi thứ không cần configure stages","Build image → Test → Push registry → Deploy staging → E2E test → Deploy production (rolling/blue-green)","Manual test → Manual deploy — CI/CD chỉ là convenience không bắt buộc","Build → Deploy production trực tiếp — staging là overhead không cần thiết","2"
"6","Blue-Green vs Rolling Update vs Canary deployment trade-off gì?","","Docker-System","Blue-Green: 2 env song song, instant switch, easy rollback, tốn 2x resource. Rolling: thay dần instances, ít resource, rollback chậm hơn. Canary: route % traffic nhỏ tới version mới, gradual.","Blue-Green 2 env/easy rollback/2x resource; Rolling thay dần/ít resource; Canary route % traffic dần","Cả 3 strategies hoạt động giống nhau — chỉ khác tên gọi cho cùng approach","Blue-Green cho frontend; Rolling cho backend; Canary cho database — phân chia theo component","Blue-Green nhanh nhất; Rolling chậm nhất; Canary trung bình — phân chia theo speed","1"
"7","Container restart mất data. Docker Volume types nào phù hợp cho production?","","Docker-System","Named volumes (managed by Docker), bind mounts (map host path). Production: named volumes cho DB data, external storage (EBS, NFS) cho cluster. Tmpfs cho sensitive temp data.","Container filesystem đủ persistent — data chỉ mất khi xoá container không phải restart","Named volumes cho DB data, external storage (EBS/NFS) cho cluster, tmpfs cho sensitive temp data","Bind mounts từ /tmp host — temporary directory nhưng persistent qua restarts","RAM disk cho tất cả data — fastest performance và persistent","2"
"8","Health checks: Liveness, Readiness, Startup probes khác nhau ở hành động gì khi fail?","","Docker-System","Liveness fail → RESTART container (app stuck/deadlock). Readiness fail → REMOVE khỏi load balancer (app chưa sẵn sàng nhận traffic). Startup fail → chờ app finish initializing.","Liveness check CPU; Readiness check memory; Startup check disk — phân chia theo resource","Liveness restart container; Readiness remove khỏi LB; Startup chờ initialization — mỗi probe action khác nhau","Cả 3 probes đều restart container khi fail — chỉ khác ở timing check","Liveness cho production; Readiness cho staging; Startup cho development — phân chia theo environment","2"
"9","Distributed tracing (Jaeger/Zipkin) khác logging thường ở scope nào?","","Docker-System","Logging: từng service ghi log riêng lẻ. Distributed tracing: theo dõi 1 request XUYÊN SUỐT nhiều services bằng trace ID → visualize call graph, measure latency từng hop.","Theo dõi request xuyên suốt services bằng trace ID → call graph và latency per hop","Ghi log tập trung từ tất cả services vào 1 file — centralized logging","Monitor CPU/RAM/disk từng server — infrastructure metrics collection","Alert khi error rate vượt threshold — alerting system","1"
"10","Circuit Breaker: Closed → Open → Half-Open. Transition triggers nào?","","Docker-System","Closed→Open: failure rate vượt threshold. Open→Half-Open: timeout expires (thử lại). Half-Open→Closed: test requests succeed. Half-Open→Open: test requests fail.","Transition random — Circuit Breaker chọn state ngẫu nhiên để test resilience","Closed→Open manual bởi operator; Open→Closed automatic sau 5 phút — không có Half-Open","Closed→Open khi failure vượt threshold; Open→Half-Open khi timeout; Half-Open→Closed khi test succeed","Closed→Open khi latency tăng; Open→Closed khi CPU giảm — metric-based không error-based","3"
