"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Một app React Native có FlatList hiển thị 5.000 items với ảnh. Khi scroll nhanh, app bị frame drop nghiêm trọng. Phân tích nguyên nhân và giải pháp tối ưu?","","React Native","Nguyên nhân: re-render items không cần thiết, ảnh chưa cache, render quá nhiều items. Giải pháp: getItemLayout (skip measurement), React.memo cho item, windowSize/maxToRenderPerBatch, FastImage cache, keyExtractor ổn định.","Chuyển sang ScrollView","getItemLayout, React.memo, windowSize/maxToRenderPerBatch, FastImage cache, keyExtractor ổn định","Giảm danh sách xuống 100 items","Tắt animation khi scroll","2"
"2","App React Native cần hoạt động offline-first: user tạo/sửa dữ liệu offline, sync lên server khi có mạng. Thiết kế architecture phù hợp?","","React Native","Dùng WatermelonDB/Realm cho local DB (sync-capable). NetInfo detect kết nối. Queue offline mutations. Sync strategy: pull-push với conflict resolution (timestamp-based hoặc server-wins). Optimistic UI updates.","Chặn mọi thao tác khi offline","WatermelonDB/Realm + NetInfo + queue offline mutations + pull-push sync với conflict resolution + optimistic UI","Chỉ cache API response","Dùng AsyncStorage cho tất cả data","2"
"3","Animation phức tạp trong React Native (gesture-driven, physics-based) bị giật khi chạy trên JS thread. Giải pháp kiến trúc nào phù hợp?","","React Native","Dùng Reanimated 2/3: chạy animation trên UI thread bằng worklets (JS-like code chạy trên native). Kết hợp React Native Gesture Handler cho gesture-driven animation. Shared values thay Animated.Value.","Dùng setInterval update style","Reanimated 2/3 (worklets trên UI thread) + Gesture Handler; shared values thay Animated.Value","Giảm FPS xuống 30","Bỏ animation phức tạp","2"
"4","Team phát triển app React Native gặp vấn đề: cùng 1 UI nhưng render khác nhau giữa iOS và Android. Cách xử lý systematic?","","React Native","Platform-specific files (.ios.tsx/.android.tsx) cho component khác biệt lớn. Platform.select() cho style nhỏ. Design system với tokens normalize cross-platform. Testing trên cả 2 platform trong CI/CD.","Chỉ hỗ trợ 1 platform","Platform-specific files (.ios/.android), Platform.select(), design system tokens, CI/CD testing cả 2 platform","Dùng WebView cho UI đồng nhất","Chấp nhận sự khác biệt","2"
"5","App cần implement Push Notification trong React Native cho cả iOS và Android. Kiến trúc end-to-end nào phù hợp?","","React Native","Dùng @react-native-firebase/messaging hoặc react-native-notifications. Flow: request permission → get FCM token → gửi token cho backend → backend gửi qua FCM → handle foreground/background/quit state notifications.","Chỉ cần gọi alert() trong JS","@react-native-firebase/messaging: request permission → FCM token → backend → FCM push → handle foreground/background/quit state","Dùng WebSocket thay push notification","Push notification chỉ hoạt động trên Android","2"
"6","App React Native có memory leak: RAM tăng liên tục khi navigate giữa các screen. Cách phát hiện và xử lý?","","React Native","Phát hiện: Flipper Memory plugin, Xcode Instruments, Android Profiler. Nguyên nhân phổ biến: subscription/listener không cleanup trong useEffect, closure giữ reference, image cache unbounded, global event emitter.","React Native không bị memory leak","Flipper/Instruments/Profiler; nguyên nhân: subscription không cleanup, closure reference, unbounded cache, global listeners","Restart app để giải phóng RAM","Do React Navigation gây ra, không sửa được","2"
"7","App e-commerce React Native cần tối ưu startup time (cold start). Hiện tại mất 4-5 giây trên Android. Các kỹ thuật tối ưu?","","React Native","Hermes engine (bytecode precompilation), inline requires (lazy loading modules), reduce bundle size (tree shaking, code splitting), splash screen native, defer non-critical initialization, ProGuard/R8 cho Android.","Không thể tối ưu cold start","Hermes engine, inline requires, reduce bundle size, native splash screen, defer non-critical init, ProGuard/R8","Chỉ cần tăng RAM điện thoại","Chuyển sang Flutter","2"
"8","Cần implement authentication flow (login, register, token refresh, auto-login) trong React Native. Thiết kế state management và navigation flow?","","React Native","Auth state trong Context/Zustand (isAuthenticated, token, user). Navigation: conditional rendering Auth Stack vs Main Stack dựa trên auth state. Token storage: react-native-keychain (encrypted). Interceptor cho token refresh.","Lưu password trong AsyncStorage","Auth state (Context/Zustand) → conditional navigation (Auth/Main Stack) → encrypted storage (Keychain) → interceptor token refresh","Dùng biến global cho token","Không cần auto-login","2"
"9","App React Native cần hỗ trợ OTA updates (cập nhật không qua App Store/Play Store). Giải pháp và trade-offs?","","React Native","CodePush (App Center): push JS bundle updates. EAS Update (Expo): tương tự cho Expo. Giới hạn: chỉ update JS/assets, không update native code. Cần versioning strategy, rollback plan, staged rollouts.","Không thể update mà không qua Store","CodePush/EAS Update: push JS bundle; giới hạn: chỉ JS/assets, không native code; cần versioning và rollback plan","Tự host APK/IPA","Bắt user reinstall app","2"
"10","Cần thiết kế CI/CD pipeline cho app React Native (build, test, deploy cho cả iOS và Android). Các bước và công cụ?","","React Native","CI: lint + type check → unit tests (Jest) → E2E tests (Detox) → build (Fastlane/EAS Build). CD: beta distribution (TestFlight + Firebase App Distribution) → staged rollout → production. Code signing automation.","Chỉ cần upload APK lên Store","CI: lint/type check → Jest → Detox E2E → Fastlane/EAS Build; CD: TestFlight/Firebase Distribution → staged rollout → production","CI/CD không cần thiết cho mobile","Chỉ test trên 1 platform là đủ","2"
