"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","React Navigation (JS-based) và React Native Navigation (Wix, native-based) khác nhau ở kiến trúc nào?","","React Native","React Navigation chạy hoàn toàn trên JS thread, dễ customize, cộng đồng lớn. RNN (Wix) dùng native navigation controllers, hiệu suất gesture tốt hơn nhưng setup phức tạp, cộng đồng nhỏ hơn.","React Navigation dùng native controllers; RNN chạy trên JS thread — React Navigation hiệu suất cao hơn","React Navigation: JS-based, dễ customize, cộng đồng lớn; RNN: native navigation, hiệu suất gesture tốt hơn, setup phức tạp","React Navigation chỉ hỗ trợ Stack navigation; RNN hỗ trợ tất cả loại navigation patterns","React Navigation đã deprecated, RNN là giải pháp chính thức duy nhất được React Native team khuyến khích","2"
"2","AsyncStorage có hạn chế kỹ thuật gì khiến nó không phù hợp cho mọi loại dữ liệu?","","React Native","AsyncStorage là key-value storage bất đồng bộ, persistent nhưng UNENCRYPTED. Giới hạn: không mã hóa, không phù hợp dữ liệu lớn/query phức tạp, hiệu suất chậm với lượng data lớn.","Unencrypted, chỉ lưu key-value đơn giản, hiệu suất chậm với data lớn — không cho sensitive data hay query phức tạp","Encrypted mặc định nhưng giới hạn 5MB storage và chỉ hỗ trợ string values","Synchronous blocking API gây lag UI khi đọc/ghi dữ liệu trên main thread","Chỉ hoạt động trên Android vì iOS dùng UserDefaults thay thế","1"
"3","Image component trong React Native hỗ trợ những nguồn ảnh nào và cách tối ưu hiệu suất?","","React Native","Hỗ trợ: local (require()), remote ({uri}), base64. Tối ưu: set width/height cụ thể, resizeMode phù hợp, dùng FastImage cho cache, lazy loading trong list, format WebP.","Chỉ hỗ trợ remote URI, cần convert tất cả ảnh local thành base64 trước khi dùng","Hỗ trợ local/remote/base64; tối ưu bằng kích thước cụ thể, resizeMode, FastImage cache, WebP format","Hỗ trợ mọi nguồn nhưng không cần tối ưu vì React Native tự động cache và resize","Chỉ hỗ trợ PNG/JPEG, không hỗ trợ WebP hay SVG — cần convert trước khi đưa vào app","2"
"4","Animated API trong React Native tạo animation mượt bằng cách nào?","","React Native","Tạo Animated.Value → bind vào style → chạy Animated.timing/spring/decay. useNativeDriver: true chạy animation trên native thread (không qua JS bridge) → mượt 60fps.","Dùng CSS @keyframes animation giống web — React Native tự convert sang native animation","Dùng setInterval cập nhật state mỗi 16ms để đạt 60fps — React re-render mỗi frame","Tạo Animated.Value → bind vào style → chạy timing/spring/decay; useNativeDriver chạy trên native thread","Dùng requestAnimationFrame giống web — React Native bridge chuyển frame updates sang native","3"
"5","Khi cần sử dụng custom native module, Expo managed workflow và React Native CLI khác nhau thế nào?","","React Native","Expo managed: không truy cập trực tiếp native code, dùng Expo SDK modules, cần dev client/eject cho custom native. CLI: toàn quyền truy cập native (Java/Kotlin, Swift/ObjC), tự quản lý build.","CLI chỉ hỗ trợ JavaScript, không truy cập native code; Expo cung cấp full native access qua managed workflow","Expo dùng Expo SDK, cần eject/dev-client cho custom native; CLI toàn quyền native code, tự quản lý build","CLI và Expo đều có full native access giống nhau — chỉ khác ở tốc độ build và bundle size","Expo compile JavaScript thành native code; CLI chạy JavaScript trên interpreter — khác ở runtime engine","2"
"6","useCallback và useMemo trong React Native nên dùng khi nào và có cần lưu ý gì?","","React Native","useCallback memoize function reference (quan trọng khi truyền cho FlatList/React.memo). useMemo memoize giá trị tính toán tốn kém. Cả hai có overhead nên chỉ dùng khi thực sự cần optimize.","Nên dùng cho mọi function và giá trị trong component vì không có overhead đáng kể","useCallback memoize function (cho FlatList/memo); useMemo memoize giá trị tốn kém — có overhead nên chỉ dùng khi cần","useCallback cho class component; useMemo cho function component — mỗi hook cho một loại component","useCallback thay thế useEffect; useMemo thay thế useState — dùng để giảm số lượng hooks","2"
"7","Form input trong React Native khác web ở những điểm kỹ thuật nào?","","React Native","Dùng TextInput (thay &lt;input&gt;), onChangeText (thay onChange trả event), không có form submit mặc định, cần KeyboardAvoidingView, returnKeyType điều khiển keyboard button.","Dùng TextInput với onChangeText; cần KeyboardAvoidingView; returnKeyType — không có form submit mặc định","Dùng thẻ &lt;input&gt; giống web vì React Native render HTML trong WebView container","Dùng NativeInput component với onChange giống web — KeyboardAvoidingView tự động áp dụng","Dùng TextInput giống web hoàn toàn — onChangeText là alias của onChange không có khác biệt","1"
"8","New Architecture (Fabric + TurboModules) giải quyết bottleneck nào của React Native cũ?","","React Native","Architecture cũ dùng bridge async serialize/deserialize JSON giữa JS và Native → overhead. Fabric: synchronous renderer. TurboModules: lazy-loaded native modules qua JSI giao tiếp trực tiếp JS↔Native.","Thay thế JavaScript engine bằng WebAssembly runtime để tăng tốc tính toán trên mobile","Chuyển toàn bộ rendering sang WebGL canvas layer để bypass native UI framework","Loại bỏ bridge cũ (async serialization); Fabric: sync renderer; TurboModules: lazy-load qua JSI giao tiếp trực tiếp","Biên dịch ahead-of-time JavaScript thành native machine code thay vì interpret tại runtime","3"
"9","Nested navigators (Stack trong Tab, Drawer chứa Stack) cần lưu ý gì về state management?","","React Native","Mỗi navigator quản lý state riêng biệt. navigation.navigate() cần chỉ định screen trong nested navigator. Deep linking cần config routes đầy đủ cho tất cả levels.","Nested navigators tự động merge state thành một state tree duy nhất quản lý bởi root navigator","Mỗi navigator quản lý state riêng; navigate() cần chỉ định screen trong nested; deep linking cần config routes đầy đủ","Chỉ được nest tối đa 2 levels (ví dụ Stack trong Tab) — nesting sâu hơn gây crash","Nested navigators chia sẻ cùng navigation state nên navigate() không cần chỉ định target navigator","2"
"10","Context API phù hợp cho loại state nào trong React Native và khi nào nên dùng state management library?","","React Native","Context phù hợp cho state ít thay đổi (theme, auth, locale) vì mọi consumer re-render khi value đổi. Redux/Zustand cho state phức tạp, thay đổi thường xuyên, cần middleware, devtools, nhiều consumers.","Context cho mọi loại state vì nhẹ hơn Redux — chỉ dùng Redux khi app có hơn 50 components","Context đã deprecated trong React Native — luôn dùng Redux hoặc MobX cho mọi state management","Context cho state ít thay đổi (theme, auth); state management library cho state phức tạp thay đổi thường xuyên","Context chỉ cho global state; Redux chỉ cho local component state — phân chia theo scope","3"
