"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Docker Image khác Virtual Machine image ở kiến trúc isolation nào?","","Docker-System","Docker Image là template read-only, container chia sẻ kernel OS với host (lightweight). VM image chứa full OS (heavy). Image dùng layer system, mỗi layer cached.","Template read-only chứa code/runtime/libraries, container share kernel host — lightweight hơn VM","Full OS image giống VM nhưng nhỏ hơn — container chạy kernel riêng biệt","Snapshot của container đang chạy — không phải template mà là backup","Binary executable chạy trực tiếp trên hardware không cần OS — bare metal deployment","1"
"2","Container khác Virtual Machine ở mức độ isolation và resource usage nào?","","Docker-System","Container: process-level isolation, share kernel host, start milliseconds, MB-level resources. VM: hardware-level isolation, full OS riêng, start minutes, GB-level resources.","Application-level isolation không share gì với host — hoàn toàn cách ly","Network-level isolation chỉ cách ly network, share filesystem với host","Process-level isolation share kernel host, start ms, MB resources — nhẹ hơn VM","Hardware-level isolation có OS riêng, start minutes, GB resources — giống VM","3"
"3","Dockerfile build image qua những instruction chính nào?","","Docker-System","FROM (base image), RUN (execute commands), COPY/ADD (copy files), WORKDIR (set directory), EXPOSE (declare port), CMD/ENTRYPOINT (default command). Build: docker build -t name .","Chỉ có FROM và RUN — các instruction khác là optional không ảnh hưởng build","Dockerfile chỉ define metadata — actual build xử lý bởi docker-compose","Dockerfile là YAML config file giống docker-compose — không phải instruction-based","FROM, RUN, COPY, WORKDIR, EXPOSE, CMD/ENTRYPOINT — từng instruction tạo layer trong image","4"
"4","docker-compose.yml quản lý multi-container app bằng cách nào?","","Docker-System","Define services (containers), networks (giao tiếp), volumes (persistent data) trong YAML. docker-compose up khởi động toàn bộ stack. Phù hợp cho development/testing environment.","Build Docker images — docker-compose thay thế Dockerfile","Define services/networks/volumes trong YAML — docker-compose up khởi động toàn bộ stack","Viết application code — docker-compose là programming framework","Chỉ quản lý 1 container — multi-container cần Kubernetes","2"
"5","Docker Volume giải quyết vấn đề gì về data persistence?","","Docker-System","Container filesystem ephemeral (mất khi container xoá). Volume mount persistent storage vào container, tồn tại independent. Dùng cho database data, logs, config. Types: named, bind mount.","Network bandwidth cho container — tăng throughput giao tiếp giữa containers","CPU cores allocation — giới hạn compute resources cho container","RAM allocation cho container — tăng memory available cho application","Persistent storage tồn tại khi container xoá — dùng cho DB data, logs, config files","4"
"6","Kiến trúc Monolith deploy ứng dụng dưới dạng nào?","","Docker-System","Toàn bộ ứng dụng là MỘT deployment unit: tất cả modules (user, order, payment) trong cùng process, cùng database. Deploy/scale toàn bộ hoặc không gì.","Mỗi function là serverless unit, auto-scale theo request — FaaS architecture","Mỗi page là static file served từ CDN — JAMstack architecture","Toàn bộ app là 1 deployment unit, tất cả modules cùng process, deploy/scale toàn bộ cùng lúc","Mỗi module là service riêng biệt với database riêng, deploy độc lập","3"
"7","Microservices chia ứng dụng theo nguyên tắc nào?","","Docker-System","Mỗi service đảm nhiệm 1 business capability, database riêng (database per service), deploy độc lập, communicate qua API/message queue. Team owns service end-to-end.","Mỗi service 1 business capability, database riêng, deploy độc lập, communicate qua API/message queue","Mỗi module share database chung và deploy cùng nhau — giống monolith nhưng tổ chức code khác","Mỗi function xử lý 1 HTTP request — function-level granularity không phải service-level","Mỗi layer (UI, business, data) là 1 service — chia theo technical layer không phải business","1"
"8","Image là blueprint, Container là instance. Mối quan hệ tương tự gì trong OOP?","","Docker-System","Image = Class (template/blueprint, read-only). Container = Object/Instance (đang chạy, read-write layer). Một Image tạo nhiều Containers giống một Class tạo nhiều Objects.","Image và Container là cùng thứ — chỉ khác trạng thái running/stopped","Image là Class (template read-only); Container là Object (instance đang chạy) — 1 Image tạo nhiều Containers","Image chứa data; Container chứa code — phân chia theo content type","Image là Object (instance); Container là Class (template) — Container define, Image run","2"
"9","Horizontal scaling và Vertical scaling trade-off ở điểm nào?","","Docker-System","Vertical: tăng resource 1 server (CPU/RAM) — đơn giản nhưng có giới hạn hardware. Horizontal: thêm servers + load balancer — scalable hơn nhưng phức tạp (stateless, distributed system).","Vertical thêm servers; Horizontal tăng RAM — tên gọi ngược behavior","Vertical tăng resource 1 server đơn giản giới hạn; Horizontal thêm servers scalable nhưng phức tạp","Vertical cho database; Horizontal cho application — phân chia theo component type","Vertical miễn phí; Horizontal tốn tiền — phân chia theo cost","2"
"10","API Gateway trong Microservices đảm nhiệm những cross-cutting concerns nào?","","Docker-System","Single entry point: routing requests đến service đúng, authentication/authorization, rate limiting, caching, logging, response aggregation, protocol translation. Tránh client gọi trực tiếp services.","Single entry point: routing, auth, rate limiting, caching, logging, response aggregation","Database trung tâm lưu trữ data cho tất cả microservices","Message queue xử lý asynchronous communication giữa services","Service mesh quản lý service-to-service communication nội bộ","1"
