"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Closure trong JavaScript là gì và có ứng dụng thực tế nào?","","JavaScript","Closure là hàm có thể truy cập biến từ scope bên ngoài ngay cả khi hàm bên ngoài đã kết thúc. Ứng dụng: data privacy, factory functions, memoization, currying.","Một cách khai báo biến global","Hàm có thể truy cập biến từ scope bên ngoài ngay cả khi hàm ngoài đã kết thúc, dùng cho data privacy và memoization","Một kiểu vòng lặp đặc biệt","Một cú pháp import module","2"
"2","Arrow function khác gì so với regular function về từ khóa this?","","JavaScript","Regular function có this riêng, xác định bởi cách gọi (method/constructor/bind). Arrow function không có this riêng, kế thừa this từ lexical scope (scope nơi nó được khai báo).","Cả hai đều có this giống nhau","Regular function có this riêng; Arrow function kế thừa this từ lexical scope bên ngoài","Arrow function có this mạnh hơn","Regular function không có this","2"
"3","Phân biệt cơ chế xử lý bất đồng bộ: Callback, Promise và Async/Await?","","JavaScript","Callback: hàm truyền vào hàm khác, dễ gây callback hell. Promise: chuỗi .then().catch(), tránh callback hell. Async/Await: cú pháp đồng bộ cho Promise, dễ đọc nhất.","Callback dễ gây nesting sâu; Promise dùng .then() chuỗi; Async/Await viết như đồng bộ trên nền Promise","Cả ba đều giống nhau về cú pháp","Async/Await không dùng Promise bên trong","Callback hiện đại hơn Promise","1"
"4","Sự khác biệt giữa toán tử Spread và Rest trong JavaScript?","","JavaScript","Cùng cú pháp (...) nhưng khác ngữ cảnh. Spread: mở rộng/trải phần tử (trong gọi hàm, tạo array/object). Rest: gom phần tử lại thành mảng (trong khai báo hàm, destructuring).","Spread gom lại; Rest mở rộng","Cả hai đều chỉ dùng cho mảng","Spread mở rộng/trải phần tử; Rest gom phần tử lại thành mảng","Spread dùng ... còn Rest dùng **","3"
"5","Giải thích về Destructuring trong ES6?","","JavaScript","Destructuring cho phép trích xuất giá trị từ mảng hoặc thuộc tính từ object vào các biến riêng biệt bằng cú pháp ngắn gọn. Ví dụ: const {name, age} = person;","Một cách xóa phần tử khỏi mảng","Một phương thức sắp xếp mảng","Một cách tạo đối tượng mới","Trích xuất giá trị từ mảng/object vào các biến riêng biệt bằng cú pháp ngắn gọn","4"
"6","Sự khác biệt giữa const và Object.freeze() là gì?","","JavaScript","const ngăn gán lại biến (reassignment) nhưng object bên trong vẫn thay đổi thuộc tính được. Object.freeze() ngăn thay đổi thuộc tính của object (shallow freeze).","Cả hai đều giống nhau","Object.freeze() chỉ dùng cho mảng","const làm đông cứng object; Object.freeze() ngăn gán lại","const ngăn gán lại biến; Object.freeze() ngăn thay đổi thuộc tính của object","4"
"7","Sự khác biệt giữa for...of và for...in trong JavaScript?","","JavaScript","for...in: lặp qua các key/index (enumerable properties) của object. for...of: lặp qua các giá trị (values) của iterable (array, string, Map, Set).","Cả hai đều lặp qua giá trị","for...of dùng cho object; for...in dùng cho mảng","for...in lặp qua key/index; for...of lặp qua giá trị của iterable","for...in mới hơn for...of","3"
"8","Template literal trong ES6 là gì?","","JavaScript","Template literal dùng backtick (`) cho phép nội suy biểu thức ${expression}, chuỗi nhiều dòng, và tagged templates. Thay thế chuỗi nối bằng +.","Chuỗi dùng backtick cho phép nội suy biểu thức ${}, hỗ trợ chuỗi nhiều dòng","Một kiểu dữ liệu mới","Một kiểu comment mới","Một cách import module","1"
"9","IIFE (Immediately Invoked Function Expression) là gì?","","JavaScript","IIFE là hàm được khai báo và gọi ngay lập tức: (function(){...})(). Tạo scope riêng biệt, tránh ô nhiễm global scope. Phổ biến trong module pattern trước ES6.","Một hàm chạy sau 1 giây","Hàm được khai báo và gọi ngay lập tức, tạo scope riêng biệt tránh ô nhiễm global","Một hàm chỉ gọi được một lần","Một hàm bất đồng bộ đặc biệt","2"
"10","Các trạng thái của Promise trong JavaScript là gì?","","JavaScript","Promise có 3 trạng thái: Pending (đang chờ), Fulfilled (thành công - resolved), Rejected (thất bại). Khi chuyển trạng thái sẽ không thể thay đổi lại (immutable).","3 trạng thái: Pending (chờ), Fulfilled (thành công), Rejected (thất bại) - không thể đổi lại","Chỉ có 2: Success và Failure","4 trạng thái: Start, Pending, Done, Error","Chỉ có 1: Running","1"
