"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Sự khác biệt chính giữa mệnh đề WHERE và HAVING trong câu lệnh SELECT là gì?","","DA SQL","WHERE lọc các bản ghi nguồn (rows) trước khi tính toán gom nhóm. HAVING dùng để lọc các nhóm (groups) thỏa mãn điều kiện trên các hàm aggregate.","WHERE lọc dữ liệu trước khi gom nhóm (GROUP BY); HAVING lọc kết quả sau khi đã gom nhóm và tính toán hàm aggregate","WHERE chỉ dùng cho kiểu dữ liệu số; HAVING chỉ dùng cho kiểu dữ liệu chuỗi ký tự","WHERE đứng sau mệnh đề GROUP BY; HAVING đứng trước mệnh đề GROUP BY","WHERE bắt buộc phải có trong mọi truy vấn; HAVING chỉ dùng khi thực hiện phép nối LEFT JOIN","1"
"2","Cho câu lệnh: `SELECT ROW_NUMBER() OVER (PARTITION BY department_id ORDER BY salary DESC) as row_num FROM employees;` Đoạn code này thực hiện điều gì?","","DA SQL","Hàm `ROW_NUMBER() OVER` là Window Function. `PARTITION BY department_id` chia nhân viên thành các nhóm theo phòng ban, và `ORDER BY salary DESC` đánh số thứ tự từ 1 (lương cao nhất) đến hết trong nhóm đó.","Đánh số thứ tự tăng dần từ 1 cho nhân viên trong từng phòng ban theo mức lương giảm dần — hàm phân tích cửa sổ (Window Function)","Tính tổng lương của nhân viên trong từng phòng ban một cách tự động — hàm gom nhóm","Xóa bỏ các nhân viên có lương trùng nhau trong cùng một phòng ban — lọc dữ liệu","Sắp xếp toàn bộ bảng nhân viên theo thứ tự phòng ban tăng dần và lương giảm dần — sắp xếp bảng","1"
"3","Trong SQL, hàm COALESCE(column_name, 0) hoạt động như thế nào?","","DA SQL","COALESCE() nhận vào một danh sách các tham số và trả về giá trị đầu tiên khác NULL trong danh sách đó. Ở đây nếu cột bị NULL, nó sẽ trả về 0.","Trả về giá trị của column_name nếu nó khác NULL; nếu column_name bị NULL thì trả về giá trị 0 — hàm xử lý NULL mặc định","Chuyển đổi kiểu dữ liệu của cột column_name thành kiểu số nguyên (Integer)","Đếm số lượng giá trị NULL xuất hiện trong cột column_name của bảng dữ liệu","Tự động cộng thêm 0 vào tất cả các giá trị số trong cột column_name","1"
"4","Để kết nối hai bảng dữ liệu mà kết quả trả về bao gồm tất cả các dòng của cả hai bảng (kể cả các dòng không khớp nhau ở cả hai phía), ta dùng phép nối nào?","","DA SQL","FULL OUTER JOIN kết hợp kết quả của cả LEFT JOIN và RIGHT JOIN, giữ lại toàn bộ dữ liệu của cả hai bảng nguồn.","FULL OUTER JOIN — lấy toàn bộ dữ liệu từ cả hai bảng, điền NULL vào các ô không khớp","INNER JOIN — chỉ lấy dữ liệu khớp nhau ở cả hai bảng","CROSS JOIN — thực hiện tích Descartes kết hợp mọi dòng bảng A với mọi dòng bảng B","RIGHT JOIN — lấy tất cả dữ liệu từ bảng bên phải và dòng khớp bảng bên trái","1"
"5","Bảng Orders (OrderID, CustomerID, OrderDate). Câu lệnh nào tìm tổng số đơn hàng của từng khách hàng có trên 5 đơn hàng?","","DA SQL","Hàm aggregate `COUNT(OrderID)` không được phép đặt trong WHERE. Điều kiện lọc số đơn hàng của từng nhóm khách hàng phải được đặt ở mệnh đề HAVING sau GROUP BY.","SELECT CustomerID, COUNT(OrderID) FROM Orders GROUP BY CustomerID HAVING COUNT(OrderID) &gt; 5;","SELECT CustomerID, COUNT(OrderID) FROM Orders WHERE COUNT(OrderID) &gt; 5 GROUP BY CustomerID;","SELECT CustomerID, SUM(OrderID) FROM Orders GROUP BY CustomerID HAVING SUM(OrderID) &gt; 5;","SELECT CustomerID, COUNT(OrderID) FROM Orders GROUP BY CustomerID WHERE COUNT(OrderID) &gt; 5;","1"
"6","Sự khác biệt chính giữa toán tử UNION và UNION ALL khi kết hợp kết quả của hai câu lệnh SELECT là gì?","","DA SQL","UNION lọc trùng lặp (duplication removal), do đó tốn tài nguyên sắp xếp/lọc hơn. UNION ALL chỉ ghép nối cơ học tập kết quả nên nhanh hơn.","UNION loại bỏ các dòng kết quả trùng lặp; UNION ALL giữ lại toàn bộ các dòng kết quả kể cả dòng trùng lặp","UNION chỉ chạy được trên kiểu dữ liệu số; UNION ALL chạy được trên mọi kiểu dữ liệu","UNION ALL thực hiện nhanh hơn UNION vì nó không cần thực hiện thêm bước kiểm tra và lọc trùng lặp — hiệu năng tối ưu hơn","UNION gộp bảng theo chiều ngang (thêm cột); UNION ALL gộp bảng theo chiều dọc (thêm dòng)","1"
"7","Khi nào việc sử dụng CTE (Common Table Expression - khai báo bằng từ khóa WITH) tốt hơn sử dụng Subquery thông thường?","","DA SQL","CTE định nghĩa các bảng tạm ảo trong phạm vi câu lệnh, giúp phân rã các truy vấn lồng nhau phức tạp thành các khối mã tuần tự, cải thiện độ trực quan.","Khi truy vấn phức tạp, lồng nhiều cấp hoặc cần tái sử dụng cùng một tập kết quả trung gian nhiều lần — giúp code rõ ràng, dễ đọc và bảo trì","Khi cơ sở dữ liệu yêu cầu bắt buộc phải chạy song song nhiều câu lệnh INSERT","Khi cần tăng tốc độ thực thi của câu lệnh SELECT lên gấp nhiều lần mà không dùng Index","Khi cần kết nối hai database nằm ở hai máy chủ vật lý khác nhau trên mạng","1"
"8","Trong database, mục đích cốt lõi của việc tạo Index (chỉ mục) trên một cột của bảng dữ liệu là gì?","","DA SQL","Index tạo ra một cấu trúc cây tìm kiếm (thường là B-Tree) giúp công cụ tìm dữ liệu nhanh hơn mà không cần quét toàn bộ bảng (Table Scan). Tuy nhiên, mỗi lần ghi dữ liệu, DB phải cập nhật lại cây Index nên làm ghi chậm hơn.","Tăng tốc độ tìm kiếm và truy vấn dữ liệu (SELECT) trên cột đó; làm chậm tốc độ ghi dữ liệu (INSERT/UPDATE/DELETE)","Đảm bảo dữ liệu trong cột đó không bao giờ bị ghi đè hoặc chỉnh sửa bởi người dùng","Tự động định dạng lại font chữ và kiểu hiển thị của dữ liệu trong bảng kết quả","Tạo ra một bảng sao lưu dự phòng tự động của cột dữ liệu đó để tránh mất mát","1"
"9","Sự khác biệt giữa hàm RANK() và DENSE_RANK() khi xử lý các giá trị trùng lặp (tie) trong Window Function là gì?","","DA SQL","Ví dụ với mức lương: 100, 100, 80. RANK() sẽ đánh số: 1, 1, 3 (nhảy qua số 2). DENSE_RANK() đánh số: 1, 1, 2 (đảm bảo số thứ tự liên tục).","RANK() bỏ qua các số thứ tự tiếp theo (tạo khoảng nhảy); DENSE_RANK() đánh số liên tục không tạo khoảng nhảy","RANK() chỉ chạy trên các cột số nguyên; DENSE_RANK() chạy trên mọi kiểu dữ liệu số","RANK() sắp xếp tăng dần; DENSE_RANK() sắp xếp giảm dần một cách tự động","RANK() trả về tổng số dòng; DENSE_RANK() trả về số dòng duy nhất","1"
"10","Trong thiết kế cơ sở dữ liệu quan hệ, dạng chuẩn 3 (3NF) yêu cầu điều kiện gì để đảm bảo cấu trúc tối ưu?","","DA SQL","Dạng chuẩn 3 (3NF) loại bỏ các phụ thuộc bắc cầu. Nghĩa là không có cột phi khóa nào được xác định thông qua một cột phi khóa khác.","Bảng phải đạt chuẩn 2 (2NF) và không tồn tại phụ thuộc bắc cầu (transitive dependency) giữa các cột phi khóa chính","Bảng phải chứa tối thiểu một cột khóa chính và một cột khóa ngoại liên kết bảng khác","Tất cả các cột dữ liệu trong bảng bắt buộc phải được khai báo kiểu dữ liệu văn bản","Bảng không được chứa quá 10 cột dữ liệu và không được có dòng nào chứa giá trị NULL","1"
