"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Asymptotic analysis dùng Big O/Theta/Omega đánh giá thuật toán ở khía cạnh nào?","","Algorithms","Phân tích tiệm cận đánh giá hành vi thuật toán khi n→∞, độc lập hardware. Big O: upper bound. Theta: tight bound. Omega: lower bound.","Đánh giá hành vi thuật toán khi n→∞ bằng upper/tight/lower bound — độc lập hardware","Đo thời gian thực thi chính xác bằng milliseconds trên CPU cụ thể","So sánh số dòng code giữa các implementation khác nhau của cùng thuật toán","Đánh giá memory layout và cache performance trên kiến trúc CPU cụ thể","1"
"2","Quick Sort và Merge Sort khác nhau ở worst-case và memory usage nào?","","Algorithms","Merge Sort: LUÔN O(n log n) nhưng cần O(n) memory phụ. Quick Sort: average O(n log n) nhưng worst O(n²), in-place nên chỉ O(log n) stack memory.","Quick Sort luôn O(n log n) và cần O(n) memory; Merge Sort average O(n log n) nhưng worst O(n²)","Merge Sort luôn O(n log n) cần O(n) memory phụ; Quick Sort average O(n log n) nhưng worst O(n²) in-place","Cả hai đều O(n²) worst case nhưng Merge Sort stable còn Quick Sort không stable","Quick Sort cần O(n) memory phụ; Merge Sort in-place không cần memory phụ","2"
"3","Selection Sort và Insertion Sort khác nhau ở cách sắp xếp phần tử nào?","","Algorithms","Selection Sort: tìm min/max rồi đặt vào vị trí đúng. Insertion Sort: lấy phần tử hiện tại chèn vào đúng vị trí trong phần đã sắp xếp. Cả hai O(n²) nhưng Insertion tốt hơn với data gần sorted.","Selection tìm min/max đặt đúng vị trí; Insertion chèn phần tử vào đúng chỗ trong phần đã sorted — Insertion tốt hơn với near-sorted data","Selection chèn phần tử vào đúng chỗ; Insertion tìm min/max — Selection tốt hơn với near-sorted data","Cả hai hoạt động giống nhau nhưng Selection dùng cho integer, Insertion dùng cho string","Selection là O(n log n); Insertion là O(n²) — Selection luôn nhanh hơn trong mọi trường hợp","1"
"4","Dijkstra giải bài toán đường đi ngắn nhất với ràng buộc nào về trọng số?","","Algorithms","Dijkstra tìm shortest path từ source đến tất cả vertices trong đồ thị có trọng số KHÔNG ÂM. Dùng greedy + priority queue. Không hoạt động đúng với trọng số âm (dùng Bellman-Ford).","Tìm shortest path trong đồ thị có trọng số không âm — không hoạt động đúng với trọng số âm","Tìm shortest path trong đồ thị có trọng số bất kỳ kể cả âm — nhanh hơn Bellman-Ford","Tìm minimum spanning tree trong đồ thị vô hướng — tương tự Kruskal nhưng dùng priority queue","Tìm longest path trong DAG — dùng negation trick để chuyển thành shortest path","1"
"5","Khi nào Binary Search hiệu quả hơn Linear Search và khi nào không?","","Algorithms","Binary Search O(log n) hiệu quả hơn khi data đã sorted và tìm kiếm nhiều lần. Nếu data chưa sorted và chỉ tìm 1 lần, chi phí sort O(n log n) + search O(log n) &gt; Linear O(n).","Binary Search hiệu quả khi data đã sorted và tìm nhiều lần; cost sort+search &gt; Linear nếu tìm 1 lần","Binary Search luôn hiệu quả hơn Linear Search bất kể data sorted hay không","Binary Search chỉ hiệu quả với data dưới 1000 phần tử; data lớn hơn dùng Linear Search","Binary Search hiệu quả với string data; Linear Search hiệu quả với numeric data","1"
"6","Merge Sort cần bao nhiêu bộ nhớ phụ ngoài input array?","","Algorithms","O(n) cho mảng phụ khi merge + O(log n) cho stack đệ quy. Tổng cộng O(n) auxiliary space. Đây là nhược điểm so với Quick Sort (in-place, O(log n) stack).","O(1) — Merge Sort sắp xếp tại chỗ (in-place) không cần bộ nhớ phụ","O(n) — cần mảng phụ khi merge, đây là nhược điểm so với Quick Sort in-place","O(n²) — cần matrix phụ cho mỗi level của đệ quy","O(log n) — chỉ cần stack cho đệ quy, merge thực hiện in-place","2"
"7","Mọi thuật toán đệ quy phải đảm bảo hai quy tắc nào?","","Algorithms","(1) Base case — điều kiện dừng. (2) Recursive case — bài toán con PHẢI thu nhỏ tiến về base case. Vi phạm → infinite recursion → stack overflow.","Base case (điều kiện dừng) và recursive case phải thu nhỏ tiến về base case","Return statement và break statement trong mỗi nhánh đệ quy","Try-catch block và maximum depth counter để ngăn stack overflow","Tail call optimization và memoization để tối ưu bộ nhớ stack","1"
"8","Binary Search có thể áp dụng hiệu quả cho Linked List không?","","Algorithms","Lý thuyết có thể nhưng KHÔNG hiệu quả. Binary Search cần truy cập phần tử giữa O(1), nhưng Linked List truy cập tuần tự O(n). Tổng thể O(n log n) thay vì O(log n).","Có thể và hiệu quả như array vì Linked List hỗ trợ random access qua node pointer","Lý thuyết có thể nhưng không hiệu quả — truy cập giữa Linked List mất O(n) thay vì O(1)","Không thể áp dụng dưới bất kỳ hình thức nào — Binary Search chỉ hoạt động với array","Chỉ hiệu quả với Doubly Linked List vì có thể duyệt ngược từ cuối thay vì từ đầu","2"
"9","Quick Sort worst-case O(n²) xảy ra trong điều kiện nào?","","Algorithms","Khi pivot luôn là min/max (phân chia cực kỳ không cân bằng). Xảy ra với mảng đã sorted + chọn pivot đầu/cuối. Khắc phục: random pivot hoặc median-of-three.","Khi pivot luôn là min/max gây phân chia không cân — xảy ra với sorted array + pivot đầu/cuối","Khi mảng có phần tử trùng lặp — Dutch National Flag partitioning cải thiện","Khi mảng có kích thước là lũy thừa của 2 — partitioning overhead tăng","Khi recursive depth vượt quá O(log n) — JVM tự switch sang iterative","1"
"10","Topological Sort áp dụng cho loại đồ thị nào và giải bài toán gì?","","Algorithms","Áp dụng cho DAG (Directed Acyclic Graph). Sắp xếp vertices sao cho mọi cạnh u→v thì u đứng trước v. Ứng dụng: dependency resolution, build systems, task scheduling.","Áp dụng cho đồ thị vô hướng — sắp xếp vertices theo degree (số cạnh) giảm dần","Áp dụng cho đồ thị có chu trình — phát hiện và loại bỏ chu trình trước khi sắp xếp","Áp dụng cho DAG — sắp xếp vertices sao cho mọi cạnh u→v thì u đứng trước v","Áp dụng cho đồ thị có trọng số — sắp xếp cạnh theo trọng số tăng dần","3"
