"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Overloading và Overriding đều liên quan đến phương thức cùng tên. Chúng khác nhau ở bối cảnh nào?","","OOP","Overloading: cùng tên, khác tham số, trong cùng một lớp (compile-time polymorphism). Overriding: lớp con định nghĩa lại phương thức lớp cha với cùng signature (runtime polymorphism).","Overloading xảy ra ở lớp con với cùng signature; Overriding xảy ra ở cùng lớp với khác tham số","Overloading: cùng tên khác tham số trong cùng lớp (compile-time); Overriding: lớp con ghi đè cùng signature (runtime)","Overloading thay đổi kiểu trả về giữ nguyên tham số; Overriding thay đổi tham số giữ nguyên kiểu trả về","Overloading chỉ áp dụng cho constructor; Overriding chỉ áp dụng cho method thông thường","2"
"2","Abstract Class và Interface khác nhau ở khả năng chứa implementation nào?","","OOP","Abstract Class chứa cả phương thức có thân hàm (concrete) và trừu tượng, có constructor, có fields. Interface (truyền thống) chỉ chứa method signatures trừu tượng, không có constructor.","Interface chứa phương thức concrete và constructor; Abstract Class chỉ chứa method signatures","Abstract Class chỉ chứa method signatures; Interface chứa phương thức concrete và static fields","Abstract Class chứa cả concrete và abstract methods, có constructor; Interface chỉ chứa method signatures","Abstract Class và Interface đều chứa concrete methods và constructor — chỉ khác ở tên gọi","3"
"3","Compile-time Polymorphism và Runtime Polymorphism được xác định ở thời điểm nào?","","OOP","Compile-time: xác định lúc biên dịch qua method overloading (cùng tên, khác tham số). Runtime: xác định lúc chạy qua method overriding và dynamic dispatch dựa trên kiểu thực tế của object.","Compile-time xác định qua overriding lúc biên dịch; Runtime xác định qua overloading lúc chạy","Compile-time xác định qua access modifiers; Runtime xác định qua exception handling","Compile-time và Runtime đều xác định lúc biên dịch nhưng khác ở tốc độ thực thi","Compile-time xác định qua overloading lúc biên dịch; Runtime xác định qua overriding lúc chạy","4"
"4","Access modifiers public, private, protected kiểm soát phạm vi truy cập khác nhau ra sao?","","OOP","public: truy cập từ mọi nơi. private: chỉ trong cùng lớp khai báo. protected: trong cùng lớp và các lớp con (subclass). Đây là cơ chế cốt lõi của tính đóng gói.","public: mọi nơi; private: cùng lớp và lớp con; protected: chỉ cùng lớp khai báo","public: cùng lớp và package; private: mọi nơi; protected: chỉ lớp con","public: mọi nơi; private: chỉ cùng lớp khai báo; protected: cùng lớp và lớp con","public: chỉ lớp con; private: cùng package; protected: mọi nơi","3"
"5","Khi nào nên dùng Interface thay vì Abstract Class?","","OOP","Interface khi cần định nghĩa contract cho nhiều lớp KHÔNG liên quan về kế thừa (multiple implementation). Abstract Class khi các lớp con CÓ chung logic cần chia sẻ code.","Khi các lớp con cần chia sẻ implementation code chung và có mối quan hệ kế thừa rõ ràng","Khi cần tạo object trực tiếp từ type definition mà không cần implement bất kỳ method nào","Khi cần định nghĩa contract chung cho nhiều lớp không liên quan kế thừa (multiple implementation)","Khi chỉ có duy nhất một lớp con implement và không cần mở rộng trong tương lai","3"
"6","Lớp con (Subclass) có thể làm gì với thuộc tính và phương thức của lớp cha (Superclass)?","","OOP","Lớp con kế thừa public/protected members từ lớp cha. Có thể: sử dụng trực tiếp, mở rộng (thêm mới), hoặc ghi đè (override) phương thức. Private members không kế thừa trực tiếp.","Chỉ có thể sử dụng trực tiếp mà không thể ghi đè hay mở rộng bất kỳ phương thức nào","Kế thừa tất cả members (kể cả private), có thể sử dụng, mở rộng hoặc ghi đè bất kỳ member nào","Kế thừa public/protected members; có thể sử dụng trực tiếp, mở rộng hoặc ghi đè","Chỉ kế thừa phương thức, không kế thừa thuộc tính — thuộc tính phải khai báo lại trong lớp con","3"
"7","Các kiểu kế thừa phổ biến trong OOP bao gồm những loại nào?","","OOP","Single (1 cha → 1 con), Multiple (nhiều cha → 1 con), Multilevel (ông → cha → con), Hierarchical (1 cha → nhiều con), Hybrid (kết hợp nhiều kiểu). Multiple inheritance gây Diamond Problem.","Single, Multiple, Multilevel, Hierarchical, Hybrid — Multiple có thể gây Diamond Problem","Chỉ có Single và Multiple — các kiểu khác là biến thể không được coi là chính thức","Linear và Circular — Linear kế thừa một chiều, Circular kế thừa vòng lặp giữa các lớp","Single, Double, Triple — phân loại theo số lượng lớp cha trực tiếp mà lớp con kế thừa","1"
"8","Data Abstraction được triển khai qua cơ chế nào trong OOP?","","OOP","Qua Abstract Class (có method trừu tượng buộc subclass triển khai) và Interface (định nghĩa contract chỉ có what, không có how). Ẩn chi tiết triển khai, expose chức năng cần thiết.","Qua encryption algorithms để mã hóa source code trước khi compile thành bytecode","Qua Abstract Class và Interface — ẩn chi tiết triển khai, chỉ expose chức năng cần thiết","Qua code minification và obfuscation để ẩn tên biến và logic triển khai","Qua access modifiers private và protected để ngăn truy cập trực tiếp vào thuộc tính","2"
"9","Exception handling trong OOP dùng cơ chế nào để xử lý lỗi runtime?","","OOP","try-catch-finally: try bọc code có thể throw exception, catch bắt và xử lý exception cụ thể, finally chạy luôn (cleanup). Phân loại: checked (bắt buộc xử lý) và unchecked (runtime).","try bọc code lỗi, catch xử lý exception, finally chạy luôn dù có lỗi hay không — exception chia checked/unchecked","try-catch-finally chỉ dùng cho lỗi compile-time (syntax errors), runtime errors không bắt được","if-else kiểm tra điều kiện lỗi trước khi thực thi — try-catch là syntax sugar cho if-else","try chạy code song song trên thread khác, catch nhận kết quả từ thread — giống Promise pattern","1"
"10","Copy Constructor khác default constructor ở cách khởi tạo object nào?","","OOP","Default constructor khởi tạo object với giá trị mặc định (không tham số). Copy constructor nhận object cùng kiểu làm tham số và sao chép giá trị thuộc tính → tạo bản sao độc lập.","Default constructor nhận tham số bất kỳ; Copy constructor không nhận tham số — khác ở số lượng parameters","Default constructor khởi tạo giá trị mặc định; Copy constructor sao chép từ object có sẵn tạo bản sao độc lập","Default constructor tạo object trên stack; Copy constructor tạo object trên heap — khác ở vùng bộ nhớ","Default constructor là public; Copy constructor là private — khác ở access modifier","2"
