"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Ký hiệu Big O dùng để đo gì trong thuật toán?","","Algorithms","Big O mô tả giới hạn trên của độ phức tạp thời gian hoặc không gian của thuật toán khi kích thước đầu vào tăng, giúp so sánh hiệu suất giữa các thuật toán.","Tốc độ CPU khi chạy chương trình","Số dòng mã nguồn của chương trình","Độ phức tạp thời gian/không gian của thuật toán khi đầu vào tăng","Dung lượng bộ nhớ RAM cần thiết","3"
"2","Thuật toán tìm kiếm tuyến tính (Linear Search) hoạt động như thế nào?","","Algorithms","Linear Search duyệt tuần tự từng phần tử từ đầu đến cuối mảng cho đến khi tìm thấy phần tử cần tìm hoặc hết mảng. Độ phức tạp O(n).","Duyệt tuần tự từng phần tử từ đầu đến cuối","Chia mảng thành hai nửa và tìm kiếm","Sắp xếp mảng trước rồi tìm kiếm","Dùng bảng băm để tìm kiếm","1"
"3","Thuật toán tìm kiếm nhị phân (Binary Search) yêu cầu điều kiện tiên quyết gì?","","Algorithms","Binary Search yêu cầu mảng phải được sắp xếp trước. Nó chia đôi mảng liên tục và so sánh với phần tử giữa, loại bỏ nửa không thỏa mãn. Độ phức tạp O(log n).","Mảng phải có số phần tử chẵn","Mảng phải được sắp xếp trước","Mảng phải chứa số nguyên dương","Mảng phải có kích thước cố định","2"
"4","Đệ quy (Recursion) là gì?","","Algorithms","Đệ quy là kỹ thuật trong đó một hàm gọi lại chính nó với đầu vào nhỏ hơn cho đến khi đạt điều kiện dừng (base case).","Một vòng lặp vô hạn","Một hàm gọi lại chính nó cho đến khi đạt điều kiện dừng","Một cách khai báo biến đặc biệt","Một kiểu dữ liệu trừu tượng","2"
"5","Thuật toán Bubble Sort hoạt động như thế nào?","","Algorithms","Bubble Sort so sánh hai phần tử liền kề, đổi chỗ nếu sai thứ tự, lặp lại cho đến khi mảng được sắp xếp. Độ phức tạp trung bình O(n²).","Chia mảng thành hai nửa rồi ghép lại","Dùng cây nhị phân để sắp xếp","Chọn phần tử nhỏ nhất và đặt vào đầu","So sánh và đổi chỗ các phần tử liền kề lặp đi lặp lại","4"
"6","Mô hình Chia để trị (Divide and Conquer) hoạt động theo nguyên tắc nào?","","Algorithms","Divide and Conquer chia bài toán lớn thành các bài toán con nhỏ hơn, giải quyết từng bài toán con, rồi kết hợp các kết quả lại.","Giải bài toán bằng cách lặp tuần tự","Chia bài toán thành các bài toán con nhỏ hơn rồi kết hợp kết quả","Dùng bảng tra cứu để tìm lời giải","Chọn lời giải tốt nhất tại mỗi bước","2"
"7","Thuật toán tham lam (Greedy Algorithm) có đặc điểm gì?","","Algorithms","Thuật toán tham lam chọn lựa tối ưu cục bộ tại mỗi bước với hy vọng đạt được lời giải tối ưu toàn cục. Không phải lúc nào cũng cho lời giải tối ưu nhất.","Chọn lựa tối ưu cục bộ tại mỗi bước nhưng không đảm bảo tối ưu toàn cục","Luôn cho lời giải tối ưu toàn cục","Duyệt tất cả các trường hợp có thể","Chia bài toán thành các bài toán con","1"
"8","Quy hoạch động (Dynamic Programming) khác gì so với đệ quy thông thường?","","Algorithms","DP lưu trữ kết quả các bài toán con đã giải (memoization/tabulation) để tránh tính toán lại. Đệ quy thường tính lại các bài toán con trùng lặp.","DP không sử dụng đệ quy","DP luôn chậm hơn đệ quy thông thường","DP chỉ áp dụng cho bài toán sắp xếp","DP lưu trữ kết quả bài toán con đã giải để tránh tính toán lặp lại","4"
"9","Độ phức tạp thời gian của thuật toán Merge Sort là bao nhiêu?","","Algorithms","Merge Sort luôn chia mảng thành hai nửa (log n lần chia) và mỗi lần gộp mất O(n), tổng cộng O(n log n) trong mọi trường hợp.","O(n²)","O(n)","O(n log n)","O(log n)","3"
"10","Quick Sort sử dụng phần tử nào làm cơ sở để phân chia mảng?","","Algorithms","Quick Sort chọn một phần tử pivot, sau đó phân chia mảng thành hai phần: các phần tử nhỏ hơn pivot và các phần tử lớn hơn pivot.","Một phần tử pivot được chọn để phân chia mảng","Phần tử đầu tiên luôn là phần tử nhỏ nhất","Phần tử ở giữa mảng luôn được chọn cố định","Không cần phần tử cơ sở","1"
