"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","HATEOAS (Hypermedia as the Engine of Application State) trong REST là gì?","","Web-API","Response chứa links/actions available cho client dựa trên current state. Client navigate API qua links thay vì hardcode endpoints. Level 3 trong Richardson Maturity Model.","Client gửi toàn bộ state trong mỗi request — giống JWT claims approach","Server lưu client state giữa requests — stateful communication pattern","Response chứa links/actions cho client navigate API qua links — Level 3 Richardson Maturity Model","Hypertext protocol cho API documentation — giống Swagger/OpenAPI spec","3"
"2","Rate Limiting API trả về status code nào khi vượt limit?","","Web-API","429 Too Many Requests. Response nên include: Retry-After header (khi nào retry), X-RateLimit-Limit (max requests), X-RateLimit-Remaining (còn lại), X-RateLimit-Reset (reset time).","503 Service Unavailable — server không available do overload","400 Bad Request — client error do gửi quá nhiều requests","429 Too Many Requests + Retry-After, X-RateLimit-Limit/Remaining/Reset headers","401 Unauthorized — client không có quyền gửi thêm requests","3"
"3","REST API error response nên chứa thông tin gì?","","Web-API","Consistent error format: HTTP status code, error code (internal), message (human-readable), details/validation errors, timestamp, request ID (tracing). KHÔNG expose internal stack traces.","HTTP status, error code, message, details, timestamp, request ID — không expose stack traces","Chỉ cần HTTP status code — client tự infer error từ status","Full stack trace cho debugging — chi tiết hơn giúp client fix nhanh","Generic 'Error occurred' message — không leak information cho attacker","1"
"4","API Gateway pattern: routing, rate limiting, auth. Khác BFF (Backend For Frontend) thế nào?","","Web-API","API Gateway: single entry point cho TẤT CẢ clients, generic. BFF: backend RIÊNG cho TỪNG frontend type (web BFF, mobile BFF) — optimize response format/data cho từng client.","Gateway và BFF là cùng pattern — chỉ khác naming convention","Gateway single entry tất cả clients; BFF backend riêng từng frontend type — optimize per client","Gateway cho external APIs; BFF cho internal APIs — phân chia theo access scope","Gateway thay thế BFF — BFF deprecated khi dùng Gateway","2"
"5","Webhook khác REST API ở communication direction nào?","","Web-API","REST API: client PULL data (request → response). Webhook: server PUSH data khi event xảy ra (callback URL). Webhook: event-driven, real-time notification, less polling overhead.","REST client pull (request-response); Webhook server push khi event xảy ra (callback URL) — event-driven","REST push; Webhook pull — direction ngược với tên gọi","REST và Webhook đều push data — chỉ khác transport protocol","REST synchronous; Webhook cũng synchronous — chỉ khác trigger mechanism","1"
"6","OpenAPI/Swagger specification dùng để làm gì?","","Web-API","Define API contract: endpoints, request/response schemas, auth methods, status codes. Auto-generate: documentation (Swagger UI), client SDKs, server stubs, mock servers, test cases.","Define API contract (endpoints/schemas/auth) — auto-generate docs, SDKs, stubs, mocks, tests","Chỉ generate documentation — không hỗ trợ code generation hay testing","Runtime API validation — validate requests at runtime thay vì design time","API monitoring — track performance metrics và uptime","1"
"7","Content Negotiation trong REST API hoạt động qua header nào?","","Web-API","Client gửi Accept header (desired response format: application/json, application/xml). Server gửi Content-Type header (actual format). Server chọn format phù hợp hoặc 406 Not Acceptable.","User-Agent header — negotiate response format based on client browser type","Accept header (client desired format) + Content-Type header (server actual format) — 406 nếu không hỗ trợ","Cache-Control header — negotiate caching strategy giữa client và server","Authorization header — negotiate authentication method giữa client và server","2"
"8","ETag header trong REST API hỗ trợ caching mechanism nào?","","Web-API","ETag: fingerprint của response (hash). Client gửi If-None-Match: etag → server so sánh → 304 Not Modified (dùng cache) hoặc 200 (data mới). Conditional request giảm bandwidth.","ETag compress response — reduce payload size cho large responses","ETag fingerprint → If-None-Match → 304 Not Modified (cache) hoặc 200 (new data) — giảm bandwidth","ETag version control — track API version changes","ETag encrypt response body — security mechanism cho sensitive data","2"
"9","Long Polling vs Server-Sent Events (SSE) cho real-time updates?","","Web-API","Long Polling: client request → server giữ connection cho đến có data → respond → client request lại. SSE: server PUSH events qua persistent HTTP connection (one-directional). SSE hiệu quả hơn Long Polling.","Long Polling push; SSE pull — direction ngược với tên gọi","Long Polling và SSE hoạt động giống nhau — chỉ khác library/framework support","Long Polling bidirectional; SSE unidirectional — Long Polling tốt hơn cho chat apps","Long Polling client request giữ cho đến data respond rồi request lại; SSE server push qua persistent connection","4"
"10","API Documentation best practices: ngoài endpoints và schemas cần gì?","","Web-API","Authentication guide, code examples (multiple languages), error codes reference, rate limiting info, changelog/versioning, SDKs, quickstart tutorial, sandbox/playground environment.","PDF document 500 trang — chi tiết hơn là tốt hơn","Chỉ cần Swagger UI auto-generated — không cần viết thêm documentation","Chỉ cần list endpoints — developer tự infer cách sử dụng từ endpoint naming","Auth guide, code examples, error reference, rate limits, changelog, SDKs, quickstart, sandbox","4"
