"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Lớp (Class) trong lập trình hướng đối tượng là gì?","","OOP","Lớp là một bản thiết kế (blueprint) định nghĩa các thuộc tính và phương thức chung cho một nhóm đối tượng. Nó không phải là một đối tượng cụ thể mà là khuôn mẫu để tạo đối tượng.","Một bản thiết kế (blueprint) để tạo ra các đối tượng","Một biến lưu trữ dữ liệu","Một hàm xử lý dữ liệu","Một kiểu dữ liệu nguyên thuỷ","1"
"2","Đối tượng (Object) trong OOP là gì?","","OOP","Đối tượng là một thực thể cụ thể được tạo ra từ lớp, có trạng thái (thuộc tính) và hành vi (phương thức) riêng.","Một kiểu dữ liệu trừu tượng","Một thực thể (instance) được tạo ra từ lớp","Một hàm đặc biệt trong chương trình","Một tệp mã nguồn","2"
"3","Tính đóng gói (Encapsulation) trong OOP có nghĩa là gì?","","OOP","Tính đóng gói là cơ chế che giấu dữ liệu bên trong đối tượng và chỉ cho phép truy cập thông qua các phương thức công khai (public methods).","Cho phép một lớp kế thừa từ nhiều lớp","Cho phép đối tượng có nhiều hình thức khác nhau","Che giấu dữ liệu bên trong đối tượng và kiểm soát truy cập thông qua phương thức","Chia chương trình thành các module nhỏ","3"
"4","Tính kế thừa (Inheritance) trong OOP cho phép điều gì?","","OOP","Kế thừa cho phép một lớp con (subclass) thừa hưởng các thuộc tính và phương thức từ lớp cha (superclass), giúp tái sử dụng mã nguồn.","Một đối tượng có thể thay đổi kiểu dữ liệu","Một lớp con có thể sử dụng lại thuộc tính và phương thức của lớp cha","Một hàm có thể gọi chính nó","Một biến có thể lưu nhiều giá trị cùng lúc","2"
"5","Tính đa hình (Polymorphism) trong OOP là gì?","","OOP","Tính đa hình cho phép cùng một phương thức có thể hoạt động khác nhau tuỳ thuộc vào đối tượng gọi nó, thể hiện qua nạp chồng (overloading) và ghi đè (overriding).","Khả năng một đối tượng thuộc nhiều lớp cùng lúc","Khả năng tạo nhiều đối tượng từ một lớp","Khả năng ẩn giấu mã nguồn","Khả năng một phương thức hoạt động khác nhau tuỳ thuộc vào đối tượng","4"
"6","Constructor trong OOP dùng để làm gì?","","OOP","Constructor là phương thức đặc biệt được tự động gọi khi tạo đối tượng mới, thường dùng để khởi tạo giá trị ban đầu cho các thuộc tính.","Huỷ bỏ đối tượng khi không còn sử dụng","Khởi tạo giá trị ban đầu cho đối tượng khi được tạo","Sao chép một đối tượng sang đối tượng khác","Chuyển đổi kiểu dữ liệu của đối tượng","2"
"7","Tính trừu tượng (Abstraction) trong OOP là gì?","","OOP","Tính trừu tượng là quá trình ẩn đi các chi tiết triển khai phức tạp và chỉ hiển thị các chức năng cần thiết cho người dùng.","Ẩn đi chi tiết triển khai và chỉ hiển thị chức năng cần thiết","Mã hoá dữ liệu để bảo mật","Tạo ra các đối tượng ảo không có thực","Chia nhỏ chương trình thành các hàm","1"
"8","Trong OOP, phát biểu nào sau đây là đúng về mối quan hệ giữa Lớp và Đối tượng?","","OOP","Một lớp là khuôn mẫu và từ một lớp có thể tạo ra nhiều đối tượng khác nhau. Mỗi đối tượng có trạng thái riêng nhưng chia sẻ cùng cấu trúc.","Từ một lớp có thể tạo ra nhiều đối tượng","Đối tượng là khuôn mẫu để tạo ra lớp","Lớp và đối tượng là hai khái niệm hoàn toàn không liên quan","Mỗi lớp chỉ có thể tạo ra đúng một đối tượng","1"
"9","Bốn tính chất cơ bản của lập trình hướng đối tượng là gì?","","OOP","Bốn trụ cột của OOP là: Đóng gói (Encapsulation), Kế thừa (Inheritance), Đa hình (Polymorphism) và Trừu tượng (Abstraction).","Nhập - Xử lý - Xuất - Lưu trữ","Biên dịch - Thông dịch - Liên kết - Thực thi","Tuần tự - Song song - Phân tán - Đệ quy","Đóng gói - Kế thừa - Đa hình - Trừu tượng","4"
"10","Garbage Collection trong OOP là gì?","","OOP","Garbage Collection là cơ chế tự động thu hồi bộ nhớ của các đối tượng không còn được tham chiếu, giúp tránh rò rỉ bộ nhớ (memory leak).","Quá trình xoá mã nguồn không sử dụng","Quá trình nén file để tiết kiệm dung lượng","Cơ chế tự động giải phóng bộ nhớ của các đối tượng không còn được tham chiếu","Cơ chế sao lưu dữ liệu tự động","3"
