"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Trong giao thức CAN bus (Controller Area Network), cơ chế phân xử phân cấp (Arbitration) dựa trên ID của gói tin hoạt động như thế nào khi hai nút cùng truyền dữ liệu đồng thời?","","Embedded MCU","CAN bus sử dụng bus Wired-AND. Bit 0 là Dominant (trội), đè bit 1 Recessive (lặn). Khi hai nút cùng truyền, nút truyền bit 1 trong khi nút kia truyền bit 0 sẽ phát hiện bus đang ở mức 0, tự động rút lui nhường bus cho nút có ID nhỏ hơn (độ ưu tiên cao hơn).","Sử dụng mức logic trội (Dominant - 0) đè mức logic lặn (Recessive - 1); nút nào có ID nhỏ hơn (nhiều bit 0 hơn ở đầu) sẽ giành được quyền ưu tiên truyền tiếp","Nút nào gửi yêu cầu lên bus trước sẽ giành quyền truyền; nút còn lại sẽ bị ngắt kết nối vật lý khỏi mạng","Hai nút tự động chia đôi băng thông đường truyền để gửi dữ liệu song song đồng thời","Bộ điều khiển trung tâm (Master) của mạng CAN sẽ phân chia khe thời gian truyền cho từng nút","1"
"2","Bạn cấu hình I2C giao tiếp với cảm biến. Khoảng cách dây dài 1.5m khiến sườn lên của xung SCL bị bo tròn (trễ sườn lên) gây lỗi truyền nhận dữ liệu. Giải pháp khắc phục hiệu quả là gì?","","Embedded MCU","Dây dài có điện dung ký sinh lớn tạo thành mạch lọc RC thông thấp làm méo xung nhịp SCL. Giảm điện trở kéo lên (ví dụ từ 10k xuống 2.2k) giúp rút ngắn hằng số thời gian RC, sườn lên dốc hơn, khôi phục dạng sóng xung.","Giảm trị số điện trở kéo lên (Pull-up Resistors) trên đường SDA/SCL để tăng dòng sạc tụ ký sinh, hoặc giảm tốc độ truyền (I2C Clock Speed)","Tăng tần số hoạt động của I2C lên chế độ Fast Mode (400kHz) hoặc High Speed Mode","Thay thế vi điều khiển bằng một chip có công suất tiêu thụ điện lớn hơn","Sử dụng bộ biến đổi điện áp để nâng mức logic của I2C từ 3.3V lên 12V trên đường truyền","1"
"3","Tại sao việc đọc giá trị ADC từ một cảm biến tương tự có chu kỳ thay đổi nhanh lại cần sử dụng kết hợp giữa Trigger từ Timer và DMA thay vì đọc thủ công bằng ngắt CPU?","","Embedded MCU","Nếu dùng CPU đọc thủ công (polling hoặc ISR), ở tần số lấy mẫu cao (ví dụ 100kHz), CPU sẽ bị ngập trong ngắt, không còn thời gian xử lý việc khác. Timer trigger cứng loại bỏ sai số thời gian (jitter) do độ trễ ngắt phần mềm.","Để đảm bảo chu kỳ lấy mẫu cực kỳ chính xác (jitter thấp) nhờ timer trigger phần cứng, và DMA tự chuyển kết quả vào RAM giúp tránh quá tải ngắt cho CPU ở tần số lấy mẫu cao","Để tăng độ phân giải của ADC từ 12-bit lên thành 24-bit một cách tự động bằng phần cứng","Vì DMA hỗ trợ tự động lọc các nhiễu tần số cao của tín hiệu điện áp analog","Vì CPU của vi điều khiển không hỗ trợ việc đọc dữ liệu ADC trực tiếp bằng lệnh lập trình C","1"
"4","Trong truyền thông UART, lỗi ""Overrun Error"" (ORE) xảy ra khi nào và cách xử lý trong phần mềm Driver?","","Embedded MCU","ORE xảy ra khi phần mềm xử lý quá chậm. Khi cờ ORE bị set, bộ nhận UART thường bị khóa không nhận thêm dữ liệu. Driver cần phát hiện cờ ORE, đọc thanh ghi status rồi đọc DR để clear cờ lỗi, giải phóng bộ nhận.","Khi một byte dữ liệu mới nhận được ghi đè vào thanh ghi nhận (Receive Data Register) trước khi CPU kịp đọc byte cũ ra; Xử lý: Đọc thanh ghi trạng thái để xóa cờ lỗi ORE và xóa bộ đệm nhận","Khi tốc độ Baudrate của thiết bị gửi lớn gấp đôi so với thiết bị nhận dữ liệu","Khi điện áp cấp trên dây truyền nhận Rx vượt quá giới hạn an toàn 5V của vi điều khiển","Khi khung truyền bị thiếu mất bit Start ở đầu gói dữ liệu nối tiếp","1"
"5","Kiến trúc vi điều khiển: Sự khác biệt về mặt hiệu năng giữa cơ chế ánh xạ bộ nhớ (Memory-mapped I/O) và cơ chế I/O độc lập (Port-mapped I/O) là gì?","","Embedded MCU","Hầu hết MCU hiện đại (như ARM, AVR) dùng Memory-mapped I/O, giúp lập trình viên viết code điều khiển thanh ghi bằng con trỏ C rất tự nhiên, tận dụng được tất cả các chế độ định địa chỉ của tập lệnh CPU.","Memory-mapped I/O ánh xạ thanh ghi ngoại vi vào không gian địa chỉ bộ nhớ chung, cho phép dùng mọi lệnh truy cập bộ nhớ để điều khiển; Port-mapped I/O dùng không gian địa chỉ riêng biệt và các lệnh chuyên dụng (như IN/OUT)","Port-mapped I/O cho phép CPU truy cập ngoại vi nhanh hơn gấp nhiều lần so với Memory-mapped I/O","Memory-mapped I/O chỉ được áp dụng trên các dòng vi điều khiển 8-bit Intel 8051","Port-mapped I/O bắt buộc phải sử dụng các con trỏ hàm trong ngôn ngữ C để điều khiển thanh ghi","1"
"6","Trong thiết kế mạch nhúng giao tiếp I2C, nếu hai cảm biến của hai nhà sản xuất khác nhau có cùng một địa chỉ I2C tĩnh (7-bit address trùng nhau) kết nối vào cùng một bus, giải pháp xử lý phần cứng là gì?","","Embedded MCU","Trùng địa chỉ tĩnh trên cùng một bus vật lý sẽ gây xung đột dữ liệu (cả hai cùng phản hồi ACK/Data). Mux I2C (như TCA9548A) cho phép CPU chọn nhánh giao tiếp hoạt động độc lập, hoặc Bit-banging để tạo cổng I2C ảo.","Sử dụng chip Mux I2C (I2C Multiplexer) để phân tách bus thành các nhánh độc lập, hoặc kết nối cảm biến vào các chân GPIO khác và giả lập I2C bằng phần mềm (Bit-banging)","Thay đổi địa chỉ của một trong hai cảm biến bằng cách viết lệnh ghi đè vào bộ nhớ ROM của nó","Mắc nối tiếp hai cảm biến với nhau theo sơ đồ nối tiếp dạng Daisy Chain","Nâng tần số hoạt động của SCL lên gấp đôi để hai cảm biến tự động đàm phán phân chia thời gian","1"
"7","Trong giao thức SPI, tham số ""Set-up Time"" và ""Hold Time"" của tín hiệu dữ liệu đối với sườn xung nhịp SCL quy định điều gì?","","Embedded MCU","Đây là các tham số định thời phần cứng (AC characteristics). Nếu phần mềm cấu hình SPI chạy quá nhanh vượt quá giới hạn Set-up/Hold time của Slave, Slave sẽ nhận sai bit dữ liệu, gây lỗi truyền tin.","Set-up Time: Thời gian tối thiểu dữ liệu trên đường MISO/MOSI phải ổn định TRƯỚC sườn xung lấy mẫu; Hold Time: Thời gian tối thiểu dữ liệu phải giữ nguyên SAU sườn xung đó","Set-up Time: Thời gian cần thiết để Master kéo chân CS xuống thấp; Hold Time: Thời gian giữ chân CS ở mức thấp","Set-up Time: Thời gian khởi động nguồn cấp ngoại vi; Hold Time: Thời gian chờ ngoại vi phản hồi lệnh","Hai tham số này chỉ liên quan đến thiết kế mạch in (PCB layout) và không ảnh hưởng đến phần mềm cấu hình SPI","1"
"8","Tại sao các hệ thống nhúng quan trọng (như phanh ô tô, điều khiển động cơ) bắt buộc phải tích hợp tính năng ECC (Error Correcting Code) cho bộ nhớ RAM và Flash của vi điều khiển?","","Embedded MCU","ECC RAM/Flash bảo vệ tính toàn vẹn hệ thống (functional safety, tiêu chuẩn ISO 26262). Nó tự động phát hiện và sửa các lỗi 1-bit (Single Error Correction) và phát hiện lỗi 2-bit (Double Error Detection) ở mức phần cứng.","Để phát hiện và tự động sửa các lỗi đảo bit ngẫu nhiên (do nhiễu điện từ, tia vũ trụ hoặc lão hóa linh kiện) tránh việc CPU thực thi sai lệnh gây tai nạn","Để mã hóa dữ liệu tránh việc bị sao chép trộm mã nguồn từ chip ra bên ngoài","Để tự động tăng tốc độ xử lý các phép toán số thực của nhân CPU lên gấp đôi","Để cho phép vi điều khiển hoạt động được trong môi trường không có nguồn điện cấp","1"
"9","Khi đo tín hiệu truyền thông SPI bằng máy hiển thị sóng (Oscilloscope), bạn thấy tín hiệu đường MOSI bị nhiễu xuyên âm (Crosstalk) từ đường SCK. Nguyên nhân phần cứng và giải pháp xử lý là gì?","","Embedded MCU","SCK là tín hiệu xung tần số cao thay đổi liên tục, dễ bức xạ nhiễu sang các đường dữ liệu chạy song song bên cạnh. Đi dây GND kẹp giữa đóng vai trò như lồng Faraday triệt tiêu nhiễu điện từ.","Do hai đường dây chạy song song quá dài và quá sát nhau trên mạch in tạo tụ ký sinh; Giải pháp: Đi dây xen kẽ đường đất (GND shield) giữa SCK và MOSI, tăng khoảng cách đi dây","Do thạch anh chính hoạt động ở tần số quá thấp; Giải pháp: Nâng tần số thạch anh lên","Do thiếu điện trở kéo lên trên đường MOSI; Giải pháp: Lắp thêm điện trở 10k vào chân MOSI","Do cấu hình sai chế độ CPOL và CPHA của SPI trong phần mềm vi điều khiển","1"
"10","Tại sao trong truyền thông UART, sai số tần số xung nhịp (Baudrate error) giữa thiết bị phát và nhận không được vượt quá ±2.5%?","","Embedded MCU","Bộ nhận UART lấy mẫu ở giữa mỗi bit. Sai số baudrate tích lũy dần qua mỗi bit. Nếu sai số &gt; 2.5%, đến bit thứ 9/10, điểm lấy mẫu sẽ bị trượt sang cạnh của bit bên cạnh, dẫn đến lỗi đọc sai dữ liệu (Framing Error).","Vì UART đồng bộ theo từng khung truyền; sai số tích lũy qua 10 bit (Start, 8 data, Stop) vượt quá ±2.5% sẽ khiến thiết bị nhận lấy mẫu sai thời điểm của các bit cuối (đặc biệt là bit Stop)","Vì nếu vượt quá ±2.5% thì dòng điện trên dây truyền nhận sẽ tăng cao gây quá tải cổng GPIO","Vì các vi điều khiển chỉ hỗ trợ cấu hình Baudrate cố định theo các mốc chuẩn sẵn như 9600 hay 115200","Vì sai số lớn hơn sẽ khiến trình biên dịch không thể sinh ra mã máy nạp vào vi điều khiển","1"
