"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Git là gì?","","Git","Git là hệ thống quản lý phiên bản phân tán (distributed version control), theo dõi thay đổi source code, cho phép nhiều developer làm việc đồng thời trên cùng project.","Một ngôn ngữ lập trình","Hệ thống quản lý phiên bản phân tán theo dõi thay đổi source code","Một website lưu trữ code","Một IDE","2"
"2","Git khác gì GitHub?","","Git","Git là công cụ version control chạy local. GitHub là nền tảng hosting online cho Git repositories, thêm tính năng: pull requests, issues, CI/CD, collaboration.","Cả hai đều giống nhau","Git là công cụ version control local; GitHub là nền tảng hosting online cho Git repos","GitHub mạnh hơn Git","Git chỉ dùng trên Windows","2"
"3","Các khu vực (areas) trong Git là gì?","","Git","Working Directory: file đang sửa. Staging Area (Index): file được git add, chuẩn bị commit. Local Repository: file đã commit. Remote Repository: repo trên server (GitHub/GitLab).","Working Directory → Staging Area → Local Repository → Remote Repository","Chỉ có 1 khu vực","Chỉ có Local và Remote","Chỉ có Staging và Repository","1"
"4","Lệnh git checkout dùng để làm gì?","","Git","git checkout chuyển nhánh (branch) hoặc khôi phục file. git checkout <branch>: chuyển sang nhánh khác. git checkout -- <file>: khôi phục file về trạng thái commit gần nhất.","Chuyển nhánh hoặc khôi phục file về trạng thái commit gần nhất","Xoá nhánh","Tạo nhánh mới","Merge hai nhánh","1"
"5","Lệnh git stash dùng để làm gì?","","Git","git stash lưu tạm thời các thay đổi chưa commit vào stack, trả working directory về trạng thái sạch. git stash pop khôi phục thay đổi. Dùng khi cần chuyển nhánh giữa chừng.","Xoá thay đổi vĩnh viễn","Commit thay đổi","Lưu tạm thay đổi chưa commit, trả working directory về trạng thái sạch","Push code lên remote","3"
"6","Sự khác biệt giữa git pull và git fetch?","","Git","git fetch: tải thay đổi từ remote về local nhưng KHÔNG merge. git pull = git fetch + git merge: tải và tự động merge vào nhánh hiện tại.","Cả hai đều giống nhau","fetch xoá code cũ","pull chỉ tải về; fetch merge tự động","fetch: tải về không merge; pull = fetch + merge tự động vào nhánh hiện tại","4"
"7","Trong Git Flow, nhánh main (master) và develop khác nhau thế nào?","","Git","main: chứa code production ổn định, mỗi commit trên main là một release. develop: nhánh phát triển, tích hợp feature branches. Feature → develop → release → main.","main để phát triển; develop để production","main không tồn tại trong Git Flow","Cả hai đều giống nhau","main: code production ổn định; develop: nhánh phát triển tích hợp features","4"
"8","Merge conflict xảy ra khi nào?","","Git","Conflict xảy ra khi 2 nhánh sửa cùng dòng trong cùng file hoặc một nhánh xoá file mà nhánh kia sửa. Git không tự quyết định lấy thay đổi nào → developer phải resolve thủ công.","Khi push code lên remote","Khi 2 nhánh sửa cùng dòng trong cùng file — Git không tự resolve được","Khi tạo nhánh mới","Khi commit lần đầu","2"
"9","Lệnh git add dùng để làm gì?","","Git","git add đưa thay đổi từ Working Directory vào Staging Area (Index), chuẩn bị cho commit tiếp theo. git add . thêm tất cả thay đổi.","Commit thay đổi","Push code lên remote","Đưa thay đổi từ Working Directory vào Staging Area chuẩn bị commit","Tải code từ remote","3"
"10","File .gitignore dùng để làm gì?","","Git",".gitignore liệt kê các file/folder mà Git sẽ KHÔNG theo dõi (track). Thường bỏ qua: node_modules/, .env, build/, IDE config files.","Liệt kê file/folder mà Git không theo dõi (node_modules, .env, build)","Xoá file khỏi repository","Cấu hình Git user","Lưu trữ mật khẩu Git","1"
