"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Chức năng: Chọn ngày đặt phòng khách sạn. Điều kiện: `Ngày đến` và `Ngày đi` phải hợp lệ (Ngày đi sau Ngày đến và cả hai phải lớn hơn hoặc bằng Ngày hiện tại). Hãy thiết kế các ca kiểm thử biên (BVA) cho điều kiện này.","","Tester Methodology","Kiểm thử biên cho mối quan hệ ngày tháng đòi hỏi so khớp khoảng thời gian tối thiểu (0 ngày, 1 ngày) và mốc thời gian so với hiện tại để phát hiện lỗi so sánh thời gian.","Đặt Ngày đến = Hiện tại; Ngày đi = Hiện tại (không hợp lệ); Ngày đi = Hiện tại + 1 ngày (hợp lệ); Ngày đến = Hiện tại - 1 ngày (không hợp lệ) — kiểm tra các giá trị ranh giới logic thời gian","Đặt Ngày đến = Hiện tại + 10 ngày; Ngày đi = Hiện tại + 20 ngày — kiểm tra một kịch bản thành công ngẫu nhiên","Đặt Ngày đến = Hiện tại - 5 ngày; Ngày đi = Hiện tại - 2 ngày — kiểm tra kịch bản thất bại xa biên","Đặt Ngày đến và Ngày đi cách nhau đúng một năm để kiểm tra khả năng xử lý năm nhuận của hệ thống","1"
"2","Trong một dự án Agile, Sprint chỉ kéo dài 2 tuần. Lập trình viên bàn giao tính năng muộn vào ngày cuối cùng của Sprint. QA nên giải quyết tình huống này thế nào để đảm bảo chất lượng?","","Tester Methodology","QA cần chủ động quản lý rủi ro bằng cách kiểm thử dựa trên độ ưu tiên (Risk-based testing), tập trung vào Happy Path và Core flows để đảm bảo chất lượng tối thiểu trước khi release.","Báo cáo ngay với Scrum Master/PM về rủi ro trễ hạn, ưu tiên thực hiện Smoke Test và các Test Case mức độ ưu tiên cao (High Priority) của các tính năng cốt lõi; chuyển các phần kiểm thử sâu sang Sprint sau — quản lý rủi ro phạm vi","Chấp nhận làm thêm giờ xuyên đêm để chạy hết 100% test case chi tiết đã viết mà không cần báo cáo rủi ro","Ký duyệt nghiệm thu Pass tất cả các tính năng để kịp tiến độ bàn giao sprint của team phát triển","Từ chối kiểm thử bản build này và yêu cầu hủy bỏ toàn bộ kết quả của Sprint hiện tại","1"
"3","Hệ thống thương mại điện tử có luật: ""Nếu giỏ hàng &gt;= 1 triệu VND và khách hàng là VIP, giảm giá 10%. Nếu có mã KM thêm, giảm thêm 5% tổng đơn"". Thiết kế test case bằng Decision Table thế nào để bao phủ tối ưu?","","Tester Methodology","Decision Table cho 3 điều kiện nhị phân (T/F) sẽ có 8 tổ hợp quy tắc. Việc kiểm thử đầy đủ 8 trường hợp này đảm bảo hệ thống không bị lỗi logic chéo khi tính toán giá tiền đơn hàng.","Xác định 3 điều kiện (Giỏ hàng &gt;= 1M, Khách VIP, Có mã KM) tạo thành 2^3 = 8 cột quy tắc (Rules) kiểm thử độc lập — bao phủ toàn bộ tổ hợp logic","Chỉ viết 3 test case tương ứng với 3 điều kiện độc lập chạy riêng lẻ","Thiết kế 1 test case duy nhất chứa đầy đủ tất cả các điều kiện đều đúng (True) để tiết kiệm thời gian","Viết 2 test case: 1 case cho khách thường mua đơn nhỏ; 1 case cho khách VIP mua đơn lớn có mã KM","1"
"4","Hiện tượng ""Pesticide Paradox"" (Nghịch lý thuốc trừ sâu) trong kiểm thử phần mềm phát biểu điều gì và QA khắc phục bằng cách nào?","","Tester Methodology","Nghịch lý thuốc trừ sâu xảy ra vì phần mềm tiến hóa và các bug cũ đã được sửa. QA cần cập nhật kịch bản test để thích ứng với các thay đổi nghiệp vụ và kỹ thuật mới.","Nếu chạy đi chạy lại một bộ test case cũ thì sau một thời gian sẽ không tìm thêm được bug mới. Khắc phục: Phải thường xuyên rà soát, cập nhật và viết thêm các test case mới để bao phủ các kịch bản khác","Nếu phần mềm có quá nhiều bug thì các bug này sẽ tự động triệt tiêu lẫn nhau khi chạy code","Kiểm thử tự động chạy liên tục sẽ sinh ra các lỗi giả (false bugs) làm tốn tài nguyên hệ thống","Lập trình viên khi thấy QA viết quá nhiều test case sẽ tự động tăng cường chất lượng code tự viết","1"
"5","Khi thực hiện kiểm thử một hệ thống tích hợp lớn (System Integration Testing - SIT), QA phát hiện ra một bug nghiêm trọng nhưng không thể xác định lỗi nằm ở service của Backend tự viết hay ở API của bên thứ ba (Third-party). QA xử lý thế nào?","","Tester Methodology","QA kỹ thuật cần phân tích log (Request payload gửi đi có đúng đặc tả? Response code trả về là gì? 4xx hay 5xx?). Việc xác định đúng lỗi giúp đẩy nhanh tiến độ sửa lỗi và gán đúng đối tượng xử lý.","Sử dụng các công cụ giám sát mạng (Network logs/DevTools) hoặc log server để phân tích Request/Response; xác định chính xác API gửi đi có đúng format và Response trả về bị lỗi gì trước khi gán bug — kiểm chứng bằng dữ liệu","Gán ngay lỗi đó cho lập trình viên Backend của đội mình tự kiểm tra và tự tìm nguyên nhân","Gửi email trực tiếp cho nhà cung cấp dịch vụ bên thứ ba yêu cầu họ sửa lỗi mà không cần kiểm tra log","Đóng lỗi đó lại và đánh dấu là lỗi không thể tái hiện (Cannot reproduce) để tránh mất thời gian","1"
"6","Trong kiểm thử tự động, khái niệm ""Flaky Test"" nghĩa là gì và gây tác hại như thế nào?","","Tester Methodology","Flaky Tests thường do bất đồng bộ (timing issues), dữ liệu test không ổn định, hoặc môi trường mạng chập chờn. Nó làm giảm giá trị của CI/CD vì kết quả không đáng tin cậy.","Là test case lúc Pass lúc Fail trên cùng một phiên bản code mà không có sự thay đổi nào; gây mất niềm tin vào kết quả kiểm thử tự động và tốn thời gian debug giả","Là kịch bản test tự động chạy quá nhanh dẫn đến crash máy chủ cơ sở dữ liệu","Là các test case tự động viết bằng ngôn ngữ Python nhưng chạy trên máy chủ chạy hệ điều hành Windows","Là lỗi phát sinh do compiler không biên dịch được mã nguồn kiểm thử tự động","1"
"7","Khi viết Test Plan cho một dự án di động lớn, yếu tố ""Suspension Criteria"" (Tiêu chí tạm dừng kiểm thử) quy định điều gì?","","Tester Methodology","Suspension Criteria giúp bảo vệ tài nguyên dự án. Nếu bản build quá lỗi (blocker/crash liên tục), việc cố gắng test tiếp sẽ vô ích và lãng phí thời gian của QA.","Các điều kiện mà khi xảy ra, hoạt động kiểm thử bắt buộc phải tạm dừng ngay lập tức (ví dụ: Bản build bị crash ngay khi mở ứng dụng, hoặc có quá nhiều lỗi blocker)","Mức lương tối thiểu cần chi trả cho đội ngũ kiểm thử viên để họ đồng ý tiếp tục làm việc","Thời điểm mà dự án chính thức hết ngân sách phát triển và phải bàn giao cho khách hàng","Các quy định về việc lập trình viên không được phép commit code mới sau 18 giờ hàng ngày","1"
"8","Quy trình kiểm thử ""State Transition"" có 1 kịch bản: Nhập sai PIN 1 lần (trạng thái: Active) -&gt; Nhập sai lần 2 (Active) -&gt; Nhập sai lần 3 (Blocked). QA cần thiết kế tối thiểu bao nhiêu test case để kiểm tra luồng chuyển trạng thái này?","","Tester Methodology","Để kiểm tra tính đúng đắn của máy trạng thái (State Machine), ta cần kiểm tra từng bước chuyển: (Active + Sai 1 -&gt; Active), (Active + Sai 2 -&gt; Active), (Active + Sai 3 -&gt; Blocked) để đảm bảo bộ đếm hoạt động chính xác.","3 ca kiểm thử liên tục để mô tả quá trình chuyển dịch trạng thái từ Active sang Blocked qua từng bước sai sót","1 ca kiểm thử duy nhất nhập sai PIN 3 lần liên tiếp để kiểm tra trạng thái khóa cuối cùng","2 ca kiểm thử độc lập: 1 case nhập sai 1 lần; 1 case nhập sai 3 lần","4 ca kiểm thử để bao phủ cả trường hợp nhập đúng ở lần thứ 2","1"
"9","Đặc tả: ""Ứng dụng phải hỗ trợ thanh toán online"". QA phát hiện ra tài liệu thiếu hoàn toàn mô tả về cổng thanh toán nào và cách xử lý lỗi thanh toán. QA xử lý thế nào?","","Tester Methodology","QA đóng vai trò rà soát chất lượng yêu cầu. Việc phát hiện thiếu sót đặc tả và tổ chức họp Q&amp;A sớm giúp ngăn chặn lỗi thiết kế hệ thống trước khi bắt đầu lập trình.","Tổ chức họp làm rõ (Q&amp;A) với BA và PO để bổ sung thông tin đặc tả trước khi viết kịch bản test, tránh việc đoán mò yêu cầu — thực hành kiểm thử sớm","Tự chọn cổng thanh toán phổ biến nhất (ví dụ: Momo) để viết test case và yêu cầu dev code theo","Bỏ qua phần thanh toán, chỉ viết kịch bản test cho các tính năng tìm kiếm sản phẩm dễ hơn","Chờ đến khi dev code xong cổng thanh toán nào thì QA sẽ test theo thực tế cổng đó","1"
"10","Trong kiểm thử, sự khác biệt giữa ""Verification"" và ""Validation"" là gì?","","Tester Methodology","Verification hỏi ""Are we building the product right?"" (Đúng đặc tả). Validation hỏi ""Are we building the right product?"" (Đúng nhu cầu người dùng).","Verification đánh giá xem phần mềm có được xây dựng đúng thiết kế đặc tả hay không; Validation đánh giá xem phần mềm có đáp ứng đúng nhu cầu thực tế của người dùng hay không","Verification do QA làm; Validation do lập trình viên tự chạy unit test trong code","Verification chỉ áp dụng cho tài liệu; Validation chỉ áp dụng cho mã nguồn chạy thực tế","Verification kiểm tra hiệu năng hệ thống; Validation kiểm tra bảo mật API","1"
