"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Trong dự án phần mềm, Yêu cầu chức năng (Functional Requirement) định nghĩa điều gì?","","BA Requirement","Yêu cầu chức năng định nghĩa các hành vi, dịch vụ hoặc chức năng cụ thể mà hệ thống phần mềm phải thực hiện khi vận hành.","Những gì hệ thống phải thực hiện và cung cấp cho người dùng — quy định chức năng nghiệp vụ cụ thể","Các tiêu chuẩn về hiệu năng, bảo mật và tính khả dụng — quy định ràng buộc phi chức năng của hệ thống","Công nghệ và ngôn ngữ lập trình được sử dụng để phát triển — quy định giới hạn triển khai của dự án","Thời gian và ngân sách cần thiết để hoàn thành dự án — quy định các ràng buộc về mặt quản lý dự án","1"
"2","Yêu cầu phi chức năng (Non-functional Requirement) thường tập trung vào khía cạnh nào sau đây?","","BA Requirement","Yêu cầu phi chức năng quy định các đặc tính chất lượng hệ thống như tính bảo mật, hiệu năng, độ tin cậy, và khả năng mở rộng.","Khả năng thanh toán qua thẻ tín dụng của cổng thanh toán điện tử — tính năng nghiệp vụ của hệ thống","Chức năng đăng nhập bằng vân tay của ứng dụng di động — tính năng bảo mật người dùng cụ thể","Khả năng chịu tải và thời gian phản hồi của hệ thống dưới 2 giây — đặc tính vận hành và hiệu năng hệ thống","Tính năng gửi email thông báo tự động cho khách hàng hằng ngày — hành vi xử lý dữ liệu của hệ thống","3"
"3","Phương pháp thu thập yêu cầu phổ biến nhất khi BA cần lấy ý kiến khảo sát từ một nhóm lớn người dùng là gì?","","BA Requirement","Bảng câu hỏi khảo sát (Survey) là công cụ tối ưu để thu thập phản hồi nhanh chóng và định lượng từ số lượng lớn đối tượng.","Phỏng vấn sâu (In-depth Interview) — tiếp cận từng cá nhân để lấy phản hồi chi tiết","Bảng câu hỏi khảo sát (Survey/Questionnaire) — gửi câu hỏi định sẵn để thu thập dữ liệu định lượng lớn","Quan sát trực tiếp (Observation) — theo dõi hành vi làm việc thực tế của người dùng","Tạo bản mẫu (Prototyping) — thiết kế giao diện thử nghiệm để người dùng tương tác","2"
"4","Đặc tả yêu cầu người dùng dưới dạng User Story thường tuân theo định dạng chuẩn nào?","","BA Requirement","User Story chuẩn có định dạng: ""As a [role], I want [action], so that [benefit]"" giúp tập trung vào đối tượng và giá trị thực tế mang lại.","Với tư cách là [vai trò], tôi muốn [chức năng], để [lợi ích] — định dạng chuẩn tập trung vào giá trị người dùng","Hệ thống phải thực hiện [chức năng] cho [đối tượng] tại [thời điểm] — định dạng kỹ thuật hệ thống","Nếu [điều kiện] xảy ra thì [kết quả] phải hiển thị trên [giao diện] — định dạng rẽ nhánh điều kiện","Nhà phát triển cần lập trình [tính năng] bằng cách sử dụng [công nghệ] — định dạng hướng triển khai kỹ thuật","1"
"5","Tiêu chí nghiệm thu (Acceptance Criteria) trong một User Story có vai trò chủ chốt là gì?","","BA Requirement","Acceptance Criteria định nghĩa các biên và điều kiện cụ thể để kiểm thử và xác nhận tính năng đã chạy đúng yêu cầu kinh doanh.","Xác định rõ điều kiện để một User Story được coi là hoàn thành — làm căn cứ nghiệm thu và kiểm thử","Ước lượng thời gian và số dòng code cần viết để hoàn thành story — làm căn cứ lập kế hoạch tiến độ","Quy định thiết kế chi tiết của giao diện người dùng và cơ sở dữ liệu — làm tài liệu hướng dẫn code","Phân chia công việc cho các thành viên trong đội phát triển Scrum — làm công cụ quản lý tác vụ","1"
"6","Kỹ thuật phân tích MoSCoW dùng để làm gì trong quản lý yêu cầu phần mềm?","","BA Requirement","MoSCoW viết tắt của Must have, Should have, Could have, và Won't have, là kỹ thuật phổ biến để sắp xếp độ ưu tiên yêu cầu.","Sắp xếp thứ tự ưu tiên của các yêu cầu theo các mức độ quan trọng — phân loại Must, Should, Could, Won't","Ước lượng độ phức tạp và kích thước của yêu cầu bằng điểm câu chuyện — đo lường Story Points","Kiểm tra tính đúng đắn về mặt logic của các biểu đồ quy trình nghiệp vụ — xác thực luồng nghiệp vụ","Theo dõi tiến độ phát triển của các tính năng trên bảng Kanban — quản lý trạng thái công việc","1"
"7","Khi viết tiêu chí nghiệm thu theo ngôn ngữ Gherkin (BDD), cấu trúc chuẩn là gì?","","BA Requirement","Ngôn ngữ Gherkin định nghĩa kịch bản kiểm thử bằng cách thiết lập bối cảnh (Given), hành động kích hoạt (When) và kết quả hiển thị (Then).","Given (Bối cảnh) - When (Hành động) - Then (Kết quả mong đợi) — cấu trúc chuẩn mô tả kịch bản hành vi","Start (Bắt đầu) - Process (Xử lý) - End (Kết thúc) — cấu trúc luồng tuần tự của thuật toán","Input (Đầu vào) - Output (Đầu ra) - Validate (Xác thực) — cấu trúc kiểm tra dữ liệu kỹ thuật","If (Nếu) - Then (Thì) - Else (Ngược lại) — cấu trúc câu lệnh điều kiện lập trình","1"
"8","Trong mô hình Agile, ai là người chịu trách nhiệm tối cao về việc định nghĩa và ưu tiên các yêu cầu trong Product Backlog?","","BA Requirement","Product Owner (PO) sở hữu Product Backlog và chịu trách nhiệm tối ưu hóa giá trị của sản phẩm thông qua việc ưu tiên yêu cầu.","Scrum Master — người điều phối quy trình làm việc và tháo gỡ khó khăn cho team","Product Owner (PO) — người đại diện cho khách hàng và quản lý giá trị sản phẩm","Business Analyst (BA) — người viết tài liệu đặc tả và phân tích nghiệp vụ chi tiết","Tech Lead — người chịu trách nhiệm về kiến trúc kỹ thuật và phân chia task lập trình","2"
"9","Hoạt động ""Elicitation"" trong quy trình phân tích nghiệp vụ nghiệp vụ của BA nghĩa là gì?","","BA Requirement","Requirement Elicitation là quá trình khơi gợi, thu thập và làm rõ các yêu cầu ẩn từ phía khách hàng thông qua nhiều kỹ thuật.","Khơi gợi và khai thác yêu cầu từ phía khách hàng và các bên liên quan — tìm hiểu mong muốn thực tế","Lập trình thử nghiệm giao diện để demo cho khách hàng duyệt — tạo mẫu sản phẩm","Kiểm thử tính năng trên môi trường Staging trước khi bàn giao — bảo đảm chất lượng","Vẽ sơ đồ luồng dữ liệu của cơ sở dữ liệu quan hệ — thiết kế cấu trúc database","1"
"10","Yêu cầu nào sau đây là yêu cầu chức năng (Functional Requirement)?","","BA Requirement","Xuất báo cáo PDF là hành vi/chức năng cụ thể mà hệ thống cung cấp cho người dùng, do đó là yêu cầu chức năng.","Hệ thống phải hỗ trợ tối thiểu 500 người dùng truy cập đồng thời — yêu cầu hiệu năng hệ thống","Người dùng có thể xuất báo cáo doanh thu dưới dạng file PDF — chức năng xuất xuất dữ liệu cụ thể","Giao diện web phải hiển thị tốt trên cả thiết bị di động và máy tính — yêu cầu tính tương thích giao diện","Mật khẩu của người dùng phải được mã hóa bằng thuật toán SHA-256 — yêu cầu bảo mật dữ liệu","2"
