"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Bạn gọi API POST để tạo sản phẩm mới. Response trả về mã 201 Created kèm JSON payload nhưng DB không lưu được dữ liệu mới. Lỗi thuộc về thành phần nào và QA báo cáo thế nào?","","Tester Technical","Status code 201 đại diện cho việc tạo tài nguyên thành công. Nếu DB không có, BE đã trả code láo (không bắt exception từ DB hoặc transaction bị rollback). Đây là lỗi logic Backend.","Lỗi Backend — API trả về mã thành công giả (mock/fake response) nhưng luồng xử lý ghi DB (Transaction) bị fail hoặc rollback mà không kiểm tra kết quả. Báo cáo lỗi kèm Payload gửi đi và log của DB","Lỗi Frontend — gửi dữ liệu lên server bị sai định dạng JSON làm database từ chối ghi","Lỗi Database — database tự động khóa bảng vì dung lượng ổ đĩa cứng của máy chủ bị đầy","Không phải lỗi — vì API trả về 201 nghĩa là hệ thống hoạt động hoàn toàn chính xác","1"
"2","Khi chạy CI/CD, script automation web báo lỗi: ""ElementClickInterceptedException: Element is not clickable at point... Other element would receive the click"". QA xử lý lỗi này thế nào?","","Tester Technical","Lỗi này do phần tử bị che bởi một phần tử khác (như spinner, popup quảng cáo). Cách sạch nhất là chờ spinner biến mất, hoặc dùng JS click `arguments[0].click();` để tác động thẳng vào DOM.","Sử dụng Explicit Wait để chờ phần tử che khuất biến mất (ví dụ: loading spinner), hoặc dùng JavascriptExecutor để click trực tiếp vào phần tử bỏ qua lớp che phủ DOM","Tăng thời gian Thread.sleep() lên 10 giây trước mỗi hành động click chuột của script","Chuyển sang chạy script trên một trình duyệt khác ít bảo mật hơn (ví dụ: Internet Explorer)","Báo cáo lỗi cho dev yêu cầu gỡ bỏ toàn bộ CSS hiệu ứng chuyển động của trang web","1"
"3","Đặc tả API quy định: Khi gửi request GET /products?id=ABC (trong đó id kiểu integer), API phải trả về lỗi 400 Bad Request. Thực tế gọi API trả về 500 Internal Server Error kèm SQL exception log. Lỗi này chỉ ra vấn đề gì?","","Tester Technical","Hệ thống cần validate kiểu dữ liệu ở tầng API/Controller và trả về lỗi 4xx rõ ràng. Việc trả về lỗi 500 kèm SQL dump chứng tỏ BE để lọt dữ liệu bẩn xuống DB, gây nguy cơ bảo mật nghiêm trọng.","Lỗi Backend thiếu cơ chế validate dữ liệu đầu vào và thiếu try-catch bắt lỗi hệ thống — làm lộ chi tiết truy vấn DB (SQL exception) gây rủi ro bảo mật (SQL Injection)","Lỗi Database bị crash do kiểu dữ liệu của ID quá dài không thể xử lý được ở mức vật lý","Hành vi đúng của hệ thống vì nhập sai kiểu dữ liệu thì server bắt buộc phải báo lỗi 500","Lỗi mạng kết nối giữa Postman và máy chủ API bị chập chờn khi truyền chuỗi ký tự","1"
"4","Khi thiết kế framework kiểm thử tự động cho một trang thương mại điện tử lớn, tại sao nên kết hợp Page Object Model (POM) và Factory Pattern?","","Tester Technical","Factory Pattern giúp quản lý việc tạo đối tượng Page. Khi chuyển trang, Factory tự động sinh ra Page Object tiếp theo tương ứng, giữ cho mã nguồn script gọn gàng và dễ mở rộng.","Để tự động hóa việc khởi tạo các Page Object tương ứng với trạng thái hoạt động của trình duyệt, tránh việc khởi tạo thủ công lặp lại trong mã nguồn test","Để tăng tốc độ biên dịch mã nguồn của script test tự động từ Java sang NodeJS","Để đảm bảo cơ sở dữ liệu tự động đồng bộ hóa dữ liệu test trước mỗi lần chạy kịch bản","Để script tự động tìm kiếm các locator thay thế khi locator chính bị hỏng trên giao diện","1"
"5","Để kiểm thử API của một ứng dụng tài chính dưới điều kiện bảo mật cao, QA cần thực hiện kịch bản kiểm thử bảo mật cơ bản nào đối với JWT (JSON Web Token)?","","Tester Technical","Cả hai kịch bản (Signature manipulation và Algorithm None attack) là các lỗ hổng kinh điển của JWT. Việc kiểm thử này giúp bảo vệ hệ thống trước các cuộc tấn công giả mạo danh tính.","Thử sửa đổi Signature của JWT gửi lên xem API có từ chối (401/403); thử gửi token đã hết hạn (expired token) xem hệ thống có chặn hay không","Thử đổi tên thuật toán mã hóa trong header của JWT sang ""none"" xem server có chấp nhận token không có chữ ký hay không","Cả hai kịch bản trên đều cực kỳ quan trọng để đảm bảo tính xác thực và bảo mật của JWT","Chỉ cần kiểm tra xem JWT có chứa thông tin mật khẩu thô của người dùng hay không","3"
"6","Khi thực hiện kiểm thử tự động chạy song song (Parallel Execution) trên nhiều luồng để giảm thời gian test, QA gặp hiện tượng các test case bị xung đột dữ liệu (data conflict). Giải pháp xử lý là gì?","","Tester Technical","Chạy song song yêu cầu các test case không được dùng chung dữ liệu tĩnh (như dùng chung một tài khoản VIP để sửa thông tin cùng lúc). Thiết kế dữ liệu cô lập (Isolate) là nguyên tắc sống còn.","Đảm bảo tính cô lập của dữ liệu (Data Isolation): Mỗi luồng chạy test sử dụng một bộ tài khoản/dữ liệu độc lập hoàn toàn, hoặc sử dụng các hàm sinh dữ liệu ngẫu nhiên (dynamic test data)","Tắt tính năng chạy song song và chuyển về chạy tuần tự từng test case một như cũ","Tăng dung lượng CPU của máy chủ CI/CD chạy test tự động lên tối đa để xử lý tranh chấp","Yêu cầu lập trình viên tạm thời khóa tính năng ghi dữ liệu của cơ sở dữ liệu khi chạy test","1"
"7","Trong Postman, làm thế nào để validate một API Response trả về khớp hoàn toàn với một JSON Schema định sẵn để kiểm tra kiểu dữ liệu của các trường?","","Tester Technical","Sử dụng AJV giúp QA validate toàn bộ cấu trúc response (kiểu dữ liệu, các trường bắt buộc, min/max length) chỉ bằng một đoạn code ngắn, đảm bảo API không bị đổi cấu trúc đột ngột.","Sử dụng thư viện AJV (Another JSON Schema Validator) tích hợp sẵn trong Postman thông qua tab Tests để viết đoạn code validate schema","Viết nhiều câu lệnh `pm.expect` thủ công để so sánh từng trường dữ liệu một cách độc lập","Postman tự động validate JSON Schema ở mọi request mà không cần viết script","Yêu cầu Backend cung cấp file WSDL để Postman tự động so khớp cấu trúc dữ liệu","1"
"8","Khi chạy automation test trên mobile bằng Appium, tại sao việc quản lý ứng dụng nền (background apps) và trạng thái kết nối mạng lại phức tạp hơn so với web, và QA giải quyết thế nào?","","Tester Technical","Appium cung cấp các API tương tác với phần cứng thiết bị (giả lập mất mạng, đẩy app vào nền rồi mở lại) giúp QA bao phủ các kịch bản sử dụng thực tế phức tạp của mobile app.","Do thiết bị di động có tài nguyên giới hạn và dễ bị gián đoạn hệ thống (cuộc gọi, mất sóng). Giải pháp: Sử dụng các lệnh điều khiển hệ thống của Appium (ví dụ: `driver.backgroundApp()`, `driver.setConnection()`) để mô phỏng","Do Appium không hỗ trợ chạy trên hệ điều hành Android. Giải pháp: Chỉ test trên giả lập iOS","Do ứng dụng di động tự động mã hóa mọi locator trên giao diện. Giải pháp: Sử dụng tọa độ pixel tĩnh để click chuột","Do Appium yêu cầu kết nối trực tiếp vào cáp quang của nhà mạng di động để truyền tải tập lệnh","1"
"9","Trong kiểm thử bảo mật API, lỗ hổng BOLA (Broken Object Level Authorization - trước đây là IDOR) là gì và QA thiết kế ca test thế nào để phát hiện?","","Tester Technical","BOLA là lỗ hổng bảo mật API phổ biến nhất (OWASP Top 10 API). QA kiểm thử bằng cách hoán đổi token và ID tài nguyên giữa các tài khoản để verify xem hệ thống có check quyền sở hữu (ownership) hay không.","Người dùng truy cập được tài nguyên của người dùng khác bằng cách thay đổi ID trong URL/Body mà không bị kiểm tra quyền sở hữu. Ca test: Dùng Token của User A gọi API lấy thông tin đơn hàng của User B (id=B_order_id)","Lập trình viên quên mã hóa mật khẩu khi lưu vào bảng cơ sở dữ liệu quan hệ","Hệ thống bị tràn bộ đệm do gửi một lượng lớn ký tự rác vào trường nhập tên đăng nhập","Trình duyệt web tự động lưu thông tin thẻ tín dụng của khách hàng vào bộ nhớ cache","1"
"10","Khi thiết lập kiểm thử hiệu năng chịu tải (Stress Testing), sự khác biệt giữa chỉ số ""Throughput"" (RPS - Requests Per Second) và ""Concurrency"" (Số người dùng đồng thời) là gì?","","Tester Technical","Concurrency thể hiện tải giả lập (headcount). Throughput thể hiện năng lực xử lý thực tế của server. Nếu server bị nghẽn (response time tăng), Concurrency tăng cao nhưng Throughput có thể giảm mạnh.","Concurrency là số lượng user ảo gửi request cùng lúc; Throughput là số lượng request thực tế mà hệ thống xử lý thành công trong một giây","Concurrency luôn bằng đúng Throughput nhân với thời gian phản hồi trung bình của máy chủ","Concurrency đo lường tốc độ ổ cứng; Throughput đo lường băng thông đường truyền internet","Concurrency chỉ áp dụng cho kiểm thử di động; Throughput chỉ áp dụng cho kiểm thử web","1"
