"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","REST API dựa trên giao thức nào và tuân theo constraint nào?","","Web-API","REST dựa trên HTTP. 6 constraints: Client-Server, Stateless, Cacheable, Uniform Interface, Layered System, Code on Demand (optional). Resources identified by URI, manipulated via HTTP methods.","Dựa trên WebSocket; constraints: Stateful, Real-time, Bidirectional","Dựa trên TCP/UDP trực tiếp; không có constraints — flexible protocol","Dựa trên HTTP; constraints: Client-Server, Stateless, Cacheable, Uniform Interface, Layered System","Dựa trên SMTP; constraints: Store-and-Forward, Queued delivery","3"
"2","HTTP methods GET, POST, PUT, DELETE tương ứng CRUD operations nào?","","Web-API","GET=Read, POST=Create, PUT=Update (full replace), DELETE=Delete. PATCH=Update (partial). GET và DELETE idempotent. POST không idempotent.","GET=Read, POST=Read+Write, PUT=Write, DELETE=Read — phân chia theo read/write","GET=Read, POST=Create, PUT=Update full, DELETE=Delete, PATCH=Update partial — GET/DELETE idempotent","GET=Create, POST=Read, PUT=Delete, DELETE=Update — mapping ngược thứ tự","Tất cả methods đều thực hiện Read — chỉ khác ở caching behavior","2"
"3","HTTP status codes: 2xx, 4xx, 5xx biểu thị điều gì?","","Web-API","2xx: Success (200 OK, 201 Created, 204 No Content). 4xx: Client Error (400 Bad Request, 401 Unauthorized, 403 Forbidden, 404 Not Found). 5xx: Server Error (500 Internal, 503 Unavailable).","2xx Success (200/201/204); 4xx Client Error (400/401/403/404); 5xx Server Error (500/503)","2xx Client Error; 4xx Success; 5xx Redirect — coding scheme ngược","Tất cả status codes biểu thị Success — error communicated qua response body","2xx Redirect; 4xx Server Error; 5xx Client Error — phân chia khác chuẩn","1"
"4","REST API naming convention cho endpoints nên theo pattern nào?","","Web-API","Nouns (resources) không verbs: /users, /users/{id}, /users/{id}/orders. Plural form. Lowercase. Hierarchy qua path. Filter qua query params (?status=active). Consistent naming.","Nouns plural lowercase: /users, /users/{id}/orders — filter qua query params, consistent hierarchy","Verbs: /getUsers, /createUser, /deleteUser — action-based naming","CamelCase: /getUser/{userId}/getOrders — Java naming convention","Singular: /user/{id}/order — singular nouns cho mọi resource","1"
"5","Request/Response format phổ biến nhất trong REST API là gì?","","Web-API","JSON (JavaScript Object Notation): lightweight, human-readable, native JavaScript support. Content-Type: application/json. XML cũng được dùng nhưng verbose hơn.","YAML — human-readable configuration format, Content-Type: application/yaml","JSON — lightweight, human-readable, Content-Type: application/json; XML cũng dùng nhưng verbose","XML — industry standard, Content-Type: application/xml; JSON chỉ cho JavaScript apps","Plain text — không cần parsing, Content-Type: text/plain","2"
"6","API versioning có những strategy nào?","","Web-API","URL path (/v1/users, /v2/users). Query param (?version=1). Header (Accept: application/vnd.api.v1+json). URL path phổ biến nhất vì đơn giản và rõ ràng.","Versioning qua subdomain (v1.api.example.com) — chỉ có 1 strategy duy nhất","Không cần versioning — backward compatibility luôn đảm bảo","Chỉ có URL path — các strategies khác không được hỗ trợ bởi HTTP standard","URL path (/v1/users), Query param (?version=1), Header (Accept version) — URL path phổ biến nhất","4"
"7","Pagination trong API có những kỹ thuật nào?","","Web-API","Offset-based: ?page=2&amp;limit=10 (đơn giản nhưng inconsistent khi data thay đổi). Cursor-based: ?cursor=abc123&amp;limit=10 (consistent, performance tốt hơn cho large datasets).","Chỉ có offset-based — cursor-based chỉ dùng trong NoSQL databases","Trả toàn bộ data trong 1 response — pagination là overhead không cần thiết","Chỉ có cursor-based — offset-based deprecated vì performance issues","Offset-based (page/limit) đơn giản; Cursor-based (cursor/limit) consistent và performance tốt hơn","4"
"8","Idempotent trong HTTP methods nghĩa là gì?","","Web-API","Gọi nhiều lần cho kết quả GIỐNG NHAU như gọi 1 lần. GET, PUT, DELETE idempotent. POST KHÔNG idempotent (gọi 2 lần tạo 2 resources). Quan trọng cho retry logic.","Gọi nhiều lần = kết quả như 1 lần; GET/PUT/DELETE idempotent, POST không — quan trọng cho retry","Gọi 1 lần và cache kết quả — không cần gọi lại server","Request và response có cùng format — symmetric communication","Server không lưu state giữa requests — giống stateless","1"
"9","API authentication methods phổ biến nào?","","Web-API","API Key (header/query param — đơn giản), Bearer Token/JWT (stateless, claims-based), OAuth 2.0 (third-party delegation), Basic Auth (base64 username:password — insecure over HTTP).","Chỉ cần HTTPS — encryption đủ cho authentication không cần thêm mechanism","Chỉ có username/password — tất cả methods khác là wrapper cho basic credentials","API Key, Bearer Token/JWT, OAuth 2.0, Basic Auth — mỗi method phù hợp use case khác nhau","Session cookie chỉ dùng cho web — API không cần authentication","3"
"10","REST vs GraphQL: khi nào dùng gì?","","Web-API","REST: simple CRUD, caching easy (HTTP caching), multiple endpoints per resource. GraphQL: client specify exact data needed (no over/under-fetching), single endpoint, complex nested data. REST phổ biến hơn.","REST deprecated; GraphQL là replacement cho mọi API use case","REST: simple CRUD/easy caching/multiple endpoints; GraphQL: exact data/single endpoint/complex nested","REST và GraphQL cho kết quả giống nhau — chỉ khác query syntax","REST cho frontend; GraphQL cho backend — phân chia theo application layer","2"
