"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Trong kiểm thử phần mềm, sự khác biệt cơ bản giữa Mức độ nghiêm trọng (Severity) và Mức độ ưu tiên (Priority) của lỗi là gì?","","Tester Methodology","Severity phản ánh tính chất kỹ thuật và tác động lỗi lên hệ thống (ví dụ: sập nguồn, mất dữ liệu -&gt; High). Priority phản ánh góc độ quản lý và kinh doanh (cần sửa sớm hay muộn).","Severity đo lường mức độ ảnh hưởng của lỗi đối với vận hành hệ thống; Priority đo lường mức độ khẩn cấp cần sửa lỗi theo kế hoạch kinh doanh","Severity do khách hàng đánh giá; Priority do kiểm thử viên tự ý quyết định và phân bổ","Severity chỉ áp dụng cho kiểm thử tự động; Priority chỉ áp dụng cho kiểm thử thủ công","Severity đo lường số dòng code bị lỗi; Priority đo lường thời gian cần thiết để sửa xong lỗi đó","1"
"2","Kỹ thuật thiết kế kiểm thử ""Phân vùng tương đương"" (Equivalence Partitioning) hoạt động theo nguyên lý nào?","","Tester Methodology","Phân vùng tương đương giúp giảm thiểu số lượng test case bằng cách chọn ra các giá trị đại diện đại diện cho từng nhóm giá trị có cùng logic xử lý.","Chia miền giá trị đầu vào thành các phân vùng dữ liệu sao cho các giá trị trong cùng một vùng có hành vi xử lý giống nhau — kiểm thử đại diện một giá trị cho từng vùng","Kiểm thử toàn bộ tất cả các giá trị có thể nhập vào hệ thống để đảm bảo không bỏ sót bất kỳ lỗi nào","Chia nhỏ giao diện phần mềm thành các khối có kích thước và màu sắc tương đồng nhau để thiết kế test case","Phân chia đội ngũ kiểm thử thành các nhóm độc lập để kiểm tra chéo công việc của nhau","1"
"3","Kỹ thuật ""Phân tích giá trị biên"" (Boundary Value Analysis) khuyên kiểm thử viên tập trung thiết kế các ca kiểm thử ở vị trí nào?","","Tester Methodology","Lập trình viên thường viết sai các toán tử so sánh biên (e.g. dùng `&lt;` thay vì `&lt;=`), do đó việc test các giá trị biên mang lại hiệu quả phát hiện lỗi cao nhất.","Tại các giá trị biên (ngay biên, sát dưới biên, sát trên biên) của các phân vùng dữ liệu đầu vào — nơi thường xảy ra lỗi logic lập trình","Tại các giá trị nằm chính giữa các phân vùng dữ liệu hợp lệ và không hợp lệ","Tại các giao diện hiển thị ở rìa màn hình điện thoại hoặc máy tính","Tại các thời điểm bắt đầu và kết thúc ca làm việc của đội phát triển","1"
"4","Một Bug Report chuẩn chất lượng bắt buộc phải bao gồm những thông tin cốt lõi nào để lập trình viên có thể sửa lỗi?","","Tester Methodology","Bug Report cần cung cấp đầy đủ thông tin khách quan (Steps, Actual, Expected, Environment) giúp dev tái hiện lại được lỗi một cách nhanh nhất.","Tiêu đề Bug, Các bước tái hiện (Steps to reproduce), Kết quả thực tế (Actual result), Kết quả mong đợi (Expected result) và Môi trường test","Đoạn code sửa lỗi mẫu do chính kiểm thử viên tự viết và tối ưu hóa","Ý kiến đánh giá chủ quan của kiểm thử viên về năng lực của lập trình viên viết tính năng đó","Danh sách tất cả các test case đã chạy thành công trước khi phát hiện ra lỗi này","1"
"5","Quy trình kiểm thử phần mềm (STLC - Software Testing Life Cycle) thường bắt đầu bằng giai đoạn nào?","","Tester Methodology","STLC bắt đầu bằng việc phân tích yêu cầu để hiểu rõ hệ thống hoạt động thế nào, từ đó lập kế hoạch và thiết kế kịch bản test chính xác.","Phân tích yêu cầu (Requirement Analysis) — tìm hiểu nghiệp vụ và xác định các tính năng có thể kiểm thử","Thiết kế ca kiểm thử (Test Case Design) — viết tài liệu các bước chạy thử phần mềm","Thực hiện kiểm thử (Test Execution) — mở ứng dụng chạy thử và tìm lỗi","Thiết lập môi trường kiểm thử (Test Environment Setup) — cài đặt cơ sở dữ liệu và máy chủ","1"
"6","Kiểm thử hồi quy (Regression Testing) được thực hiện nhằm mục đích chính là gì?","","Tester Methodology","Kiểm thử hồi quy đảm bảo tính ổn định của phần mềm. Mỗi khi code thay đổi, ta chạy lại một bộ test case lõi để đảm bảo không có tác dụng phụ làm hỏng tính năng cũ.","Xác minh rằng các thay đổi mới trong code (sửa bug, tính năng mới) không làm ảnh hưởng hoặc gây lỗi cho các chức năng hiện có đang chạy ổn định","Kiểm tra xem hệ thống có chạy tốt trên các dòng điện thoại đời cũ hay không","Đo lường thời gian tải trang tối đa của hệ thống khi có 1000 người dùng truy cập","Tạo ra bản sao lưu tự động của cơ sở dữ liệu trước khi bàn giao cho khách hàng","1"
"7","Trạng thái cơ bản của một lỗi trong vòng đời của Bug (Bug Lifecycle) đi theo tiến trình chuẩn nào dưới đây?","","Tester Methodology","Tiến trình chuẩn bắt đầu từ việc phát hiện lỗi (New), gán cho dev (Assigned), dev xác nhận sửa (Open/Resolved), QA kiểm tra lại đạt yêu cầu thì đóng lỗi (Closed).","New (Mới phát hiện) → Assigned (Giao cho dev) → Open (Đang sửa) → Resolved (Đã sửa xong) → Closed (Đã re-test và đóng lỗi)","New (Mới phát hiện) → Closed (Đóng lỗi ngay) → Open (Mở lại) → Resolved (Đã sửa xong)","Assigned (Giao cho dev) → Resolved (Đã sửa xong) → New (Tạo lỗi mới) → Closed (Đóng lỗi)","Open (Đang sửa) → New (Tạo mới) → Reopened (Mở lại) → Verified (Đã xác nhận)","1"
"8","Định nghĩa nào đúng về kiểm thử ""Hộp đen"" (Black-box Testing)?","","Tester Methodology","Kiểm thử hộp đen coi phần mềm như một hộp đen không thấy bên trong, chỉ tập trung vào hành vi chức năng từ góc nhìn của người dùng.","Kiểm thử chức năng dựa trên yêu cầu đầu vào và đầu ra của hệ thống mà không cần biết cấu trúc mã nguồn bên trong","Kiểm thử cấu trúc mã nguồn bên trong hệ thống đòi hỏi khả năng đọc hiểu code của lập trình viên","Kiểm thử hệ thống trong phòng tối không có ánh sáng để kiểm tra độ sáng màn hình ứng dụng di động","Kiểm thử bảo mật chống lại các cuộc tấn công mạng từ các tin tặc bên ngoài internet","1"
"9","Hoạt động kiểm thử ""Smoke Testing"" thường được thực hiện vào thời điểm nào và có mục đích gì?","","Tester Methodology","Smoke Testing (kiểm thử khói) là bộ test nhanh các tính năng quan trọng nhất (như Login, mở trang chính). Nếu Smoke Test Fail, QA trả lại build cho dev sửa, tránh tốn thời gian test sâu.","Thực hiện ngay khi nhận bản build mới để kiểm tra nhanh xem các chức năng cốt lõi có hoạt động ổn định hay không trước khi tiến hành test chi tiết","Thực hiện vào cuối dự án để nghiệm thu phần mềm bàn giao trực tiếp cho khách hàng","Thực hiện định kỳ hàng tháng để đo lường độ chịu nhiệt của hệ thống phần cứng máy chủ","Thực hiện sau khi viết xong mã nguồn để tự động biên dịch code sang native code","1"
"10","Trong tài liệu Test Case, cột ""Pre-conditions"" dùng để ghi thông tin gì?","","Tester Methodology","Pre-condition thiết lập trạng thái nền của hệ thống trước khi chạy test, đảm bảo môi trường và dữ liệu sẵn sàng cho các bước kiểm thử.","Các điều kiện hoặc trạng thái bắt buộc hệ thống phải có trước khi thực hiện các bước test (ví dụ: Tài khoản có sẵn 50,000 VND)","Cấu hình chi tiết của máy tính lập trình viên đang dùng để viết mã nguồn","Danh sách các lỗi nghiệp vụ đã được phát hiện ở các sprint phát triển trước đó","Biên bản bàn giao thiết bị test giữa trưởng nhóm và nhân viên kiểm thử","1"
