"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Cơ sở dữ liệu (Database) là gì?","","Database","Database là tập hợp dữ liệu có tổ chức, được lưu trữ và quản lý để truy xuất, cập nhật hiệu quả. DBMS (Database Management System) là phần mềm quản lý database.","Một file text lưu dữ liệu","Một ngôn ngữ lập trình","Tập hợp dữ liệu có tổ chức, lưu trữ và quản lý để truy xuất/cập nhật hiệu quả","Một phần cứng máy tính","3"
"2","SQL là gì?","","Database","SQL (Structured Query Language) là ngôn ngữ chuẩn để truy vấn, thao tác và quản lý cơ sở dữ liệu quan hệ. Gồm DDL, DML, DCL, TCL.","Một ngôn ngữ lập trình đa mục đích","Ngôn ngữ chuẩn để truy vấn và quản lý cơ sở dữ liệu quan hệ","Một framework web","Một hệ điều hành","2"
"3","Khóa chính (Primary Key) là gì?","","Database","Primary Key là cột hoặc tập cột xác định duy nhất mỗi bản ghi trong bảng. Không được NULL, không trùng lặp. Mỗi bảng chỉ có một Primary Key.","Cột chứa giá trị lớn nhất","Cột liên kết đến bảng khác","Cột đầu tiên trong bảng","Cột xác định duy nhất mỗi bản ghi, không NULL, không trùng lặp","4"
"4","Khóa ngoại (Foreign Key) là gì?","","Database","Foreign Key là cột tham chiếu đến Primary Key của bảng khác, tạo mối quan hệ giữa hai bảng và đảm bảo tính toàn vẹn tham chiếu (referential integrity).","Khóa mã hóa dữ liệu","Khóa dự phòng","Cột tham chiếu đến Primary Key bảng khác, tạo mối quan hệ và đảm bảo toàn vẹn tham chiếu","Khóa không sử dụng","3"
"5","JOIN trong SQL dùng để làm gì?","","Database","JOIN kết hợp dữ liệu từ hai hoặc nhiều bảng dựa trên điều kiện liên quan. Các loại: INNER JOIN, LEFT JOIN, RIGHT JOIN, FULL OUTER JOIN, CROSS JOIN.","Kết hợp dữ liệu từ nhiều bảng dựa trên điều kiện liên quan","Xoá dữ liệu","Tạo bảng mới","Sắp xếp dữ liệu","1"
"6","Index (chỉ mục) trong database dùng để làm gì?","","Database","Index tạo cấu trúc dữ liệu phụ giúp tìm kiếm nhanh hơn (như mục lục sách). Giảm thời gian query SELECT nhưng tăng thời gian INSERT/UPDATE/DELETE và chiếm thêm disk space.","Tạo cấu trúc phụ giúp tìm kiếm nhanh hơn nhưng tăng thời gian INSERT/UPDATE/DELETE","Mã hóa dữ liệu","Xoá dữ liệu cũ","Nén dữ liệu","1"
"7","Nguyên tắc ACID trong transaction là gì?","","Database","A (Atomicity): tất cả hoặc không. C (Consistency): dữ liệu luôn hợp lệ. I (Isolation): transaction độc lập. D (Durability): khi commit thì tồn tại vĩnh viễn.","Một kiểu mã hóa","Một kiểu database","Một ngôn ngữ truy vấn","Atomicity (tất cả/không), Consistency (hợp lệ), Isolation (độc lập), Durability (tồn tại vĩnh viễn)","4"
"8","Sự khác biệt giữa DELETE và TRUNCATE?","","Database","DELETE: xoá từng row, có thể WHERE, rollback được, trigger fires, chậm hơn. TRUNCATE: xoá toàn bộ table, không WHERE, không rollback (DDL), không trigger, nhanh hơn.","Cả hai đều giống nhau","DELETE: từng row/WHERE/rollback được; TRUNCATE: toàn bộ/nhanh hơn/không rollback","DELETE nhanh hơn TRUNCATE","TRUNCATE chỉ xoá cấu trúc bảng","2"
"9","Normalization là gì?","","Database","Normalization là quá trình tổ chức bảng để giảm trùng lặp dữ liệu (data redundancy) và đảm bảo toàn vẹn dữ liệu. Các dạng chuẩn: 1NF, 2NF, 3NF, BCNF.","Tăng trùng lặp dữ liệu","Tổ chức bảng để giảm trùng lặp dữ liệu và đảm bảo toàn vẹn (1NF, 2NF, 3NF)","Xoá dữ liệu cũ","Mã hóa dữ liệu","2"
"10","View trong SQL là gì?","","Database","View là bảng ảo (virtual table) được tạo từ câu truy vấn SELECT. Không lưu dữ liệu thực, chỉ lưu query. Dùng để đơn giản hóa truy vấn phức tạp, bảo mật dữ liệu.","Bảng ảo (virtual table) từ câu SELECT, không lưu dữ liệu thực, dùng đơn giản hóa truy vấn","Một bảng vật lý","Một giao diện người dùng","Một stored procedure","1"
