"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Closure trong JavaScript hoạt động theo cơ chế nào và có ứng dụng thực tế gì?","","JavaScript","Closure là hàm có thể truy cập biến từ scope bên ngoài ngay cả khi hàm bên ngoài đã kết thúc thực thi. Ứng dụng: data privacy, factory functions, memoization, currying.","Hàm tự động giải phóng biến scope ngoài khi hàm bên ngoài kết thúc, dùng cho garbage collection","Hàm truy cập được biến scope ngoài ngay cả khi hàm ngoài đã kết thúc, dùng cho data privacy và memoization","Hàm bị khóa trong scope riêng không truy cập được biến bên ngoài, dùng cho encapsulation","Hàm tạo bản sao tất cả biến scope ngoài thành biến local, dùng cho immutable data patterns","2"
"2","Arrow function khác regular function về cách xử lý từ khóa this như thế nào?","","JavaScript","Regular function có this riêng, xác định bởi cách gọi. Arrow function không có this riêng, kế thừa this từ lexical scope nơi nó được khai báo. Arrow function không thể dùng bind/call/apply để thay đổi this.","Regular function kế thừa this từ lexical scope; Arrow function có this riêng xác định bởi cách gọi","Regular function có this riêng xác định bởi cách gọi; Arrow function kế thừa this từ lexical scope","Regular function và Arrow function đều có this riêng nhưng Arrow function binding this sớm hơn","Regular function không có this; Arrow function tạo this mới mỗi lần được gọi","2"
"3","Callback, Promise và Async/Await xử lý bất đồng bộ khác nhau ở cú pháp và vấn đề gì?","","JavaScript","Callback: hàm truyền vào hàm khác, dễ gây callback hell (nesting sâu). Promise: chuỗi .then().catch() tránh nesting. Async/Await: viết cú pháp đồng bộ trên nền Promise, dễ đọc nhất.","Callback dùng .then() chuỗi tránh nesting; Promise viết như đồng bộ; Async/Await dễ gây nesting sâu","Callback truyền hàm vào hàm khác dễ gây nesting sâu; Promise dùng .then() chuỗi; Async/Await viết như đồng bộ","Callback chỉ dùng cho setTimeout; Promise chỉ dùng cho fetch API; Async/Await dùng cho tất cả","Callback là phiên bản mới hơn Promise; Async/Await là wrapper cho Callback không liên quan đến Promise","2"
"4","Toán tử Spread (...) và Rest parameter (...) dùng cùng cú pháp nhưng khác nhau ở ngữ cảnh nào?","","JavaScript","Spread: mở rộng/trải phần tử (trong gọi hàm, tạo array/object). Rest: gom phần tử còn lại thành mảng (trong khai báo hàm, destructuring). Cùng ... nhưng ngược nhau.","Spread gom phần tử thành mảng trong khai báo hàm; Rest trải phần tử trong gọi hàm và tạo object","Spread trải phần tử trong gọi hàm và tạo array/object; Rest gom phần tử thành mảng trong khai báo hàm","Spread dùng cho array; Rest dùng cho object — không thể dùng ngược lại giữa hai kiểu dữ liệu","Spread tạo shallow copy; Rest tạo deep copy — khác nhau ở mức độ clone dữ liệu","2"
"5","ES6 Destructuring cho phép làm gì và cú pháp hoạt động ra sao?","","JavaScript","Destructuring trích xuất giá trị từ mảng hoặc thuộc tính từ object vào biến riêng biệt. Array: const [a, b] = arr; Object: const {name, age} = person; Hỗ trợ default values và renaming.","Trích xuất giá trị từ array/object vào biến riêng biệt với cú pháp ngắn gọn, hỗ trợ default values","Hợp nhất nhiều array/object thành một bằng cú pháp ngắn gọn, tương tự Object.assign()","Xóa thuộc tính khỏi object hoặc phần tử khỏi array bằng cú pháp khai báo inline","Chuyển đổi kiểu dữ liệu giữa array và object bằng pattern matching tự động","1"
"6","const ngăn gán lại biến, còn Object.freeze() làm gì khác?","","JavaScript","const ngăn reassignment (gán lại reference) nhưng object bên trong vẫn mutate được (thay đổi thuộc tính). Object.freeze() ngăn thay đổi thuộc tính (shallow freeze) nhưng vẫn cho reassign với const.","const ngăn thay đổi thuộc tính object; Object.freeze() ngăn gán lại biến — hoạt động ngược nhau","const ngăn gán lại reference; Object.freeze() ngăn thay đổi thuộc tính object ở level shallow","const và Object.freeze() đều ngăn gán lại và thay đổi thuộc tính ở cùng mức độ deep freeze","const chỉ áp dụng cho primitive; Object.freeze() chỉ áp dụng cho array — không overlap","2"
"7","for...in và for...of trong JavaScript lặp qua dữ liệu khác nhau như thế nào?","","JavaScript","for...in lặp qua keys/indices (enumerable properties) của object, bao gồm cả prototype chain. for...of lặp qua values của iterable (array, string, Map, Set), không lặp qua object thường.","for...in lặp qua values của iterable (array, string); for...of lặp qua keys/indices của object","for...in lặp qua keys/indices và enumerable properties; for...of lặp qua values của iterable objects","for...in chỉ dùng cho array; for...of chỉ dùng cho object — không thể dùng ngược lại","for...in và for...of đều lặp qua values nhưng for...of nhanh hơn vì dùng iterator protocol","2"
"8","Template literal dùng backtick (`) trong ES6 cung cấp tính năng gì so với chuỗi truyền thống?","","JavaScript","Template literal cho phép: nội suy biểu thức ${expression}, chuỗi nhiều dòng không cần \\n, và tagged templates cho xử lý chuỗi nâng cao. Thay thế nối chuỗi bằng toán tử +.","Cho phép nội suy biểu thức ${}, chuỗi nhiều dòng, và tagged templates cho xử lý chuỗi nâng cao","Chỉ cho phép chuỗi nhiều dòng, không hỗ trợ nội suy biểu thức hay tagged templates","Cho phép regex patterns inline trong chuỗi mà không cần escape ký tự đặc biệt","Chỉ cho phép nối chuỗi với cú pháp ngắn hơn, không hỗ trợ biểu thức bên trong","1"
"9","IIFE (Immediately Invoked Function Expression) hoạt động theo cơ chế nào?","","JavaScript","IIFE là hàm được khai báo và gọi ngay lập tức: (function(){...})(). Tạo scope riêng biệt, tránh ô nhiễm global scope. Phổ biến trong module pattern trước ES6 modules.","Hàm được khai báo và gọi ngay lập tức, tạo scope riêng biệt tránh ô nhiễm global scope","Hàm được khai báo một lần và chỉ có thể gọi duy nhất một lần trong suốt runtime","Hàm chạy sau khi tất cả DOM đã load xong, tương tự DOMContentLoaded event listener","Hàm được khai báo trong strict mode tự động và không thể truy cập biến bên ngoài scope","1"
"10","Các trạng thái của Promise là gì và khi nào Promise được coi là settled?","","JavaScript","3 trạng thái: Pending (chờ), Fulfilled (thành công), Rejected (thất bại). Promise settled khi chuyển từ pending sang fulfilled hoặc rejected — không thể thay đổi trạng thái sau khi settled.","3 trạng thái: Pending, Fulfilled, Rejected — settled khi chuyển sang fulfilled hoặc rejected và không đổi lại","4 trạng thái: Created, Pending, Fulfilled, Rejected — settled chỉ khi cả fulfilled và rejected đều xảy ra","2 trạng thái: Pending và Settled — fulfilled và rejected là sub-states của Settled có thể chuyển đổi","3 trạng thái: Pending, Fulfilled, Rejected — có thể chuyển từ fulfilled sang rejected nếu có lỗi phát sinh sau","1"
