"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Một hệ thống ngân hàng có Use Case ""Rút tiền"". Use Case này có quan hệ `&lt;&lt;include&gt;&gt;` với ""Xác thực mã PIN"" và `&lt;&lt;extend&gt;&gt;` với ""In biên lai"". Hãy chỉ ra hành vi của hệ thống khi ATM bị hết giấy in biên lai.","","BA Process","Vì ""In biên lai"" là quan hệ `&lt;&lt;extend&gt;&gt;` (tùy chọn), lỗi không in được biên lai không ảnh hưởng đến việc hoàn thành Use Case chính ""Rút tiền"". Ngược lại, nếu lỗi ở Use Case include ""Xác thực mã PIN"", giao dịch sẽ thất bại ngay lập tức.","Giao dịch rút tiền bị hủy bỏ hoàn toàn vì không thể in được biên lai — hệ thống dừng hoạt động","Khách hàng vẫn rút được tiền bình thường nhưng hệ thống sẽ bỏ qua bước in biên lai (không thực hiện Use Case mở rộng)","Hệ thống báo lỗi và không cho khách hàng nhập mã PIN ngay từ đầu vì thiếu điều kiện tiên quyết","Hệ thống tự động in biên lai ra màn hình điện tử thay vì in giấy vật lý","2"
"2","Phân tích sơ đồ Use Case sau: Use Case ""Đăng nhập"" có quan hệ `&lt;&lt;extend&gt;&gt;` đến Use Case ""Đăng nhập sai 3 lần"" (với điều kiện mở rộng là số lần sai &gt;= 3). Làm thế nào để đặc tả luồng này trong tài liệu Use Case Specification?","","BA Process","Khi đặc tả quan hệ `&lt;&lt;extend&gt;&gt;`, tài liệu Use Case Specification của Use Case gốc cần chỉ rõ Extension Point (Vị trí mở rộng trong luồng) và điều kiện cụ thể để kích hoạt Use Case mở rộng.","Viết luồng đăng nhập sai thành một bước trong Basic Flow của Use Case Đăng nhập","Đặc tả ""Đăng nhập sai 3 lần"" thành một Exception Flow (luồng ngoại lệ) trong tài liệu Đăng nhập, chỉ định rõ Extension Point và điều kiện kích hoạt luồng mở rộng này","Tạo một Use Case hoàn toàn độc lập và không kết nối gì với Use Case Đăng nhập chính","Yêu cầu Dev tự viết logic này trong code, BA không cần đưa vào tài liệu đặc tả","2"
"3","Khi bàn giao hệ thống ERP cho khách hàng chạy UAT, khách hàng phản ánh rằng phần mềm chạy đúng theo tài liệu SRS nhưng họ không thể sử dụng được vì quy trình thực tế đã thay đổi. Lỗi này thuộc về giai đoạn nào và BA xử lý thế nào?","","BA Process","Nếu phần mềm đúng SRS nhưng sai thực tế, tức là SRS đã bị lỗi thời hoặc BA khơi gợi yêu cầu sai (thiếu Validation động). BA cần xử lý theo quy trình quản lý thay đổi (CR) để cập nhật hệ thống.","Lỗi ở giai đoạn lập trình (Construction) — Dev code sai logic nghiệp vụ thực tế","Lỗi ở giai đoạn khơi gợi và xác thực yêu cầu (Elicitation &amp; Validation) — BA đã validate tài liệu SRS tĩnh mà không kiểm tra quy trình nghiệp vụ động thực tế. Giải pháp: Lập biên bản ghi nhận thay đổi, phân tích tác động và đề xuất quy trình nâng cấp hệ thống (CR)","Lỗi ở giai đoạn kiểm thử (Testing) — QA không phát hiện ra quy trình nghiệp vụ bị thay đổi","Lỗi ở phía khách hàng — Khách hàng phải tự thay đổi quy trình làm việc của mình theo phần mềm","2"
"4","Tại sao việc lạm dụng quá nhiều quan hệ `&lt;&lt;extend&gt;&gt;` và `&lt;&lt;include&gt;&gt;` trong sơ đồ Use Case được coi là một phản mẫu (Anti-pattern) trong phân tích thiết kế?","","BA Process","Sơ đồ Use Case sinh ra để khách hàng hiểu được hệ thống làm gì. Việc lạm dụng chi tiết hóa include/extend biến nó thành sơ đồ thiết kế thuật toán kỹ thuật, mất đi tính giao tiếp nghiệp vụ.","Vì làm sơ đồ trở nên quá phức tạp, khó đọc đối với khách hàng (Business stakeholders) và dễ dẫn đến tư duy phân rã chức năng kiểu lập trình (Functional Decomposition) thay vì tập trung vào mục tiêu của tác nhân","Vì trình duyệt không thể render được sơ đồ Use Case nếu có quá nhiều đường nét đứt","Vì làm tăng thời gian chạy của cơ sở dữ liệu khi hệ thống vận hành thực tế","Vì compiler của Java và C# không hỗ trợ biên dịch các sơ đồ có mối quan hệ này","1"
"5","Trong tài liệu SRS, yêu cầu phi chức năng về tính khả dụng (Usability) thường được lượng hóa thông qua tiêu chí cụ thể nào dưới đây để đảm bảo tính kiểm thử được?","","BA Process","Usability đo lường tính dễ dùng. Để test được, nó phải được lượng hóa thông qua thời gian hoàn thành tác vụ (Task completion time), tỷ lệ lỗi của người dùng (Error rate) và thời gian học sử dụng (Learning curve).","Mức độ hài lòng của người dùng khi đánh giá giao diện trên thang điểm từ 1 đến 5","Thời gian trung bình một người dùng mới hoàn thành tác vụ cốt lõi không quá 3 phút sau tối đa 15 phút hướng dẫn, và tỷ lệ thực hiện lỗi dưới 5%","Số lượng màu sắc phối hợp trên một trang web không được vượt quá 3 tông màu chủ đạo","Tần suất người dùng mở ứng dụng di động tối thiểu 3 lần một ngày","2"
"6","Khi viết tài liệu đặc tả Data Mapping giữa hệ thống thương mại điện tử mới và hệ thống thanh toán của bên thứ ba, BA cần chỉ rõ thông tin nào để đảm bảo tính toàn vẹn dữ liệu?","","BA Process","Data Mapping chi tiết (Source Field, Target Field, Type, Rules, Nullability) là bắt buộc để lập trình viên viết code chuyển đổi dữ liệu chính xác, tránh mất mát thông tin hoặc lỗi kiểu dữ liệu ở runtime.","Ánh xạ chi tiết giữa các trường dữ liệu nguồn và đích (Source to Target Field mapping), kiểu dữ liệu, độ dài, quy tắc biến đổi (Transformation rules) và cách xử lý lỗi khi không khớp dữ liệu","Tên của máy chủ vật lý lưu trữ dữ liệu của cả hai hệ thống","Danh sách số lượng lập trình viên tham gia viết code tích hợp API của hai bên","Đường truyền mạng internet cáp quang kết nối giữa hai văn phòng công ty","1"
"7","Trong tài liệu mô tả Use Case, luồng phụ ""Sub-flow"" khác với luồng thay thế ""Alternative Flow"" ở điểm cốt lõi nào?","","BA Process","Sub-flow giúp chia nhỏ luồng cơ bản dài thành các khối logic tuần tự dễ quản lý. Alternative Flow là nhánh rẽ nghiệp vụ tùy chọn dựa trên quyết định/điều kiện cụ thể.","Sub-flow là một phần của luồng cơ bản được tách ra để dễ đọc (vẫn chạy bắt buộc); Alternative Flow là luồng rẽ nhánh tùy chọn dẫn đến kết quả khác","Sub-flow do dev viết; Alternative Flow do BA viết tài liệu đặc tả","Sub-flow luôn kết thúc bằng lỗi hệ thống; Alternative Flow luôn kết thúc thành công","Sub-flow chỉ chạy trên mobile; Alternative Flow chỉ chạy trên môi trường desktop web","1"
"8","Khi viết tài liệu SRS cho hệ thống Microservices, BA xử lý phần đặc tả giao tiếp giữa các dịch vụ (Inter-service communication) như thế nào?","","BA Process","Mặc dù là hệ thống kỹ thuật, luồng đi của nghiệp vụ qua các service và dữ liệu trao đổi (Payload) quyết định tính đúng đắn của tính năng. BA cần đặc tả rõ ràng luồng tích hợp này.","Để dev tự quyết định hoàn toàn vì đây là chi tiết kỹ thuật không liên quan đến BA","Đặc tả rõ ràng luồng nghiệp vụ đi qua các service, kiểu giao tiếp (đồng bộ qua REST/gRPC hay bất đồng bộ qua Message Queue như RabbitMQ/Kafka) và cấu trúc dữ liệu trao đổi giữa các dịch vụ","Viết một file SRS duy nhất và yêu cầu tất cả các dịch vụ sử dụng chung một database tập trung","Yêu cầu khách hàng cung cấp sơ đồ đi dây mạng của hệ thống máy chủ","2"
"9","Yêu cầu: ""Hệ thống phải đảm bảo tính sẵn sàng (Availability) đạt mức 99.9%"". QA cần thiết kế kịch bản test như thế nào để validate yêu cầu này?","","BA Process","Độ sẵn sàng 99.9% (thường gọi là 3 con 9) tương đương với tối đa 8.76 giờ downtime ngoài ý muốn mỗi năm. QA cần dùng công cụ giám sát thời gian hoạt động (uptime) dài hạn để xác thực.","Đo lường tổng thời gian hệ thống bị dừng hoạt động ngoài kế hoạch (Unplanned downtime) không được vượt quá 8.76 giờ trong vòng một năm hoạt động liên tục","Kiểm tra xem hệ thống có tự động re-render giao diện khi người dùng nhấn F5 liên tục hay không","Chạy thử hệ thống liên tục trong vòng 5 phút, nếu không sập là đạt yêu cầu","Đo lường dung lượng bộ nhớ RAM của server không vượt quá 90% dưới tải cao","1"
"10","Trong sơ đồ Use Case, lỗi thiết kế ""Spider Web"" (Mạng nhện) xảy ra khi nào và cách khắc phục của BA?","","BA Process","Spider Web khiến sơ đồ Use Case mất đi tính trực quan. BA khắc phục bằng cách gom nhóm các Use Case có liên quan vào các Subsystem/Boundary hoặc phân mảnh sơ đồ thành nhiều view nhỏ hơn.","Khi một Actor kết nối trực tiếp đến quá nhiều Use Case hoặc các Use Case kết nối chằng chịt lẫn nhau — Khắc phục: Phân nhóm Use Case thành các gói (Package/Subject), sử dụng quan hệ kế thừa Actor và tinh chỉnh cấu trúc sơ đồ","Khi lập trình viên viết code có quá nhiều vòng lặp lồng nhau gây đơ trình duyệt","Khi cơ sở dữ liệu có quá nhiều bảng quan hệ nhiều-nhiều không có khóa ngoại","Khi hệ thống bị tấn công bởi virus mạng làm tắc nghẽn đường truyền internet","1"
