"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Giao thức truyền thông nối tiếp UART sử dụng bao nhiêu dây tín hiệu chính để truyền nhận dữ liệu hai chiều giữa hai thiết bị?","","Embedded MCU","UART là giao thức bất đồng bộ (Asynchronous), truyền nhận full-duplex qua 2 đường độc lập Tx và Rx (cần nối chung chân GND làm mốc điện áp).","2 dây tín hiệu: Tx (Truyền) và Rx (Nhận) — kết nối chéo giữa hai thiết bị (Tx thiết bị A nối Rx thiết bị B)","3 dây tín hiệu: SCL (Xung nhịp), SDA (Dữ liệu), và GND (Đất)","4 dây tín hiệu: MISO, MOSI, SCK, và SS — phục vụ truyền nhận dữ liệu đồng bộ","1 dây tín hiệu duy nhất dùng chung cho cả truyền và nhận dữ liệu đồng thời","1"
"2","Tại sao giao thức UART được gọi là truyền thông ""bất đồng bộ"" (Asynchronous)?","","Embedded MCU","Do không có đường truyền xung nhịp (Clock) để đồng bộ cứng, UART sử dụng Baudrate thiết lập sẵn và các bit Start/Stop trong khung truyền để đồng bộ luồng nhận.","Vì nó không sử dụng dây dẫn tín hiệu xung nhịp (Clock) chung giữa hai thiết bị; hai bên tự thống nhất tốc độ truyền (Baud rate)","Vì tốc độ truyền dữ liệu của nó thay đổi liên tục một cách ngẫu nhiên khi chạy","Vì nó chỉ cho phép truyền dữ liệu theo một chiều duy nhất tại một thời điểm","Vì tín hiệu truyền đi không cần tuân theo bất kỳ định dạng khung truyền nào","1"
"3","Trong giao thức I2C, hai dây tín hiệu SDA và SCL lần lượt đóng vai trò gì?","","Embedded MCU","I2C là giao thức đồng bộ (Synchronous), half-duplex, sử dụng đường dữ liệu SDA và đường xung nhịp SCL để điều phối việc truyền tin.","SDA (Serial Data) dùng để truyền nhận dữ liệu; SCL (Serial Clock) dùng để truyền tín hiệu xung nhịp đồng bộ","SDA dùng để cấp nguồn điện; SCL dùng để nối đất cho mạch ngoại vi","SDA dùng để truyền tín hiệu bắt đầu; SCL dùng để truyền tín hiệu kết thúc giao tiếp","Cả hai dây SDA và SCL đều thực hiện truyền nhận dữ liệu song song để tăng tốc độ","1"
"4","Giao thức SPI sử dụng dây tín hiệu nào sau đây để thiết bị Master lựa chọn thiết bị Slave cụ thể muốn giao tiếp?","","Embedded MCU","SS/CS là chân chọn chip. Master điều khiển nhiều Slave bằng cách kéo chân CS của Slave tương ứng xuống mức 0 (Active-low).","SS / CS (Slave Select / Chip Select) — kéo xuống mức thấp (Low) để chọn Slave tương ứng","SCK (Serial Clock) — dùng để phát xung nhịp đồng bộ từ Master","MOSI (Master Out Slave In) — dùng để truyền dữ liệu từ Master đến Slave","MISO (Master In Slave Out) — dùng để nhận dữ liệu từ Slave về Master","1"
"5","Trong cấu hình chân GPIO của vi điều khiển, chức năng ""Pull-up Resistor"" (Điện trở kéo lên) tích hợp phục vụ mục đích gì?","","Embedded MCU","Chân GPIO để trống ở chế độ Input sẽ bị nhiễu môi trường làm thay đổi logic liên tục (floating). Pull-up kéo chân lên mức VCC để đảm bảo trạng thái logic ổn định.","Giữ chân GPIO luôn ở mức điện áp cao (Logic 1) khi không có tín hiệu bên ngoài tác động, tránh trạng thái lơ lửng (Floating)","Tăng dòng điện đầu ra tối đa của chân GPIO để thắp sáng các bóng đèn công suất lớn","Bảo vệ vi điều khiển chống lại các hiện tượng quá áp hoặc sét đánh vào mạch","Tự động chuyển đổi chân GPIO từ chế độ đầu vào sang chế độ đầu ra","1"
"6","Ngoại vi ADC (Analog-to-Digital Converter) trong vi điều khiển dùng để làm gì?","","Embedded MCU","ADC đọc các cảm biến Analog (nhiệt độ, ánh sáng...) và chuyển đổi mức điện áp đo được thành các con số nhị phân (ví dụ 0-4095 cho ADC 12-bit).","Chuyển đổi tín hiệu điện áp liên tục (Analog) bên ngoài thành giá trị số (Digital) để CPU xử lý","Chuyển đổi các câu lệnh lập trình C thành mã máy nhị phân nạp vào Flash","Chuyển đổi dòng điện xoay chiều (AC) thành dòng điện một chiều (DC) cấp nguồn cho mạch","Tăng tần số xung nhịp hoạt động của nhân vi điều khiển lên tối đa","1"
"7","Bộ điều khiển DMA (Direct Memory Access) trong vi điều khiển mang lại lợi ích lớn nhất nào cho hệ thống?","","Embedded MCU","DMA là bộ đồng xử lý phần cứng đảm nhận việc di chuyển dữ liệu (ví dụ: chuyển dữ liệu nhận từ UART vào mảng RAM), giúp CPU tập trung thực hiện các thuật toán tính toán khác.","Cho phép truyền dữ liệu trực tiếp giữa bộ nhớ và ngoại vi (hoặc bộ nhớ - bộ nhớ) mà không cần sự can thiệp của CPU, giúp giải phóng tài nguyên CPU","Tự động tối ưu hóa cấu trúc của các bảng cơ sở dữ liệu quan hệ lưu trữ trên vi điều khiển","Cho phép vi điều khiển kết nối trực tiếp vào mạng internet không dây Wi-Fi","Tự động tăng gấp đôi dung lượng bộ nhớ RAM vật lý của hệ thống vi điều khiển","1"
"8","Trong giao thức SPI, chế độ truyền dữ liệu là gì?","","Embedded MCU","SPI sử dụng 2 đường dữ liệu riêng biệt MOSI và MISO hoạt động đồng bộ theo nhịp SCK, cho phép gửi và nhận dữ liệu đồng thời ở tốc độ rất cao.","Full-duplex (Song công) — cho phép truyền và nhận dữ liệu đồng thời trên hai đường MOSI và MISO độc lập","Half-duplex (Bán song công) — chỉ cho phép truyền hoặc nhận tại một thời điểm trên một dây dẫn","Simplex (Đơn công) — chỉ cho phép truyền dữ liệu một chiều cố định từ Master đến Slave","Asynchronous (Bất đồng bộ) — truyền dữ liệu không cần đồng bộ xung nhịp","1"
"9","Chân RESET trên vi điều khiển có chức năng gì khi được kích hoạt?","","Embedded MCU","Kích hoạt chân RESET (thường kéo xuống mức thấp) sẽ khởi động lại phần cứng của MCU, nạp lại thanh ghi PC (Program Counter) về địa chỉ vector khởi động.","Đưa vi điều khiển về trạng thái ban đầu, khởi động lại chương trình và thiết lập lại các thanh ghi ngoại vi về giá trị mặc định","Xóa sạch vĩnh viễn toàn bộ mã nguồn chương trình đã nạp trong bộ nhớ Flash","Chuyển vi điều khiển sang chế độ tiết kiệm năng lượng tối đa (Deep Sleep)","Tăng điện áp cấp cho các chân GPIO đầu ra lên mức an toàn","1"
"10","Trong bảng thông số của ADC, chỉ số ""Độ phân giải"" (Resolution, ví dụ: 12-bit ADC) thể hiện điều gì?","","Embedded MCU","Độ phân giải càng cao thì phép đo điện áp càng mịn. Ví dụ ADC 12-bit đo dải 0-3.3V sẽ có độ nhạy tối thiểu là 3.3V / 4096 ≈ 0.8 mV.","Số lượng các mức lượng tử hóa mà ADC có thể biểu diễn; 12-bit tương đương với 2^12 = 4096 mức giá trị số","Tốc độ chuyển đổi dữ liệu tối đa tính bằng số mẫu trên một giây (SPS)","Số lượng chân đầu vào Analog tối đa mà bộ ADC đó có thể đọc đồng thời","Độ chính xác về mặt thời gian của bộ hẹn giờ (Timer) dùng để kích hoạt ADC","1"
