"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Trong SQL, lệnh SELECT kết hợp với mệnh đề WHERE phục vụ mục đích chính là gì?","","DA SQL","WHERE dùng để lọc các dòng dữ liệu (rows) thỏa mãn điều kiện lọc cụ thể từ bảng dữ liệu nguồn.","Lọc các bản ghi thỏa mãn điều kiện chỉ định trước khi trả về kết quả — lọc dữ liệu theo hàng","Sắp xếp thứ tự các cột hiển thị trong bảng kết quả theo thứ tự bảng chữ cái — sắp xếp cột","Cập nhật giá trị mới cho các cột trong bảng cơ sở dữ liệu — thay đổi dữ liệu bảng","Tính tổng giá trị của một cột số trong bảng cơ sở dữ liệu — gom nhóm dữ liệu","1"
"2","Sự khác biệt cơ bản giữa phép nối LEFT JOIN và INNER JOIN trong SQL là gì?","","DA SQL","INNER JOIN chỉ trả về các bản ghi khớp giá trị ở cả hai bảng. LEFT JOIN trả về toàn bộ bản ghi bảng bên trái (Left), nếu bảng bên phải không có dòng khớp thì hiển thị NULL.","INNER JOIN chỉ lấy các dòng khớp nhau ở cả hai bảng; LEFT JOIN lấy tất cả dòng bảng bên trái và dòng khớp ở bảng bên phải","INNER JOIN lấy tất cả dòng bảng bên phải; LEFT JOIN chỉ lấy dòng khớp nhau ở cả hai bảng","INNER JOIN gộp hai bảng theo chiều dọc; LEFT JOIN gộp hai bảng theo chiều ngang","INNER JOIN chạy nhanh hơn LEFT JOIN gấp 10 lần trong mọi trường hợp cơ sở dữ liệu","1"
"3","Mệnh đề ORDER BY trong câu lệnh SELECT dùng để làm gì và vị trí của nó ở đâu?","","DA SQL","ORDER BY dùng để sắp xếp kết quả (mặc định ASC tăng dần, DESC giảm dần) và là mệnh đề đứng cuối cùng trong câu lệnh SELECT.","Sắp xếp kết quả trả về theo thứ tự tăng/giảm dần; luôn đứng ở cuối câu lệnh SELECT","Lọc các bản ghi trùng lặp trong kết quả trả về; đứng ngay sau mệnh đề FROM","Gom nhóm các bản ghi có cùng giá trị; đứng trước mệnh đề GROUP BY","Đặt bí danh cho các cột hiển thị trong kết quả; đứng ngay sau tên bảng ở FROM","1"
"4","Trong SQL, hàm aggregate nào sau đây được dùng để đếm số lượng dòng dữ liệu trả về?","","DA SQL","COUNT() là hàm gom nhóm dùng để đếm số lượng dòng dữ liệu (ví dụ: COUNT(*) đếm toàn bộ dòng, COUNT(column) đếm dòng có giá trị khác NULL).","COUNT() — đếm số lượng bản ghi hoặc giá trị phi NULL","SUM() — tính tổng các giá trị số trong cột","AVG() — tính trung bình cộng các giá trị số","TOTAL() — hàm tính tổng số cột hiển thị trong bảng","1"
"5","Mệnh đề GROUP BY thường đi kèm với các hàm nào trong câu lệnh SELECT?","","DA SQL","GROUP BY gom nhóm các dòng có cùng giá trị trên các cột chỉ định để thực hiện các phép toán gom nhóm (Aggregate) trên từng nhóm đó.","Các hàm gom nhóm (Aggregate Functions) như SUM, AVG, COUNT, MIN, MAX — thực hiện tính toán trên từng nhóm bản ghi","Các câu lệnh điều kiện rẽ nhánh như IF, ELSE, CASE WHEN — xử lý logic hiển thị","Các phép nối bảng như LEFT JOIN, RIGHT JOIN, FULL OUTER JOIN — kết nối dữ liệu nhiều bảng","Các hàm xử lý chuỗi văn bản như CONCAT, SUBSTRING, REPLACE — biến đổi chuỗi","1"
"6","Từ khóa DISTINCT trong câu lệnh SELECT có chức năng gì?","","DA SQL","DISTINCT đứng ngay sau SELECT để lọc bỏ các bản ghi trùng lặp hoàn toàn trên tất cả các cột được chọn, trả về các bản ghi độc bản.","Loại bỏ các dòng kết quả trùng lặp hoàn toàn khỏi tập kết quả trả về — giữ lại các giá trị duy nhất","Sắp xếp kết quả trả về theo thứ tự bảng chữ cái một cách tự động — sắp xếp kết quả","Liên kết hai bảng dữ liệu có chung khóa chính với nhau — nối bảng dữ liệu","Tự động điền các giá trị NULL bằng giá trị mặc định của hệ thống — làm sạch dữ liệu","1"
"7","Trong SQL, giá trị NULL đại diện cho điều gì?","","DA SQL","NULL đại diện cho việc thiếu dữ liệu (missing data) hoặc dữ liệu chưa xác định. Nó là trạng thái đặc biệt, không bằng 0 và không bằng chuỗi rỗng.","Giá trị trống, chưa xác định hoặc không tồn tại trong ô dữ liệu — không tương đương với số 0 hay chuỗi rỗng","Số 0 trong các cột định dạng kiểu số nguyên hoặc số thực — giá trị số tối thiểu","Một chuỗi ký tự rỗng """" trong các cột kiểu văn bản — giá trị văn bản rỗng","Một lỗi cú pháp phát sinh khi người dùng quên nhập dữ liệu trong câu lệnh INSERT","1"
"8","Lệnh nào sau đây được dùng để thêm dữ liệu mới vào một bảng có sẵn?","","DA SQL","INSERT INTO là lệnh thuộc nhóm DML (Data Manipulation Language) dùng để chèn thêm một hoặc nhiều dòng dữ liệu mới vào bảng.","INSERT INTO — thêm các dòng dữ liệu mới vào bảng","CREATE TABLE — tạo cấu trúc bảng mới trong database","UPDATE — sửa đổi dữ liệu hiện có của các dòng trong bảng","ADD ROW — từ khóa khai báo thêm dòng của ngôn ngữ định nghĩa cấu trúc","1"
"9","Toán tử LIKE kết hợp với ký tự đại diện `%` (ví dụ: `name LIKE 'A%'`) trong mệnh đề WHERE dùng để làm gì?","","DA SQL","Ký tự `%` trong LIKE đại diện cho một chuỗi ký tự bất kỳ có độ dài tùy ý. Do đó, 'A%' khớp với bất kỳ chuỗi nào bắt đầu bằng ký tự 'A'.","Tìm kiếm các bản ghi có tên bắt đầu bằng chữ 'A' — so khớp mẫu chuỗi","Tìm kiếm các bản ghi có tên chứa đúng hai ký tự trong đó ký tự đầu là 'A' — kiểm tra độ dài","Tìm kiếm các bản ghi có tên kết thúc bằng chữ 'A' — khớp chuỗi cuối","Tìm kiếm các bản ghi có tên bằng chữ 'A' và bỏ qua phân biệt hoa thường — so sánh bằng","1"
"10","Phát biểu nào sau đây đúng về sự khác biệt giữa câu lệnh DELETE và DROP TABLE?","","DA SQL","DELETE là lệnh DML xóa các dòng dữ liệu (có thể lọc bằng WHERE) nhưng bảng vẫn tồn tại. DROP TABLE là lệnh DDL xóa hoàn toàn định nghĩa bảng và dữ liệu của nó khỏi database.","DELETE xóa dữ liệu bên trong bảng nhưng giữ lại cấu trúc bảng; DROP xóa cả dữ liệu lẫn cấu trúc bảng khỏi hệ thống","DELETE xóa cấu trúc bảng; DROP chỉ xóa các dòng dữ liệu và giữ lại bảng rỗng","DELETE chỉ chạy được trên cơ sở dữ liệu MySQL; DROP chỉ chạy được trên cơ sở dữ liệu SQL Server","DELETE là lệnh cấu trúc hệ thống DDL; DROP là lệnh thao tác dữ liệu DML","1"
