"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Cho đoạn mã C nhúng: `#define REG_ADDR 0x40021000 \n #define REG_VAL (*(volatile uint32_t *)REG_ADDR)`. Tại sao việc ép kiểu con trỏ ở đây bắt buộc phải có cả từ khóa `volatile` và kiểu `uint32_t`?","","Embedded C","Ghi vào thanh ghi phần cứng (như bật đèn LED) thường không có luồng đọc lại trong code. Trình biên dịch có thể coi lệnh ghi này là thừa và tối ưu xóa bỏ nếu thiếu `volatile`. `uint32_t` kích hoạt lệnh truy cập bộ nhớ 32-bit (như LDR/STR trong ARM).","`volatile` ngăn chặn trình biên dịch tối ưu xóa bỏ các lệnh ghi/đọc thanh ghi phần cứng ảo; `uint32_t` đảm bảo CPU truy xuất đúng thanh ghi 32-bit tránh lỗi lệch địa chỉ (alignment)","`volatile` dùng để mã hóa địa chỉ 0x40021000 tránh bị tin tặc hack; `uint32_t` dùng để tăng tốc độ ghi dữ liệu","`volatile` bắt buộc phải có để báo cho CPU biết đây là địa chỉ bộ nhớ Flash; `uint32_t` khai báo biến số thực","Đây là cú pháp mặc định của thư viện C, không ảnh hưởng đến mã máy khi biên dịch thực tế","1"
"2","Trong thiết kế phần mềm nhúng sử dụng RTOS, hiện tượng ""Priority Inversion"" (nghịch đảo độ ưu tiên) xảy ra trong điều kiện nào và cách giải quyết?","","Embedded C","Priority Inheritance giải quyết bằng cách tạm thời nâng độ ưu tiên của Task thấp (đang giữ tài nguyên) lên bằng độ ưu tiên của Task cao đang chờ, giúp Task thấp chạy nhanh giải phóng tài nguyên, ngăn Task trung bình chiếm quyền.","Task ưu tiên cao bị chặn bởi Task ưu tiên trung bình do Task ưu tiên thấp đang giữ Mutex/tài nguyên mà Task cao cần. Giải pháp: Sử dụng cơ chế Kế thừa độ ưu tiên (Priority Inheritance)","Độ ưu tiên của các Task bị đảo ngược một cách ngẫu nhiên khi bộ nhớ RAM bị tràn dữ liệu. Giải pháp: Thiết lập lại cấu hình vùng nhớ Stack","Task có độ ưu tiên thấp chạy nhanh hơn Task có độ ưu tiên cao do dùng ít biến. Giải pháp: Thêm các hàm delay vào Task thấp","Hệ thống ngắt hoạt động đè lên quyền điều phối của nhân RTOS. Giải pháp: Tắt toàn bộ ngắt trong suốt quá trình chạy RTOS","1"
"3","Cho đoạn mã C: `uint32_t *p = (uint32_t *)0x20000001; uint32_t val = *p;` Khi chạy trên một MCU kiến trúc ARM Cortex-M0, hiện tượng gì sẽ xảy ra?","","Embedded C","ARM Cortex-M0 không hỗ trợ Unaligned Access cho các lệnh đọc ghi 32-bit. Việc truy cập địa chỉ lẻ không chia hết cho 4 sẽ kích hoạt lỗi phần cứng HardFault lập tức.","Hệ thống phát sinh ngoại lệ phần cứng (HardFault Exception) do truy cập bộ nhớ không căn lề (Unaligned Memory Access) — địa chỉ 0x20000001 không chia hết cho 4","Giá trị biến val sẽ tự động được làm tròn về địa chỉ 0x20000000 để đọc dữ liệu","Đoạn code chạy bình thường nhưng giá trị đọc được bị đảo ngược thứ tự các byte (Little Endian)","Trình biên dịch báo lỗi cú pháp ngay lập tức và không cho phép tạo file hex nạp vào chip","1"
"4","Lập trình viên viết hàm ISR để nhận dữ liệu từ UART: `void UART_ISR() { uint8_t data = UART-&gt;DR; printf(""Recv: %d\n"", data); }` Hãy chỉ ra lỗi nghiêm trọng nhất của hàm này.","","Embedded C","printf thực thi rất lâu do phải định dạng chuỗi và gửi đi qua cổng debug. Trong khi đó, UART nhận dữ liệu liên tục. Hàm ISR chạy quá lâu sẽ khiến CPU không kịp xử lý ngắt nhận tiếp theo, gây Overrun.","Sử dụng hàm `printf()` trong ISR — đây là hàm tốn thời gian, có thể gây blocking/nghẽn luồng và làm mất các byte dữ liệu tiếp theo của UART do tràn bộ đệm phần cứng (Overrun Error)","Lưu dữ liệu vào biến cục bộ `data` thay vì biến static hoặc toàn cục","Không tắt ngắt toàn cục trước khi thực hiện việc đọc thanh ghi dữ liệu UART-&gt;DR","Thiếu kiểu trả về của hàm ISR bắt buộc phải là kiểu con trỏ dữ liệu","1"
"5","Làm thế nào để triển khai một cấu trúc hàng đợi vòng tròn (Ring Buffer / Circular Queue) an toàn luồng (Thread-safe) giữa một ngắt ISR (chỉ ghi dữ liệu) và luồng chính main (chỉ đọc dữ liệu) mà không cần tắt ngắt?","","Embedded C","Nếu luồng chính chỉ đọc và cập nhật chỉ mục Read, ngắt chỉ ghi và cập nhật Write, các thao tác này hoàn toàn độc lập và không chồng lấn. Khai báo volatile đảm bảo CPU đọc giá trị cập nhật tức thì, giúp giao tiếp an toàn không cần khóa ngắt.","Sử dụng các biến chỉ mục Write và Read khai báo `volatile`, đảm bảo các thao tác cập nhật chỉ mục là nguyên tử (atomic) và chỉ có luồng chính cập nhật Read, ngắt cập nhật Write","Sử dụng biến cờ hiệu kiểu boolean và yêu cầu luồng chính thực hiện vòng lặp vô hạn kiểm tra cờ hiệu","Sử dụng hàm cấp phát động `realloc()` để thay đổi kích thước buffer mỗi khi ngắt xảy ra","Tắt ngắt toàn cục mỗi khi luồng chính cần đọc dữ liệu từ Ring Buffer","1"
"6","Trong các hệ thống nhúng siêu tiết kiệm năng lượng (Ultra-low power), BA/Embedded Dev giải quyết bài toán giữ lại nội dung biến trong bộ nhớ RAM khi vi điều khiển vào chế độ Deep Sleep như thế nào?","","Embedded C","Trong chế độ ngủ sâu (Deep Sleep/Power-down), toàn bộ nguồn cấp cho lõi CPU và SRAM thông thường bị ngắt để tiết kiệm điện. Chỉ có vùng RAM duy trì (Retention RAM) hoặc bộ nhớ Flash/EEPROM mới giữ lại được dữ liệu.","Sử dụng vùng RAM đặc biệt (Backup RAM/SRAM retention) được cấp nguồn điện duy trì riêng biệt, hoặc sao lưu các biến quan trọng vào bộ nhớ EEPROM/Flash trước khi ngủ","Không cần làm gì vì bộ nhớ SRAM thông thường luôn giữ được dữ liệu mà không cần tiêu tốn năng lượng điện","Sử dụng tụ điện dung lượng cực lớn đấu song song với từng ô nhớ của bộ nhớ RAM","Khai báo tất cả các biến cần lưu trữ với từ khóa hằng số `const`","1"
"7","Để phát hiện và sửa các lỗi rò rỉ bộ nhớ (Memory Leak) và lỗi sử dụng con trỏ hoang (Wild/Dangling Pointer) trong hệ thống nhúng chạy bare-metal (không có OS), kỹ thuật nào hiệu quả nhất?","","Embedded C","Hệ thống nhúng nhỏ không chạy được các công cụ nặng như Valgrind. Việc tự viết Custom Allocator (ghi đè malloc/free) ghi lại siêu dữ liệu (metadata) giúp theo dõi bộ nhớ rò rỉ rất hiệu quả.","Viết lại hàm `malloc()` và `free()` tùy biến (Custom Memory Allocator) để ghi log địa chỉ cấp phát/giải phóng, kiểm tra tính cân bằng của con trỏ, hoặc dùng công cụ phân tích tĩnh (Static Analysis)","Sử dụng phần mềm Valgrind chạy trực tiếp trên chip vi điều khiển để quét bộ nhớ","Thường xuyên reset vi điều khiển bằng mạch Watchdog Timer để xóa sạch bộ nhớ RAM","Đổi toàn bộ con trỏ trong mã nguồn C thành các biến mảng tĩnh có kích thước cố định","1"
"8","Cho định nghĩa: `typedef void (*callback_t)(uint8_t);`. Biểu thức này khai báo loại cấu trúc dữ liệu nào trong C và có ứng dụng gì trong phần mềm nhúng?","","Embedded C","Con trỏ hàm (Function Pointer) là kỹ thuật quan trọng trong lập trình nhúng để thiết lập các thư viện Driver phần cứng (ví dụ: đăng ký hàm Callback xử lý khi nhận được byte UART).","Khai báo một kiểu con trỏ hàm nhận tham số 8-bit không dấu; ứng dụng để thiết lập các hàm phản hồi (Callback) xử lý sự kiện ngoại vi động","Khai báo một mảng chứa tối đa 8 phần tử có kiểu dữ liệu là void","Khai báo cấu trúc struct ghi đè cơ chế quản lý bộ nhớ của hệ điều hành","Khai báo một hàm đệ quy tự động giải phóng bộ nhớ Stack khi chạy xong","1"
"9","Khi sử dụng Watchdog Timer (WDT) trong hệ thống nhúng có RTOS chạy nhiều task, chiến lược ""feed dog"" (reset watchdog) như thế nào là an toàn và chính xác nhất?","","Embedded C","Nếu feed dog ở ngắt hoặc ở 1 task độc lập, khi các task khác bị treo (deadlock), watchdog vẫn được feed và không thể reset chip. Chiến lược Monitor Task (hoặc Watchdog Coordinator) đảm bảo phát hiện treo cục bộ.","Tạo một task giám sát (Monitor Task) kiểm tra trạng thái hoạt động bình thường của tất cả các task khác, nếu tất cả các task đều gửi tín hiệu sống (Keep-alive) thì mới thực hiện feed dog","Thực hiện feed dog bên trong hàm phục vụ ngắt ISR của Timer hệ thống một cách định kỳ","Đặt lệnh feed dog ở cuối vòng lặp vô hạn của Task có độ ưu tiên thấp nhất","Mỗi Task trong hệ thống tự động gọi lệnh feed dog độc lập bất cứ khi nào nó chạy xong","1"
"10","Trong lập trình nhúng C, sự khác biệt giữa phép toán `const int *p` và `int * const p` là gì?","","Embedded C","Với `const int *p` (hoặc `int const *p`), bạn không thể sửa giá trị vùng nhớ qua con trỏ (`*p = 5` báo lỗi). Với `int * const p`, địa chỉ con trỏ giữ cố định, bạn không thể trỏ sang địa chỉ khác (`p = &amp;new_var` báo lỗi).","`const int *p` khai báo con trỏ trỏ đến hằng số (giá trị không đổi); `int * const p` khai báo con trỏ hằng (địa chỉ trỏ tới không đổi)","`const int *p` lưu ở Flash; `int * const p` lưu ở SRAM tĩnh của vi điều khiển","`const int *p` chỉ chạy trên chip 8-bit; `int * const p` chỉ chạy trên chip 32-bit","Hai khai báo này hoàn toàn tương đương nhau về mặt cú pháp biên dịch của C","1"
