"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Tại sao các dây tín hiệu SDA và SCL của giao thức I2C bắt buộc phải có điện trở kéo lên (Pull-up Resistors) trên đường truyền?","","Embedded MCU","Cấu trúc Open-drain chỉ có khả năng kéo bus xuống 0. Khi không ai truyền, bus được đưa về mức 1 nhờ điện trở kéo lên. Thiết kế này tránh ngắn mạch khi nhiều thiết bị cùng truyền tin.","Vì các chân I2C của thiết bị được thiết kế theo cấu trúc Cực thu hở (Open-drain / Open-collector); điện trở kéo lên giúp kéo đường truyền lên mức cao khi các thiết bị không kéo xuống mức thấp","Để hạn chế dòng điện chạy qua các thiết bị tránh gây cháy chip khi truyền tin ở tốc độ cao","Để chuyển đổi tín hiệu từ dạng tương tự (Analog) sang dạng số (Digital) một cách tự động","Để cách ly điện áp giữa thiết bị Master và các thiết bị Slave trên cùng một bus","1"
"2","Trong giao thức SPI, hai thông số CPOL (Clock Polarity) và CPHA (Clock Phase) cấu hình khía cạnh nào của xung nhịp đồng bộ?","","Embedded MCU","Tổ hợp CPOL và CPHA tạo ra 4 chế độ chạy của SPI (Mode 0, 1, 2, 3), đảm bảo Master và Slave lấy mẫu (sampling) và dịch bit (shifting) tại đúng thời điểm sườn xung nhịp.","CPOL xác định trạng thái của đường Clock khi không truyền tin (Idle); CPHA xác định sườn xung nhịp (cạnh lên hay cạnh xuống) dùng để lấy mẫu dữ liệu","CPOL xác định tốc độ Baudrate tối đa; CPHA xác định số bit dữ liệu trong một khung truyền","CPOL cấu hình chế độ Master; CPHA cấu hình chế độ Slave của thiết bị","CPOL điều khiển điện áp sườn xung; CPHA điều khiển độ trễ thời gian phản hồi","1"
"3","Giao thức I2C quản lý việc giao tiếp với nhiều thiết bị Slave trên cùng 2 đường dây bằng cơ chế nào?","","Embedded MCU","I2C sử dụng cơ chế định địa chỉ phần mềm (thường là 7-bit hoặc 10-bit). Slave chỉ nhận và phản hồi gói tin khi byte địa chỉ Master gửi đi trùng khớp với địa chỉ của mình.","Sử dụng địa chỉ định danh (Address) duy nhất của từng Slave; Master gửi địa chỉ này lên bus trước khi truyền dữ liệu để chỉ định Slave phản hồi","Sử dụng các dây chọn chip SS/CS riêng biệt nối từ Master đến từng Slave","Sử dụng cơ chế phân chia thời gian truyền tin (TDMA) một cách tự động","Các Slave tự động phân xử dựa trên mức điện áp sườn xung nhịp SCL","1"
"4","Để đọc tín hiệu từ một nút bấm chống nhiễu phím (Debounce) hiệu quả bằng phần mềm không gây nghẽn CPU, BA/Embedded Dev khuyên dùng giải pháp nào?","","Embedded MCU","Rung phím (bounce) xảy ra trong vài ms khi nhấn nút. Dùng delay trong ISR là cấm kỵ. Giải pháp tốt nhất là nhận ngắt, tắt ngắt tạm thời, bật timer 20ms sau quét lại trạng thái nút và bật lại ngắt.","Sử dụng ngắt cạnh (Edge Interrupt) kết hợp với bộ định thời (Timer) để trì hoãn việc đọc lại trạng thái phím sau khoảng 10-20ms (chống nhiễu rung cơ học)","Sử dụng hàm `delay_ms(20)` trực tiếp bên trong hàm phục vụ ngắt ISR của nút bấm","Thực hiện vòng lặp vô hạn kiểm tra liên tục trạng thái nút bấm trong luồng chương trình chính","Lắp đặt thêm tụ điện phân cực dung lượng lớn song song với tiếp điểm nút bấm","1"
"5","Trong truyền thông UART, thông số ""Parity Bit"" (như Even Parity hoặc Odd Parity) có vai trò gì?","","Embedded MCU","Bit Parity là phương pháp kiểm tra lỗi đơn giản. Even parity đảm bảo tổng số bit 1 trong frame là chẵn. Nếu nhận được số bit 1 không khớp, hệ thống phát hiện lỗi và hủy gói.","Kiểm tra lỗi truyền dẫn cơ bản bằng cách đếm số lượng bit 1 trong khung truyền để phát hiện việc bị đảo bit ngẫu nhiên","Tăng tốc độ truyền nhận dữ liệu của khung truyền lên gấp đôi","Định nghĩa điểm bắt đầu và kết thúc của một khung truyền dữ liệu nối tiếp","Đóng vai trò làm mật mã khóa để xác thực danh tính thiết bị gửi tin","1"
"6","Khi vi điều khiển cấu hình cổng GPIO ở chế độ ""Open-drain"" (thay vì Push-pull), đặc điểm ngõ ra của chân này là gì?","","Embedded MCU","Chế độ Open-drain hữu ích khi cần giao tiếp giữa các IC chạy mức điện áp khác nhau (ví dụ: MCU 3.3V giao tiếp IC 5V bằng cách kéo điện trở lên 5V) hoặc chạy bus nhiều Master/Slave như I2C.","Chỉ có khả năng kéo chân xuống mức 0 (GND); khi xuất mức 1, chân ở trạng thái trở kháng cao (Hi-Z) và cần điện trở kéo lên để đạt mức VCC","Chân có thể tự động đẩy dòng điện lên mức điện áp tối đa mà không cần nguồn cấp ngoài","Chân tự động hoạt động như một chân đầu vào Analog để đọc điện áp cảm biến","Chân chỉ cho phép truyền dữ liệu một chiều ra ngoài và không thể đọc lại trạng thái","1"
"7","Chức năng ""Input Capture"" của ngoại vi Timer trong vi điều khiển thường được ứng dụng để làm gì?","","Embedded MCU","Input Capture chụp (capture) lại giá trị đếm của Timer khi có ngắt sườn lên/xuống ở chân tín hiệu, giúp tính toán chính xác khoảng thời gian giữa hai sườn (đo tần số/độ rộng xung).","Đo đạc chu kỳ, tần số hoặc độ rộng xung của một tín hiệu đầu vào bằng cách ghi lại giá trị counter tại thời điểm xảy ra sườn xung kích hoạt","Tạo ra các xung PWM có chu kỳ và độ rộng xung thay đổi liên tục để điều khiển động cơ","Tự động sao lưu dữ liệu từ bộ nhớ Flash sang bộ nhớ RAM của vi điều khiển","Đếm số lượng câu lệnh mã máy chạy được trong một khoảng thời gian","1"
"8","Sự khác biệt chính giữa giao thức giao tiếp SPI và I2C về mặt phần cứng kết nối dây là gì?","","Embedded MCU","I2C tiết kiệm chân phần cứng (chỉ cần 2 chân cho bus nhiều thiết bị). SPI tốn chân hơn vì mỗi thiết bị Slave cần một đường CS riêng biệt nối từ Master (hoặc mắc nối tiếp dạng daisy chain).","SPI cần tối thiểu 4 dây (MOSI, MISO, SCK, CS); I2C chỉ cần 2 dây (SDA, SCL) bất kể số lượng thiết bị kết nối","SPI chỉ hỗ trợ kết nối 1 Master và 1 Slave; I2C hỗ trợ kết nối hàng ngàn Master và Slave cùng lúc","SPI sử dụng điện trở kéo lên trên tất cả các dây; I2C sử dụng kết nối đẩy kéo trực tiếp","SPI truyền dữ liệu bất đồng bộ; I2C truyền dữ liệu đồng bộ xung nhịp phần cứng","1"
"9","Khi sử dụng ngoại vi ADC để đọc cảm biến analog, tại sao việc thiết lập điện áp tham chiếu (VREF) lại cực kỳ quan trọng?","","Embedded MCU","Ví dụ với ADC 12-bit, nếu VREF = 3.3V, giá trị 4095 tương đương 3.3V. Nếu VREF bị sụt áp xuống 3.0V do nguồn yếu, kết quả tính toán điện áp sẽ bị sai lệch hoàn toàn.","VREF xác định dải điện áp đầu vào tối đa mà ADC có thể đo được; giá trị số trả về sẽ tỷ lệ thuận giữa điện áp ngõ vào và VREF","VREF quyết định tốc độ lấy mẫu tối đa của ADC tính bằng số mẫu trên giây","VREF cung cấp nguồn điện năng chính để nuôi hoạt động của nhân CPU vi điều khiển","VREF tự động lọc các nhiễu tần số cao của tín hiệu analog đầu vào","1"
"10","Watchdog Timer (WDT) độc lập (Independent Watchdog - IWDG) thường sử dụng nguồn cấp xung nhịp (Clock Source) nào và tại sao?","","Embedded MCU","IWDG dùng để bảo vệ hệ thống khỏi treo phần cứng. Việc dùng nguồn clock nội độc lập (như LSI 32kHz) giúp nó hoạt động tin cậy độc lập với hệ thống Clock chính của CPU.","Sử dụng nguồn dao động nội tần số thấp độc lập (LSI) để đảm bảo Watchdog vẫn chạy bình thường ngay cả khi thạch anh chính (HSE) của hệ thống bị hỏng","Sử dụng nguồn xung nhịp tốc độ cao của nhân CPU để tăng tốc độ reset vi điều khiển","Sử dụng nguồn xung nhịp từ chân Tx của cổng truyền thông UART kết nối với máy tính","Sử dụng nguồn điện pin backup bên ngoài vi điều khiển để hoạt động liên tục","1"
