"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","WebSocket handshake: client gửi headers gì và server respond status code nào?","","WebSocket","Client: GET /ws HTTP/1.1, Upgrade: websocket, Connection: Upgrade, Sec-WebSocket-Key, Sec-WebSocket-Version: 13. Server: 101 Switching Protocols, Upgrade: websocket, Sec-WebSocket-Accept.","Content-Type: websocket + Accept: ws → Server 200 OK with WebSocket body","Upgrade: websocket + Connection: Upgrade + Sec-WebSocket-Key → Server 101 Switching Protocols","Authorization: Bearer ws-token → Server 201 Created WebSocket resource","Transfer-Encoding: websocket → Server 301 Redirect to ws:// protocol","2"
"2","WebSocket subprotocols dùng để làm gì?","","WebSocket","Subprotocols define APPLICATION-LEVEL protocol trên WebSocket (vd: STOMP, MQTT, GraphQL over WS). Client propose: Sec-WebSocket-Protocol: stomp, mqtt → Server chọn 1.","Encryption protocols cho WebSocket — thay thế wss:// bằng custom encryption","Define application-level protocol (STOMP/MQTT/GraphQL) → client propose, server chọn — standardize messaging","Compression algorithms cho binary data — reduce payload size","Authentication protocols — verify client identity during handshake","2"
"3","WebSocket connection multiplexing: nhiều channels trên 1 connection giải quyết gì?","","WebSocket","1 connection = 1 TCP socket (limited per browser ~6/domain). Multiplexing: logical channels/rooms/topics trên 1 connection → tiết kiệm connections, reduce overhead. Libraries: Socket.IO rooms/namespaces.","Logical channels trên 1 connection → tiết kiệm TCP connections, reduce overhead — Socket.IO rooms/namespaces","1 connection per channel — multiplexing tạo 1 TCP connection cho mỗi logical channel","Merge multiple connections thành 1 — connection pooling pattern","Chia 1 message thành multiple frames — message fragmentation","1"
"4","Reconnection strategy: exponential backoff with jitter khi WebSocket disconnect?","","WebSocket","Reconnect delay tăng exponential (1s, 2s, 4s, 8s...) tránh server overload khi nhiều clients reconnect đồng thời. Jitter (random offset) phân tán reconnection attempts tránh thundering herd.","Fixed delay 5 giây mỗi lần retry — đơn giản và predictable","Reconnect ngay lập tức retry liên tục — nhanh nhất cho user experience","Không retry — user phải refresh page manually để reconnect","Delay tăng exponential + jitter random phân tán — tránh thundering herd khi nhiều clients reconnect","4"
"5","Socket.IO khác native WebSocket ở features nào?","","WebSocket","Socket.IO thêm: auto-reconnection, room/namespace support, fallback transports (long polling nếu WS unavailable), event-based API, binary support, acknowledgements. Nhưng: not pure WebSocket protocol.","Socket.IO là WebSocket replacement hoàn toàn — protocol khác hoàn toàn","Socket.IO chỉ cho Node.js — không hỗ trợ other languages/platforms","Auto-reconnect, rooms/namespaces, fallback transports, event-based API, acknowledgements — not pure WebSocket","Socket.IO là wrapper chỉ add syntactic sugar — không thêm functionality","3"
"6","WebSocket vs HTTP/2 Server Push: cả hai đều server→client. Khác nhau gì?","","WebSocket","WebSocket: full-duplex persistent connection cho arbitrary data. HTTP/2 Server Push: server proactively push RESOURCES (CSS, JS, images) mà client sẽ cần — tied to HTTP request context.","WebSocket full-duplex arbitrary data; HTTP/2 Push proactively push resources client sẽ cần — tied to HTTP context","WebSocket và HTTP/2 Push hoạt động giống nhau — chỉ khác protocol version","WebSocket cho text; HTTP/2 Push cho binary — phân chia theo data type","WebSocket deprecated bởi HTTP/2 Push — HTTP/2 thay thế hoàn toàn","1"
"7","WebSocket load balancing: sticky sessions vs shared state (Redis pub/sub)?","","WebSocket","Sticky sessions: LB route client to SAME server (simple nhưng uneven load, server fail = disconnect). Redis pub/sub: broadcast messages across servers (complex nhưng even load, fault tolerant).","Round-robin LB đủ cho WebSocket — stateful connection không cần special handling","Sticky sessions route same server (simple/uneven); Redis pub/sub broadcast cross-server (complex/even/fault tolerant)","Redis pub/sub chỉ cho chat apps — không cần cho other WebSocket use cases","Sticky sessions luôn tốt hơn Redis — simpler is better cho mọi scale","2"
"8","Binary data qua WebSocket: gửi images/files efficient thế nào?","","WebSocket","WebSocket native support Binary frames (ArrayBuffer, Blob). Chunk large files thành multiple frames. Message framing handle reassembly. Efficient hơn Base64 encoding over text (33% overhead).","Binary frames native (ArrayBuffer/Blob), chunk large files, efficient hơn Base64 text encoding (33% overhead)","Base64 encode tất cả binary data trong text frames — universal compatibility","Chuyển sang HTTP multipart upload — WebSocket không support binary","Compress binary thành text format — smaller payload over text frames","1"
"9","WebSocket authentication: khi nào auth trong handshake vs sau connection?","","WebSocket","Handshake auth (query param/header): reject TRƯỚC connect → tiết kiệm server resources. Post-connection auth (first message): cho phép connect rồi verify → flexible nhưng tốn resources cho invalid connections.","Không cần auth — WebSocket inherits HTTP session từ initial request","Luôn auth sau connection — handshake không support custom headers","Luôn auth trong handshake — post-connection auth không secure","Handshake auth reject trước connect tiết kiệm; Post-connection flexible nhưng tốn resources invalid connections","4"
"10","WebSocket compression: permessage-deflate extension trade-off gì?","","WebSocket","Permessage-deflate compress each message → reduce bandwidth 60-80%. Trade-off: CPU overhead cho compress/decompress, memory cho compression context. Disable cho binary data đã compressed.","Compress luôn tốt — không có trade-off nào khi enable compression","Compress chỉ cho text messages — binary messages không support compression","Compress messages reduce bandwidth 60-80%; trade-off CPU overhead + memory cho compression context","Compress tăng bandwidth vì thêm compression metadata overhead","3"
