"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Một bảng Orders có 10 triệu bản ghi. Query SELECT * FROM Orders WHERE customer_id = 123 AND status = 'pending' mất 5 giây. Cách tối ưu nào hiệu quả nhất?","","Database","Tạo composite index trên (customer_id, status): index bao phủ cả hai điều kiện WHERE, giảm từ full table scan O(n) xuống index lookup O(log n). Thứ tự cột trong index quan trọng.","Tăng RAM server","Dùng SELECT * là đủ nhanh","Chia bảng thành 10 bảng nhỏ","Tạo composite index trên (customer_id, status) để giảm từ full table scan xuống index lookup","4"
"2","Một hệ thống e-commerce cần lưu trữ đơn hàng. Mỗi đơn hàng có nhiều sản phẩm, mỗi sản phẩm thuộc nhiều đơn hàng. Thiết kế bảng nào đúng?","","Database","Quan hệ Many-to-Many cần bảng trung gian: Orders, Products, và Order_Items (order_id FK, product_id FK, quantity, price). Bảng trung gian giải quyết M:N relationship.","Thêm cột products vào bảng Orders","Lưu tất cả trong 1 bảng","Bảng trung gian Order_Items (order_id FK, product_id FK, quantity, price) cho quan hệ Many-to-Many","Dùng JSON column cho products","3"
"3","Giải thích sự khác biệt giữa Optimistic Locking và Pessimistic Locking trong database?","","Database","Pessimistic: lock row/table khi đọc, chặn user khác → ít conflict nhưng giảm throughput. Optimistic: không lock, check version/timestamp khi update → throughput cao nhưng có thể conflict.","Cả hai đều lock database","Pessimistic không tồn tại trong thực tế","Optimistic luôn tốt hơn","Pessimistic: lock khi đọc, chặn user khác; Optimistic: không lock, check version khi update — throughput cao hơn","4"
"4","Một bảng Users cần tìm kiếm full-text trên cột bio (text dài). B-tree index không hiệu quả. Giải pháp nào phù hợp?","","Database","Full-text index (MySQL FULLTEXT, PostgreSQL GIN/GiST with tsvector): được thiết kế cho tìm kiếm text, hỗ trợ stemming, ranking, boolean search. Hoặc dùng Elasticsearch cho search phức tạp.","Tạo B-tree index trên cột bio","Full-text index (FULLTEXT/GIN) hoặc search engine (Elasticsearch) cho tìm kiếm text phức tạp","LIKE '%keyword%' là đủ nhanh","Không thể tìm kiếm text dài","2"
"5","Khi nào nên dùng NoSQL (MongoDB) thay vì SQL (MySQL/PostgreSQL)?","","Database","NoSQL phù hợp: schema linh hoạt/thay đổi thường xuyên, data không có quan hệ phức tạp, cần scale horizontal, dữ liệu dạng document/key-value. SQL phù hợp: quan hệ phức tạp, ACID transaction, structured data.","NoSQL: schema linh hoạt, không quan hệ phức tạp, scale horizontal; SQL: quan hệ phức tạp, ACID, structured data","Luôn dùng SQL","Luôn dùng NoSQL","Cả hai đều giống nhau","1"
"6","Database sharding là gì và khi nào cần?","","Database","Sharding: chia database thành nhiều phần (shards) trên nhiều server. Mỗi shard chứa subset dữ liệu. Cần khi: single server không đủ storage/throughput, hàng tỷ records. Phức tạp: cross-shard queries.","Backup database","Chia database thành nhiều phần trên nhiều server — cần khi single server không đủ, phức tạp với cross-shard queries","Nén database","Xoá dữ liệu cũ","2"
"7","N+1 Query Problem là gì và cách giải quyết?","","Database","N+1: 1 query lấy N items + N queries lấy related data cho mỗi item. Giải quyết: JOIN (1 query), Eager loading (ORM), Batch loading (IN clause). Ví dụ: lấy 100 orders rồi 100 query lấy customer.","Một lỗi cú pháp SQL","1 query chính + N queries phụ cho mỗi item → giải quyết bằng JOIN, Eager loading, hoặc Batch loading","Giới hạn 1 query mỗi request","Tên của một database","2"
"8","Database replication (Master-Slave) hoạt động thế nào?","","Database","Master: xử lý write operations. Slave(s): sao chép data từ Master, xử lý read operations. Ưu: tăng read throughput, high availability. Nhược: replication lag, slave có thể đọc data cũ.","Master xử lý write; Slave sao chép data và xử lý read — tăng read throughput nhưng có replication lag","Master đọc; Slave ghi","Cả Master và Slave đều ghi","Slave luôn có data mới nhất","1"
"9","Một bảng Logs chứa 500 triệu records lịch sử 5 năm. Query trên bảng này rất chậm. Giải pháp nào hiệu quả?","","Database","Table partitioning: chia bảng theo thời gian (monthly/yearly). Query chỉ scan partition liên quan. Kết hợp archiving (chuyển data cũ), proper indexing. Hoặc time-series database cho use case này.","Xoá tất cả dữ liệu cũ","Tăng RAM lên 1TB","Table partitioning theo thời gian + archiving data cũ + proper indexing hoặc time-series database","Chấp nhận query chậm","3"
"10","Connection Pooling trong database là gì và tại sao cần?","","Database","Connection Pool: tạo sẵn một tập connections, tái sử dụng thay vì tạo/đóng mỗi request. Giảm overhead tạo connection (TCP handshake + auth), giới hạn concurrent connections tránh quá tải DB.","Tạo sẵn tập connections tái sử dụng — giảm overhead tạo connection, giới hạn concurrent connections","Tạo connection mới mỗi request","Kết nối nhiều database cùng lúc","Pool là một kiểu database","1"
