"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","JVM (Java Virtual Machine) cho phép Java đạt được đặc tính nào mà ngôn ngữ compile-to-native không có?","","Java","JVM thực thi bytecode trung gian, cho phép chương trình Java chạy trên mọi nền tảng có JVM (Write Once Run Anywhere). JVM cũng quản lý bộ nhớ tự động qua garbage collection.","Compile trực tiếp thành machine code cho từng CPU architecture, hiệu suất tương đương C/C++","Chạy trên mọi nền tảng có JVM (Write Once Run Anywhere) nhờ thực thi bytecode trung gian","Truy cập trực tiếp hardware registers và memory addresses không qua abstraction layer","Tự động compile thành native app cho iOS và Android từ cùng một codebase","2"
"2","Garbage Collection trong Java hoạt động ở thời điểm nào và developer có kiểm soát được không?","","Java","GC chạy tự động, non-deterministic (không xác định chính xác thời điểm). System.gc() chỉ là gợi ý, JVM có thể bỏ qua. Developer không nên tự quản lý bộ nhớ (không có delete/free).","GC chạy theo lịch cố định mỗi 60 giây và developer có thể cấu hình interval chính xác","GC chạy mỗi khi System.gc() được gọi — developer kiểm soát hoàn toàn thời điểm thu hồi","Developer phải gọi object.delete() thủ công — Java không có garbage collection tự động","GC chạy tự động non-deterministic, System.gc() chỉ là gợi ý — developer không kiểm soát thời điểm chính xác","4"
"3","Array trong Java có đặc điểm gì về kích thước và kiểu dữ liệu?","","Java","Array kích thước cố định sau khi khởi tạo, lưu phần tử cùng kiểu, truy cập O(1) qua index. Không thể thêm/xoá phần tử (chỉ thay đổi giá trị). Length xác định lúc tạo.","Kích thước cố định, lưu phần tử cùng kiểu, truy cập O(1) qua index — length không đổi sau khởi tạo","Kích thước động tự mở rộng, lưu phần tử bất kỳ kiểu, truy cập O(n) qua iterator","Kích thước cố định nhưng có thể lưu nhiều kiểu dữ liệu khác nhau trong cùng array","Kích thước động giống ArrayList nhưng chỉ lưu primitive types không lưu objects","1"
"4","ArrayList khác Array ở những điểm kỹ thuật nào trong Java Collections?","","Java","Array: kích thước cố định, lưu cả primitive và object. ArrayList: kích thước động (auto-resize), chỉ lưu object (primitive phải wrap), có sẵn add/remove/contains methods.","Array và ArrayList đều kích thước động và lưu cả primitive lẫn object — chỉ khác ở package import","Array kích thước cố định lưu primitive/object; ArrayList kích thước động chỉ lưu object có sẵn nhiều methods","Array chỉ lưu primitive; ArrayList chỉ lưu object — cả hai đều kích thước cố định","Array kích thước động nhanh hơn; ArrayList kích thước cố định nhưng nhiều utility methods hơn","2"
"5","Interface trong Java cho phép đạt được tính năng thiết kế nào mà class thường không có?","","Java","Interface cho phép multiple implementation (một class implement nhiều interface). Định nghĩa contract (abstract methods) mà implementing classes phải tuân theo. Từ Java 8 có default methods.","Cho phép tạo đối tượng trực tiếp từ interface bằng toán tử new mà không cần implementing class","Cho phép lưu trữ state (instance variables) và constructor giống abstract class","Cho phép multiple implementation và định nghĩa contract — từ Java 8 có default methods","Cho phép single inheritance và chia sẻ logic chung giống abstract class","3"
"6","Annotation trong Java cung cấp thông tin cho ai và ảnh hưởng đến runtime thế nào?","","Java","Annotation là metadata (@Override, @Deprecated, @Autowired) cung cấp thông tin cho compiler, build tools, và runtime framework. Một số annotation retain đến runtime (RUNTIME retention) để framework xử lý via reflection.","Annotation là metadata cho compiler/build tools/runtime framework — một số retain đến runtime qua reflection","Annotation là loại comment đặc biệt bị compiler bỏ qua hoàn toàn và không ảnh hưởng gì","Annotation thay thế hoàn toàn XML configuration và chỉ hoạt động trong Spring framework","Annotation tự động generate code tại compile time thay thế toàn bộ boilerplate code","1"
"7","Generic trong Java giải quyết vấn đề gì về type safety?","","Java","Generic cho phép parameterize types: List&lt;String&gt; chỉ chứa String, compiler kiểm tra tại compile-time. Không có Generic: List chứa Object, cần cast thủ công, có thể ClassCastException tại runtime.","Cho phép tạo collection chứa multiple types cùng lúc mà không cần cast","Cho phép bỏ qua type checking hoàn toàn để code linh hoạt hơn","Parameterize types (List&lt;String&gt;) để compiler kiểm tra type safety tại compile-time, tránh ClassCastException","Tự động convert giữa primitive types và wrapper classes (autoboxing) trong collections","3"
"8","Abstract class và interface trong Java khác nhau ở khả năng chứa state và constructor nào?","","Java","Abstract class: có constructor, có instance fields (state), single inheritance. Interface: không có constructor, không có instance fields (chỉ constants), multiple implementation. Từ Java 8 interface có default/static methods.","Abstract class: constructor, instance fields, single inheritance; Interface: no constructor, no instance fields, multiple implementation","Interface: có constructor và instance fields; Abstract class: không có constructor, chỉ abstract methods","Abstract class hỗ trợ multiple inheritance; Interface chỉ hỗ trợ single implementation","Abstract class và interface đều có constructor và instance fields — chỉ khác tên gọi","1"
"9","JDBC (Java Database Connectivity) hoạt động theo kiến trúc nào?","","Java","JDBC cung cấp API interface thống nhất (Connection, Statement, ResultSet). Driver cụ thể (MySQL, PostgreSQL) implement interface. Developer viết code theo interface → chuyển DB chỉ đổi driver.","API cung cấp interface thống nhất; driver cụ thể implement — chuyển DB chỉ cần đổi driver","ORM framework tự động map object sang table mà không cần viết SQL query","API kết nối trực tiếp đến database qua socket protocol riêng biệt không dùng SQL","Wrapper của HTTP client để gọi REST API endpoint của database server","1"
"10","Java khác C++ ở cách quản lý bộ nhớ và kiểu kế thừa nào?","","Java","Java: JVM/bytecode (đa nền tảng), GC tự động, không có con trỏ trực tiếp, single class inheritance. C++: compile-to-native, quản lý bộ nhớ thủ công (new/delete), con trỏ, multiple class inheritance.","Java compile-to-native và quản lý bộ nhớ thủ công; C++ chạy trên VM với garbage collection","Java và C++ đều chạy trên JVM, garbage collection, và single inheritance — chỉ khác cú pháp","Java: JVM/GC/không con trỏ/single class inheritance; C++: native/manual memory/con trỏ/multiple inheritance","Java hỗ trợ multiple class inheritance; C++ chỉ hỗ trợ single class inheritance","3"
