"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Trong thống kê mô tả, giá trị Trung vị (Median) đại diện cho điều gì của tập dữ liệu?","","DA Statistics","Median là số ở trung tâm. Đối với tập dữ liệu bị lệch (skewed data, ví dụ thu nhập), trung vị phản ánh thực tế tốt hơn trung bình vì không bị ảnh hưởng bởi giá trị ngoại lai (outliers).","Giá trị nằm chính giữa tập dữ liệu khi đã được sắp xếp theo thứ tự tăng hoặc giảm dần — chia đôi tập dữ liệu thành 50% lớn hơn và 50% nhỏ hơn","Giá trị trung bình cộng của tất cả các phần tử trong tập dữ liệu cộng lại","Giá trị xuất hiện với tần suất nhiều nhất trong tập dữ liệu","Hiệu số giữa giá trị lớn nhất và giá trị nhỏ nhất của tập dữ liệu","1"
"2","Khi biểu diễn phân phối thu nhập của một quốc gia (thường bị lệch phải do một số ít người có thu nhập rất cao), chỉ số nào phản ánh thu nhập phổ biến của người dân tốt nhất?","","DA Statistics","Trong phân phối lệch (skewed distribution), trung bình cộng (Mean) bị ảnh hưởng mạnh bởi các outliers. Trung vị (Median) giữ nguyên tính chất phân vị 50% nên phản ánh trung thực hơn.","Trung vị (Median) — không bị bóp méo bởi một số ít giá trị cực trị (outliers) quá lớn","Trung bình cộng (Mean) — bị kéo lệch lên cao bởi những người cực giàu","Yếu vị (Mode) — chỉ phản ánh mức lương có số lượng người nhận nhiều nhất cụ thể","Độ lệch chuẩn (Standard Deviation) — chỉ đo lường mức độ biến động chứ không phản ánh giá trị trung tâm","1"
"3","Chỉ số ""Độ lệch chuẩn"" (Standard Deviation) trong thống kê đo lường khía cạnh nào của tập dữ liệu?","","DA Statistics","Độ lệch chuẩn thấp nghĩa là các điểm dữ liệu tập trung gần sát giá trị trung bình. Độ lệch chuẩn cao nghĩa là dữ liệu phân tán rộng (biến động lớn).","Mức độ phân tán của các điểm dữ liệu xung quanh giá trị trung bình cộng của chúng — độ biến động dữ liệu","Mức độ tương quan tuyến tính giữa hai biến số độc lập với nhau","Giá trị trung bình của khoảng cách giữa giá trị lớn nhất và nhỏ nhất","Tần suất xuất hiện trung bình của các giá trị trùng lặp trong tập dữ liệu","1"
"4","Mối quan hệ tương quan (Correlation) và quan hệ nhân quả (Causation) khác nhau ở điểm cốt lõi nào?","","DA Statistics","Correlation không có nghĩa là Causation. Hai biến có thể tương quan mạnh do cùng phụ thuộc vào một biến thứ ba (confounding variable), chứ không trực tiếp gây ra nhau.","Tương quan chỉ ra hai biến biến đổi cùng nhau; Nhân quả khẳng định sự thay đổi của biến này trực tiếp tạo ra sự thay đổi của biến kia","Tương quan bắt buộc phải có giá trị âm; Nhân quả bắt buộc phải có giá trị dương","Tương quan chỉ áp dụng cho số liệu kinh tế; Nhân quả chỉ áp dụng cho số liệu y học","Tương quan là mối quan hệ chắc chắn 100%; Nhân quả chỉ là giả thuyết thống kê","1"
"5","Khi cần trực quan hóa xu hướng thay đổi của một chỉ số tài chính (ví dụ: doanh thu hàng tháng) theo thời gian, loại biểu đồ nào là phù hợp nhất?","","DA Statistics","Line chart kết nối các điểm dữ liệu bằng đường thẳng, giúp người xem dễ dàng nhận ra xu hướng tăng, giảm hoặc đi ngang theo thời gian.","Biểu đồ đường (Line Chart) — thể hiện xu hướng liên tục và sự thay đổi theo tiến trình thời gian","Biểu đồ tròn (Pie Chart) — thể hiện tỷ lệ phần trăm đóng góp của các phần trong tổng thể tĩnh","Biểu đồ phân tán (Scatter Plot) — thể hiện mối quan hệ và sự phân bố giữa hai biến số","Biểu đồ bản đồ nhiệt (Heatmap) — thể hiện mật độ dữ liệu thông qua màu sắc tương phản","1"
"6","Biểu đồ tròn (Pie Chart) nên được sử dụng trong trường hợp nào sau đây?","","DA Statistics","Pie chart chỉ hiệu quả khi so sánh các phần của một tổng thể (phải cộng lại bằng 100%) và có ít danh mục. Có quá nhiều lát cắt sẽ khiến biểu đồ cực kỳ khó đọc.","So sánh tỷ lệ phần trăm đóng góp của một số ít danh mục (dưới 5) cấu thành nên một tổng thể 100%","Trực quan hóa sự biến động của giá cổ phiếu liên tục trong vòng 30 ngày","So sánh doanh thu của 50 chi nhánh cửa hàng khác nhau trên toàn quốc","Thể hiện sự phân bố tần suất của các nhóm tuổi học sinh trong một trường học","1"
"7","Ý nghĩa của giá trị P-value trong kiểm định giả thuyết thống kê là gì?","","DA Statistics","P-value nhỏ (thường &lt; 0.05) chứng tỏ kết quả quan sát được rất khó xảy ra do ngẫu nhiên nếu giả thuyết Null là đúng, làm cơ sở bác bỏ Null và chấp nhận giả thuyết đối.","Xác suất xảy ra kết quả quan sát được (hoặc cực đoan hơn) nếu giả thuyết không (Null Hypothesis) là đúng — dùng để bác bỏ giả thuyết không","Tỷ lệ phần trăm dữ liệu bị lỗi hoặc khuyết thiếu trong tập dữ liệu thử nghiệm","Độ tin cậy của mô hình dự báo tuyến tính khi số lượng quan sát tăng lên","Mức độ chênh lệch giữa giá trị trung bình và giá trị trung vị của tập dữ liệu","1"
"8","Khi phân tích một biểu đồ Scatter Plot (biểu đồ phân tán), nếu các điểm dữ liệu tạo thành luồng đi từ góc dưới bên trái lên góc trên bên phải, điều này thể hiện gì?","","DA Statistics","Hướng đi lên thể hiện mối quan hệ đồng biến (tương quan dương). Độ dốc và khoảng cách các điểm đến đường thẳng xu hướng thể hiện độ mạnh yếu của tương quan.","Mối quan hệ tương quan dương (Positive Correlation) giữa hai biến số — biến X tăng thì biến Y cũng có xu hướng tăng","Mối quan hệ tương quan âm (Negative Correlation) giữa hai biến số — biến X tăng thì biến Y giảm","Không tồn tại bất kỳ mối liên hệ nào giữa hai biến số đang xét","Dữ liệu bị lỗi thu thập dẫn đến phân phối không đều","1"
"9","Chỉ số KPI ""Conversion Rate"" (Tỷ lệ chuyển đổi) của một trang web bán hàng được tính bằng công thức nào?","","DA Statistics","Conversion Rate đo lường tỷ lệ người dùng thực hiện một hành động mong muốn (mua hàng, đăng ký) trên tổng số người tiếp cận.","(Số khách hàng thực hiện mua hàng / Tổng số khách hàng truy cập trang web) * 100% — đo lường hiệu quả bán hàng","(Số tiền doanh thu thu được / Tổng số lượng sản phẩm đã bán ra) * 100% — tính giá trị trung bình đơn","(Số lượt click vào quảng cáo / Tổng số lượt hiển thị quảng cáo) * 100% — tính tỷ lệ CTR của quảng cáo","(Số lượng người dùng rời bỏ trang web / Tổng số tài khoản đăng ký mới) * 100% — tính tỷ lệ churn rate","1"
"10","Khi làm sạch dữ liệu, một giá trị được coi là ""Outlier"" (giá trị ngoại lai) khi nào?","","DA Statistics","Outliers là những điểm dữ liệu bất thường, lệch chuẩn nhiều so với phân phối chung, có thể do sai sót đo lường hoặc do hiện tượng đặc biệt thực tế.","Khi nó khác biệt quá lớn (nằm quá xa) so với phần lớn các quan sát khác trong tập dữ liệu — giá trị cực trị bất thường","Khi nó bị khuyết thiếu (NULL) trong cơ sở dữ liệu quan hệ","Khi nó chứa các ký tự chữ cái nằm trong cột được định nghĩa kiểu dữ liệu số","Khi nó xuất hiện nhiều lần liên tiếp trong cùng một cột dữ liệu","1"
