"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Một phần tử có width: 200px và box-sizing: content-box. Nếu thêm padding: 20px và border: 5px, tổng chiều rộng hiển thị là bao nhiêu?","","CSS","content-box: width chỉ tính content. Tổng = 200 + 20*2 (padding) + 5*2 (border) = 250px. Với border-box thì tổng vẫn là 200px vì padding và border nằm trong width.","200px — padding và border nằm bên trong width khi dùng content-box","250px — content-box cộng thêm padding và border vào ngoài width","240px — content-box chỉ cộng thêm padding nhưng border nằm trong width","210px — content-box chỉ cộng padding một bên và border một bên","2"
"2","Một developer cần hiểu sự khác nhau giữa display: inline, block và inline-block. Phát biểu nào mô tả chính xác hành vi của chúng?","","CSS","block: chiếm toàn bộ chiều rộng, xuống dòng, nhận width/height. inline: cùng dòng, không nhận width/height. inline-block: cùng dòng nhưng nhận width/height.","block chiếm toàn bộ chiều rộng và nhận width/height; inline cùng dòng nhưng vẫn nhận width/height; inline-block kết hợp cả hai","block chiếm toàn bộ chiều rộng và nhận width/height; inline cùng dòng nhưng không nhận width/height; inline-block cùng dòng và nhận width/height","block và inline-block đều xuống dòng mới; inline là kiểu duy nhất nằm cùng dòng và nhận width/height","block không nhận width/height mà tự động giãn; inline nhận width/height; inline-block chiếm toàn bộ chiều rộng","2"
"3","Phần tử con có position: absolute sẽ xác định vị trí dựa trên phần tử nào?","","CSS","absolute: vị trí tính theo phần tử cha gần nhất có position khác static (relative, absolute, fixed, sticky). Nếu không có, tính theo &lt;html&gt;.","Phần tử cha trực tiếp (parent) bất kể giá trị position của nó là gì","Phần tử cha gần nhất có position khác static trong cây DOM","Luôn tính theo thẻ &lt;body&gt; bất kể cấu trúc DOM của trang","Phần tử cha gần nhất có display: block hoặc display: flex","2"
"4","CSS Grid và Flexbox đều dùng để tạo layout, nhưng chúng khác nhau cơ bản ở điểm nào?","","CSS","Flexbox là layout 1 chiều (hàng HOẶC cột). Grid là layout 2 chiều (hàng VÀ cột cùng lúc). Flexbox phù hợp cho component, Grid cho layout tổng thể.","Grid xử lý layout theo một chiều (hàng hoặc cột); Flexbox xử lý layout theo hai chiều cùng lúc","Grid là phiên bản cũ hơn của Flexbox và cả hai đều xử lý layout theo một chiều","Flexbox xử lý layout theo một chiều (hàng hoặc cột); Grid xử lý layout theo hai chiều cùng lúc","Flexbox chỉ dành cho mobile layout; Grid chỉ dành cho desktop layout","3"
"5","Khi viết CSS, thứ tự specificity từ cao đến thấp là: inline style (1000) &gt; ID (100) &gt; Class (10) &gt; Element (1). Vậy selector nào có specificity cao nhất?","","CSS","Selector #nav .menu li có specificity = 100 (ID) + 10 (class) + 1 (element) = 111. So sánh: div.active = 11, .menu li a = 12, header nav ul = 3.","div.active — specificity là 11 điểm (1 element + 1 class)","header nav ul — specificity là 33 điểm (3 element selectors)","#nav .menu li — specificity là 111 điểm (1 ID + 1 class + 1 element)","body .menu li a — specificity là 13 điểm (1 element + 1 class + 2 elements)","3"
"6","Pseudo-class và Pseudo-element trong CSS khác nhau như thế nào?","","CSS","Pseudo-class (:hover, :nth-child) chọn phần tử ở trạng thái đặc biệt. Pseudo-element (::before, ::after) tạo phần tử ảo trong DOM.","Pseudo-class (::hover) tạo phần tử ảo để thêm nội dung; Pseudo-element (:before) chọn trạng thái đặc biệt","Pseudo-class (:hover) chọn phần tử theo trạng thái; Pseudo-element (::before) tạo phần tử ảo trong DOM","Pseudo-class dùng cú pháp :: và áp dụng cho block elements; Pseudo-element dùng : và áp dụng cho inline","Pseudo-class (:hover) chỉ hoạt động với thẻ &lt;a&gt;; Pseudo-element (::before) chỉ hoạt động với thẻ &lt;div&gt;","2"
"7","Trong Flexbox, thuộc tính align-items: center căn chỉnh các item theo hướng nào?","","CSS","align-items căn chỉnh theo trục phụ (cross axis). Khi flex-direction: row (mặc định), cross axis là chiều dọc. justify-content căn chỉnh theo main axis.","Theo trục chính (main axis), cùng hướng với flex-direction hiện tại","Theo cả trục chính và trục phụ, căn giữa hoàn toàn phần tử con","Theo trục phụ (cross axis), vuông góc với flex-direction hiện tại","Theo chiều ngang cố định bất kể giá trị flex-direction là gì","3"
"8","Chiến lược Mobile-first trong responsive design có đặc điểm kỹ thuật gì?","","CSS","Mobile-first viết CSS mặc định cho mobile, dùng min-width media queries để mở rộng cho màn hình lớn hơn. Desktop-first dùng max-width.","Viết CSS mặc định cho desktop, dùng max-width media queries để thu gọn cho mobile","Viết CSS mặc định cho mobile, dùng min-width media queries để mở rộng cho desktop","Tạo hai file CSS riêng biệt: một cho mobile và một cho desktop","Viết CSS mặc định cho tablet, dùng cả min-width và max-width cho mobile và desktop","2"
"9","Selector nth-child(3) và nth-of-type(3) cho kết quả khác nhau khi nào?","","CSS","nth-child(n) đếm tất cả phần tử con bất kể kiểu. nth-of-type(n) chỉ đếm phần tử cùng kiểu. Khi phần tử cha có nhiều kiểu con khác nhau, kết quả sẽ khác.","Khi phần tử cha chỉ có một kiểu con duy nhất — nth-child đếm khác nth-of-type","Khi có CSS specificity conflict — nth-child bị ghi đè còn nth-of-type thì không","Khi phần tử cha có nhiều kiểu con khác nhau — nth-child đếm tất cả, nth-of-type chỉ đếm cùng kiểu","Khi phần tử con có class hoặc ID — nth-child bỏ qua class còn nth-of-type tính cả class","3"
"10","Khi nào trình duyệt thực hiện DOM reflow và tại sao cần hạn chế nó?","","CSS","Reflow xảy ra khi thay đổi layout: kích thước, vị trí, thêm/xoá element. Reflow tốn hiệu suất vì trình duyệt phải tính lại layout cho toàn bộ hoặc một phần DOM.","Khi thay đổi màu sắc hoặc opacity — trình duyệt phải tính lại toàn bộ pixel trên màn hình","Khi thay đổi layout như kích thước và vị trí — trình duyệt phải tính lại cây layout","Khi thêm event listener — trình duyệt phải cập nhật lại cây sự kiện của DOM","Khi tải thêm file CSS mới — trình duyệt phải parse lại toàn bộ stylesheet","2"
