"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Product Owner và Scrum Master conflict: PO muốn thêm scope giữa sprint. SM nên xử lý thế nào?","","Agile-Scrum","SM protect sprint scope: thêm item mới phải trade-off (remove item khác cùng size). Nếu critical: cancel sprint (PO quyết định). SM facilitate conversation, không decide business priority.","SM accept tất cả changes từ PO vì PO là business owner — sprint scope flexible","SM protect sprint scope: thêm item phải trade-off remove item khác; critical thì cancel sprint do PO quyết định","SM reject mọi changes từ PO — sprint scope frozen tuyệt đối không exception","SM escalate lên management để quyết định — không có authority resolve conflict","2"
"2","Sprint Planning gồm 2 phần nào và output là gì?","","Agile-Scrum","Part 1: WHAT — PO present top priority items, team select Sprint Goal và items. Part 2: HOW — team break items thành tasks, estimate effort. Output: Sprint Backlog + Sprint Goal.","Part 1: estimate points; Part 2: assign tasks — không có Sprint Goal","Part 1 WHAT (PO present priorities, team select Sprint Goal/items); Part 2 HOW (tasks/estimates) → Sprint Backlog","Chỉ Part 1: PO assign tasks cho team members — no Part 2 discussion","Chỉ HOW: team plan implementation — WHAT decided bởi management trước Sprint","2"
"3","Kanban khác Scrum ở flow management nào?","","Agile-Scrum","Scrum: timeboxed sprints, fixed scope per sprint, sprint ceremonies. Kanban: continuous flow, WIP limits (limit work in progress), no timeboxed iterations, pull-based system. Kanban flexible hơn.","Scrum continuous flow; Kanban timeboxed sprints — behavior ngược với tên gọi","Scrum và Kanban hoạt động giống nhau — chỉ khác ở board visualization","Scrum cho development; Kanban cho operations — phân chia theo department","Scrum timeboxed sprints/fixed scope; Kanban continuous flow/WIP limits/no iterations — Kanban flexible hơn","4"
"4","Sprint Retrospective: team liên tục nêu cùng problems nhưng không action. Root cause và fix?","","Agile-Scrum","Root cause: action items không được follow up, không có owner/deadline, quá nhiều items. Fix: max 2-3 actionable items, assign owner, track trong Sprint Backlog, review ở retro tiếp theo.","Thay đổi facilitator mỗi sprint — fresh perspective giải quyết mọi vấn đề","Invite management vào Retro — authority pressure team action","Bỏ Retrospective vì team không thấy value — ceremony overhead không cần thiết","Max 2-3 actionable items, assign owner/deadline, track trong Sprint Backlog, review retro tiếp theo","4"
"5","Backlog Refinement (Grooming): khi nào và ai tham gia?","","Agile-Scrum","Mid-sprint (ongoing), 5-10% sprint capacity. PO + Dev Team + SM. Activities: clarify stories, add Acceptance Criteria, estimate (Planning Poker), split large stories, re-prioritize.","Mid-sprint ongoing 5-10% capacity; PO + Team + SM; clarify/estimate/split/prioritize stories","Chỉ đầu sprint trong Sprint Planning — không có meeting riêng cho Refinement","Chỉ PO tham gia — Dev Team không cần biết backlog details trước Sprint Planning","Cuối sprint sau Retrospective — prepare backlog cho sprint tiếp theo","1"
"6","Planning Poker estimation: team disagree lớn (3 vs 13). Xử lý thế nào?","","Agile-Scrum","Highest và lowest estimators giải thích reasoning. Discussion reveal hidden assumptions/unknowns. Re-estimate sau discussion. Nếu vẫn unclear → spike (research task) trước khi commit.","Highest/lowest giải thích reasoning → discussion → re-estimate; unclear → spike research task","Lấy trung bình (3+13)/2 = 8 — mathematical approach đơn giản","SM quyết định final estimate — authority figure break tie","Bỏ qua story — nếu team không agree thì story chưa ready","1"
"7","Epic → Feature → User Story → Task hierarchy phục vụ mục đích nào?","","Agile-Scrum","Epic: large initiative (months). Feature: functionality group (weeks). Story: deliverable value (days). Task: technical work (hours). Decomposition cho estimation và tracking ở multiple levels.","Chỉ cần User Story — hierarchy khác là overhead không cần thiết","Task → Story → Feature → Epic — hierarchy ngược từ nhỏ lên lớn","Epic (months) → Feature (weeks) → Story (days) → Task (hours) — decomposition cho estimation multi-level","Epic và Story là cùng level — chỉ khác tên gọi theo team preference","3"
"8","Burndown chart vs Burnup chart: hiển thị thông tin nào?","","Agile-Scrum","Burndown: remaining work giảm dần về 0 (focus: how much left). Burnup: completed work tăng dần (focus: how much done + scope changes visible). Burnup tốt hơn khi scope hay thay đổi.","Burndown remaining work giảm; Burnup completed work tăng + scope changes visible","Burndown completed work tăng; Burnup remaining work giảm — tên gọi ngược behavior","Burndown và Burnup hiển thị cùng thông tin — chỉ khác orientation","Burndown cho sprint; Burnup cho release — phân chia theo timeframe","1"
"9","Technical Debt quản lý trong Scrum thế nào?","","Agile-Scrum","Dedicate % sprint capacity (15-20%) cho tech debt. Add tech debt stories vào Product Backlog, PO prioritize cùng features. Refactoring sprints (occasional). Track và visualize debt metrics.","Ignore tech debt — focus 100% features cho business value","Dedicate 15-20% capacity cho tech debt; add stories vào Backlog PO prioritize; track debt metrics","Fix tất cả tech debt trước khi bắt đầu features mới — clean codebase first","Chỉ fix tech debt khi production incidents xảy ra — reactive approach","2"
"10","Scrum of Scrums: scale Scrum cho multiple teams cách nào?","","Agile-Scrum","Đại diện mỗi team họp định kỳ: chia sẻ progress, discuss cross-team dependencies/blockers, align on shared goals. Frameworks: SAFe, LeSS, Nexus cho enterprise-scale Agile.","PM quản lý tất cả teams centrally — traditional project management","Merge tất cả teams thành 1 team lớn — 1 Scrum Master cho tất cả","Đại diện mỗi team họp chia sẻ progress/dependencies/blockers; frameworks: SAFe/LeSS/Nexus","Mỗi team hoàn toàn independent — không cần cross-team coordination","3"
