"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Mã phản hồi HTTP Status Code 401 Unauthorized và 403 Forbidden khác nhau ở điểm cốt lõi nào?","","Tester Technical","401 (Authentication) yêu cầu xác định ""Bạn là ai?"". 403 (Authorization) kiểm tra ""Bạn có quyền thực hiện việc này không?"".","401 báo lỗi chưa xác thực danh tính (chưa đăng nhập); 403 báo lỗi không có quyền truy cập dù đã đăng nhập","401 là lỗi do máy chủ Backend; 403 là lỗi do trình duyệt Frontend","401 chỉ xuất hiện khi gọi API GET; 403 chỉ xuất hiện khi gọi API POST","401 báo lỗi đường dẫn sai; 403 báo lỗi cơ sở dữ liệu bị khóa tạm thời","1"
"2","Khi viết script Selenium để tìm một button trên trang web có cấu trúc DOM động (id thay đổi mỗi lần reload), QA nên dùng chiến lược định vị nào?","","Tester Technical","Với phần tử động, QA sử dụng XPath tương đối, so khớp chuỗi con (`contains`) hoặc tìm theo quan hệ cha-con (relative XPath) để đảm bảo script chạy ổn định.","Dùng XPath/CSS Selector dựa trên các thuộc tính tương đối không đổi (ví dụ: `//button[contains(@class, 'btn-submit')]` hoặc `//button[text()='Lưu']`)","Dùng ID tĩnh bất kỳ tìm được ở lần F5 đầu tiên và chấp nhận script bị lỗi ở các lần chạy sau","Chụp ảnh giao diện nút và dùng phần mềm nhận diện hình ảnh để script tự click chuột","Chờ lập trình viên sửa code để gán ID tĩnh mới tiến hành viết mã kiểm thử tự động","1"
"3","Khái niệm ""Implicit Wait"" và ""Explicit Wait"" trong Selenium WebDriver khác nhau như thế nào?","","Tester Technical","Implicit Wait cấu hình chung (global). Explicit Wait thông minh hơn, chỉ kích hoạt khi cần thiết (ví dụ: Chờ nút hiển thị rõ để click - ExpectedConditions) giúp giảm flaky test.","Implicit Wait áp dụng thời gian chờ mặc định cho mọi phần tử trong suốt session; Explicit Wait cấu hình chờ cho một phần tử cụ thể thỏa mãn điều kiện chỉ định","Implicit Wait chờ đến khi trang tải xong 100%; Explicit Wait chỉ chờ các đoạn mã JavaScript chạy xong","Implicit Wait chỉ chạy trên trình duyệt Chrome; Explicit Wait chạy trên mọi trình duyệt","Implicit Wait làm chậm tốc độ chạy script; Explicit Wait tăng tốc độ chạy script lên tối đa","1"
"4","Khi thực hiện kiểm thử tự động bằng mô hình Page Object Model (POM), lợi ích lớn nhất thu được là gì?","","Tester Technical","POM đóng gói các phần tử và hành vi của một trang web vào một Class. Khi giao diện đổi (ví dụ đổi ID của nút), QA chỉ cần sửa Locator trong Class Page đó, không phải sửa hàng chục Test script.","Tách biệt mã nguồn tương tác giao diện và mã nguồn kịch bản kiểm thử; giúp dễ bảo trì, tái sử dụng code và giảm thiểu công sức sửa script khi UI thay đổi","Tăng tốc độ thực thi các ca kiểm thử tự động lên gấp nhiều lần trên máy chủ","Tự động hóa hoàn toàn việc viết các test case mà không cần QA phải tự tay viết code","Đảm bảo không phát sinh bất kỳ lỗi flaky test nào trong suốt quá trình chạy kịch bản","1"
"5","Trong Postman, khi cần truyền token bảo mật (Bearer Token) thu được từ API Đăng nhập sang các API tiếp theo một cách tự động, QA thực hiện thế nào?","","Tester Technical","Sử dụng biến môi trường (e.g. `pm.environment.set(""token"", pm.response.json().token)`) giúp tự động hóa hoàn toàn chuỗi API test chain.","Viết mã JavaScript trong tab ""Tests"" của API Đăng nhập để lưu token vào biến môi trường (Environment Variable), sau đó gọi biến này trong Authorization header của các API tiếp theo","Copy thủ công token bằng tay và paste vào từng request API trước mỗi lần chạy test","Lưu token vào một file text trên máy tính cá nhân và yêu cầu Postman tự đọc file đó","Không cần làm gì vì Postman tự động nhận diện và chia sẻ token bảo mật giữa các API","1"
"6","Khi chạy kiểm thử tự động trên trình duyệt, lỗi ""StaleElementReferenceException"" trong Selenium nghĩa là gì?","","Tester Technical","Lỗi này xảy ra khi tham chiếu đến một đối tượng DOM đã cũ (stale). Khắc phục bằng cách tìm lại phần tử đó (find element lại) trước khi thực hiện hành động tiếp theo.","Phần tử giao diện đã từng được tìm thấy nhưng hiện tại không còn tồn tại trong cây DOM của trang web (do trang đã reload hoặc cập nhật AJAX)","Trình duyệt web bị tắt đột ngột do thiếu bộ nhớ RAM trên máy tính chạy test","Đoạn script test tự động chứa lỗi cú pháp lập trình không thể biên dịch","Tài khoản đăng nhập trên trình duyệt đã bị hết hạn phiên làm việc (session timeout)","1"
"7","Sự khác biệt chính về mặt kiến trúc giữa SOAP API và REST API khi thực hiện kiểm thử API là gì?","","Tester Technical","SOAP là giao thức đặc tả chặt chẽ dựa trên XML. REST là phong cách kiến trúc nhẹ nhàng, dễ sử dụng, được ứng dụng rộng rãi trong các ứng dụng web/mobile hiện đại.","SOAP bắt buộc sử dụng định dạng XML và có giao thức nghiêm ngặt (WSDL); REST linh hoạt hỗ trợ nhiều định dạng (thường là JSON) và dựa trên các phương thức HTTP tiêu chuẩn","SOAP chạy nhanh hơn REST gấp nhiều lần vì nó không sử dụng giao thức bảo mật","SOAP chỉ chạy trên môi trường di động; REST chỉ chạy trên trình duyệt máy tính","SOAP là phiên bản mới hơn và đang dần thay thế hoàn toàn REST trên thị trường","1"
"8","Trong kiểm thử tự động, kỹ thuật ""Data-driven Testing"" (Kiểm thử hướng dữ liệu) giải quyết bài toán nào?","","Tester Technical","Data-driven testing giúp tăng độ bao phủ. Thay vì viết 10 test case riêng biệt cho 10 tài khoản, ta chỉ viết 1 script và nạp 10 dòng tài khoản từ file CSV vào.","Chạy một kịch bản kiểm thử nhiều lần với các bộ dữ liệu đầu vào và kết quả mong đợi khác nhau đọc từ file ngoài (CSV, Excel, JSON)","Tự động tối ưu hóa tốc độ truy vấn của cơ sở dữ liệu quan hệ trong quá trình chạy test","Tự động mã hóa toàn bộ dữ liệu nhạy cảm của người dùng trong cơ sở dữ liệu","Xác định số lượng máy chủ ảo cần thiết để chạy song song các kịch bản kiểm thử","1"
"9","Khi viết bộ lọc XPath, sự khác biệt giữa `/` (single slash) và `//` (double slash) là gì?","","Tester Technical","`/` đi tuần tự từ gốc (root node). `//` thực hiện tìm kiếm tương đối trên toàn bộ cây DOM bên dưới từ vị trí hiện tại.","`/` tìm kiếm phần tử con trực tiếp (absolute path); `//` tìm kiếm phần tử con ở bất kỳ cấp độ nào bên trong (relative path)","`/` chỉ dùng ở đầu câu lệnh; `//` chỉ dùng ở cuối câu lệnh XPath","`/` tìm kiếm theo ID; `//` tìm kiếm theo Class Name của phần tử","`/` chạy nhanh hơn `//` gấp 10 lần trong mọi cấu trúc trang web","1"
"10","Hoạt động ""Performance Testing"" ở mức cơ bản thường đo lường chỉ số nào dưới đây của hệ thống?","","Tester Technical","Kiểm thử hiệu năng đánh giá tốc độ phản hồi và độ ổn định của hệ thống dưới áp lực truy cập (Load/Stress) bằng các chỉ số định lượng chính.","Thời gian phản hồi (Response Time), Số lượng yêu cầu xử lý mỗi giây (Throughput), và Tỷ lệ lỗi (Error Rate) dưới các mức tải khác nhau","Số dòng code mà lập trình viên viết được trong vòng một ngày làm việc","Khả năng chống lại các cuộc tấn công giải mã mật khẩu của tin tặc","Mức độ tương quan giữa cơ sở dữ liệu quan hệ và cơ sở dữ liệu phi quan hệ","1"
