"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Team velocity đang giảm dần qua 3 Sprint liên tiếp. Nguyên nhân có thể và Scrum Master nên làm gì?","","Agile-Scrum","Nguyên nhân: technical debt tích tụ, scope creep, team burnout, thiếu rõ ràng requirements. SM nên: tổ chức Retrospective tập trung, xác định impediments, thảo luận giảm tech debt, cải thiện DoD.","Retrospective tập trung: xác định impediments (tech debt, scope creep, burnout), cải thiện DoD và quy trình","Bỏ qua vì velocity dao động là bình thường","Tăng giờ làm thêm","Thay thế team members","1"
"2","PO muốn thêm story vào giữa Sprint đang chạy vì khách hàng yêu cầu urgent. Team nên xử lý thế nào?","","Agile-Scrum","Sprint Backlog được bảo vệ. Nếu truly urgent: PO thảo luận với team → team quyết định bỏ story khác (cùng effort) hoặc cancel Sprint. Không nên thêm mà không bỏ gì cả.","Thêm vào không cần thảo luận","Từ chối mọi thay đổi","PO thảo luận với team → team quyết định bỏ story khác hoặc cancel Sprint — không thêm mà không bỏ","Scrum Master quyết định","3"
"3","Trong Sprint Review, stakeholders không quan tâm đến demo và ít đưa feedback. Cách cải thiện?","","Agile-Scrum","Invite đúng stakeholders. Demo tập trung vào business value, không demo chi tiết kỹ thuật. Chuẩn bị demo scenario thực tế. Thu thập feedback bằng câu hỏi cụ thể. Chia sẻ metrics/impact.","Bỏ Sprint Review","Demo tập trung business value, mời đúng stakeholders, chuẩn bị scenario thực tế, thu thập feedback bằng câu hỏi cụ thể","Tăng thời gian demo lên 4 giờ","Chỉ gửi email báo cáo","2"
"4","Team mới chuyển từ Waterfall sang Agile gặp khó khăn: không biết estimate, Sprint hay bị trễ. Chiến lược transition nào phù hợp?","","Agile-Scrum","Bắt đầu với Scrum đơn giản. Sprint đầu estimate dựa trên gut feeling → calibrate dần. Giảm Sprint scope (ít story hơn). Tập trung DoD. SM coaching liên tục. Acceptance learning curve.","Quay lại Waterfall","Sprint đầu estimate dựa gut feeling → calibrate dần, giảm scope, tập trung DoD, SM coaching liên tục","Áp dụng tất cả practices Agile ngay lập tức","Không cần estimate","2"
"5","Khi nào nên dùng Scrum, khi nào nên dùng Kanban, khi nào Scrumban?","","Agile-Scrum","Scrum: dự án mới, team fixed, release cycle rõ ràng. Kanban: support/maintenance, continuous flow. Scrumban: team muốn cả Sprint structure và flow flexibility, hoặc đang transition.","Luôn dùng Scrum","Luôn dùng Kanban","Scrum: dự án mới/release cycle; Kanban: support/maintenance/continuous flow; Scrumban: kết hợp cả hai","Tất cả đều giống nhau","3"
"6","Technical debt tích tụ nhưng PO luôn ưu tiên feature mới. Làm thế nào để cân bằng?","","Agile-Scrum","Giáo dục PO về impact của tech debt (bugs, velocity giảm). Dành 15-20% capacity mỗi Sprint cho tech debt. Visualize tech debt trong backlog. Liên kết tech debt với business impact (slower features).","Giáo dục PO về impact, dành 15-20% capacity/Sprint cho tech debt, visualize và liên kết với business impact","Bỏ qua tech debt","Chỉ làm tech debt khi có thời gian rảnh","Developer tự fix không cần PO biết","1"
"7","Team có 8 developers. Daily Standup thường kéo dài 30-40 phút. Cách cải thiện?","","Agile-Scrum","Stick to 3 câu hỏi (hôm qua/hôm nay/impediments). Không thảo luận chi tiết (parking lot cho sau). Time-box nghiêm ngặt 15 phút. Chia team thành sub-teams nếu quá lớn. Đứng họp.","Stick to 3 câu hỏi, không thảo luận chi tiết (parking lot), time-box 15 phút, chia sub-teams nếu cần","Bỏ Daily Standup","Kéo dài lên 1 giờ","Chỉ SM và PO tham gia","1"
"8","Một Sprint bị cancel giữa chừng. Khi nào nên cancel Sprint và quy trình ra sao?","","Agile-Scrum","Cancel khi Sprint Goal trở nên lỗi thời (thị trường thay đổi, pivot sản phẩm). Chỉ PO có quyền cancel. Quy trình: PO cancel → Review items Done → Release nếu có → Sprint Planning mới.","Khi team mệt mỏi","Không bao giờ cancel Sprint","Bất kỳ ai đều có thể cancel","Cancel khi Sprint Goal lỗi thời — chỉ PO có quyền — review items Done → release nếu có → Sprint Planning mới","4"
"9","Làm thế nào để đo lường hiệu quả của Agile team ngoài velocity?","","Agile-Scrum","Metrics: Lead time (ý tưởng → production), Cycle time (start → done), Defect rate, Customer satisfaction, Team happiness, Sprint goal completion rate, Release frequency.","Chỉ cần velocity","Lead time, Cycle time, Defect rate, Customer satisfaction, Team happiness, Sprint goal completion rate","Số giờ làm việc mỗi ngày","Số dòng code viết","2"
"10","Team phân tán (remote) ở 3 timezone khác nhau. Scrum ceremonies nên điều chỉnh thế nào?","","Agile-Scrum","Async Daily Standup (Slack/video message) trong overlap hours. Rotate meeting times công bằng. Dùng shared board (Jira/Trello). Detailed Sprint Backlog items. Record meetings. Over-communicate.","Không thể dùng Scrum với team remote","Chỉ họp 1 lần mỗi tuần","Tất cả phải cùng timezone","Async standup trong overlap hours, rotate meeting times, shared board, detailed backlog, record meetings","4"
