"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Sự khác biệt chính giữa Nạp chồng (Overloading) và Ghi đè (Overriding) là gì?","","OOP","Overloading là cùng tên phương thức nhưng khác tham số trong cùng một lớp (đa hình compile-time). Overriding là lớp con định nghĩa lại phương thức của lớp cha (đa hình runtime).","Overloading là cùng tên khác tham số trong cùng lớp; Overriding là lớp con định nghĩa lại phương thức lớp cha","Overloading thay đổi kiểu trả về còn Overriding thay đổi tên phương thức","Overloading xảy ra ở lớp con còn Overriding xảy ra ở cùng lớp","Overloading và Overriding là hai tên gọi khác nhau của cùng một khái niệm","1"
"2","Phát biểu nào mô tả đúng sự khác biệt giữa Abstract Class và Interface?","","OOP","Abstract Class có thể chứa cả phương thức có thân hàm và phương thức trừu tượng, có constructor. Interface (truyền thống) chỉ chứa khai báo phương thức trừu tượng, không có constructor.","Interface có thể có constructor còn Abstract Class thì không","Abstract Class không thể chứa thuộc tính","Abstract Class có thể có constructor và phương thức cụ thể; Interface chỉ có khai báo phương thức trừu tượng","Interface và Abstract Class hoàn toàn giống nhau","3"
"3","Đa hình thời gian biên dịch (Compile-time Polymorphism) khác đa hình thời gian chạy (Runtime Polymorphism) như thế nào?","","OOP","Compile-time polymorphism được xác định lúc biên dịch thông qua overloading. Runtime polymorphism được xác định lúc chạy thông qua overriding và kế thừa.","Compile-time sử dụng overriding; Runtime sử dụng overloading","Compile-time chỉ áp dụng cho biến; Runtime chỉ áp dụng cho hàm","Không có sự khác biệt giữa hai loại","Compile-time xác định qua overloading lúc biên dịch; Runtime xác định qua overriding lúc chạy","4"
"4","Trong OOP, các chỉ định truy cập (Access Modifiers) public, private, protected có ý nghĩa gì?","","OOP","public: truy cập từ mọi nơi. private: chỉ truy cập trong cùng lớp. protected: truy cập trong cùng lớp và lớp con.","public: mọi nơi; private: chỉ trong cùng lớp; protected: cùng lớp và lớp con","public: chỉ trong lớp; private: mọi nơi; protected: chỉ lớp con","Cả ba đều có phạm vi truy cập giống nhau","public: lớp con; private: lớp cha; protected: mọi nơi","1"
"5","Khi nào nên sử dụng Interface thay vì Abstract Class?","","OOP","Interface phù hợp khi cần định nghĩa một hợp đồng (contract) mà nhiều lớp không liên quan có thể tuân theo. Abstract Class phù hợp khi các lớp con có chung logic và cần chia sẻ mã nguồn.","Khi muốn chia sẻ mã nguồn chung giữa các lớp con","Khi cần định nghĩa hợp đồng chung cho nhiều lớp không liên quan về mặt kế thừa","Khi chỉ có một lớp con duy nhất","Khi muốn tạo đối tượng trực tiếp","2"
"6","Lớp con (Subclass) và Lớp cha (Superclass) có mối quan hệ như thế nào?","","OOP","Lớp con kế thừa từ lớp cha, có thể sử dụng lại các thuộc tính/phương thức của lớp cha và có thể mở rộng hoặc ghi đè chúng.","Lớp cha kế thừa từ lớp con","Lớp con và lớp cha không có mối quan hệ","Lớp con kế thừa từ lớp cha và có thể mở rộng hoặc ghi đè","Lớp con chỉ có thể sử dụng các phương thức private của lớp cha","3"
"7","Có những kiểu kế thừa nào trong OOP?","","OOP","Các kiểu kế thừa phổ biến: đơn kế thừa (single), đa kế thừa (multiple), kế thừa đa cấp (multilevel), kế thừa phân cấp (hierarchical), kế thừa lai (hybrid).","Đơn - Đa cấp - Phân cấp - Đa kế thừa - Lai","Đơn kế thừa và đa kế thừa","Chỉ có đơn kế thừa","Kế thừa tuyến tính và kế thừa vòng","1"
"8","Quá trình trừu tượng hóa dữ liệu (Data Abstraction) được thực hiện như thế nào trong OOP?","","OOP","Data Abstraction được thực hiện thông qua Abstract Class và Interface, nơi chỉ khai báo chức năng (what) mà không cần triển khai chi tiết (how).","Bằng cách sử dụng biến toàn cục","Bằng cách viết comment mô tả","Bằng cách mã hoá toàn bộ mã nguồn","Thông qua Abstract Class và Interface để ẩn chi tiết triển khai","4"
"9","Ngoại lệ (Exception) trong OOP là gì và xử lý như thế nào?","","OOP","Exception là sự kiện bất thường xảy ra trong quá trình thực thi chương trình. Xử lý bằng cơ chế try-catch-finally để bắt và xử lý lỗi mà không làm chương trình dừng đột ngột.","Exception là lỗi cú pháp và không thể xử lý được","Exception là sự kiện bất thường lúc runtime và được xử lý bằng try-catch-finally","Exception chỉ xảy ra trong quá trình biên dịch","Exception là một kiểu dữ liệu đặc biệt","2"
"10","Copy Constructor là gì và khi nào cần sử dụng?","","OOP","Copy Constructor tạo một đối tượng mới bằng cách sao chép giá trị từ đối tượng đã tồn tại. Cần dùng khi muốn tạo bản sao độc lập, tránh hai đối tượng cùng tham chiếu một vùng nhớ.","Một constructor không có tham số","Một constructor tạo đối tượng mới bằng cách sao chép từ đối tượng đã có","Một constructor chỉ dùng trong lớp trừu tượng","Một constructor tự động xoá đối tượng cũ","2"
