"STT","Content","Image Url","Tag","Explanation","Option 1","Option 2","Option 3","Option 4","Correct Answer"
"1","Controlled Component và Uncontrolled Component trong React form khác nhau ở cách quản lý giá trị input như thế nào?","","React","Controlled: giá trị input quản lý bởi React state (value + onChange). Uncontrolled: DOM tự quản lý giá trị, truy cập qua useRef. Controlled cho phép validate và transform input realtime.","Controlled để DOM quản lý giá trị qua ref; Uncontrolled quản lý bằng React state qua onChange","Controlled quản lý giá trị bằng React state (value + onChange); Uncontrolled để DOM quản lý và truy cập qua ref","Controlled chỉ dùng cho text input; Uncontrolled dùng cho checkbox, radio và select elements","Controlled dùng defaultValue; Uncontrolled dùng value — chỉ khác ở tên thuộc tính HTML","2"
"2","Prop drilling gây ra vấn đề gì và có những cách khắc phục nào?","","React","Prop drilling là truyền props qua nhiều tầng component trung gian không cần dùng props đó. Gây code khó bảo trì, refactor phức tạp. Khắc phục: Context API, Redux/Zustand, component composition.","Truyền props qua nhiều tầng trung gian không cần dùng — khắc phục bằng Context API hoặc state management","Truyền quá nhiều props cùng lúc vào một component — khắc phục bằng spread operator hoặc object props","Truyền props có kiểu dữ liệu sai giữa TypeScript components — khắc phục bằng generic types","Truyền callback functions qua props gây memory leak — khắc phục bằng useCallback hoặc useMemo","1"
"3","Khi nào nên tách logic thành Custom Hook thay vì giữ trong component?","","React","Tách khi: logic stateful tái sử dụng ở nhiều component, logic phức tạp cần tách biệt khỏi UI, cần test logic riêng biệt. Custom hook phải bắt đầu bằng prefix 'use'.","Khi component có quá nhiều JSX elements cần chia nhỏ template thành các sub-components","Khi cần tối ưu CSS styling bằng cách tách logic tính toán class names ra ngoài component","Khi logic stateful tái sử dụng ở nhiều component hoặc cần tách biệt khỏi UI để test riêng","Khi cần chuyển đổi từ function component sang class component để dùng lifecycle methods","3"
"4","Dependency array trong useEffect ảnh hưởng đến thời điểm effect chạy lại như thế nào?","","React","[]: chạy 1 lần sau mount. [a,b]: chạy lại khi a hoặc b thay đổi. Không truyền: chạy sau mỗi render. Cleanup function chạy trước effect tiếp theo hoặc khi unmount.","[]: chạy mỗi render; [a,b]: chỉ chạy khi cả a và b đồng thời thay đổi; không truyền: chạy 1 lần","[]: chạy 1 lần sau mount; [a,b]: chạy khi a hoặc b thay đổi; không truyền: chạy sau mỗi render","[]: không bao giờ chạy; [a,b]: chạy 1 lần; không truyền: chạy khi state thay đổi (không tính props)","[]: chạy trước mount; [a,b]: chạy sau unmount; không truyền: chạy đồng bộ trước render","2"
"5","Tại sao cập nhật state trực tiếp (state.x = 5) không hoạt động đúng trong React?","","React","Cập nhật trực tiếp bypass React's change detection, không trigger re-render nên UI không cập nhật. Phải dùng setState/setter function để React biết state thay đổi → reconciliation → DOM update.","Vì JavaScript object là immutable nên không thể gán lại thuộc tính trực tiếp","Vì cập nhật trực tiếp bypass React change detection, không trigger re-render nên UI không cập nhật","Vì React state được lưu trên server và chỉ cập nhật qua HTTP request","Vì trình duyệt block mutation trên React state object vì security policy","2"
"6","React hỗ trợ những cách truyền dữ liệu nào giữa các component ở các mối quan hệ khác nhau?","","React","Parent→Child: props. Child→Parent: callback function. Siblings: lifting state up qua parent chung. Bất kỳ: Context API, Redux/Zustand, custom event bus.","Props (parent→child), Callback (child→parent), Lifting state (siblings), Context/Redux (bất kỳ component nào)","Props chỉ truyền từ parent→child, không có cách nào truyền ngược lại từ child→parent","Event bubbling (child→parent), Event capturing (parent→child), EventBus (siblings), WebSocket (bất kỳ)","DOM attributes (parent→child), DOM events (child→parent), localStorage (siblings), IndexedDB (bất kỳ)","1"
"7","Higher-Order Component (HOC) pattern hoạt động theo nguyên tắc nào?","","React","HOC là hàm nhận component làm tham số và trả về component mới với logic/props bổ sung. Ví dụ: withAuth(Component) wrap component với logic kiểm tra authentication.","Hàm nhận component và trả về component mới với logic bổ sung — pattern tái sử dụng cross-cutting logic","Component cha render nhiều component con cùng lúc — pattern cho parallel rendering","Hook đặc biệt cho phép inject logic vào component mà không cần wrapper — pattern cho dependency injection","Hàm nhận JSX element và trả về styled version — pattern cho CSS-in-JS","1"
"8","Quá trình Reconciliation trong React Virtual DOM diễn ra qua những bước nào?","","React","(1) State thay đổi → React tạo Virtual DOM mới. (2) Diffing algorithm so sánh VDOM mới vs cũ. (3) Xác định minimum changes. (4) Batch update chỉ phần thay đổi vào DOM thật.","Tạo VDOM mới → Diffing so sánh cũ-mới → xác định minimum changes → batch update vào DOM thật","Re-render toàn bộ DOM thật mỗi lần state thay đổi → diffing xảy ra ở browser level","Clone DOM thật vào memory → apply changes lên clone → swap clone thành DOM thật","Gửi VDOM diff đến Web Worker → Worker tính toán changes → postMessage kết quả về main thread","1"
"9","Cleanup function trong useEffect cần thiết trong những trường hợp nào?","","React","Cleanup dọn dẹp side effects tránh memory leak: hủy event listener, cancel API request (AbortController), clear timer/interval, hủy WebSocket subscription.","Chỉ cần khi component dùng class-based lifecycle methods như componentWillUnmount","Cần khi có side effects cần dọn dẹp: hủy event listener, cancel request, clear timer, hủy subscription","Chỉ cần khi useEffect có dependency array rỗng [] để cleanup một lần duy nhất","Cần cho mọi useEffect bất kể có side effect hay không — React bắt buộc return cleanup","2"
"10","Client Side Rendering (CSR) và Server Side Rendering (SSR) khác nhau ở điểm kỹ thuật cốt lõi nào?","","React","CSR: trình duyệt tải JS bundle → render UI client-side (SPA, React mặc định). SSR: server render HTML hoàn chỉnh → gửi đến client. SSR tốt cho SEO và First Contentful Paint.","CSR render HTML trên server rồi gửi đến client; SSR render UI từ JS bundle trên trình duyệt","CSR chỉ hỗ trợ static content; SSR chỉ hỗ trợ dynamic content — không thể dùng cho cùng loại","CSR dùng cho mobile app; SSR dùng cho web app — mỗi kiểu chỉ cho một platform","CSR render UI từ JS bundle trên trình duyệt; SSR render HTML trên server — SSR tốt cho SEO và FCP","4"
